token,tag,tag_STTS,lemma_gold,lemma_pred
mein,DET,PPOSAT,mein,mein
Papa,NOUN,NN,Papa,Papa
hat,AUX,VAFIN,haben,hat
zwei,NUM,CARD,zwei,zwei
große,ADJ,ADJA,groß,große
Blöcke,NOUN,NN,Block,Blöcke
super,UNK,PTKIFG,super,super
hartes,ADJ,ADJA,hart,hartes
Styropor,NOUN,NN,Styropor,Styropor
und,CONJ,KON,und,und
wir,PRON,PPER,wir,wir
haben,AUX,VAFIN,haben,haben
mal,UNK,PTKMA,mal,mal
das,DET,ART,der,das
Teil,NOUN,NN,Teil,Teil
daraus,ADV,PAV,daraus,daraus
geschnitzt,VERB,VVPP,schnitzen,geschnitzt
",",PUNCT,"$,",",",","
wo,SCONJ,KOUS,wo,wo
die,DET,ART,der,die
Haken,NOUN,NN,Haken,Haken
rauskommen,VERB,VVFIN,rauskommen,rauskommen
.,PUNCT,$.,.,.
emojiQsmilingFaceWithOpenMouthAndSmilingEyes,UNK,EMOIMG,emojiQsmilingFaceWithOpenMouthAndSmilingEyes,emojiQsmilingFaceWithOpenMouthAndSmilingEyes
uh,INTJ,ITJ,uh,uh
das,PRON,PDS,der,das
sieht,VERB,VVFIN,sehen,sieht
voll,UNK,PTKIFG,voll,voll
gut,ADJ,ADJD,gut,gut
aus,PART,PTKVZ,aus,aus
*_*,UNK,EMOASC,*_*,*_*
und,CONJ,KON,und,und
der,DET,ART,der,der
Pilzkopferwin,PROPN,NE,Pilzkopferwin,Pilzkopferwin
auch,ADV,ADV,auch,auch
xD,UNK,EMOASC,xD,xD
Nadine,PROPN,NE,Nadine,Nadine
bestellt,VERB,VVFIN,bestellen,bestellt
sich,PRON,PRF,sich,sich
jetzt,ADV,ADV,jetzt,jetzt
einen,DET,ART,ein,einen
Styroporschneider,NOUN,NN,Styroporschneider,Styroporschneider
für,ADP,APPR,für,für
die,DET,ART,der,die
Griffe,NOUN,NN,Griff,Griffe
und,CONJ,KON,und,und
macht,VERB,VVFIN,machen,macht
einen,DET,ART,ein,einen
Prototyp,NOUN,NN,Prototyp,Prototyp
.,PUNCT,$.,.,.
emojiQsmilingFaceWithSmilingEyes,UNK,EMOIMG,emojiQsmilingFaceWithSmilingEyes,emojiQsmilingFaceWithSmilingEyes
und,CONJ,KON,und,und
den,DET,ART,der,den
perfekten,ADJ,ADJA,perfekt,perfekten
Lack,NOUN,NN,Lack,Lack
für,ADP,APPR,für,für
die,DET,ART,der,die
Klingen,NOUN,NN,Klinge,Klingen
habe,AUX,VAFIN,haben,habe
ich,PRON,PPER,ich,ich
auch,ADV,ADV,auch,auch
schon,ADV,ADV,schon,schon
gefunden,VERB,VVPP,finden,gefunden
.,PUNCT,$.,.,.
müssen,VERB,VMFIN,müssen,müssen
uns,PRON,PRF,sich,uns
bald,ADV,ADV,bald,bald
mal,UNK,PTKMA,mal,mal
wieder,ADV,ADV,wieder,wieder
treffen,VERB,VVINF,treffen,treffen
.,PUNCT,$.,.,.
emojiQkissingCatFaceWithClosedEyes,UNK,EMOIMG,emojiQkissingCatFaceWithClosedEyes,emojiQkissingCatFaceWithClosedEyes
au,INTJ,ITJ,au,au
ja,PART,PTKANT,ja,ja
!,PUNCT,$.,!,!
:),UNK,EMOASC,:),:)
unbedingt,ADJ,ADJD,unbedingt,unbedingt
!,PUNCT,$.,!,!
*_*,UNK,EMOASC,*_*,*_*
dann,ADV,ADV,dann,dann
kann,VERB,VMFIN,können,kann
ich,PRON,PPER,ich,ich
dir,PRON,PPER,dir,dir
alles,PRON,PIS,alle,alles
zeigen,VERB,VVINF,zeigen,zeigen
.,PUNCT,$.,.,.
Mann,INTJ,ITJ,Mann,Mann
ich,PRON,PPER,ich,ich
bin,AUX,VAFIN,sein,bin
schon,ADV,ADV,schon,schon
so,UNK,PTKIFG,so,so
aufgeregt,ADJ,ADJD,aufgeregt,aufgeregt
.,PUNCT,$.,.,.
emojiQflushedFace,UNK,EMOIMG,emojiQflushedFace,emojiQflushedFace
ja,PART,PTKANT,ja,ja
!,PUNCT,$.,!,!
hehe,INTJ,ITJ,hehe,hehe
ich,PRON,PPER,ich,ich
auch,ADV,ADV,auch,auch
xD,UNK,EMOASC,xD,xD
das,PRON,PDS,der,das
wird,AUX,VAFIN,werden,wird
so,UNK,PTKIFG,so,so
gut,ADJ,ADJD,gut,gut
.,PUNCT,$.,.,.
emojiQsmilingCatFaceWithHeartShapedEyes,UNK,EMOIMG,emojiQsmilingCatFaceWithHeartShapedEyes,emojiQsmilingCatFaceWithHeartShapedEyes
ja,PART,PTKANT,ja,ja
auf,ADP,APPR,auf,auf
Jedenfall,NOUN,NN,Jedenfall,Jedenfall
!,PUNCT,$.,!,!
:),UNK,EMOASC,:),:)
und,CONJ,KON,und,und
Sushi,NOUN,NN,Sushi,Sushi
müssen,VERB,VMFIN,müssen,müssen
wir,PRON,PPER,wir,wir
auch,ADV,ADV,auch,auch
mal,UNK,PTKMA,mal,mal
wieder,ADV,ADV,wieder,wieder
essen,VERB,VVINF,essen,essen
gehen,VERB,VVINF,gehen,gehen
.,PUNCT,$.,.,.
hehe,INTJ,ITJ,hehe,hehe
:),UNK,EMOASC,:),:)
das,PRON,PDS,der,das
klingt,VERB,VVFIN,klingen,klingt
gut,ADJ,ADJD,gut,gut
auch,ADV,ADV,auch,auch
wenn,SCONJ,KOUS,wenn,wenn
ich,PRON,PPER,ich,ich
schon,UNK,PTKMA,schon,schon
voll,UNK,PTKIFG,voll,voll
pleite,ADV,ADV,pleite,pleite
bin,AUX,VAFIN,sein,bin
xD,UNK,EMOASC,xD,xD
ich,PRON,PPER,ich,ich
doch,UNK,PTKMA,doch,doch
auch,ADV,ADV,auch,auch
.,PUNCT,$.,.,.
XD,UNK,EMOASC,XD,XD
XD,UNK,EMOASC,XD,XD
ahahahaha,INTJ,ITJ,ahahahaha,ahahahaha
!,PUNCT,$.,!,!
wie,UNK,PTKIFG,wie,wie
herrlich,ADJ,ADJD,herrlich,herrlich
!,PUNCT,$.,!,!
XD,UNK,EMOASC,XD,XD
der,PRON,PDS,der,der
hat,AUX,VAFIN,haben,hat
soviel,DET,PIAT,sovieler,soviel
Potenzial,NOUN,NN,Potenzial,Potenzial
.,PUNCT,$.,.,.
oh,INTJ,ITJ,oh,oh
Mann,NOUN,NN,Mann,Mann
",",PUNCT,"$,",",",","
wie,UNK,PTKIFG,wie,wie
herrlich,ADJ,ADJD,herrlich,herrlich
!,PUNCT,$.,!,!
ich,PRON,PPER,ich,ich
liebe,VERB,VVFIN,lieben,liebe
dich,PRON,PPER,dich,dich
dafür,ADV,PAV,dafür,dafür
!,PUNCT,$.,!,!
XD,UNK,EMOASC,XD,XD
XD,UNK,EMOASC,XD,XD
ooh,INTJ,ITJ,ooh,ooh
Mann,NOUN,NN,Mann,Mann
!,PUNCT,$.,!,!
oha,INTJ,ITJ,oha,oha
",",PUNCT,"$,",",",","
Gryffindor,PROPN,NE,Gryffindor,Gryffindor
?,PUNCT,$.,?,?
XD,UNK,EMOASC,XD,XD
XD,UNK,EMOASC,XD,XD
du,PRON,PPER,du,du
killst,VERB,VVFIN,killen,killst
mich,PRON,PPER,mich,mich
!,PUNCT,$.,!,!
so,UNK,PTKIFG,so,so
herrlich,ADJ,ADJD,herrlich,herrlich
xDD,UNK,EMOASC,xDD,xDD
das,PRON,PDS,der,das
macht,VERB,VVFIN,machen,macht
so,ADV,ADV,so,so
Spaß,NOUN,NN,Spaß,Spaß
.,PUNCT,$.,.,.
emojiQcatFaceWithWrySmile,UNK,EMOIMG,emojiQcatFaceWithWrySmile,emojiQcatFaceWithWrySmile
uh,INTJ,ITJ,uh,uh
xD,UNK,EMOASC,xD,xD
ja,PART,PTKANT,ja,ja
!,PUNCT,$.,!,!
ich,PRON,PPER,ich,ich
denke,VERB,VVFIN,denken,denke
mir,PRON,PRF,sich,mir
heute,ADV,ADV,heute,heute
sicher,ADJ,ADJD,sicher,sicher
noch,UNK,PTKMA,noch,noch
mehr,PRON,PIS,mehr,mehr
machen,VERB,VVFIN,machen,machen
.,PUNCT,$.,.,.
emojiQkissingCatFaceWithClosedEyes,UNK,EMOIMG,emojiQkissingCatFaceWithClosedEyes,emojiQkissingCatFaceWithClosedEyes
ich,PRON,PPER,ich,ich
glaube,VERB,VVFIN,glauben,glaube
",",PUNCT,"$,",",",","
ich,PRON,PPER,ich,ich
bleibe,VERB,VVFIN,bleiben,bleibe
bei,ADP,APPR,bei,bei
Janosch,PROPN,NE,Janosch,Janosch
.,PUNCT,$.,.,.
emojiQpersonFrowning,UNK,EMOIMG,emojiQpersonFrowning,emojiQpersonFrowning
ja,PART,PTKANT,ja,ja
...,PUNCT,$(,...,...
Benedikt,PROPN,NE,Benedikt,Benedikt
sind,AUX,VAFIN,sein,sind
irgendwie,ADV,ADV,irgendwie,irgendwie
etwas,UNK,PTKIFG,etwas,etwas
seltsam,ADJ,ADJD,seltsam,seltsam
aus,PART,PTKVZ,aus,aus
xD,UNK,EMOASC,xD,xD
ich,PRON,PPER,ich,ich
weiß,VERB,VVFIN,wissen,weiß
...,PUNCT,$(,...,...
dabei,ADV,PAV,dabei,dabei
habe,AUX,VAFIN,haben,habe
ich,PRON,PPER,ich,ich
mir,PRON,PRF,sich,mir
voll,UNK,PTKIFG,voll,voll
Mühe,NOUN,NN,Mühe,Mühe
gegeben,VERB,VVPP,geben,gegeben
.,PUNCT,$.,.,.
emojiQpersonFrowning,UNK,EMOIMG,emojiQpersonFrowning,emojiQpersonFrowning
hm,INTJ,ITJ,hm,hm
hm,INTJ,ITJ,hm,hm
:),UNK,EMOASC,:),:)
speckige,ADJ,ADJA,speckig,speckige
Fettfinger,NOUN,NN,Fettfinger,Fettfinger
