token,tag,tag_STTS,lemma_gold,lemma_pred
Mein,DET,PPOSAT,mein,Mein
Papa,NOUN,NN,Papa,Papa
hat,AUX,VAFIN,haben,hat
zwei,NUM,CARD,zwei,zwei
große,ADJ,ADJA,groß,große
Blöcke,NOUN,NN,Block,Blöcke
super,UNK,PTKIFG,super,super
hartes,ADJ,ADJA,hart,hartes
Styropor,NOUN,NN,Styropor,Styropor
und,CONJ,KON,und,und
wir,PRON,PPER,wir,wir
haben,AUX,VAFIN,haben,haben
mal,UNK,PTKMA,mal,mal
das,DET,ART,der,das
teil,NOUN,NN,Teil,teil
daraus,ADV,PAV,daraus,daraus
geschnitzt,VERB,VVPP,schnitzen,geschnitzt
",",PUNCT,"$,",",",","
wo,SCONJ,KOUS,wo,wo
die,DET,ART,der,die
haken,NOUN,NN,Haken,haken
rauskommen,VERB,VVFIN,rauskommen,rauskommen
.,PUNCT,$.,.,.
emojiQsmilingFaceWithOpenMouthAndSmilingEyes,UNK,EMOIMG,emojiQsmilingFaceWithOpenMouthAndSmilingEyes,emojiQsmilingFaceWithOpenMouthAndSmilingEyes
Uuuh,INTJ,ITJ,uh,Uuuh
das,PRON,PDS,der,das
sieht,VERB,VVFIN,sehen,sieht
voll,UNK,PTKIFG,voll,voll
gut,ADJ,ADJD,gut,gut
aus,PART,PTKVZ,aus,aus
*_*,UNK,EMOASC,*_*,*_*
Und,CONJ,KON,und,Und
der,DET,ART,der,der
pilzkopferwin,PROPN,NE,Pilzkopferwin,pilzkopferwin
auch,ADV,ADV,auch,auch
xD,UNK,EMOASC,xD,xD
Nadine,PROPN,NE,Nadine,Nadine
bestellt,VERB,VVFIN,bestellen,bestellt
sich,PRON,PRF,sich,sich
jetzt,ADV,ADV,jetzt,jetzt
nen,DET,ART,ein,nen
Styroporschneider,NOUN,NN,Styroporschneider,Styroporschneider
für,ADP,APPR,für,für
die,DET,ART,der,die
Grigfe,NOUN,NN,Griff,Grigfe
und,CONJ,KON,und,und
macht,VERB,VVFIN,machen,macht
nen,DET,ART,ein,nen
Prototyp,NOUN,NN,Prototyp,Prototyp
.,PUNCT,$.,.,.
emojiQsmilingFaceWithSmilingEyes,UNK,EMOIMG,emojiQsmilingFaceWithSmilingEyes,emojiQsmilingFaceWithSmilingEyes
und,CONJ,KON,und,und
den,DET,ART,der,den
perfekten,ADJ,ADJA,perfekt,perfekten
Lack,NOUN,NN,Lack,Lack
für,ADP,APPR,für,für
die,DET,ART,der,die
Klingen,NOUN,NN,Klinge,Klingen
hab,AUX,VAFIN,haben,hab
ich,PRON,PPER,ich,ich
auch,ADV,ADV,auch,auch
schon,ADV,ADV,schon,schon
gefunden,VERB,VVPP,finden,gefunden
.,PUNCT,$.,.,.
Müssen,VERB,VMFIN,müssen,Müssen
uns,PRON,PRF,sich,uns
bald,ADV,ADV,bald,bald
mal,UNK,PTKMA,mal,mal
wieder,ADV,ADV,wieder,wieder
treffen,VERB,VVINF,treffen,treffen
.,PUNCT,$.,.,.
emojiQkissingCatFaceWithClosedEyes,UNK,EMOIMG,emojiQkissingCatFaceWithClosedEyes,emojiQkissingCatFaceWithClosedEyes
Au,INTJ,ITJ,au,Au
ja,PART,PTKANT,ja,ja
!,PUNCT,$.,!,!
:),UNK,EMOASC,:),:)
unbedingt,ADJ,ADJD,unbedingt,unbedingt
!,PUNCT,$.,!,!
*_*,UNK,EMOASC,*_*,*_*
Dann,ADV,ADV,dann,Dann
kann,VERB,VMFIN,können,kann
ich,PRON,PPER,ich,ich
dir,PRON,PPER,dir,dir
alles,PRON,PIS,alle,alles
zeigen,VERB,VVINF,zeigen,zeigen
.,PUNCT,$.,.,.
Man,INTJ,ITJ,Mann,Man
ich,PRON,PPER,ich,ich
bin,AUX,VAFIN,sein,bin
schon,ADV,ADV,schon,schon
so,UNK,PTKIFG,so,so
aufgeregt,ADJ,ADJD,aufgeregt,aufgeregt
.,PUNCT,$.,.,.
emojiQflushedFace,UNK,EMOIMG,emojiQflushedFace,emojiQflushedFace
Jaaaa,PART,PTKANT,ja,Jaaaa
!,PUNCT,$.,!,!
Hehe,INTJ,ITJ,hehe,Hehe
ich,PRON,PPER,ich,ich
auch,ADV,ADV,auch,auch
xD,UNK,EMOASC,xD,xD
Das,PRON,PDS,der,Das
wird,AUX,VAFIN,werden,wird
so,UNK,PTKIFG,so,so
gut,ADJ,ADJD,gut,gut
.,PUNCT,$.,.,.
emojiQsmilingCatFaceWithHeartShapedEyes,UNK,EMOIMG,emojiQsmilingCatFaceWithHeartShapedEyes,emojiQsmilingCatFaceWithHeartShapedEyes
Jaa,PART,PTKANT,ja,Jaa
auf,ADP,APPR,auf,auf
jedenfall,NOUN,NN,Jedenfall,jedenfall
!,PUNCT,$.,!,!
:),UNK,EMOASC,:),:)
Und,CONJ,KON,und,Und
Sushi,NOUN,NN,Sushi,Sushi
müssen,VERB,VMFIN,müssen,müssen
wir,PRON,PPER,wir,wir
auch,ADV,ADV,auch,auch
mal,UNK,PTKMA,mal,mal
wieder,ADV,ADV,wieder,wieder
essen,VERB,VVINF,essen,essen
gehen,VERB,VVINF,gehen,gehen
.,PUNCT,$.,.,.
Hehe,INTJ,ITJ,hehe,Hehe
:),UNK,EMOASC,:),:)
das,PRON,PDS,der,das
klingt,VERB,VVFIN,klingen,klingt
gut,ADJ,ADJD,gut,gut
auch,ADV,ADV,auch,auch
wenn,SCONJ,KOUS,wenn,wenn
ich,PRON,PPER,ich,ich
schon,UNK,PTKMA,schon,schon
voll,UNK,PTKIFG,voll,voll
pleite,ADV,ADV,pleite,pleite
bin,AUX,VAFIN,sein,bin
xD,UNK,EMOASC,xD,xD
Ich,PRON,PPER,ich,Ich
doch,UNK,PTKMA,doch,doch
auch,ADV,ADV,auch,auch
.,PUNCT,$.,.,.
XD,UNK,EMOASC,XD,XD
XD,UNK,EMOASC,XD,XD
Ahahahaha,INTJ,ITJ,ahahahaha,Ahahahaha
!,PUNCT,$.,!,!
Wie,UNK,PTKIFG,wie,Wie
herrlich,ADJ,ADJD,herrlich,herrlich
!,PUNCT,$.,!,!
XD,UNK,EMOASC,XD,XD
Der,PRON,PDS,der,Der
hat,AUX,VAFIN,haben,hat
soviel,DET,PIAT,sovieler,soviel
Potenzial,NOUN,NN,Potenzial,Potenzial
.,PUNCT,$.,.,.
Ooh,INTJ,ITJ,oh,Ooh
mann,NOUN,NN,Mann,mann
",",PUNCT,"$,",",",","
wie,UNK,PTKIFG,wie,wie
herrlich,ADJ,ADJD,herrlich,herrlich
!,PUNCT,$.,!,!
Ich,PRON,PPER,ich,Ich
liebe,VERB,VVFIN,lieben,liebe
dich,PRON,PPER,dich,dich
dafür,ADV,PAV,dafür,dafür
!,PUNCT,$.,!,!
XD,UNK,EMOASC,XD,XD
XD,UNK,EMOASC,XD,XD
ooh,INTJ,ITJ,ooh,ooh
mann,NOUN,NN,Mann,mann
!,PUNCT,$.,!,!
Oha,INTJ,ITJ,oha,Oha
",",PUNCT,"$,",",",","
gryffindor,PROPN,NE,Gryffindor,gryffindor
?,PUNCT,$.,?,?
XD,UNK,EMOASC,XD,XD
XD,UNK,EMOASC,XD,XD
du,PRON,PPER,du,du
killst,VERB,VVFIN,killen,killst
mich,PRON,PPER,mich,mich
!,PUNCT,$.,!,!
Soooo,UNK,PTKIFG,so,Soooo
herrlich,ADJ,ADJD,herrlich,herrlich
xDD,UNK,EMOASC,xDD,xDD
Das,PRON,PDS,der,Das
macht,VERB,VVFIN,machen,macht
so,ADV,ADV,so,so
Spaß,NOUN,NN,Spaß,Spaß
.,PUNCT,$.,.,.
emojiQcatFaceWithWrySmile,UNK,EMOIMG,emojiQcatFaceWithWrySmile,emojiQcatFaceWithWrySmile
Uuuuh,INTJ,ITJ,uh,Uuuuh
xD,UNK,EMOASC,xD,xD
jaa,PART,PTKANT,ja,jaa
!,PUNCT,$.,!,!
Ich,PRON,PPER,ich,Ich
denk,VERB,VVFIN,denken,denk
mir,PRON,PRF,sich,mir
heute,ADV,ADV,heute,heute
sicher,ADJ,ADJD,sicher,sicher
noch,UNK,PTKMA,noch,noch
mehr,PRON,PIS,mehr,mehr
machen,VERB,VVFIN,machen,machen
.,PUNCT,$.,.,.
emojiQkissingCatFaceWithClosedEyes,UNK,EMOIMG,emojiQkissingCatFaceWithClosedEyes,emojiQkissingCatFaceWithClosedEyes
Ich,PRON,PPER,ich,Ich
glaube,VERB,VVFIN,glauben,glaube
",",PUNCT,"$,",",",","
ich,PRON,PPER,ich,ich
bleibe,VERB,VVFIN,bleiben,bleibe
bei,ADP,APPR,bei,bei
Janosch,PROPN,NE,Janosch,Janosch
.,PUNCT,$.,.,.
emojiQpersonFrowning,UNK,EMOIMG,emojiQpersonFrowning,emojiQpersonFrowning
Ja,PART,PTKANT,ja,Ja
...,PUNCT,$(,...,...
benedikt,PROPN,NE,Benedikt,benedikt
sind,AUX,VAFIN,sein,sind
irgendwie,ADV,ADV,irgendwie,irgendwie
etwas,UNK,PTKIFG,etwas,etwas
seltsam,ADJ,ADJD,seltsam,seltsam
aus,PART,PTKVZ,aus,aus
xD,UNK,EMOASC,xD,xD
Ich,PRON,PPER,ich,Ich
weiß,VERB,VVFIN,wissen,weiß
...,PUNCT,$(,...,...
dabei,ADV,PAV,dabei,dabei
hab,AUX,VAFIN,haben,hab
ich,PRON,PPER,ich,ich
mit,PRON,PRF,sich,mit
voll,UNK,PTKIFG,voll,voll
Mühe,NOUN,NN,Mühe,Mühe
gegeben,VERB,VVPP,geben,gegeben
.,PUNCT,$.,.,.
emojiQpersonFrowning,UNK,EMOIMG,emojiQpersonFrowning,emojiQpersonFrowning
Hm,INTJ,ITJ,hm,Hm
hm,INTJ,ITJ,hm,hm
:),UNK,EMOASC,:),:)
