token,tag,tag_STTS,lemma_gold,lemma_pred
Jemand,PRON,PIS,jemand,Jemand
",",PUNCT,"$,",",",","
der,PRON,PRELS,der,der
Lieder,NOUN,NN,Lied,Lieder
schreibt,VERB,VVFIN,schreiben,schreibt
",",PUNCT,"$,",",",","
ist,AUX,VAFIN,sein,ist
gemäß,ADP,APPR,gemäß,gemäß
meinem,DET,PPOSAT,mein,meinem
Sprachverständnis,NOUN,NN,Sprachverständnis,Sprachverständnis
ein,DET,ART,ein,ein
Liedschreiber,NOUN,NN,Liedschreiber,Liedschreiber
.,PUNCT,$.,.,.
Wieso,ADV,PWAV,wieso,Wieso
das,PRON,PDS,der,das
weniger,DET,PIAT,weniger,weniger
deutsch,ADJ,ADJD,deutsch,deutsch
sein,AUX,VAINF,sein,sein
soll,VERB,VMFIN,sollen,soll
als,CONJ,KOKOM,als,als
"""",PUNCT,$(,"""",""""
Songautor,NOUN,NN,Songautor,Songautor
"""",PUNCT,$(,"""",""""
",",PUNCT,"$,",",",","
müsstest,VERB,VMFIN,müssen,müsstest
du,PRON,PPER,du,du
mir,PRON,PPER,mir,mir
dann,ADV,ADV,dann,dann
noch,ADV,ADV,noch,noch
erläutern,VERB,VVINF,erläutern,erläutern
.,PUNCT,$.,.,.
Schreibe,VERB,VVFIN,schreiben,Schreibe
ich,PRON,PPER,ich,ich
einen,DET,ART,ein,einen
Ssssssong,NOUN,NN,Song,Ssssssong
",",PUNCT,"$,",",",","
so,ADV,ADV,so,so
schreibe,VERB,VVFIN,schreiben,schreibe
ich,PRON,PPER,ich,ich
nichts,DET,PIAT,nichts,nichts
anderes,PRON,PIS,anderer,anderes
als,ADP,APPR,als,als
ein,DET,ART,ein,ein
Lied,NOUN,NN,Lied,Lied
.,PUNCT,$.,.,.
Ich,PRON,PPER,ich,Ich
hab,AUX,VAFIN,haben,hab
mal,UNK,PTKMA,mal,mal
im,ADP,APPRART,in,im
Duden,PROPN,NE,Duden,Duden
nachgesehen,VERB,VVPP,nachsehen,nachgesehen
(,PUNCT,$(,(,(
24.,ADJ,ADJA,24.,24.
Auflage,NOUN,NN,Auflage,Auflage
",",PUNCT,"$,",",",","
2006,NUM,CARD,2006,2006
),PUNCT,$(,),)
:,PUNCT,$.,:,:
„,PUNCT,$(,„,„
Liedschreiber,NOUN,NN,Liedschreiber,Liedschreiber
“,PUNCT,$(,“,“
gibt,VERB,VVFIN,geben,gibt
es,PRON,PPER,es,es
nicht,PART,PTKNEG,nicht,nicht
",",PUNCT,"$,",",",","
dafür,ADV,PAV,dafür,dafür
aber,ADV,ADV,aber,aber
„,PUNCT,$(,„,„
Songwriter,NOUN,NN,Songwriter,Songwriter
“,PUNCT,$(,“,“
.,PUNCT,$.,.,.
Ich,PRON,PPER,ich,Ich
verbessere,VERB,VVFIN,verbessern,verbessere
entsprechend,ADJ,ADJD,entsprechend,entsprechend
.,PUNCT,$.,.,.
Gruß,NOUN,NN,Gruß,Gruß
",",PUNCT,"$,",",",","
Solange,SCONJ,KOUS,solange,Solange
keine,DET,PIAT,kein,keine
zuverlässige,ADJ,ADJA,zuverlässig,zuverlässige
Informationsquelle,NOUN,NN,Informationsquelle,Informationsquelle
vorliegt,VERB,VVFIN,vorliegen,vorliegt
",",PUNCT,"$,",",",","
die,PRON,PRELS,der,die
Lou,PROPN,NE,Lou,Lou
Reed,PROPN,NE,Reed,Reed
als,CONJ,KOKOM,als,als
„,PUNCT,$(,„,„
Liedschreiber,NOUN,NN,Liedschreiber,Liedschreiber
“,PUNCT,$(,“,“
bezeichnet,VERB,VVFIN,bezeichnen,bezeichnet
(,PUNCT,$(,(,(
ein,DET,ART,ein,ein
Begriff,NOUN,NN,Begriff,Begriff
",",PUNCT,"$,",",",","
den,PRON,PRELS,der,den
der,DET,ART,der,der
Duden,PROPN,NE,Duden,Duden
wiegesagt,INTJ,ITJ,wiegesagt,wiegesagt
nicht,PART,PTKNEG,nicht,nicht
kennt,VERB,VVFIN,kennen,kennt
),PUNCT,$(,),)
",",PUNCT,"$,",",",","
sollten,VERB,VMFIN,sollen,sollten
wir,PRON,PPER,wir,wir
ihn,PRON,PPER,ihn,ihn
nicht,PART,PTKNEG,nicht,nicht
verwenden,VERB,VVINF,verwenden,verwenden
.,PUNCT,$.,.,.
Die,DET,ART,der,Die
Konnoation,NOUN,NN,Konnotation,Konnoation
ist,AUX,VAFIN,sein,ist
eben,UNK,PTKMA,eben,eben
eine,DET,ART,ein,eine
andere,DET,PIAT,anderer,andere
als,CONJ,KOKOM,als,als
bei,ADP,APPR,bei,bei
Songwriter,NOUN,NN,Songwriter,Songwriter
.,PUNCT,$.,.,.
Habe,AUX,VAFIN,haben,Habe
den,DET,ART,der,den
Artikel,NOUN,NN,Artikel,Artikel
zufällig,ADJ,ADJD,zufällig,zufällig
auf,ADP,APPR,auf,auf
meiner,DET,PPOSAT,mein,meiner
Beobachtungsliste,NOUN,NN,Beobachtungsliste,Beobachtungsliste
und,CONJ,KON,und,und
wundere,VERB,VVFIN,wundern,wundere
mich,PRON,PRF,sich,mich
über,ADP,APPR,über,über
die,DET,ART,der,die
Begriffsverkrampfung,NOUN,NN,Begriffsverkrampfung,Begriffsverkrampfung
.,PUNCT,$.,.,.
Also,ADV,ADV,also,Also
"""",PUNCT,$(,"""",""""
Liedschreiber,NOUN,NN,Liedschreiber,Liedschreiber
"""",PUNCT,$(,"""",""""
liest,VERB,VVFIN,lesen,liest
sich,PRON,PRF,sich,sich
schon,UNK,PTKMA,schon,schon
arg,UNK,PTKIFG,arg,arg
reaktionär,ADJ,ADJD,reaktionär,reaktionär
.,PUNCT,$.,.,.
Warum,ADV,PWAV,warum,Warum
nicht,PART,PTKNEG,nicht,nicht
den,DET,ART,der,den
allgemein,ADJ,ADJD,allgemein,allgemein
geläufigen,ADJ,ADJA,geläufig,geläufigen
Anglizismus,NOUN,NN,Anglizismus,Anglizismus
"""",PUNCT,$(,"""",""""
Songwriting,NOUN,NN,Songwriting,Songwriting
"""",PUNCT,$(,"""",""""
akzeptieren,VERB,VVINF,akzeptieren,akzeptieren
?,PUNCT,$.,?,?
Songwriting,NOUN,NN,Songwriting,Songwriting
kann,VERB,VMFIN,können,kann
der,DET,ART,der,der
moderne,ADJ,ADJA,modern,moderne
",",PUNCT,"$,",",",","
an,ADP,APPR,an,an
Popularmusik,NOUN,NN,Popularmusik,Popularmusik
interessierte,ADJ,ADJA,interessiert,interessierte
Mensch,NOUN,NN,Mensch,Mensch
übrigens,ADV,ADV,übrigens,übrigens
sogar,UNK,PTKIFG,sogar,sogar
an,ADP,APPR,an,an
deutschen,ADJ,ADJA,deutsch,deutschen
Universitäten,NOUN,NN,Universität,Universitäten
erlernen,VERB,VVINF,erlernen,erlernen
",",PUNCT,"$,",",",","
z.,ADP,APPRART,z.,z.
B.,NOUN,NN,B.,B.
an,ADP,APPR,an,an
der,DET,ART,der,der
MH,NOUN,NN,MH,MH
Stuttgart,PROPN,NE,Stuttgart,Stuttgart
.,PUNCT,$.,.,.
Und,CONJ,KON,und,Und
das,DET,ART,der,das
Wiki-Lemma,NOUN,NN,Wiki-Lemma,Wiki-Lemma
lautet,VERB,VVFIN,lauten,lautet
ebenso,ADV,ADV,ebenso,ebenso
.,PUNCT,$.,.,.
Habe,AUX,VAFIN,haben,Habe
die,DET,ART,der,die
Ehre,NOUN,NN,Ehre,Ehre
",",PUNCT,"$,",",",","
Wer,PRON,PWS,wer,Wer
daraus,ADV,PAV,daraus,daraus
nen,DET,ART,ein,nen
Drama,NOUN,NN,Drama,Drama
macht,VERB,VVFIN,machen,macht
",",PUNCT,"$,",",",","
ist,AUX,VAFIN,sein,ist
wie,CONJ,KOKOM,wie,wie
immer,ADV,ADV,immer,immer
Phi,PROPN,NE,Phi,Phi
-,PUNCT,$(,-,-
sie,PRON,PPER,sie,sie
kanns,UNK,VMPPER,können,kanns
einfach,ADJ,ADJD,einfach,einfach
nicht,PART,PTKNEG,nicht,nicht
lassen,VERB,VVINF,lassen,lassen
.,PUNCT,$.,.,.
Wenn,SCONJ,KOUS,wenn,Wenn
songwriting,NOUN,NN,Songwriting,songwriting
auf,ADP,APPR,auf,auf
engl.,ADJ,ADJA,englisch,engl.
Liedschreiberei,NOUN,NN,Liedschreiberei,Liedschreiberei
verweist,VERB,VVFIN,verweisen,verweist
",",PUNCT,"$,",",",","
ist,AUX,VAFIN,sein,ist
diese,DET,PDAT,dieser,diese
Diskussion,NOUN,NN,Diskussion,Diskussion
mal,UNK,PTKMA,mal,mal
wieder,ADV,ADV,wieder,wieder
völlig,UNK,PTKIFG,völlig,völlig
sinnlos,ADJ,ADJD,sinnlos,sinnlos
.,PUNCT,$.,.,.
Bewegen,VERB,VVFIN,bewegen,Bewegen
wir,PRON,PPER,wir,wir
uns,PRON,PRF,sich,uns
hier,ADV,ADV,hier,hier
in,ADP,APPR,in,in
