token,tag,tag_STTS,lemma_gold,lemma_pred
das,DET,ART,der,das
Vokabular,NOUN,NN,Vokabular,Vokabular
des,DET,ART,der,des
Esperanto,PROPN,NE,Esperanto,Esperanto
besteht,VERB,VVFIN,bestehen,besteht
zum,ADP,APPRART,zu,zum
großen,ADJ,ADJA,groß,großen
Teil,NOUN,NN,Teil,Teil
aus,ADP,APPR,aus,aus
Entlehnungen,NOUN,NN,Entlehnung,Entlehnungen
aus,ADP,APPR,aus,aus
romanischen,ADJ,ADJA,romanisch,romanischen
Sprachen,NOUN,NN,Sprache,Sprachen
",",PUNCT,"$,",",",","
ein,DET,ART,ein,ein
Teil,NOUN,NN,Teil,Teil
lässt,VERB,VVFIN,lassen,lässt
sich,PRON,PRF,sich,sich
aber,ADV,ADV,aber,aber
auch,ADV,ADV,auch,auch
auf,ADP,APPR,auf,auf
germanische,ADJ,ADJA,germanisch,germanische
und,CONJ,KON,und,und
slawische,ADJ,ADJA,slawisch,slawische
Ursprünge,NOUN,NN,Ursprung,Ursprünge
zurückführen,VERB,VVINF,zurückführen,zurückführen
.,PUNCT,$.,.,.
zur,ADP,APPRART,zu,zur
leichten,ADJ,ADJA,leicht,leichten
Erlernbarkeit,NOUN,NN,Erlernbarkeit,Erlernbarkeit
setze,VERB,VVFIN,setzen,setze
Zamenhof,PROPN,NE,Zamenhof,Zamenhof
auf,ADP,APPR,auf,auf
strenge,ADJ,ADJA,streng,strenge
Regularitäten,NOUN,NN,Regularität,Regularitäten
",",PUNCT,"$,",",",","
z.,ADP,APPRART,z.,z.
B.,NOUN,NN,B.,B.
eine,DET,ART,ein,eine
phonematische,ADJ,ADJA,phonematisch,phonematische
Schriftweise,NOUN,NN,Schriftweise,Schriftweise
(,PUNCT,$(,(,(
jedem,DET,PIAT,jeder,jedem
Laut,NOUN,NN,Laut,Laut
wird,AUX,VAFIN,werden,wird
genau,ADJ,ADJD,genau,genau
ein,NUM,CARD,ein,ein
Schriftzeichen,NOUN,NN,Schriftzeichen,Schriftzeichen
zugeordnet,VERB,VVPP,zuordnen,zugeordnet
bzw.,CONJ,KON,bzw.,bzw.
linguistisch,ADJ,ADJD,linguistisch,linguistisch
korrekt,ADJ,ADJD,korrekt,korrekt
:,PUNCT,$.,:,:
jedem,DET,PIAT,jeder,jedem
Phonem,NOUN,NN,Phonem,Phonem
entspricht,VERB,VVFIN,entsprechen,entspricht
genau,ADJ,ADJD,genau,genau
ein,NUM,CARD,ein,ein
Graphem,NOUN,NN,Graphem,Graphem
),PUNCT,$(,),)
;,PUNCT,$.,;,;
die,DET,ART,der,die
Wortbildung,NOUN,NN,Wortbildung,Wortbildung
ist,AUX,VAFIN,sein,ist
an,ADP,APPR,an,an
agglutinierende,ADJ,ADJA,agglutinierend,agglutinierende
Sprachen,NOUN,NN,Sprache,Sprachen
(,PUNCT,$(,(,(
z.,ADP,APPRART,z.,z.
B.,NOUN,NN,B.,B.
Türkisch,NOUN,NN,Türkisch,Türkisch
),PUNCT,$(,),)
angelehnt,ADJ,ADJD,anlehnen,angelehnt
",",PUNCT,"$,",",",","
wo,ADV,PWAV,wo,wo
Sinneinheiten,NOUN,NN,Sinneinheit,Sinneinheiten
(,PUNCT,$(,(,(
linguistisch,ADJ,ADJD,linguistisch,linguistisch
:,PUNCT,$.,:,:
sprachlichen,ADJ,ADJA,sprachlich,sprachlichen
Konzepten,NOUN,NN,Konzept,Konzepten
),PUNCT,$(,),)
eindeutige,ADJ,ADJA,eindeutig,eindeutige
Wortbestandteile,NOUN,NN,Wortbestandteil,Wortbestandteile
(,PUNCT,$(,(,(
linguistisch,ADJ,ADJD,linguistisch,linguistisch
:,PUNCT,$.,:,:
Morpheme,NOUN,NN,Morphem,Morpheme
),PUNCT,$(,),)
zugeordnet,VERB,VVPP,zuordnen,zugeordnet
sind,AUX,VAFIN,sein,sind
.,PUNCT,$.,.,.
so,ADV,ADV,so,so
ist,AUX,VAFIN,sein,ist
ein,DET,ART,ein,ein
Wort,NOUN,NN,Wort,Wort
",",PUNCT,"$,",",",","
das,PRON,PRELS,der,das
auf,ADP,APPR,auf,auf
-o,X,XY,-o,-o
endet,VERB,VVFIN,enden,endet
",",PUNCT,"$,",",",","
immer,ADV,ADV,immer,immer
ein,DET,ART,ein,ein
Substantiv,NOUN,NN,Substantiv,Substantiv
",",PUNCT,"$,",",",","
eines,PRON,PIS,einer,eines
auf,ADP,APPR,auf,auf
-a,X,XY,-a,-a
immer,ADV,ADV,immer,immer
ein,DET,ART,ein,ein
Adjektiv,NOUN,NN,Adjektiv,Adjektiv
.,PUNCT,$.,.,.
durch,ADP,APPR,durch,durch
Anhängen,NOUN,NN,anhängen,Anhängen
von,ADP,APPR,von,von
-j,X,XY,-j,-j
kann,VERB,VMFIN,können,kann
man,PRON,PIS,man,man
den,DET,ART,der,den
Plural,NOUN,NN,Plural,Plural
bilden,VERB,VVINF,bilden,bilden
",",PUNCT,"$,",",",","
durch,ADP,APPR,durch,durch
Vorsetzen,NOUN,NN,vorsetzen,Vorsetzen
von,ADP,APPR,von,von
mal-,X,TRUNC,mal,mal-
verneinen,VERB,VVINF,verneinen,verneinen
:,PUNCT,$.,:,:
bela,X,FM,bela,bela
blogo,X,FM,blogo,blogo
–,PUNCT,$(,–,–
der,DET,ART,der,der
schöne,ADJ,ADJA,schön,schöne
