token,tag,tag_STTS,lemma_gold,lemma_pred
Von,ADP,``,von,Von
Anbeginn,NOUN,DT,Anbeginn,Anbeginn
Biß,NOUN,NN,Biß,Biß
Dato,PROPN,DT,Dato,Dato
hin,PART,JJ,hin,hin
/,PUNCT,NN,/,/
Täte,NOUN,VBC,Täte,Täte
man,PRON,IN,man,man
den,DET,DT,d,den
Adel,NOUN,JJ,Adel,Adel
achten,VERB,NN,achten,achten
",",PUNCT,JJ,",",","
In,ADP,",",in,In
diesem,DET,DT,dies,diesem
Land,NOUN,JJ,Land,Land
Ei,INTJ,NN,Ei,Ei
p',ADJ,RB,p',p'
fuch,NOUN,RB,fuch,fuch
der,DET,'',d,der
Schand,NOUN,",",Schand,Schand
Tut,PROPN,VBC,Tut,Tut
man,PRON,NNP,man,man
ihn,PRON,NN,er,ihn
gar,ADV,NNP,gar,gar
verachten,VERB,NNP,verachten,verachten
Täte,NOUN,,Täte,Täte
dies,PRON,APPR,dies,dies
nur,ADV,ART,nur,nur
Sin,NOUN,NN,Sin,Sin
/,PUNCT,IN,/,/
Es,PRON,DT,es,Es
ginge,VERB,NN,gehen,ginge
hin,PART,.,hin,hin
/,PUNCT,IN,/,/
Man,PRON,NN,man,Man
nimmt,VERB,",",nehmen,nimmt
ihm,PRON,REL,er,ihm
gar,ADV,NN,gar,gar
die,DET,-,d,die
Würzen,ADJ,NN,Würzen,Würzen
Das,DET,-,d,Das
G',NOUN,NN,G',G'
schlecht,ADJ,IN,schlecht,schlecht
das,DET,DT,d,das
Blut,NOUN,NN,Blut,Blut
/,PUNCT,NN,/,/
Mit,ADP,VBC,mit,Mit
Hab,NOUN,",",Hab,Hab
und,CONJ,VBC,und,und
Gut,ADJ,DT,gut,Gut
/,PUNCT,NN,/,/
Will,VERB,DT,wollen,Will
man,PRON,NN,man,man
zu,ADP,JJ,zu,zu
Boden,NOUN,VB,Boden,Boden
stürzen,VERB,.,stürzen,stürzen
/,PUNCT,IN,/,/
Kein,DET,DTP$,kein,Kein
edles,ADJ,JJ,edel,edles
Haus,NOUN,NN,Haus,Haus
Sich,PRON,,er|es|sie,Sich
schwinget,VERB,APPR,schwinget,schwinget
aus,PART,ART,aus,aus
