token,tag,tag_STTS,lemma_gold,lemma_pred
_,UNK,--,--,_
Um,SCONJ,KOUI,um,Um
sich,PRON,PRF,sich,sich
zu,ADP,APPR,zu,zu
dieser,DET,PDAT,dies,dieser
Behauptung,NOUN,NN,Behauptung,Behauptung
überhaupt,ADV,ADV,überhaupt,überhaupt
zu,PART,PTKZU,zu,zu
verhalten,VERB,VVINF,verhalten,verhalten
",",PUNCT,"$,",",",","
muss,VERB,VMFIN,müssen,muss
man,PRON,PIS,man,man
sich,PRON,PRF,sich,sich
erst,ADV,ADV,erst,erst
überlegen,VERB,VVINF,überlegen,überlegen
:,PUNCT,$.,:,:
_,UNK,--,--,_
"""",PUNCT,$(,"""",""""
Haben,AUX,VAFIN,haben,Haben
Frauen,NOUN,NN,Frau,Frauen
andere,ADJ,ADJA,ander,andere
Interessen,NOUN,NN,Interesse,Interessen
als,CONJ,KOKOM,als,als
Männer,NOUN,NN,Mann,Männer
?,PUNCT,$.,?,?
"""",PUNCT,$(,"""",""""
_,UNK,--,--,_
Ist,AUX,VAFIN,sein,Ist
dies,PRON,PDS,dies,dies
nicht,PART,PTKNEG,nicht,nicht
der,DET,ART,d,der
Fall,NOUN,NN,Fall,Fall
",",PUNCT,"$,",",",","
entfällt,VERB,VVFIN,entfallen,entfällt
die,DET,ART,d,die
Legitimität,NOUN,NN,Legitimität,Legitimität
der,DET,ART,d,der
Frage,NOUN,NN,Frage,Frage
(,PUNCT,$(,(,(
und,CONJ,KON,und,und
des,DET,ART,d,des
Begriffes,NOUN,NN,Begriff,Begriffes
Feminismus,NOUN,NN,Feminismus,Feminismus
),PUNCT,$(,),)
.,PUNCT,$.,.,.
_,UNK,--,--,_
Findet,VERB,VVFIN,finden,Findet
man,PRON,PIS,man,man
",",PUNCT,"$,",",",","
dass,SCONJ,KOUS,dass,dass
Interessen,NOUN,NN,Interesse,Interessen
der,DET,ART,d,der
Frauen,NOUN,NN,Frau,Frauen
sich,PRON,PRF,sich,sich
von,ADP,APPR,von,von
Interessen,NOUN,NN,Interesse,Interessen
der,DET,ART,d,der
Männer,NOUN,NN,Mann,Männer
unterscheiden,VERB,VVINF,unterscheiden,unterscheiden
lassen,VERB,VVFIN,lassen,lassen
",",PUNCT,"$,",",",","
kann,VERB,VMFIN,können,kann
man,PRON,PIS,man,man
mit,ADP,APPR,mit,mit
der,DET,ART,d,der
Frage,NOUN,NN,Frage,Frage
weitergehen,VERB,VVINF,weitergehen,weitergehen
:,PUNCT,$.,:,:
"""",PUNCT,$(,"""",""""
Welches,PRON,PWS,welch,Welches
sind,AUX,VAFIN,sein,sind
die,DET,ART,d,die
Interessen,NOUN,NN,Interesse,Interessen
der,DET,ART,d,der
Frauen,NOUN,NN,Frau,Frauen
?,PUNCT,$.,?,?
"""",PUNCT,$(,"""",""""
_,UNK,--,--,_
Das,PRON,PDS,d,Das
muss,VERB,VMFIN,müssen,muss
abgeklärt,VERB,VVPP,abklären,abgeklärt
werden,AUX,VAINF,werden,werden
",",PUNCT,"$,",",",","
bevor,SCONJ,KOUS,bevor,bevor
man,PRON,PIS,man,man
dazu,ADV,PAV,dazu,dazu
Stellung,NOUN,NN,Stellung,Stellung
nehmen,VERB,VVINF,nehmen,nehmen
kann,VERB,VMFIN,können,kann
",",PUNCT,"$,",",",","
ob,SCONJ,KOUS,ob,ob
Interessen,NOUN,NN,Interesse,Interessen
geschadet,VERB,VVPP,schaden,geschadet
oder,CONJ,KON,oder,oder
diesen,PRON,PDS,dies,diesen
genutzt,VERB,VVPP,nutzen,genutzt
worden,AUX,VAPP,werden,worden
sind,AUX,VAFIN,sein,sind
.,PUNCT,$.,.,.
_,UNK,--,--,_
Erst,ADV,ADV,erst,Erst
kommt,VERB,VVFIN,kommen,kommt
also,ADV,ADV,also,also
:,PUNCT,$.,:,:
_,UNK,--,--,_
Haben,AUX,VAFIN,haben,Haben
Frauen,NOUN,NN,Frau,Frauen
andere,ADJ,ADJA,ander,andere
Interessen,NOUN,NN,Interesse,Interessen
als,CONJ,KOKOM,als,als
Männer,NOUN,NN,Mann,Männer
?,PUNCT,$.,?,?
_,UNK,--,--,_
Ich,PRON,PPER,ich,Ich
gehe,VERB,VVFIN,gehen,gehe
von,ADP,APPR,von,von
der,DET,ART,d,der
Vorstellung,NOUN,NN,Vorstellung,Vorstellung
aus,PART,PTKVZ,aus,aus
",",PUNCT,"$,",",",","
dass,SCONJ,KOUS,dass,dass
Interessen,NOUN,NN,Interesse,Interessen
von,ADP,APPR,von,von
Werten,NOUN,NN,Wert,Werten
abhängig,ADJ,ADJD,abhängig,abhängig
sind,AUX,VAFIN,sein,sind
.,PUNCT,$.,.,.
_,UNK,--,--,_
So,ADV,ADV,so,So
sind,AUX,VAFIN,sein,sind
die,DET,ART,d,die
Interessen,NOUN,NN,Interesse,Interessen
der,DET,ART,d,der
Frauen,NOUN,NN,Frau,Frauen
eine,DET,ART,ein,eine
Widerspiegelung,NOUN,NN,Widerspiegelung,Widerspiegelung
der,DET,ART,d,der
Werte,NOUN,NN,Wert,Werte
der,DET,ART,d,der
Frauen,NOUN,NN,Frau,Frauen
.,PUNCT,$.,.,.
_,UNK,--,--,_
Welche,DET,PWAT,welch,Welche
sich,PRON,PRF,sich,sich
von,ADP,APPR,von,von
männlichen,ADJ,ADJA,männlich,männlichen
Werten,NOUN,NN,Wert,Werten
unterscheidende,ADJ,ADJA,unterscheidend,unterscheidende
Werte,NOUN,NN,Wert,Werte
könnten,VERB,VMFIN,können,könnten
Frauen,NOUN,NN,Frau,Frauen
haben,AUX,VAINF,haben,haben
?,PUNCT,$.,?,?
_,UNK,--,--,_
Überzeugt,VERB,VVPP,überzeugt,Überzeugt
davon,ADV,PAV,davon,davon
",",PUNCT,"$,",",",","
dass,SCONJ,KOUS,dass,dass
es,PRON,PPER,es,es
etwas,PRON,PIS,etwas,etwas
wie,CONJ,KOKOM,wie,wie
universelle,ADJ,ADJA,universell,universelle
",",PUNCT,"$,",",",","
grundlegende,ADJ,ADJA,grundlegend,grundlegende
Werte,NOUN,NN,Wert,Werte
gibt,VERB,VVFIN,geben,gibt
(,PUNCT,$(,(,(
z.,ADP,APPRART,z.,z.
B.,NOUN,NN,B.,B.
