token,tag,tag_STTS,lemma_gold,lemma_pred
_,UNK,--,--,_
Verhaftung,NOUN,NN,Verhaftung,Verhaftung
–,PUNCT,$(,–,–
_,UNK,--,--,_
Gespräch,NOUN,NN,Gespräch,Gespräch
mit,ADP,APPR,mit,mit
Frau,NOUN,NN,Frau,Frau
Grubach,PROPN,NE,Grubach,Grubach
–,PUNCT,$(,–,–
_,UNK,--,--,_
Dann,ADV,ADV,dann,Dann
_,VERB,VVFIN,--,_
Fräulein,NOUN,NN,Fräulein,Fräulein
Bürstner,PROPN,NE,Bürstner,Bürstner
_,UNK,--,--,_
Jemand,PRON,PIS,jemand,Jemand
mußte,VERB,VMFIN,müssen,mußte
Josef,PROPN,NE,Josef,Josef
K.,PROPN,NE,K.,K.
verleumdet,VERB,VVPP,verleumden,verleumdet
haben,AUX,VAFIN,haben,haben
",",PUNCT,"$,",",",","
denn,CONJ,KON,denn,denn
ohne,ADP,APPR,ohne,ohne
daß,SCONJ,KOUS,dass,daß
er,PRON,PPER,er,er
etwas,PRON,PIS,etwas,etwas
Böses,NOUN,NN,Böse,Böses
getan,VERB,VVPP,tun,getan
hätte,AUX,VAFIN,haben,hätte
",",PUNCT,"$,",",",","
wurde,AUX,VAFIN,werden,wurde
er,PRON,PPER,er,er
eines,DET,ART,ein,eines
Morgens,NOUN,NN,Morgen,Morgens
verhaftet,VERB,VVPP,verhaften,verhaftet
.,PUNCT,$.,.,.
_,UNK,--,--,_
Die,DET,ART,d,Die
Köchin,NOUN,NN,Köchin,Köchin
der,DET,ART,d,der
Frau,NOUN,NN,Frau,Frau
Grubach,PROPN,NE,Grubach,Grubach
",",PUNCT,"$,",",",","
seine,DET,PPOSAT,sein,seine
Zimmervermieterin,NOUN,NN,Zimmervermieterin,Zimmervermieterin
",",PUNCT,"$,",",",","
die,PRON,PRELS,d,die
ihm,PRON,PPER,er,ihm
jeden,DET,PIAT,jed,jeden
Tag,NOUN,NN,Tag,Tag
gegen,ADP,APPR,gegen,gegen
acht,NUM,CARD,acht,acht
Uhr,NOUN,NN,Uhr,Uhr
früh,ADJ,ADJD,früh,früh
das,DET,ART,d,das
Frühstück,NOUN,NN,Frühstück,Frühstück
brachte,VERB,VVFIN,bringen,brachte
",",PUNCT,"$,",",",","
kam,VERB,VVFIN,kommen,kam
diesmal,ADV,ADV,diesmal,diesmal
nicht,PART,PTKNEG,nicht,nicht
.,PUNCT,$.,.,.
_,UNK,--,--,_
Das,PRON,PDS,d,Das
war,AUX,VAFIN,sein,war
noch,ADV,ADV,noch,noch
niemals,ADV,ADV,niemals,niemals
geschehen,VERB,VVPP,geschehen,geschehen
.,PUNCT,$.,.,.
_,UNK,--,--,_
K.,PROPN,NE,K.,K.
wartete,VERB,VVFIN,warten,wartete
noch,ADV,ADV,noch,noch
ein,DET,ART,ein,ein
Weilchen,NOUN,NN,Weilchen,Weilchen
",",PUNCT,"$,",",",","
_,PRON,PPER,--,_
sah,VERB,VVFIN,sehen,sah
von,ADP,APPR,von,von
seinem,DET,PPOSAT,sein,seinem
Kopfkissen,NOUN,NN,Kopfkissen,Kopfkissen
aus,ADP,APZR,aus,aus
die,DET,ART,d,die
alte,ADJ,ADJA,alt,alte
Frau,NOUN,NN,Frau,Frau
",",PUNCT,"$,",",",","
die,PRON,PRELS,d,die
ihm,PRON,PPER,er,ihm
gegenüber,ADP,APPO,gegenüber,gegenüber
wohnte,VERB,VVFIN,wohnen,wohnte
und,CONJ,KON,und,und
die,PRON,PRELS,d,die
ihn,PRON,PPER,er,ihn
mit,ADP,APPR,mit,mit
einer,DET,ART,ein,einer
an,ADP,APPR,an,an
ihr,PRON,PPER,er,ihr
ganz,ADV,ADV,ganz,ganz
ungewöhnlichen,ADJ,ADJA,ungewöhnlich,ungewöhnlichen
Neugierde,NOUN,NN,Neugierde,Neugierde
beobachtete,VERB,VVFIN,beobachten,beobachtete
",",PUNCT,"$,",",",","
dann,ADV,ADV,dann,dann
aber,ADV,ADV,aber,aber
",",PUNCT,"$,",",",","
gleichzeitig,ADJ,ADJD,gleichzeitig,gleichzeitig
befremdet,ADJ,ADJD,befremdet,befremdet
und,CONJ,KON,und,und
hungrig,ADJ,ADJD,hungrig,hungrig
",",PUNCT,"$,",",",","
läutete,VERB,VVFIN,läuten,läutete
er,PRON,PPER,er,er
.,PUNCT,$.,.,.
_,UNK,--,--,_
Sofort,ADV,ADV,sofort,Sofort
klopfte,VERB,VVFIN,klopfen,klopfte
es,PRON,PPER,es,es
und,CONJ,KON,und,und
ein,DET,ART,ein,ein
Mann,NOUN,NN,Mann,Mann
",",PUNCT,"$,",",",","
den,PRON,PRELS,d,den
er,PRON,PPER,er,er
in,ADP,APPR,in,in
