token,tag,tag_STTS,lemma_gold,lemma_pred
_,UNK,--,--,_
Veruntreute,VERB,VVFIN,veruntreuen,Veruntreute
die,DET,ART,d,die
AWO,PROPN,NE,AWO,AWO
Spendengeld,NOUN,NN,Spendengeld,Spendengeld
?,PUNCT,$.,?,?
_,UNK,--,--,_
Die,DET,ART,d,Die
Staatsanwaltschaft,NOUN,NN,Staatsanwaltschaft,Staatsanwaltschaft
muss,VERB,VMFIN,müssen,muss
AWO-Konten,NOUN,NN,AWO-Konto,AWO-Konten
prüfen,VERB,VVINF,prüfen,prüfen
.,PUNCT,$.,.,.
_,UNK,--,--,_
Flossen,VERB,VVFIN,fließen,Flossen
165.000,NUM,CARD,165.000,165.000
Mark,NOUN,NN,Mark,Mark
Sammelgelder,NOUN,NN,Sammelgeld,Sammelgelder
für,ADP,APPR,für,für
Flutopfer,NOUN,NN,Flutopfer,Flutopfer
in,ADP,APPR,in,in
ein,DET,ART,ein,ein
Altenheim,NOUN,NN,Altenheim,Altenheim
in,ADP,APPR,in,in
Danzig,PROPN,NE,Danzig,Danzig
?,PUNCT,$.,?,?
_,UNK,--,--,_
Landesvorsitzende,NOUN,NN,Landesvorsitzende,Landesvorsitzende
Ute,PROPN,NE,Ute,Ute
Wedemeier,PROPN,NE,Wedemeier,Wedemeier
meint,VERB,VVFIN,meinen,meint
:,PUNCT,$.,:,:
Das,PRON,PDS,d,Das
ist,VERB,VVFIN,sein,ist
ein,DET,ART,ein,ein
Buchungsfehler,NOUN,NN,Buchungsfehler,Buchungsfehler
_,UNK,--,--,_
Im,ADP,APPRART,im,Im
Januar,NOUN,NN,Januar,Januar
hat,AUX,VAFIN,haben,hat
die,DET,ART,d,die
Arbeiterwohlfahrt,PROPN,NE,Arbeiterwohlfahrt,Arbeiterwohlfahrt
Bremen,PROPN,NE,Bremen,Bremen
ihren,DET,PPOSAT,ihr,ihren
langjährigen,ADJ,ADJA,langjährig,langjährigen
Geschäftsführer,NOUN,NN,Geschäftsführer,Geschäftsführer
Hans,PROPN,NE,Hans,Hans
Taake,PROPN,NE,Taake,Taake
fristlos,ADJ,ADJD,fristlos,fristlos
entlassen,VERB,VVPP,entlassen,entlassen
",",PUNCT,"$,",",",","
nun,ADV,ADV,nun,nun
wird,AUX,VAFIN,werden,wird
auch,ADV,ADV,auch,auch
der,DET,ART,d,der
Vorstand,NOUN,NN,Vorstand,Vorstand
der,DET,ART,d,der
Wohlfahrtsorganisation,NOUN,NN,Wohlfahrtsorganisation,Wohlfahrtsorganisation
in,ADP,APPR,in,in
den,DET,ART,d,den
Fall,NOUN,NN,Fall,Fall
hineingezogen,VERB,VVPP,hineinziehen,hineingezogen
.,PUNCT,$.,.,.
_,UNK,--,--,_
In,ADP,APPR,in,In
einer,DET,ART,ein,einer
anonymen,ADJ,ADJA,anonym,anonymen
Anzeige,NOUN,NN,Anzeige,Anzeige
werden,AUX,VAFIN,werden,werden
der,DET,ART,d,der
Bremer,ADJ,ADJA,Bremer,Bremer
Staatsanwaltschaft,NOUN,NN,Staatsanwaltschaft,Staatsanwaltschaft
Details,NOUN,NN,Detail,Details
über,ADP,APPR,über,über
dubiose,ADJ,ADJA,dubios,dubiose
finanzielle,ADJ,ADJA,finanziell,finanzielle
Transaktionen,NOUN,NN,Transaktion,Transaktionen
mitgeteilt,VERB,VVPP,mitteilen,mitgeteilt
.,PUNCT,$.,.,.
_,UNK,--,--,_
Verantwortlich,ADJ,ADJD,verantwortlich,Verantwortlich
",",PUNCT,"$,",",",","
so,ADV,ADV,so,so
lautet,VERB,VVFIN,lauten,lautet
das,DET,ART,d,das
Schreiben,NOUN,NN,Schreiben,Schreiben
einer,DET,ART,ein,einer
Mitarbeiterin,NOUN,NN,Mitarbeiterin,Mitarbeiterin
der,DET,ART,d,der
AWO,PROPN,NE,AWO,AWO
",",PUNCT,"$,",",",","
sei,AUX,VAFIN,sein,sei
die,DET,ART,d,die
Landesvorsitzende,NOUN,NN,Landesvorsitzende,Landesvorsitzende
Ute,PROPN,NE,Ute,Ute
Wedemeier,PROPN,NE,Wedemeier,Wedemeier
",",PUNCT,"$,",",",","
die,PRON,PRELS,d,die
sich,PRON,PRF,sich,sich
jetzt,ADV,ADV,jetzt,jetzt
als,CONJ,KOKOM,als,als
"""",PUNCT,$(,"""",""""
Sauberfrau,NOUN,NN,Sauberfrau,Sauberfrau
"""",PUNCT,$(,"""",""""
gebe,VERB,VVFIN,geben,gebe
",",PUNCT,"$,",",",","
"""",PUNCT,$(,"""",""""
wo,SCONJ,KOUS,wo,wo
doch,ADV,ADV,doch,doch
alle,PRON,PIS,alle,alle
wissen,VERB,VVFIN,wissen,wissen
",",PUNCT,"$,",",",","
wie,ADV,PWAV,wie,wie
eng,ADJ,ADJD,eng,eng
sie,PRON,PPER,sie,sie
mit,ADP,APPR,mit,mit
Taake,PROPN,NE,Taake,Taake
zusammenhing,VERB,VVFIN,zusammenhängen,zusammenhing
"""",PUNCT,$(,"""",""""
.,PUNCT,$.,.,.
_,UNK,--,--,_
Der,DET,ART,d,Der
Vorwurf,NOUN,NN,Vorwurf,Vorwurf
Nummer,NOUN,NN,Nummer,Nummer
1,NUM,CARD,1,1
lautet,VERB,VVFIN,lauten,lautet
:,PUNCT,$.,:,:
165.000,NUM,CARD,165.000,165.000
Mark,NOUN,NN,Mark,Mark
aus,ADP,APPR,aus,aus
der,DET,ART,d,der
bundesweiten,ADJ,ADJA,bundesweit,bundesweiten
Geldsammlung,NOUN,NN,Geldsammlung,Geldsammlung
für,ADP,APPR,für,für
die,DET,ART,d,die
Flutopfer,NOUN,NN,Flutopfer,Flutopfer
in,ADP,APPR,in,in
Südpolen,NOUN,NN,Südpolen,Südpolen
seien,AUX,VAFIN,sein,seien
über,ADP,APPR,über,über
das,DET,ART,d,das
Konto,NOUN,NN,Konto,Konto
des,DET,ART,d,des
Bremer,ADJ,ADJA,Bremer,Bremer
Landesverbandes,NOUN,NN,Landesverband,Landesverbandes
der,DET,ART,d,der
AWO,PROPN,NE,AWO,AWO
an,ADP,APPR,an,an
die,DET,ART,d,die
Caritas,PROPN,NE,Caritas,Caritas
in,ADP,APPR,in,in
Danzig,PROPN,NE,Danzig,Danzig
geflossen,VERB,VVPP,fließen,geflossen
",",PUNCT,"$,",",",","
"""",PUNCT,$(,"""",""""
damit,SCONJ,KOUS,damit,damit
dort,ADV,ADV,dort,dort
ein,DET,ART,ein,ein
Altenheim,NOUN,NN,Altenheim,Altenheim
gebaut,VERB,VVPP,bauen,gebaut
wird,AUX,VAFIN,werden,wird
"""",PUNCT,$(,"""",""""
.,PUNCT,$.,.,.
_,UNK,--,--,_
Das,DET,ART,d,Das
Altenheim,NOUN,NN,Altenheim,Altenheim
sei,AUX,VAFIN,sein,sei
"""",PUNCT,$(,"""",""""
ein,DET,ART,ein,ein
Prestigeobjekt,NOUN,NN,Prestigeobjekt,Prestigeobjekt
von,ADP,APPR,von,von
ihr,PRON,PPER,sie,ihr
und,CONJ,KON,und,und
anderen,PRON,PIS,ander,anderen
"""",PUNCT,$(,"""",""""
.,PUNCT,$.,.,.
_,UNK,--,--,_
In,ADP,APPR,in,In
der,DET,ART,d,der
Tat,NOUN,NN,Tat,Tat
sitzt,VERB,VVFIN,sitzen,sitzt
Ute,PROPN,NE,Ute,Ute
Wedemeier,PROPN,NE,Wedemeier,Wedemeier
im,ADP,APPRART,im,im
Kuratorium,NOUN,NN,Kuratorium,Kuratorium
für,ADP,APPR,für,für
das,DET,ART,d,das
Altenheim,NOUN,NN,Altenheim,Altenheim
",",PUNCT,"$,",",",","
eine,DET,ART,ein,eine
derartige,ADJ,ADJA,derartig,derartige
Umleitung,NOUN,NN,Umleitung,Umleitung
von,ADP,APPR,von,von
Geldern,NOUN,NN,Geld,Geldern
habe,AUX,VAFIN,haben,habe
es,PRON,PPER,es,es
aber,ADV,ADV,aber,aber
nicht,PART,PTKNEG,nicht,nicht
gegeben,VERB,VVPP,geben,gegeben
",",PUNCT,"$,",",",","
sagt,VERB,VVFIN,sagen,sagt
sie,PRON,PPER,sie,sie
.,PUNCT,$.,.,.
_,UNK,--,--,_
"""",PUNCT,$(,"""",""""
Wenn,SCONJ,KOUS,wenn,Wenn
da,ADV,ADV,da,da
etwas,PRON,PIS,etwas,etwas
gebucht,VERB,VVPP,buchen,gebucht
worden,AUX,VAPP,werden,worden
ist,AUX,VAFIN,sein,ist
",",PUNCT,"$,",",",","
dann,ADV,ADV,dann,dann
ist,AUX,VAFIN,sein,ist
das,PRON,PDS,d,das
nicht,PART,PTKNEG,nicht,nicht
in,ADP,APPR,in,in
Ordnung,NOUN,NN,Ordnung,Ordnung
"""",PUNCT,$(,"""",""""
-,PUNCT,$(,-,-
höchstens,ADV,ADV,höchstens,höchstens
einen,DET,ART,ein,einen
Buchungsfehler,NOUN,NN,Buchungsfehler,Buchungsfehler
kann,VERB,VMFIN,können,kann
sie,PRON,PPER,sie,sie
sich,PRON,PRF,sich,sich
vorstellen,VERB,VVINF,vorstellen,vorstellen
.,PUNCT,$.,.,.
_,UNK,--,--,_
Volker,PROPN,NE,Volker,Volker
Tegeler,PROPN,NE,Tegeler,Tegeler
",",PUNCT,"$,",",",","
stellvertretender,ADJ,ADJA,stellvertretend,stellvertretender
Geschäftsführer,NOUN,NN,Geschäftsführer,Geschäftsführer
des,DET,ART,d,des
Landesverbandes,NOUN,NN,Landesverband,Landesverbandes
",",PUNCT,"$,",",",","
sagt,VERB,VVFIN,sagt,sagt
:,PUNCT,$.,:,:
"""",PUNCT,$(,"""",""""
Es,PRON,PPER,es,Es
gibt,VERB,VVFIN,geben,gibt
so,ADV,ADV,so,so
eine,DET,ART,ein,eine
Buchung,NOUN,NN,Buchung,Buchung
.,PUNCT,$.,.,.
"""",PUNCT,$(,"""",""""
_,UNK,--,--,_
In,ADP,APPR,in,In
einer,DET,ART,ein,einer
internen,ADJ,ADJA,intern,internen
Kontrolle,NOUN,NN,Kontrolle,Kontrolle
nach,ADP,APPR,nach,nach
der,DET,ART,d,der
Kündigung,NOUN,NN,Kündigung,Kündigung
von,ADP,APPR,von,von
Taake,PROPN,NE,Taake,Taake
sei,AUX,VAFIN,sein,sei
dies,PRON,PDS,dies,dies
aufgefallen,VERB,VVPP,aufgefallen,aufgefallen
",",PUNCT,"$,",",",","
zur,ADP,APPRART,zur,zur
Aufklärung,NOUN,NN,Aufklärung,Aufklärung
solle,VERB,VMFIN,sollen,solle
ein,DET,ART,ein,ein
externer,ADJ,ADJA,extern,externer
Wirtschaftsprüfer,NOUN,NN,Wirtschaftsprüfer,Wirtschaftsprüfer
beauftragt,VERB,VVPP,beauftragen,beauftragt
werden,AUX,VAINF,werden,werden
.,PUNCT,$.,.,.
_,UNK,--,--,_
Verantwortlich,ADJ,ADJD,verantwortlich,Verantwortlich
für,ADP,APPR,für,für
die,DET,ART,d,die
Finanzen,NOUN,NN,Finanzen,Finanzen
des,DET,ART,d,des
Landesverbandes,NOUN,NN,Landesverband,Landesverbandes
sei,AUX,VAFIN,sein,sei
aber,ADV,ADV,aber,aber
"""",PUNCT,$(,"""",""""
durchgehend,ADV,ADV,durchgehend,durchgehend
Herr,NOUN,NN,Herr,Herr
Taake,PROPN,NE,Taake,Taake
"""",PUNCT,$(,"""",""""
gewesen,AUX,VAPP,sein,gewesen
",",PUNCT,"$,",",",","
sagt,VERB,VVFIN,sagen,sagt
Tegeler,PROPN,NE,Tegeler,Tegeler
.,PUNCT,$.,.,.
_,UNK,--,--,_
Aufgefallen,VERB,VVPP,auffallen,Aufgefallen
bei,ADP,APPR,bei,bei
der,DET,ART,d,der
internen,ADJ,ADJA,intern,internen
