token,tag,tag_STTS,lemma_gold,lemma_pred
Die,DET,ART,der,Die
Zigeuner,NOUN,NN,Zigeuner,Zigeuner
waren,AUX,VAFIN,sein,waren
damals,ADV,ADV,damals,damals
in,ADP,APPR,in,in
der,DET,ART,der,der
Verfolgung,NOUN,NN,Verfolgung,Verfolgung
",",PUNCT,"$,",--,","
welche,PRON,PRELS,welche,welche
die,DET,ART,der,die
vertriebenen,ADJ,ADJA,vertrieben,vertriebenen
Juden,NOUN,NN,Jude,Juden
ihnen,PRON,PPER,ihnen,ihnen
zuzogen,VERB,VVFIN,zuziehen,zuzogen
",",PUNCT,"$,",--,","
die,PRON,PRELS,der,die
sich,PRON,PRF,sich,sich
für,ADP,APPR,für,für
Zigeuner,NOUN,NN,Zigeuner,Zigeuner
ausgaben,VERB,VVFIN,ausgeben,ausgaben
",",PUNCT,"$,",--,","
um,SCONJ,KOUI,um,um
geduldet,VERB,VVPP,dulden,geduldet
zu,PART,PTKZU,zu,zu
werden,AUX,VAFIN,werden,werden
",",PUNCT,"$,",--,","
schon,ADV,ADV,schon,schon
sündlich,ADV,ADV,sündlich,sündlich
verwildert,ADJ,ADJD,verwildert,verwildert
;,PUNCT,$.,--,;
oft,ADV,ADV,oft,oft
hatte,AUX,VAFIN,haben,hatte
Herzog,NOUN,NN,Herzog,Herzog
Michael,PROPN,NE,Michael,Michael
darüber,ADV,PAV,darüber,darüber
geklagt,VERB,VVPP,klagen,geklagt
und,CONJ,KON,und,und
alle,DET,PIAT,alle,alle
seine,DET,PPOSAT,sein,seine
Klugheit,NOUN,NN,Klugheit,Klugheit
angewendet,VERB,VVPP,anwenden,angewendet
",",PUNCT,"$,",--,","
sie,PRON,PPER,sie,sie
aus,ADP,APPR,aus,aus
dieser,DET,PDAT,dieser,dieser
Zerstreuung,NOUN,NN,Zerstreuung,Zerstreuung
nach,ADP,APPR,nach,nach
ihrem,DET,PPOSAT,ihr,ihrem
Vaterlande,NOUN,NN,Vaterland,Vaterlande
zurückzuführen,VERB,VVIZU,zurückführen,zurückzuführen
.,PUNCT,$.,--,.
Ihr,DET,PPOSAT,ihr,Ihr
Gelübde,NOUN,NN,Gelübde,Gelübde
",",PUNCT,"$,",--,","
so,ADV,ADV,so,so
weit,ADJ,ADJA,weit,weit
zu,PART,PTKZU,zu,zu
ziehen,VERB,VVINF,ziehen,ziehen
",",PUNCT,"$,",--,","
als,SCONJ,KOUS,als,als
sie,PRON,PPER,sie,sie
noch,ADV,ADV,noch,noch
Christen,NOUN,NN,Christ,Christen
fänden,VERB,VVFIN,finden,fänden
",",PUNCT,"$,",--,","
war,AUX,VAFIN,sein,war
gelöst,VERB,VVPP,lösen,gelöst
",",PUNCT,"$,",--,","
denn,ADV,ADV,denn,denn
sie,PRON,PPER,sie,sie
waren,AUX,VAFIN,sein,waren
schon,ADV,ADV,schon,schon
aus,ADP,APPR,aus,aus
Spanien,PROPN,NE,Spanien,Spanien
vom,ADP,APPRART,von,vom
Weltmeere,NOUN,NN,Weltmeer,Weltmeere
zurückgekehrt,VERB,VVPP,zurückkehren,zurückgekehrt
;,PUNCT,$.,--,;
nur,ADV,ADV,nur,nur
der,DET,ART,der,der
Wunsch,NOUN,NN,Wunsch,Wunsch
nach,ADP,APPR,nach,nach
der,DET,ART,der,der
neuen,ADJ,ADJA,neu,neuen
Welt,NOUN,NN,Welt,Welt
hielt,VERB,VVFIN,halten,hielt
sie,PRON,PPER,sie,sie
in,ADP,APPR,in,in
der,DET,ART,der,der
alten,ADJ,ADJA,alt,alten
",",PUNCT,"$,",--,","
die,PRON,PRELS,der,die
nur,ADV,ADV,nur,nur
Krieger,NOUN,NN,Krieger,Krieger
",",PUNCT,"$,",--,","
keine,DET,PIAT,kein,keine
Pilger,NOUN,NN,Pilger,Pilger
hinübersetzen,VERB,VVINF,hinübersetzen,hinübersetzen
wollte,VERB,VVFIN,wollen,wollte
.,PUNCT,$.,--,.
Das,DET,ART,der,Das
Zurückführen,NOUN,NN,Zurückführen,Zurückführen
nach,ADP,APPR,nach,nach
Ägypten,PROPN,NE,Ägypten,Ägypten
war,AUX,VAFIN,sein,war
aber,CONJ,KON,aber,aber
bei,ADP,APPR,bei,bei
der,DET,ART,der,der
zunehmenden,ADJ,ADJA,zunehmend,zunehmenden
Türkenmacht,NOUN,NN,Türkenmacht,Türkenmacht
",",PUNCT,"$,",--,","
bei,ADP,APPR,bei,bei
der,DET,ART,der,der
Verfolgung,NOUN,NN,Verfolgung,Verfolgung
überall,ADV,ADV,überall,überall
",",PUNCT,"$,",--,","
bei,ADP,APPR,bei,bei
dem,DET,ART,der,dem
Mangel,NOUN,NN,Mangel,Mangel
an,ADP,APPR,an,an
Gelde,NOUN,NN,Geld,Gelde
unendlich,ADV,ADV,unendlich,unendlich
schwer,ADJ,ADJD,schwer,schwer
.,PUNCT,$.,--,.
Schon,ADV,ADV,schon,Schon
hatte,AUX,VAFIN,haben,hatte
der,DET,ART,der,der
Herzog,NOUN,NN,Herzog,Herzog
",",PUNCT,"$,",--,","
was,PRON,PWS,was,was
sonst,ADV,ADV,sonst,sonst
ihre,DET,PPOSAT,ihr,ihre
Nationalbelustigung,NOUN,NN,Nationalbelustigung,Nationalbelustigung
war,AUX,VAFIN,sein,war
",",PUNCT,"$,",--,","
Proben,NOUN,NN,Probe,Proben
von,ADP,APPR,von,von
Stärke,NOUN,NN,Stärke,Stärke
und,CONJ,KON,und,und
Geschicklichkeit,NOUN,NN,Geschicklichkeit,Geschicklichkeit
(,PUNCT,$(,--,(
wie,CONJ,KOKOM,wie,wie
sie,PRON,PPER,sie,sie
schwere,ADJ,ADJA,schwer,schwere
Tische,NOUN,NN,Tisch,Tische
auf,ADP,APPR,auf,auf
ihren,DET,PPOSAT,ihr,ihren
Zähnen,NOUN,NN,Zahn,Zähnen
im,ADP,APPRART,im,im
Gleichgewichte,NOUN,NN,Gleichgewicht,Gleichgewichte
trugen,VERB,VVFIN,tragen,trugen
",",PUNCT,"$,",--,","
wie,CONJ,KOKOM,wie,wie
sie,PRON,PPER,sie,sie
sich,PRON,PRF,sich,sich
springend,ADJ,ADJD,springend,springend
in,ADP,APPR,in,in
der,DET,ART,der,der
Luft,NOUN,NN,Luft,Luft
überschlugen,VERB,VVFIN,überschlagen,überschlugen
oder,CONJ,KON,oder,oder
auf,ADP,APPR,auf,auf
den,DET,ART,der,den
Händen,NOUN,NN,Hand,Händen
gingen,VERB,VVFIN,gehen,gingen
),PUNCT,$(,--,)
",",PUNCT,"$,",--,","
alles,PRON,PIS,alle,alles
das,PRON,PDS,der,das
",",PUNCT,"$,",--,","
was,PRON,PWS,was,was
sie,PRON,PPER,sie,sie
mit,ADP,APPR,mit,mit
dem,DET,ART,der,dem
Namen,NOUN,NN,Name,Namen
der,DET,ART,der,der
starken,ADJ,ADJA,stark,starken
Mannskünste,NOUN,NN,Mannskunst,Mannskünste
bezeichneten,VERB,VVFIN,bezeichnet,bezeichneten
",",PUNCT,"$,",--,","
zu,ADP,APPR,zu,zu
ihrer,DET,PPOSAT,ihr,ihrer
Erhaltung,NOUN,NN,Erhaltung,Erhaltung
zu,PART,PTKZU,zu,zu
benutzen,VERB,VVINF,benutzen,benutzen
gesucht,VERB,VVPP,suchen,gesucht
",",PUNCT,"$,",--,","
aber,CONJ,KON,aber,aber
von,ADP,APPR,von,von
einem,DET,ART,ein,einem
Gebiete,NOUN,NN,Gebiet,Gebiete
ins,ADP,APPRART,im,ins
andre,NOUN,NN,Andere,andre
zurückgedrängt,VERB,VVPP,zurückdrängen,zurückgedrängt
",",PUNCT,"$,",--,","
erschöpften,ADJ,ADJA,erschöpfen,erschöpften
sich,PRON,PRF,sich,sich
diese,DET,PDAT,dieser,diese
Erwerbsquellen,NOUN,NN,Erwerbsquelle,Erwerbsquellen
",",PUNCT,"$,",--,","
und,CONJ,KON,und,und
auch,ADV,ADV,auch,auch
die,DET,ART,der,die
Besseren,NOUN,NN,Bessere,Besseren
",",PUNCT,"$,",--,","
wenn,SCONJ,KOUS,wenn,wenn
selbst,PRON,PRF,sich,selbst
das,DET,ART,der,das
Wahrsagen,NOUN,NN,Wahrsagen,Wahrsagen
nicht,PART,PTKNEG,nicht,nicht
mehr,ADV,ADV,mehr,mehr
galt,VERB,VVFIN,gelten,galt
",",PUNCT,"$,",--,","
sahen,VERB,VVFIN,sehen,sahen
sich,PRON,PRF,sich,sich
gezwungen,VERB,VVPP,zwingen,gezwungen
",",PUNCT,"$,",--,","
ihre,DET,PPOSAT,ihr,ihre
ärmliche,ADJ,ADJA,ärmlich,ärmliche
Nahrung,NOUN,NN,Nahrung,Nahrung
zu,PART,PTKZU,zu,zu
stehlen,VERB,VVINF,stehlen,stehlen
oder,CONJ,KON,oder,oder
mit,ADP,APPR,mit,mit
jagdfreien,ADJ,ADJA,jagdfrei,jagdfreien
Tieren,NOUN,NN,Tier,Tieren
",",PUNCT,"$,",--,","
wie,CONJ,KOKOM,wie,wie
Maulwürfe,NOUN,NN,Maulwurf,Maulwürfe
und,CONJ,KON,und,und
Stachelschweine,NOUN,NN,Stachelschwein,Stachelschweine
",",PUNCT,"$,",--,","
fürlieb,ADV,ADV,fürlieb,fürlieb
zu,PART,PTKZU,zu,zu
nehmen,VERB,VVINF,nehmen,nehmen
.,PUNCT,$.,--,.
Da,ADV,ADV,da,Da
fühlten,VERB,VVFIN,fühlen,fühlten
sie,PRON,PPER,sie,sie
erst,ADV,ADV,erst,erst
recht,ADV,ADV,recht,recht
innerlich,ADJ,ADJD,innerlich,innerlich
die,DET,ART,der,die
Strafe,NOUN,NN,Strafe,Strafe
",",PUNCT,"$,",--,","
daß,SCONJ,KOUS,daß,daß
sie,PRON,PPER,sie,sie
die,DET,ART,der,die
heilige,ADJ,ADJA,heilige,heilige
Mutter,NOUN,NN,Mutter,Mutter
Gottes,NOUN,NN,Gott,Gottes
mit,ADP,APPR,mit,mit
dem,DET,ART,der,dem
Jesuskinde,NOUN,NN,Jesuskind,Jesuskinde
und,CONJ,KON,und,und
dem,DET,ART,der,dem
alten,ADJ,ADJA,alten,alten
Joseph,PROPN,NE,Joseph,Joseph
verstoßen,VERB,VVFIN,"verstoßen,",verstoßen
",",PUNCT,"$,",--,","
als,SCONJ,KOUS,als,als
sie,PRON,PPER,sie,sie
zu,ADP,APPR,zu,zu
ihnen,DET,PPOSAT,ihnen,ihnen
nach,ADP,APPR,nach,nach
Ägypten,PROPN,NE,Ägypten,Ägypten
flüchteten,VERB,VVFIN,flüchten,flüchteten
",",PUNCT,"$,",--,","
weil,SCONJ,KOUS,weil,weil
sie,PRON,PPER,sie,sie
nicht,PART,PTKNEG,nicht,nicht
die,DET,ART,der,die
Augen,NOUN,NN,Auge,Augen
des,DET,ART,der,des
Herrn,NOUN,NN,Herr,Herrn
ansahen,VERB,VVFIN,ansehen,ansahen
",",PUNCT,"$,",--,","
sondern,CONJ,KON,sondern,sondern
mit,ADP,APPR,mit,mit
roher,ADJ,ADJA,roh,roher
Gleichgültigkeit,NOUN,NN,Gleichgültigkeit,Gleichgültigkeit
die,DET,ART,der,die
Heiligen,NOUN,NN,Heilige,Heiligen
für,ADP,APPR,für,für
Juden,NOUN,NN,Jude,Juden
hielten,VERB,VVFIN,halten,hielten
",",PUNCT,"$,",--,","
die,PRON,PRELS,der,die
in,ADP,APPR,in,in
Ägypten,PROPN,NE,Ägypten,Ägypten
auf,ADP,APPR,auf,auf
ewige,ADJ,ADJA,ewig,ewige
Zeit,NOUN,NN,Zeit,Zeit
nicht,PART,PTKNEG,nicht,nicht
beherbergt,VERB,VVPP,beherbergn,beherbergt
werden,AUX,VAINF,sein,werden
",",PUNCT,"$,",--,","
weil,SCONJ,KOUS,weil,weil
sie,PRON,PPER,sie,sie
die,DET,ART,der,die
geliehenen,ADJ,ADJA,leihen,geliehenen
goldnen,ADJ,ADJA,golden,goldnen
und,CONJ,KON,und,und
silbernen,ADJ,ADJA,silbern,silbernen
Gefäße,NOUN,NN,Gefäß,Gefäße
auf,ADP,APPR,auf,auf
ihrer,DET,PPOSAT,ihr,ihrer
Auswanderung,NOUN,NN,Auswanderung,Auswanderung
nach,ADP,APPR,nach,nach
dem,DET,ART,der,dem
gelobten,ADJ,ADJA,gelobt,gelobten
Lande,NOUN,NN,Land,Lande
mitgenommen,VERB,VVPP,mitnehmen,mitgenommen
hatten,VERB,VVFIN,haben,hatten
.,PUNCT,$.,--,.
Als,SCONJ,KOUS,als,Als
sie,PRON,PPER,sie,sie
nun,ADV,ADV,nun,nun
später,ADV,ADV,später,später
den,DET,ART,der,den
Heiland,NOUN,NN,Heiland,Heiland
aus,ADP,APPR,aus,aus
seinem,DET,PPOSAT,sein,seinem
Tode,NOUN,NN,Tod,Tode
erkannten,VERB,VVFIN,erkennen,erkannten
",",PUNCT,"$,",--,","
den,PRON,PRELS,der,den
sie,PRON,PPER,sie,sie
in,ADP,APPR,in,in
seinem,DET,PPOSAT,sein,seinem
Leben,NOUN,NN,Leben,Leben
verschmäht,VERB,VVPP,verschmähen,verschmäht
hatten,AUX,VAFIN,haben,hatten
",",PUNCT,"$,",--,","
da,SCONJ,KOUS,da,da
wollte,VERB,VVFIN,wollen,wollte
die,DET,ART,der,die
Hälfte,NOUN,NN,Hälfte,Hälfte
des,DET,ART,der,des
Volks,NOUN,NN,Volks,Volks
durch,ADP,APPR,durch,durch
eine,DET,ART,ein,eine
Wallfahrt,NOUN,NN,Wallfahrt,Wallfahrt
",",PUNCT,"$,",--,","
so,ADV,ADV,so,so
weit,ADJ,ADJA,weit,weit
sie,PRON,PPER,sie,sie
Christen,NOUN,NN,Christ,Christen
finden,VERB,VVINF,finden,finden
würden,AUX,VAFIN,werden,würden
",",PUNCT,"$,",--,","
diese,DET,PPOSAT,dieser,diese
Hartherzigkeit,NOUN,NN,Hartherzigkeit,Hartherzigkeit
büßen,VERB,VVFIN,büßen,büßen
.,PUNCT,$.,--,.
Sie,PRON,PPER,Sie,Sie
zogen,VERB,VVFIN,ziehen,zogen
durch,ADP,APPR,durch,durch
Kleinasien,PROPN,NE,Kleinasien,Kleinasien
nach,ADP,APPR,nach,nach
Europa,PROPN,NE,Europa,Europa
und,CONJ,KON,und,und
nahmen,VERB,VVFIN,nehmen,nahmen
ihre,DET,PPOSAT,ihr,ihre
Schätze,NOUN,NN,Schatz,Schätze
mit,ADP,APPR,mit,mit
