token,tag,tag_STTS,lemma_gold,lemma_pred
Von,ADP,``,von,
Anbeginn,NOUN,DT,Anbeginn,Anbeginn
Biß,NOUN,NN,Biß,Biß
Dato,PROPN,DT,Dato,
hin,PART,JJ,hin,
/,PUNCT,NN,/,
Täte,NOUN,VBC,Täte,Täte
man,PRON,IN,man,
den,DET,DT,d,
Adel,NOUN,JJ,Adel,Adel
achten,VERB,NN,achten,achten
",",PUNCT,JJ,",",
In,ADP,",",in,
diesem,DET,DT,dies,
Land,NOUN,JJ,Land,Land
Ei,INTJ,NN,Ei,
p',ADJ,RB,p',p'
fuch,NOUN,RB,fuch,Fuch
der,DET,'',d,
Schand,NOUN,",",Schand,Schand
Tut,PROPN,VBC,Tut,
man,PRON,NNP,man,
ihn,PRON,NN,er,
gar,ADV,NNP,gar,gar
verachten,VERB,NNP,verachten,verachten
Täte,NOUN,,Täte,Täte
dies,PRON,APPR,dies,
nur,ADV,ART,nur,nur
Sin,NOUN,NN,Sin,Sin
/,PUNCT,IN,/,
Es,PRON,DT,es,
ginge,VERB,NN,gehen,gehen
hin,PART,.,hin,
/,PUNCT,IN,/,
Man,PRON,NN,man,
nimmt,VERB,",",nehmen,nehmen
ihm,PRON,REL,er,
gar,ADV,NN,gar,gar
die,DET,-,d,
Würzen,ADJ,NN,Würzen,würz
Das,DET,-,d,
G',NOUN,NN,G',G'
schlecht,ADJ,IN,schlecht,schlecht
das,DET,DT,d,
Blut,NOUN,NN,Blut,Blut
/,PUNCT,NN,/,
Mit,ADP,VBC,mit,
Hab,NOUN,",",Hab,Hab
und,CONJ,VBC,und,
Gut,ADJ,DT,gut,gut
/,PUNCT,NN,/,
Will,VERB,DT,wollen,wollen
man,PRON,NN,man,
zu,ADP,JJ,zu,
Boden,NOUN,VB,Boden,Boden
stürzen,VERB,.,stürzen,stürzen
/,PUNCT,IN,/,
Kein,DET,DTP$,kein,
edles,ADJ,JJ,edel,edl
Haus,NOUN,NN,Haus,Haus
Sich,PRON,,er|es|sie,
schwinget,VERB,APPR,schwinget,schwingen
aus,PART,ART,aus,
/,PUNCT,NN,/,
Es,PRON,DT,es,
geht,VERB,NN,gehen,gehen
zu,PART,VBC,zu,
verderben,VERB,DT,verderben,verderben
:,PUNCT,NNA,:,
Ohn,VERB,DT,Ohn,ohnen
alles,DET,JJ,all,
Recht,NOUN,NN,Recht,Recht
Der,DET,",",d,
edlen,ADJ,CC,edel,edel
G',NOUN,PRP,G',G'
schlecht,ADJ,CC,schlecht,schlecht
Die,DET,NN,d,
Bawren,NOUN,``,Bauer,Bawren
all,DET,JJ,all,
tun,NOUN,DT,tun,Tun
erben,VERB,``,erben,erben
.,PUNCT,JJ,.,
Was,PRON,NN,was,
ihnen,PRON,VBN,sie,
g',PROPN,IN,g',
Falt,NOUN,DT,Falt,Falt
/,PUNCT,NN,/,
Ist,AUX,VB,sein,
gleich,ADV,VBC,gleich,gleich
bezahlt,VERB,.,bezahlen,bezahlen
Es,PRON,``,es,
manglet,ADJ,PRP,manglet,manglet
nichts,PRON,VBC,nichts,
erkaufen,VERB,PRP,erkaufen,erkaufen
.,PUNCT,RB,.,
Die,DET,IN,d,
Gegenwehr,NOUN,NN,Gegenwehr,Gegenwehr
hilft,VERB,VB,helfen,helfen
jetzt,ADV,",",jetzt,jetzt
nicht,PART,CC,nicht,
mehr,ADV,DT,mehr,mehr
/,PUNCT,NN,/,
Man,PRON,DT,man,
wirft,VERB,NN,werfen,werfen
als,CONJ,VBC,als,
Überhaufen,NOUN,IN,Überhaufen,Überhaufen
.,PUNCT,DTP$,.,
Im,ADP,NN,im,
ganzen,ADJ,'',ganz,ganz
Glend,ADJ,",",Glend,glend
Sind,AUX,VBC,sein,
nur,ADV,PRP,nur,nur
die,DET,IN,d,
Wend,NOUN,DT,Wend,Wend
/,PUNCT,NN,/,
Und,CONJ,",",und,
eingefalne,ADJ,REL,eingefalne,eingefaln
Mauren,NOUN,PRP,Maure,Maure
:,PUNCT,IN,:,
Als,CONJ,DT,als,
umgekehrt,ADJ,NN,umgekehrt,umgekehrt
/,PUNCT,IN,/,
Im,ADP,DT,im,
Grund,NOUN,NN,Grund,Grund
verderbt,VERB,IN,verderben,verderben
/,PUNCT,NN,/,
Bringt,VERB,NNP,bringen,bringen
große,ADJ,VBN,groß,groß
Klag,NOUN,VBC,Klage,Klag
und,CONJ,.,und,
Trauren,NOUN,DT,Trauren,Trauren
.,PUNCT,JJ,.,
Der,PRON,NN,d,
krönte,VERB,VBC,krönte,krönen
Schilt,ADJ,IN,Schilt,schilt
Jetzt,ADV,NNP,jetzt,jetzt
nicht,PART,JJ,nicht,
mehr,ADV,NN,mehr,mehr
gilt,VERB,VBN,gelten,gelten
/,PUNCT,.,/,
Man,PRON,WP,man,
tut,VERB,PRP,tun,tun
ihn,PRON,VBC,er,
schmäch-,ADJ,CC,schmäch-,schmäch-
und,CONJ,WP,und,
schänden,VERB,PRP,schänden,schänden
:,PUNCT,VBC,:,
Wird,AUX,-,werden,
gnug,VERB,RB,gnug,gnugen
nicht,PART,VBC,nicht,
Sin,NOUN,PRP,Sin,Sin
/,PUNCT,JJ,/,
Biß,ADP,.,bis,
alles,PRON,CD,all,
hin,PART,SYM,hin,
/,PUNCT,IN,/,
Der,DET,NN,d,
Adel,NOUN,",",Adel,Adel
gantz,ADV,DT,ganz,gantz
tut,VERB,JJ,tun,tun
enden,VERB,NN,enden,enden
.,PUNCT,.,.,
Ist,AUX,NN,sein,
d',PROPN,NN,de,
Sünd,NOUN,VBC,Sünd,Sünd
so,ADV,DT,so,so
groß,ADJ,NN,groß,groß
/,PUNCT,DT,/,
Als,SCONJ,NN,als,
mein,DET,IN,mein,
Anstoß,NOUN,DT,Anstoß,Anstoß
/,PUNCT,NN,/,
Ist,AUX,IN,sein,
für,ADP,NN,für,
uns,PRON,",",wir,
kein,DET,IN,kein,
erbarmen,ADJ,DT,erbarmen,erbarm
/,PUNCT,IN,/,
Wilt,VERB,NN,Wilt,wiln
du,PRON,IN,du,
mein,DET,NNP,mein,
Gott,PROPN,",",Gott,
/,PUNCT,DT,/,
Allein,ADV,NN,allein,allein
mit,ADP,NN,mit,
Spott,NOUN,NN,Spott,Spott
/,PUNCT,IN,/,
abstrafen,NOUN,NNP,abstrafen,Abstrafe
nur,ADV,CC,nur,nur
mich,PRON,DT,ich,
armen,ADJ,NN,arm,arm
?,PUNCT,NN,?,
Holla,PROPN,NN,Holla,
/,PUNCT,JJ,/,
holla,PROPN,VBC,holla,
/,PUNCT,.,/,
Verzagendes,ADJ,DT,Verzagendes,verzagend
Herzen,NOUN,NN,Herz,Herz
/,PUNCT,VBC,/,
willst,VERB,RB,wollen,wollen
versinken,VERB,RB,versinken,versinken
.,PUNCT,DT,.,
Vor,ADP,NN,vor,
lauterem,ADJ,NN,lauterem,lauter
Schmerzen,NOUN,RB,Schmerz,Schmerz
?,PUNCT,,?,
Bei,ADP,APPR,bei,
weitem,PRON,ART,weiter,
nit,PART,JJ,nicht,
.,PUNCT,NN,.,
Tu,VERB,NN,tun,tun
kechentlich,ADJ,IN,kechentlich,kechentlich
hoffen,VERB,NNP,hoffen,hoffen
/,PUNCT,IN,/,
Zu,ADP,DT,zu,
Glück,NOUN,NN,Glück,Glück
zu,ADP,NN,zu,
Trost,NOUN,VB,Trost,Trost
Ist,AUX,.,sein,
Porten,NOUN,RB,Porten,Porten
noch,ADV,VBC,noch,noch
offen,ADJ,DT,offen,offen
.,PUNCT,NN,.,
Es,PRON,RB,es,
werden,AUX,JJ,werden,
gewiß,ADJ,.,gewiß,gewiß
Die,DET,CC,d,
prallende,ADJ,RB,prallende,prallend
Bawren,NOUN,JJ,Bauer,Bawren
Nicht,PART,NN,nicht,
fressen,VERB,CC,fressen,fressen
als,CONJ,DT,als,
Mit,ADP,JJ,mit,
Schlösser,NOUN,NN,Schloß,Schloß
und,CONJ,RP,und,
Mauren,NOUN,VB,Maure,Maure
/,PUNCT,",",/,
Wo,ADV,VBC,wo,wo
sind,AUX,DT,sein,
die,DET,NN,d,
Wehr,NOUN,JJ,Wehr,Wehr
Die,DET,NN,d,
kriegische,ADJ,",",kriegische,kriegisch
Waffen,NOUN,CC,Waffe,Waffe
/,PUNCT,PRP,/,
Willst,VERB,DT,wollen,wollen
rechen,VERB,VBC,rechen,rechen
dich,PRON,.,du,
?,PUNCT,IN,?,
So,ADV,DT,so,so
fliehe,VERB,JJ,fliehe,fliehen
das,DET,.,d,
schlaffen,ADJ,NN,schlaff,schlaff
.,PUNCT,VBC,.,
Zuck,NOUN,PRP,Zuck,Zuck
nur,ADV,,nur,nur
das,DET,APPR,d,
Schwert,NOUN,ART,Schwert,Schwert
Tu,PROPN,JJ,tu,
dapffer,PROPN,NN,dapffer,
drauff,PROPN,",",drauff,
schlagen,VERB,CC,schlagen,schlagen
/,PUNCT,IN,/,
Verzagtes,ADJ,DT,Verzagtes,verzagt
G',NOUN,JJ,G',G'
mit,PART,.,mit,
Wird,AUX,NN,werden,
keines,PRON,VBC,kein,
Glück,NOUN,PRP,Glück,Glück
tragen,VERB,JJ,tragen,tragen
.,PUNCT,CC,.,
Ich,PRON,DT,ich,
bin,AUX,JJ,sein,
der,DET,NN,d,
Gott,PROPN,.,Gott,
Der,DET,,d,
glücklichen,ADJ,APPR,glücklich,glücklich
Waffen,NOUN,ART,Waffe,Waffe
/,PUNCT,NN,/,
Ich,PRON,RB,ich,
kann,VERB,VBC,können,können
dir,PRON,PRP,du,
Glück,NOUN,CD,Glück,Glück
Und,CONJ,NN,und,
Segen,NOUN,NN,Segen,Segen
