token,tag,tag_STTS,lemma_gold,lemma_pred
_,UNK,--,--,
Omis,X,FM,omnis,
arbor,X,FM,arbor,
bona,X,FM,bona,
facit,X,FM,facit,
fructum,X,FM,fructum,
suum,X,FM,suum,
bonum,X,FM,bonum,
.,PUNCT,$.,.,
_,UNK,--,--,
Diese,DET,PDAT,dies,
Worte,NOUN,NN,Wort,Wort
spricht,VERB,VVFIN,sprechen,sprechen
unser,DET,PPOSAT,unser,
lieber,ADJ,ADJA,lieb,lieb
Herr,PROPN,NE,Herr,
Jesus,PROPN,NE,Jesus,
Christus,PROPN,NE,Christus,
zu,ADP,APPR,zu,
einem,DET,ART,ein,
jeden,DET,PIDAT,jed,
Menschen,NOUN,NN,Mensch,Mensch
",",PUNCT,"$,",",",
der,PRON,PRELS,d,
da,SCONJ,KOUS,da,
wahrhaft,ADJ,ADJD,wahrhaft,wahrhaft
will,VERB,VMFIN,wollen,wollen
kommen,VERB,VVINF,kommen,kommen
und,CONJ,KON,und,
der,DET,ART,d,
da,SCONJ,KOUS,da,
fruchtbar,ADJ,ADJD,fruchtbar,fruchtbar
will,VERB,VMFIN,wollen,wollen
werden,AUX,VAINF,werden,
an,ADP,APPR,an,
seiner,DET,PPOSAT,sein,
Seele,NOUN,NN,Seele,Seele
.,PUNCT,$.,.,
_,UNK,--,--,
Und,CONJ,KON,und,
bedeuten,VERB,VVFIN,bedeuten,bedeuten
diese,DET,PDAT,dies,
Worte,NOUN,NN,Wort,Wort
also,ADV,ADV,also,also
",",PUNCT,"$,",",",
dass,SCONJ,KOUS,dass,
ein,DET,ART,ein,
jeder,DET,PIAT,jed,
guter,ADJ,ADJA,gut,gut
Baum,NOUN,NN,Baum,Baum
bringt,VERB,VVFIN,bringen,bringen
eine,DET,ART,ein,
gute,ADJ,ADJA,gut,gut
Frucht,NOUN,NN,Frucht,Frucht
.,PUNCT,$.,.,
_,UNK,--,--,
Willst,VERB,VMFIN,wollen,wollen
du,PRON,PPER,du,
nun,ADV,ADV,nun,nun
",",PUNCT,"$,",",",
dass,SCONJ,KOUS,dass,
ein,DET,ART,ein,
guter,ADJ,ADJA,gut,gut
Mensch,NOUN,NN,Mensch,Mensch
einen,DET,ART,ein,
guten,ADJ,ADJA,gut,gut
Baum,NOUN,NN,Baum,Baum
sät,VERB,VVFIN,säen,säen
.,PUNCT,$.,.,
_,UNK,--,--,
Und,CONJ,KON,und,
willst,VERB,VMFIN,wollen,wollen
du,PRON,PPER,du,
eine,DET,ART,ein,
gute,ADJ,ADJA,gut,gut
Frucht,NOUN,NN,Frucht,Frucht
zu,ADP,APPR,zu,
deiner,DET,PPOSAT,dein,
Seele,NOUN,NN,Seele,Seele
bringen,VERB,VVINF,bringen,bringen
",",PUNCT,"$,",",",
so,ADV,ADV,so,so
sollst,VERB,VMFIN,sollen,sollen
du,PRON,PPER,du,
dich,PRON,PRF,du,
üben,VERB,VVINF,üben,üben
in,ADP,APPR,in,
guten,ADJ,ADJA,gut,gut
Werken,NOUN,NN,Werk,Werk
jedoch,ADV,ADV,jedoch,jedoch
über,ADP,APPR,über,
alle,DET,PIAT,alle,
Dinge,NOUN,NN,Ding,Ding
.,PUNCT,$.,.,
_,UNK,--,--,
So,ADV,ADV,so,so
sollst,VERB,VMFIN,sollen,sollen
du,PRON,PPER,du,
dich,PRON,PRF,du,
üben,VERB,VVINF,üben,üben
in,ADP,APPR,in,
der,DET,ART,d,
Marter,NOUN,NN,Marter,Marter
unseres,DET,PPOSAT,unser,
Herrn,PROPN,NE,Herr,
Jesus,PROPN,NE,Jesus,
Christus,PROPN,NE,Christus,
.,PUNCT,$.,.,
_,UNK,--,--,
Und,CONJ,KON,und,
du,PRON,PPER,du,
sollst,VERB,VMFIN,sollen,sollen
diese,PRON,PDS,dies,
