token,tag,tag_STTS,lemma_gold,lemma_pred
_,UNK,--,--,
Omnis,X,FM,Omis,
arbor,X,FM,arbor,
bona,X,FM,bona,
facit,X,FM,facit,
fructum,X,FM,fructum,
suum,X,FM,suum,
bonum,X,FM,bonum,
.,PUNCT,$.,.,
_,UNK,--,--,
Dese,DET,PDAT,dies,
wort,NOUN,NN,Wort,Wort
spricht,VERB,VVFIN,sprechen,sprechen
vnser,DET,PPOSAT,unser,
liber,ADJ,ADJA,lieb,lib
here,PROPN,NE,Herr,
ihesus,PROPN,NE,Jesus,
cristus,PROPN,NE,Christus,
czu,ADP,APPR,zu,
eyme,DET,ART,ein,
iczlychen,DET,PIDAT,jed,
menschen,NOUN,NN,Mensch,Menschen
_,PUNCT,"$,",--,
der,PRON,PRELS,d,
do,SCONJ,KOUS,da,
vorbas,ADJ,ADJD,wahrhaft,vorbas
wil,VERB,VMFIN,wollen,wiln
komen,VERB,VVINF,kommen,komen
vnd,CONJ,KON,und,
_,UNK,--,--,
_,UNK,--,--,
fruchtbar,ADJ,ADJD,fruchtbar,fruchtbar
wil,VERB,VMFIN,wollen,wiln
werden,AUX,VAINF,werden,
an,ADP,APPR,an,
syner,DET,PPOSAT,sein,
zele,NOUN,NN,Seele,Zele
.,PUNCT,$.,.,
_,UNK,--,--,
vnd,CONJ,KON,und,
beduten,VERB,VVFIN,bedeuten,beduen
dese,DET,PDAT,dies,
wort,NOUN,NN,Wort,Wort
alsus,ADV,ADV,also,alsus
_,UNK,--,--,
_,UNK,--,--,
ayn,DET,ART,ein,
iczlich,DET,PIAT,jed,
guter,ADJ,ADJA,gut,gut
bowm,NOUN,NN,Baum,Bowm
brenget,VERB,VVFIN,bringen,brengen
eyne,DET,ART,ein,
gute,ADJ,ADJA,gut,gut
frucht,NOUN,NN,Frucht,Frucht
_,UNK,--,--,
_,UNK,--,--,
Wilt,VERB,VMFIN,wollen,wiln
u,PRON,PPER,du,
nu,ADV,ADV,nun,nu
_,UNK,--,--,
_,UNK,--,--,
_,UNK,--,--,
gvter,ADJ,ADJA,gut,gvt
mensche,NOUN,NN,Mensch,Mensche
eynen,DET,ART,ein,
guten,ADJ,ADJA,gut,gut
bowm,NOUN,NN,Baum,Bowm
seen,VERB,VVFIN,säen,sen
_,UNK,--,--,
_,UNK,--,--,
vnd,CONJ,KON,und,
wilt,VERB,VMFIN,wollen,wiln
u,PRON,PPER,du,
_,UNK,--,--,
gute,ADJ,ADJA,gut,gut
frucht,NOUN,NN,Frucht,Frucht
an,ADP,APPR,zu,
dyner,DET,PPOSAT,dein,
zele,NOUN,NN,Seele,Zele
brengen,VERB,VVINF,bringen,brengen
_,UNK,--,--,
so,ADV,ADV,so,so
salt,VERB,VMFIN,sollen,salten
u,PRON,PPER,du,
dich,PRON,PRF,du,
vben,VERB,VVINF,üben,vben
an,ADP,APPR,in,
guten,ADJ,ADJA,gut,gut
werken,NOUN,NN,Werk,Werken
ydoch,ADV,ADV,jedoch,ydoch
obir,ADP,APPR,über,
alle,DET,PIAT,alle,
ding,NOUN,NN,Ding,Ding
.,PUNCT,$.,.,
_,UNK,--,--,
so,ADV,ADV,so,so
salt,VERB,VMFIN,sollen,salten
u,PRON,PPER,du,
dich,PRON,PRF,du,
vben,VERB,VVINF,üben,vben
an,ADP,APPR,in,
dy,DET,ART,d,
martir,NOUN,NN,Marter,Martir
vnsers,DET,PPOSAT,unser,
heren,PROPN,NE,Herr,
ihesu,PROPN,NE,Jesus,
xp-i,PROPN,NE,Christus,
.,PUNCT,$.,.,
_,UNK,--,--,
vnd,CONJ,KON,und,
_,UNK,--,--,
salt,VERB,VMFIN,sollen,salten
dy,PRON,PDS,dies,
merken,VERB,VVINF,merken,merken
myt,ADP,APPR,mit,
alle,DET,PIAT,alle,
dyner,DET,PPOSAT,dein,
craft,NOUN,NN,Kraft,Craft
dyner,DET,PPOSAT,dein,
synne,NOUN,NN,Sinn,Synne
_,UNK,--,--,
_,UNK,--,--,
vnd,CONJ,KON,und,
_,UNK,--,--,
salt,VERB,VMFIN,sollen,salten
dich,PRON,PPER,du,
myt,ADP,APPR,mit,
dyner,DET,PPOSAT,dein,
zele,NOUN,NN,Seele,Zele
hengen,VERB,VVINF,hängen,hengen
an,ADP,APPR,an,
den,DET,ART,d,
heiligen,ADJ,ADJA,heilig,heilig
bowm,NOUN,NN,Baum,Bowm
_,UNK,--,--,
an,ADP,APPR,an,
dem,PRON,PDS,d,
vnser,DET,PPOSAT,unser,
heylant,PROPN,NE,Heiland,
syne,DET,PPOSAT,sein,
sele,NOUN,NN,Seele,Sele
vfgap,VERB,VVFIN,aufgeben,vfgapen
durch,ADP,APPR,durch,
vnse,DET,PPOSAT,unser,
svnde,NOUN,NN,Sünde,Svnde
.,PUNCT,$.,.,
_,UNK,--,--,
vnn,CONJ,KON,und,
_,UNK,--,--,
salt,VERB,VMFIN,sollen,salten
betrachten,VERB,VVINF,betrachten,betrachten
syne,DET,PPOSAT,sein,
martir,NOUN,NN,Marter,Martir
myt,ADP,APPR,mit,
eyme,DET,ART,ein,
betrubegen,ADJ,ADJA,betrübt,betrubeg
herczen,NOUN,NN,Herz,Herczen
_,UNK,--,--,
Alzo,SCONJ,KOUS,also,
_,UNK,--,--,
der,DET,ART,d,
heilige,ADJ,ADJA,heilig,heilig
bischof,NOUN,NN,Bischof,Bischof
tete,VERB,VVFIN,tun,ten
_,UNK,--,--,
_,UNK,--,--,
sente,ADJ,ADJA,Sankt,sent
anshelmus,PROPN,NE,Anselm,
bat,VERB,VVFIN,bitten,bitten
marien,PROPN,NE,Maria,
manch,DET,PIAT,manch,
iar,NOUN,NN,Jahr,Iar
myt,ADP,APPR,mit,
heysen,ADJ,ADJA,heiß,heys
trenen,NOUN,NN,Träne,Trenen
_,UNK,--,--,
das,SCONJ,KOUS,dass,
sy,PRON,PPER,sie,
ym,PRON,PPER,er,
offenbarte,VERB,VVFIN,offenbaren,offenbaren
_,UNK,--,--,
wy,SCONJ,KOUS,wie,
vnser,DET,PPOSAT,unser,
here,PROPN,NE,Herr,
ih-us,PROPN,NE,Jesus,
cristus,PROPN,NE,Christus,
syne,DET,PPOSAT,sein,
marter,NOUN,NN,Marter,Marter
irleden,VERB,VVPP,erleiden,irleden
hatte,AUX,VAFIN,haben,
.,PUNCT,$.,.,
_,UNK,--,--,
do,ADV,ADV,da,do
sprach,VERB,VVFIN,sprechen,sprechen
