token,tag,tag_STTS,lemma_gold,lemma_pred
_,UNK,--,--,
Verhaftung,NOUN,NN,Verhaftung,Verhaftung
–,PUNCT,$(,–,
_,UNK,--,--,
Gespräch,NOUN,NN,Gespräch,Gespräch
mit,ADP,APPR,mit,
Frau,NOUN,NN,Frau,Frau
Grubach,PROPN,NE,Grubach,
–,PUNCT,$(,–,
_,UNK,--,--,
Dann,ADV,ADV,dann,dann
kommt,VERB,VVFIN,kommen,kommen
Fräulein,NOUN,NN,Fräulein,Fräulein
Bürstner,PROPN,NE,Bürstner,
_,UNK,--,--,
Jemand,PRON,PIS,jemand,
musste,VERB,VMFIN,müssen,müssen
Josef,PROPN,NE,Josef,
K.,PROPN,NE,K.,
verleumdet,VERB,VVPP,verleumden,verleumden
haben,AUX,VAFIN,haben,
",",PUNCT,"$,",",",
denn,CONJ,KON,denn,
ohne,ADP,APPR,ohne,
dass,SCONJ,KOUS,dass,
er,PRON,PPER,er,
etwas,PRON,PIS,etwas,
Böses,NOUN,NN,Böse,Böse
getan,VERB,VVPP,tun,tun
hätte,AUX,VAFIN,haben,
",",PUNCT,"$,",",",
wurde,AUX,VAFIN,werden,
er,PRON,PPER,er,
eines,DET,ART,ein,
Morgens,NOUN,NN,Morgen,Morgen
verhaftet,VERB,VVPP,verhaften,verhaften
.,PUNCT,$.,.,
_,UNK,--,--,
Die,DET,ART,d,
Köchin,NOUN,NN,Köchin,Köchin
der,DET,ART,d,
Frau,NOUN,NN,Frau,Frau
Grubach,PROPN,NE,Grubach,
",",PUNCT,"$,",",",
seine,DET,PPOSAT,sein,
Zimmervermieterin,NOUN,NN,Zimmervermieterin,Zimmervermieterin
",",PUNCT,"$,",",",
die,PRON,PRELS,d,
ihm,PRON,PPER,er,
jeden,DET,PIDAT,jed,
Tag,NOUN,NN,Tag,Tag
gegen,ADP,APPR,gegen,
acht,NUM,CARD,acht,Acht
Uhr,NOUN,NN,Uhr,Uhr
früh,ADJ,ADJD,früh,früh
das,DET,ART,d,
Frühstück,NOUN,NN,Frühstück,Frühstück
brachte,VERB,VVFIN,bringen,bringen
",",PUNCT,"$,",",",
kam,VERB,VVFIN,kommen,kommen
diesmal,ADV,ADV,diesmal,diesmal
nicht,PART,PTKNEG,nicht,
.,PUNCT,$.,.,
_,UNK,--,--,
Das,PRON,PDS,d,
war,AUX,VAFIN,sein,
noch,ADV,ADV,noch,noch
niemals,ADV,ADV,niemals,niemals
geschehen,VERB,VVPP,geschehen,geschehen
.,PUNCT,$.,.,
_,UNK,--,--,
K.,PROPN,NE,K.,
wartete,VERB,VVFIN,warten,warten
noch,ADV,ADV,noch,noch
ein,DET,ART,ein,
Weilchen,NOUN,NN,Weilchen,Weilchen
",",PUNCT,"$,",",",
er,PRON,PPER,er,
sah,VERB,VVFIN,sehen,sehen
von,ADP,APPR,von,
seinem,DET,PPOSAT,sein,
Kopfkissen,NOUN,NN,Kopfkissen,Kopfkissen
aus,ADP,APZR,aus,
die,DET,ART,d,
alte,ADJ,ADJA,alt,alt
Frau,NOUN,NN,Frau,Frau
",",PUNCT,"$,",",",
die,PRON,PRELS,d,
ihm,PRON,PPER,er,
gegenüber,ADP,APPO,gegenüber,
wohnte,VERB,VVFIN,wohnen,wohnen
und,CONJ,KON,und,
die,PRON,PRELS,d,
ihn,PRON,PPER,er,
mit,ADP,APPR,mit,
einer,DET,ART,ein,
an,ADP,APPR,an,
ihr,PRON,PPER,er,
ganz,ADJ,ADJD,ganz,ganz
ungewöhnlichen,ADJ,ADJA,ungewöhnlich,ungewöhnlich
Neugierde,NOUN,NN,Neugierde,Neugierde
beobachtete,VERB,VVFIN,beobachten,beobachten
",",PUNCT,"$,",",",
dann,ADV,ADV,dann,dann
aber,ADV,ADV,aber,aber
",",PUNCT,"$,",",",
gleichzeitig,ADJ,ADJD,gleichzeitig,gleichzeitig
befremdet,ADJ,ADJD,befremdet,befremdet
und,CONJ,KON,und,
hungrig,ADJ,ADJD,hungrig,hungrig
",",PUNCT,"$,",",",
läutete,VERB,VVFIN,läuten,läuten
er,PRON,PPER,er,
.,PUNCT,$.,.,
_,UNK,--,--,
Sofort,ADV,ADV,sofort,sofort
klopfte,VERB,VVFIN,klopfen,klopfen
es,PRON,PPER,es,
und,CONJ,KON,und,
ein,DET,ART,ein,
Mann,NOUN,NN,Mann,Mann
",",PUNCT,"$,",",",
den,PRON,PRELS,d,
er,PRON,PPER,er,
in,ADP,APPR,in,
dieser,DET,PDAT,dies,
Wohnung,NOUN,NN,Wohnung,Wohnung
noch,ADV,ADV,noch,noch
niemals,ADV,ADV,niemals,niemals
gesehen,VERB,VVPP,sehen,sehen
hatte,AUX,VAFIN,haben,
",",PUNCT,"$,",",",
