token,tag,tag_STTS,lemma_gold,lemma_pred
_,UNK,--,--,
JustChat,PROPN,NE,JustChat,
4.0r0.204,X,XY,4.0r0.204,
(,PUNCT,$(,(,
"55,204",NUM,CARD,"55,204","55,204"
),PUNCT,$(,),
developed,X,FM,developed,
by,X,FM,by,
Medium.net,PROPN,NE,Medium.net,
.,PUNCT,$.,.,
_,UNK,--,--,
Du,PRON,PPER,du,
betrittst,VERB,VVFIN,betreten,betreten
den,DET,ART,d,
Raum,NOUN,NN,Raum,Raum
.,PUNCT,$.,.,
_,UNK,--,--,
Was,PRON,PWS,was,
passiert,VERB,VVFIN,passieren,passieren
?,PUNCT,$.,?,
_,UNK,--,--,
Ist,AUX,VAFIN,sein,
das,PRON,PDS,d,
echt,ADJ,ADJD,echt,echt
",",PUNCT,"$,",",",
Zora,PROPN,NE,Zora,
?,PUNCT,$.,?,
_,UNK,--,--,
Little15,PROPN,NE,little15,
betritt,VERB,VVFIN,betreten,betreten
den,DET,ART,d,
Raum,NOUN,NN,Raum,Raum
.,PUNCT,$.,.,
_,UNK,--,--,
Das,DET,ART,d,
Küssen,NOUN,NN,Küssen,Küssen
macht,VERB,VVFIN,machen,machen
etwas,PRON,PIS,etwas,
?,PUNCT,$.,?,
_,UNK,--,--,
Na,INTJ,ITJ,na,
",",PUNCT,"$,",",",
gut,ADJ,ADJD,gut,gut
",",PUNCT,"$,",",",
marc30,PROPN,NE,marc30,
.,PUNCT,$.,.,
_,UNK,--,--,
Es,PRON,PPER,es,
gibt,VERB,VVFIN,geben,geben
kein,DET,PIAT,kein,
Servicepaket,NOUN,NN,Servicepaket,Servicepaket
Nr.,NOUN,NN,Nummer,Nr.
1,NUM,CARD,1,1
für,ADP,APPR,für,
dich,PRON,PPER,du,
.,PUNCT,$.,.,
_,UNK,--,--,
:),X,XY,:),
.,PUNCT,$.,.,
_,UNK,--,--,
Was,PRON,PIS,was,
ist,AUX,VAFIN,sein,
passiert,VERB,VVPP,passieren,passieren
?,PUNCT,$.,?,
