token,tag,tag_STTS,lemma_gold,lemma_pred
_,UNK,--,--,
JustChat,PROPN,NE,JustChat,
4.0r0.204,X,XY,4.0r0.204,
(,PUNCT,$(,(,
"55,204",NUM,CARD,"55,204","55,204"
),PUNCT,$(,),
developed,X,FM,developed,
by,X,FM,by,
Medium.net,PROPN,NE,Medium.net,
.,PUNCT,$.,.,
_,UNK,--,--,
Du,PRON,PPER,du,
betrittst,VERB,VVFIN,betreten,betreten
den,DET,ART,d,
Raum,NOUN,NN,Raum,Raum
.,PUNCT,$.,.,
_,UNK,--,--,
was,PRON,PWS,was,
_,UNK,--,--,
_,UNK,--,--,
_,UNK,--,--,
_,UNK,--,--,
_,UNK,--,--,
echt,ADJ,ADJD,echt,echt
_,UNK,--,--,
zori,PROPN,NE,Zora,
?,PUNCT,$.,?,
_,UNK,--,--,
little15,PROPN,NE,little15,
betritt,VERB,VVFIN,betreten,betreten
den,DET,ART,d,
Raum,NOUN,NN,Raum,Raum
.,PUNCT,$.,.,
_,UNK,--,--,
das,DET,ART,d,
küssen,NOUN,NN,Küssen,Küssen
_,UNK,--,--,
_,UNK,--,--,
?,PUNCT,$.,?,
_,UNK,--,--,
na,INTJ,ITJ,na,
_,UNK,--,--,
gut,ADJ,ADJD,gut,gut
_,UNK,--,--,
marc,PROPN,NE,marc30,
.,PUNCT,$.,.,
_,UNK,--,--,
_,UNK,--,--,
_,UNK,--,--,
kein,DET,PIAT,kein,
servicepaket,NOUN,NN,Servicepaket,Servicepaket
nr.,NOUN,NN,Nr.,Nr.
1,NUM,CARD,1,1
für,ADP,APPR,für,
dich,PRON,PPER,du,
_,UNK,--,--,
_,UNK,--,--,
:),X,XY,:),
_,UNK,--,--,
_,UNK,--,--,
was,PRON,PWS,was,
_,UNK,--,--,
_,UNK,--,--,
?,PUNCT,$.,?,
_,UNK,--,--,
TomcatMJ,PROPN,NE,TomcatMJ,
kommt,VERB,VVFIN,kommen,kommen
aus,ADP,APPR,aus,
dem,DET,ART,d,
