token,tag,tag_STTS,lemma_gold,lemma_pred
Der,_,ART,der,
SC,_,NE,SC,
Lituania,_,NE,Lituania,
Tilsit,_,NE,Tilsit,
war,_,VAFIN,sein,
ein,_,ART,ein,
deutscher,_,ADJA,deutsch,
Sportverein,_,NN,Sportverein,
der,_,ART,der,
ostpreußischen,_,ADJA,ostpreußisch,
Stadt,_,NN,Stadt,
Tilsit,_,NE,Tilsit,
",",_,"$,",",",
heute,_,ADV,heute,
Sowetsk,_,NE,Sowetsk,
.,_,$.,.,
Der,_,ART,der,
1907,_,CARD,1907,
gegründete,_,ADJA,gegründet,
Verein,_,NN,Verein,
wurde,_,VAFIN,werden,
1911,_,CARD,1911,
Verbandsmeister,_,NN,Verbandsmeister,
des,_,ART,der,
Baltischen,_,ADJA,baltisch,
Rasensport-Verbandes,_,NN,Rasensport-Verband,
(,_,$(,(,
BRV,_,NE,BRV,
),_,$(,),
und,_,KON,und,
durfte,_,VMFIN,dürfen,
somit,_,ADV,somit,
an,_,APPR,an,
der,_,ART,der,
Endrunde,_,NN,Endrunde,
um,_,APPR,um,
die,_,ART,der,
deutsche,_,ADJA,deutsch,
Fußballmeisterschaft,_,NN,Fußballmeisterschaft,
teilnehmen,_,VVINF,teilnehmen,
.,_,$.,.,
Wegen,_,APPR,wegen,
zu,_,PTKA,zu,
hoher,_,ADJA,hoch,
Reisekosten,_,NN,Reisekosten,
verzichtete,_,VVFIN,verzichten,
Lituania,_,NE,Lituania,
Tilsit,_,NE,Tilsit,
jedoch,_,ADV,jedoch,
auf,_,APPR,auf,
das,_,ART,der,
Startrecht,_,NN,Startrecht,
",",_,"$,",",",
so,_,ADV,so,
dass,_,KOUS,dass,
die,_,ART,der,
gegnerische,_,ADJA,gegnerisch,
Mannschaft,_,NN,Mannschaft,
vom,_,APPRART,von,
Berliner,_,ADJA,Berliner,
TuFC,_,NE,TuFC,
Viktoria,_,NE,Viktoria,
89,_,CARD,89,
kampflos,_,ADJD,kampflos,
ins,_,APPRART,in,
Halbfinale,_,NN,Halbfinale,
einrückte,_,VVFIN,einrücken,
.,_,$.,.,
1912,_,CARD,1912,
und,_,KON,und,
1913,_,CARD,1913,
erreichte,_,VVFIN,erreichen,
der,_,ART,der,
Verein,_,NN,Verein,
noch,_,ADV,noch,
die,_,ART,der,
Baltische,_,ADJA,Baltisch,
Endrunde,_,NN,Endrunde,
",",_,"$,",",",
unterlag,_,VVFIN,unterliegen,
aber,_,ADV,aber,
in,_,APPR,in,
beiden,_,PIAT,beide,
Jahren,_,NN,Jahr,
dem,_,ART,der,
jeweiligen,_,ADJA,jeweilig,
Finalgegner,_,NN,Finalgegner,
.,_,$.,.,
Nachdem,_,KOUS,nachdem,
Lituania,_,NE,Lituania,
in,_,APPR,in,
den,_,ART,der,
20er,_,ADJA,20er,
Jahren,_,NN,Jahr,
ohne,_,APPR,ohne,
größeren,_,ADJA,groß,
Erfolg,_,NN,Erfolg,
im,_,APPRART,in,
Bezirk,_,NN,Bezirk,
Ostpreußen,_,NE,Ostpreußen,
gespielt,_,VVPP,spielen,
hatte,_,VAFIN,haben,
",",_,"$,",",",
erfolgte,_,VVFIN,erfolgen,
1929,_,CARD,1929,
die,_,ART,der,
Fusion,_,NN,Fusion,
mit,_,APPR,mit,
dem,_,ART,der,
Verein,_,NN,Verein,
für,_,APPR,für,
Körperübungen,_,NN,Körperübung,
Tilsit,_,NE,Tilsit,
zum,_,APPRART,zu,
Tilsiter,_,ADJA,Tilsit,
SC,_,NE,SC,
.,_,$.,.,
Córrego,_,NE,Córrego,
do,_,NE,do,
Ouro,_,NE,Ouro,
ist,_,VAFIN,sein,
eine,_,ART,ein,
brasilianische,_,ADJA,brasilianisch,
politische,_,ADJA,politisch,
Gemeinde,_,NN,Gemeinde,
im,_,APPRART,in,
Bundesstaat,_,NN,Bundesstaat,
Goiás,_,NE,Goiás,
in,_,APPR,in,
der,_,ART,der,
Mesoregion,_,NN,Mesoregion,
Zentral-Goiás,_,NE,Zentral-Goiás,
und,_,KON,und,
in,_,APPR,in,
der,_,ART,der,
Mikroregion,_,NN,Mikroregion,
Iporá,_,NE,Iporá,
.,_,$.,.,
Sie,_,PPER,sie,
liegt,_,VVFIN,liegen,
westsüdwestlich,_,ADJD,westsüdwestlich,
der,_,ART,der,
brasilianischen,_,ADJA,brasilianisch,
Hauptstadt,_,NN,Hauptstadt,
Brasília,_,NE,Brasília,
und,_,KON,und,
der,_,ART,der,
Hauptstadt,_,NN,Hauptstadt,
Goiânia,_,NE,Goiânia,
.,_,$.,.,
Das,_,ART,der,
6.,_,ADJA,6.,
Kanadische,_,ADJA,kanadisch,
Kabinett,_,NN,Kabinett,
(,_,$(,(,
engl.,_,ADJD,engl.,
6th,_,FM,6th,
Canadian,_,FM,Canadian,
Ministry,_,FM,Ministry,
",",_,"$,",",",
franz.,_,ADJD,franz.,
6e,_,FM,6e,
conseil,_,FM,conseil,
des,_,FM,des,
ministres,_,FM,ministres,
du,_,FM,du,
Canada,_,FM,Canada,
),_,$(,),
regierte,_,VVFIN,regieren,
Kanada,_,NE,Kanada,
vom,_,APPRART,von,
21.,_,ADJA,21.,
Dezember,_,NN,Dezember,
1894,_,CARD,1894,
bis,_,APPR,bis,
zum,_,APPRART,zu,
27.,_,ADJA,27.,
April,_,NN,April,
1896,_,CARD,1896,
.,_,$.,.,
Dieses,_,PDAT,dieser,
von,_,APPR,von,
Premierminister,_,NN,Premierminister,
Mackenzie,_,NE,Mackenzie,
Bowell,_,NE,Bowell,
angeführte,_,ADJA,angeführt,
Kabinett,_,NN,Kabinett,
bestand,_,VVFIN,bestehen,
aus,_,APPR,aus,
Mitgliedern,_,NN,Mitglied,
der,_,ART,der,
Konservativen,_,ADJA,konservativ,
Partei,_,NN,Partei,
.,_,$.,.,
Auch,_,ADV,auch,
der,_,ART,der,
Name,_,NN,Name,
der,_,ART,der,
Ausstellung,_,NN,Ausstellung,
wurde,_,VAFIN,werden,
in,_,APPR,in,
diesem,_,PDAT,dieser,
Zusammenhang,_,NN,Zusammenhang,
in,_,APPR,in,
Nitten,_,NE,Nitten,
(,_,$(,(,
Abk.,_,NN,Abk.,
für,_,APPR,für,
",",_,"$,",",",
Nihon,_,FM,Nihon,
bijutsu,_,FM,bijutsu,
tenrankai,_,FM,tenrankai,
),_,$(,),
geändert,_,VVPP,ändern,
.,_,$.,.,
Im,_,APPRART,in,
Zuge,_,NN,Zug,
einer,_,ART,ein,
Neuordnung,_,NN,Neuordnung,
1958,_,CARD,1958,
wurde,_,VAFIN,werden,
die,_,ART,der,
Akademie,_,NN,Akademie,
in,_,APPR,in,
eine,_,ART,ein,
rein,_,ADJD,rein,
wissenschaftliche,_,ADJA,wissenschaftlich,
und,_,KON,und,
beratende,_,ADJA,beratend,
Non-Profit-Organisation,_,NN,Non-Profit-Organisation,
überführt,_,VVPP,überführen,
und,_,KON,und,
die,_,ART,der,
Organisation,_,NN,Organisation,
der,_,ART,der,
Kunstausstellung,_,NN,Kunstausstellung,
wurde,_,VAFIN,werden,
in,_,APPR,in,
eine,_,ART,ein,
eigene,_,ADJA,eigen,
Personengesellschaft,_,NN,Personengesellschaft,
",",_,"$,",",",
die,_,ART,der,
Nitten,_,NE,Nitten,
Kapitalgesellschaft,_,NN,Kapitalgesellschaft,
",",_,"$,",",",
ausgegliedert,_,VVPP,ausgliedern,
.,_,$.,.,
Die,_,ART,der,
Akademie,_,NN,Akademie,
der,_,ART,der,
Künste,_,NN,Kunst,
gehört,_,VVFIN,gehören,
formell,_,ADJD,formell,
zum,_,APPRART,zu,
MEXT,_,NE,MEXT,
.,_,$.,.,
Sie,_,PPER,sie,
besitzt,_,VVFIN,besitzen,
maximal,_,ADJD,maximal,
120,_,CARD,120,
Mitglieder,_,NN,Mitglied,
",",_,"$,",",",
die,_,PRELS,der,
auf,_,APPR,auf,
Lebenszeit,_,NN,Lebenszeit,
ernannt,_,VVPP,ernennen,
werden,_,VAFIN,werden,
.,_,$.,.,
Die,_,ART,der,
Akademie,_,NN,Akademie,
besitzt,_,VVFIN,besitzen,
drei,_,CARD,drei,
Hauptabteilungen,_,NN,Hauptabteilung,
mit,_,APPR,mit,
insgesamt,_,ADV,insgesamt,
16,_,CARD,16,
Unterabteilungen,_,NN,Unterabteilung,
",",_,"$,",",",
die,_,PRELS,der,
einzelnen,_,ADJA,einzeln,
Fachgebieten,_,NN,Fachgebiet,
zugeordnet,_,VVPP,zuordnen,
sind,_,VAFIN,sein,
.,_,$.,.,
Die,_,ART,der,
Mitgliedschaft,_,NN,Mitgliedschaft,
erfolgt,_,VVFIN,erfolgen,
für,_,APPR,für,
eine,_,PIS,einer,
der,_,ART,der,
Unterabteilungen,_,NN,Unterabteilung,
:,_,$.,:,
Brügge,_,NE,Brügge,
wurde,_,VAFIN,werden,
als,_,KOKOM,als,
Ernst,_,NE,Ernst,
Hess,_,NE,Hess,
geboren,_,VVPP,gebären,
.,_,$.,.,
Er,_,PPER,er,
war,_,VAFIN,sein,
von,_,APPR,von,
1961,_,CARD,1961,
bis,_,APPR,bis,
1994,_,CARD,1994,
Spiegel-Reporter,_,NN,Spiegel-Reporter,
und,_,KON,und,
schrieb,_,VVFIN,schreiben,
unter,_,APPR,unter,
dem,_,ART,der,
Pseudonym,_,NN,Pseudonym,
Peter,_,NE,Peter,
Brügge,_,NE,Brügge,
.,_,$.,.,
Damit,_,PAV,damit,
war,_,VAFIN,sein,
er,_,PPER,er,
neben,_,APPR,neben,
Rudolf,_,NE,Rudolf,
Augstein,_,NE,Augstein,
(,_,$(,(,
Pseudonym,_,NN,Pseudonym,
Jens,_,NE,Jens,
Daniel,_,NE,Daniel,
),_,$(,),
einer,_,PIS,einer,
der,_,ART,der,
wenigen,_,ADJA,wenig,
Spiegel-Autoren,_,NN,Spiegel-Autor,
",",_,"$,",",",
die,_,PRELS,der,
nicht,_,PTKNEG,nicht,
unter,_,APPR,unter,
ihrem,_,PPOSAT,ihr,
Namen,_,NN,Name,
schrieben,_,VVFIN,schreiben,
.,_,$.,.,
1966,_,CARD,1966,
wurde,_,VAFIN,werden,
er,_,PPER,er,
mit,_,APPR,mit,
dem,_,ART,der,
Theodor-Wolff-Preis,_,NN,Theodor-Wolff-Preis,
ausgezeichnet,_,VVPP,auszeichnen,
.,_,$.,.,
Für,_,APPR,für,
seine,_,PPOSAT,sein,
Arbeit,_,NN,Arbeit,
Herr,_,NN,Herr,
Meier,_,NE,Meier,
",",_,"$,",",",
wo,_,PWAV,wo,
Blumen,_,NN,Blume,
",",_,"$,",",",
wo,_,PWAV,wo,
Sommer,_,NN,Sommer,
?,_,$.,?,
im,_,APPRART,in,
Spiegel,_,NE,Spiegel,
wurde,_,VAFIN,werden,
er,_,PPER,er,
1980,_,CARD,1980,
mit,_,APPR,mit,
dem,_,ART,der,
Egon-Erwin-Kisch-Preis,_,NN,Egon-Erwin-Kisch-Preis,
ausgezeichnet,_,VVPP,auszeichnen,
.,_,$.,.,
Die,_,ART,der,
Reportage,_,NN,Reportage,
über,_,APPR,über,
vietnamesische,_,ADJA,vietnamesisch,
Flüchtlinge,_,NN,Flüchtling,
",",_,"$,",",",
die,_,PRELS,der,
in,_,APPR,in,
einem,_,ART,ein,
oberbayerischen,_,ADJA,oberbayerisch,
Dorf,_,NN,Dorf,
Zuflucht,_,NN,Zuflucht,
finden,_,VVFIN,finden,
",",_,"$,",",",
beschäftigt,_,VVFIN,beschäftigen,
sich,_,PRF,sich,
mit,_,APPR,mit,
der,_,ART,der,
allmählichen,_,ADJA,allmählich,
Stimmungsveränderung,_,NN,Stimmungsveränderung,
unter,_,APPR,unter,
den,_,ART,der,
„,_,$(,„,
Einheimischen,_,NN,Einheimische,
“,_,$(,“,
zu,_,APPR,zu,
Ungunsten,_,NN,Ungunst,
der,_,ART,der,
Flüchtlinge,_,NN,Flüchtling,
.,_,$.,.,
Schlachtfest,_,NN,Schlachtfest,
für,_,APPR,für,
Führungskräfte,_,NN,Führungskraft,
-,_,$(,-,
die,_,ART,der,
