token,tag,tag_STTS,lemma_gold,lemma_pred
Dazu,ADV,PROAV,dazu,dazu
kommen,VERB,VVFIN,kommen,kommen
zehn,NUM,CARD,zehn,Zehn
statt,ADP,APPR,statt,
bisher,ADV,ADV,bisher,bisher
fünf,NUM,CARD,fünf,Fünf
E-Mail-Adressen,NOUN,NN,Adresse,E-Mail-Adresse
sowie,CCONJ,KON,sowie,
zehn,NUM,CARD,zehn,Zehn
MByte,NOUN,NN,MByte,MByte
Webspace,PROPN,NE,Webspace,
.,PUNCT,$.,.,
Die,DET,ART,die,
bisherigen,ADJ,ADJA,bisherig,bisherig
kostenlosen,ADJ,ADJA,kostenlos,kostenlos
Dienste,NOUN,NN,Dienst,Dienst
bleiben,VERB,VVFIN,bleiben,bleiben
weiterhin,ADV,ADV,weiterhin,weiterhin
im,_,,_,
in,ADP,APPR,in,
dem,DET,ART,der,
Angebot,NOUN,NN,Angebot,Angebot
.,PUNCT,$.,.,
Das,DET,ART,das,
US-amerikanische,ADJ,ADJA,amerikanisch,us-amerikanisch
Unternehmen,NOUN,NN,Unternehmen,Unternehmen
Qwest,PROPN,NE,Qwest,
verlängert,VERB,VVFIN,verlängern,verlängern
seine,PRON,PPOSAT,seine,
Mitgliedschaft,NOUN,NN,Mitgliedschaft,Mitgliedschaft
im,_,,_,
in,ADP,APPR,in,
dem,DET,ART,der,
Forschungskonsortium,NOUN,NN,Konsortium,Forschungskonsortium
Internet2,X,FM,Internet2,
.,PUNCT,$.,.,
Internet2,X,FM,internet2,
ist,AUX,VAFIN,sein,
ein,DET,ART,ein,
in,ADP,APPR,in,
den,DET,ART,den,
USA,PROPN,NE,USA,
1996,NUM,CARD,1996,1996
gegründeter,ADJ,ADJA,gründen,gegründet
Zusammenschluss,NOUN,NN,Zusammenschluß,Zusammenschluss
von,ADP,APPR,von,
rund,ADV,ADV,rund,rund
140,NUM,CARD,140,140
Universitäten,NOUN,NN,Universität,Universität
",",PUNCT,"$,",",",
die,PRON,PRELS,die,
mit,ADP,APPR,mit,
Unterstützung,NOUN,NN,Unterstützung,Unterstützung
der,DET,ART,der,
Industrie,NOUN,NN,Industrie,Industrie
an,ADP,APPR,an,
der,DET,ART,der,
nächsten,ADJ,ADJA,nächste,nächster
Generation,NOUN,NN,Generation,Generation
des,DET,ART,des,
Internet,NOUN,NN,Internet,Internet
forschen,VERB,VVFIN,forschen,forschen
.,PUNCT,$.,.,
Qwest,PROPN,NE,Qwest,
liefert,VERB,VVFIN,liefern,liefern
dem,DET,ART,dem,
Konsortium,NOUN,NN,Konsortium,Konsortium
die,DET,ART,die,
nötige,ADJ,ADJA,nötig,nötig
Leitungsinfrastruktur,NOUN,NN,Infrastruktur,Leitungsinfrastruktur
.,PUNCT,$.,.,
Das,DET,ART,das,
deutsche,ADJ,ADJA,deutsch,deutsch
Internet2,X,FM,Internet2,
ging,VERB,VVFIN,gehen,gehen
Ende,NOUN,NN,Ende,Ende
Juni,NOUN,NN,Juni,Juni
2000,NUM,CARD,2000,2000
an,ADP,APPR,an,
den,DET,ART,den,
Start,NOUN,NN,Start,Start
.,PUNCT,$.,.,
Sun,PROPN,NE,Sun,
Microsystems,PROPN,NE,Microsystems,
erwartet,VERB,VVFIN,erwarten,erwarten
nach,ADP,APPR,nach,
den,DET,ART,den,
vorläufigen,ADJ,ADJA,vorläufig,vorläufig
Zahlen,NOUN,NN,Zahl,Zahl
für,ADP,APPR,für,
das,DET,ART,das,
erste,ADJ,ADJA,erste,erster
Quartal,NOUN,NN,Quartal,Quartal
des,DET,ART,des,
laufenden,ADJ,ADJA,laufenden,laufend
Geschäftsjahres,NOUN,NN,Geschäftsjahr,Geschäftsjahr
einen,DET,ART,einen,
Umsatz,NOUN,NN,Umsatz,Umsatz
zwischen,ADP,APPR,zwischen,
"2,7",NUM,CARD,"2,7","2,7"
und,CCONJ,KON,und,
"2,9",NUM,CARD,"2,9","2,9"
Milliarden,NOUN,NN,Milliarde,Milliarde
US-Dollar,NOUN,NN,Dollar,US-Dollar
;,PUNCT,$.,;,
daraus,ADV,PROAV,daraus,daraus
resultiere,VERB,VVFIN,resultieren,resultieren
ein,DET,ART,ein,
Verlust,NOUN,NN,Verlust,Verlust
von,ADP,APPR,von,
fünf,NUM,CARD,fünf,Fünf
bis,ADP,APPR,bis,
sieben,NUM,CARD,sieben,Sieben
Cents,NOUN,NN,Cents,Cents
pro,ADP,APPR,pro,
Aktie,NOUN,NN,Aktie,Aktie
.,PUNCT,$.,.,
Die,DET,ART,die,
Erwartungen,NOUN,NN,Erwartung,Erwartung
der,DET,ART,der,
Analysten,NOUN,NN,Analyst,Analyst
betrugen,VERB,VVFIN,betragen,betragen
bislang,ADV,ADV,bislang,bislang
4,NUM,CARD,4,4
Cents,NOUN,NN,Cents,Cents
Verlust,NOUN,NN,Verlust,Verlust
pro,ADP,APPR,pro,
Aktie,NOUN,NN,Aktie,Aktie
.,PUNCT,$.,.,
Nach,ADP,APPR,nach,
den,DET,ART,den,
Attentaten,NOUN,NN,Attentat,Attentat
vom,_,,_,
von,ADP,APPR,von,
dem,DET,ART,der,
11.,ADJ,ADJA,11.,11.
September,NOUN,NN,September,September
müssten,AUX,VMFIN,müssen,
die,DET,ART,die,
Erwartungen,NOUN,NN,Erwartung,Erwartung
weiter,ADV,ADV,weiter,weiter
nach,ADP,APPR,nach,
unten,ADV,ADV,unten,unten
korrigiert,VERB,VVPP,korrigieren,korrigieren
werden,AUX,VAINF,werden,
",",PUNCT,"$,",",",
sagte,VERB,VVFIN,sagen,sagen
Vorstandvorsitzender,NOUN,NN,Vorsitzender,Vorstandvorsitzend
Scott,PROPN,NE,Scott,
McNealy,PROPN,NE,McNealy,
nun,ADV,ADV,nun,nun
am,_,,_,
an,ADP,APPR,an,
dem,DET,ART,der,
heutigen,ADJ,ADJA,heutig,heutig
Freitag,NOUN,NN,Freitag,Freitag
.,PUNCT,$.,.,
Die,DET,ART,die,
Position,NOUN,NN,Position,Position
seines,PRON,PPOSAT,seines,
Unternehmens,NOUN,NN,Unternehmen,Unternehmen
sei,AUX,VAFIN,sein,
zwar,ADV,ADV,zwar,zwar
stärker,ADJ,ADJD,stärker,stark
denn,CCONJ,KOKOM,denn,
je,ADV,ADV,je,je
",",PUNCT,"$,",",",
doch,CCONJ,KON,doch,
die,DET,ART,die,
derzeitigen,ADJ,ADJA,derzeitig,derzeitig
ökonomischen,ADJ,ADJA,ökonomisch,ökonomisch
Bedingungen,NOUN,NN,Bedingung,Bedingung
seien,AUX,VAFIN,sein,
ohne,ADP,APPR,ohne,
Zweifel,NOUN,NN,Zweifel,Zweifel
sehr,ADV,ADV,sehr,sehr
schwierig,ADJ,ADJD,schwierig,schwierig
.,PUNCT,$.,.,
Daher,ADV,PROAV,daher,dah
will,AUX,VMFIN,wollen,
Sun,PROPN,NE,Sun,
neun,NUM,CARD,neun,Neun
Prozent,NOUN,NN,Prozent,Prozent
der,DET,ART,der,
Belegschaft,NOUN,NN,Belegschaft,Belegschaft
entlassen,VERB,VVINF,entlassen,entlassen
und,CCONJ,KON,und,
einige,DET,PIAT,einig,
Fabriken,NOUN,NN,Fabrik,Fabrik
schließen,VERB,VVINF,schließen,schließen
.,PUNCT,$.,.,
Für,ADP,APPR,für,
das,DET,ART,das,
zweite,ADJ,ADJA,zweit,zweiter
Quartal,NOUN,NN,Quartal,Quartal
entstehen,VERB,VVFIN,entstehen,entstehen
dem,DET,ART,dem,
Unternehmen,NOUN,NN,Unternehmen,Unternehmen
dadurch,ADV,PROAV,dadurch,dadurch
zusätzliche,ADJ,ADJA,zusätzlich,zusätzlich
Belastungen,NOUN,NN,Belastung,Belastung
in,ADP,APPR,in,
Höhe,NOUN,NN,Höhe,Höhe
von,ADP,APPR,von,
500,NUM,CARD,500,500
Millionen,NOUN,NN,Million,Million
US-Dollar,NOUN,NN,Dollar,US-Dollar
.,PUNCT,$.,.,
In,ADP,APPR,in,
diesen,DET,PDAT,diesen,
Tagen,NOUN,NN,Tag,Tag
hatten,AUX,VAFIN,haben,
auch,ADV,ADV,auch,auch
die,DET,ART,die,
PC-Hersteller,NOUN,NN,Hersteller,PC-Hersteller
Gateway,PROPN,NE,Gateway,
und,CCONJ,KON,und,
Compaq,PROPN,NE,Compaq,
Gewinnwarnungen,NOUN,NN,Warnung,Gewinnwarnung
wegen,ADP,APPR,wegen,
der,DET,ART,der,
rückläufigen,ADJ,ADJA,rückläufig,rückläufig
Nachfrage,NOUN,NN,Nachfrage,Nachfrage
im,_,,_,
in,ADP,APPR,in,
dem,DET,ART,der,
Zusammenhang,NOUN,NN,Zusammenhang,Zusammenhang
mit,ADP,APPR,mit,
den,DET,ART,den,
Ereignissen,NOUN,NN,Ereignis,Ereignis
vom,_,,_,
von,ADP,APPR,von,
dem,DET,ART,der,
11.,ADJ,ADJA,11.,11.
September,NOUN,NN,September,September
verkündet,VERB,VVPP,verkünden,verkünden
.,PUNCT,$.,.,
Dell,PROPN,NE,Dell,
und,CCONJ,KON,und,
Cisco,PROPN,NE,Cisco,
zeigten,VERB,VVFIN,zeigen,zeigen
sich,PRON,PRF,sich,
hingegen,ADV,ADV,hingegen,hingegen
davon,ADV,PROAV,davon,davon
relativ,ADJ,ADJD,relativ,relativ
unbeeindruckt,ADJ,ADJD,unbeeindruckt,unbeeindruckt
.,PUNCT,$.,.,
Die,DET,ART,die,
Bundesregierung,NOUN,NN,Regierung,Bundesregierung
zeigt,VERB,VVFIN,zeigen,zeigen
sich,PRON,PRF,sich,
bedingt,ADJ,ADJD,bedingen,bedingt
optimistisch,ADJ,ADJD,optimistisch,optimistisch
bei,ADP,APPR,bei,
der,DET,ART,der,
Beseitigung,NOUN,NN,Beseitigung,Beseitigung
des,DET,ART,des,
Fachkräftemangels,NOUN,NN,Mangel,Fachkräftemangels
in,ADP,APPR,in,
der,DET,ART,der,
IT-Branche,NOUN,NN,Branche,IT-Branche
.,PUNCT,$.,.,
Bis,ADP,APPR,bis,
2005,NUM,CARD,2005,2005
könnte,AUX,VMFIN,können,
es,PRON,PPER,es,
350.000,NUM,CARD,350.000,350.000
zusätzliche,ADJ,ADJA,zusätzlich,zusätzlich
Fachkräfte,NOUN,NN,Fachkraft,Fachkraft
geben,VERB,VVINF,geben,geben
",",PUNCT,"$,",",",
erklärte,VERB,VVFIN,erklären,erklären
heute,ADV,ADV,heute,heute
die,DET,ART,die,
Bundesregierung,NOUN,NN,Regierung,Bundesregierung
in,ADP,APPR,in,
einer,DET,ART,einer,
Antwort,NOUN,NN,Antwort,Antwort
auf,ADP,APPR,auf,
eine,DET,ART,eine,
große,ADJ,ADJA,groß,groß
Anfrage,NOUN,NN,Anfrage,Anfrage
der,DET,ART,der,
CDU/CSU-Fraktion,NOUN,NN,Fraktion,CDU/CSU-Fraktion
.,PUNCT,$.,.,
Voraussetzung,NOUN,NN,Voraussetzung,Voraussetzung
sei,AUX,VAFIN,sein,
",",PUNCT,"$,",",",
dass,SCONJ,KOUS,dass,
die,DET,ART,die,
Unternehmen,NOUN,NN,Unternehmen,Unternehmen
weiter,ADV,ADV,weiter,weiter
engagiert,ADJ,ADJD,engagieren,engagiert
ausbildeten,VERB,VVFIN,ausbilden,ausbilden
und,CCONJ,KON,und,
die,DET,ART,die,
Bundesanstalt,NOUN,NN,Anstalt,Bundesanstalt
für,ADP,APPR,für,
Arbeit,NOUN,NN,Arbeit,Arbeit
ihre,PRON,PPOSAT,ihre,
Weiterbildungsmaßnahmen,NOUN,NN,Maßnahme,Weiterbildungsmaßnahme
"""",PUNCT,$(,"""",
auf,ADP,APPR,auf,
hohem,ADJ,ADJA,hoch,hoch
Niveau,NOUN,NN,Niveau,Niveau
"""",PUNCT,$(,"""",
beibehalte,VERB,VVFIN,beibehalten,beibehalten
.,PUNCT,$.,.,
Außerdem,ADV,PROAV,außerdem,außerd
müssten,AUX,VMFIN,müssen,
Hochschulreformen,NOUN,NN,Reform,Hochschulreform
greifen,VERB,VVINF,greifen,greifen
und,CCONJ,KON,und,
die,DET,ART,die,
Strukturierung,NOUN,NN,Strukturierung,Strukturierung
der,DET,ART,der,
Weiterbildung,NOUN,NN,Bildung,Weiterbildung
im,_,,_,
in,ADP,APPR,in,
dem,DET,ART,der,
IT-Bereich,NOUN,NN,Bereich,IT-Bereich
abgeschlossen,VERB,VVPP,abschließen,abschließen
sein,AUX,VAINF,sein,
.,PUNCT,$.,.,
Als,CCONJ,KOKOM,als,
Beispiele,NOUN,NN,Beispiel,Beispiel
für,ADP,APPR,für,
Reformen,NOUN,NN,Reform,Reform
nannte,VERB,VVFIN,nennen,nennen
die,DET,ART,die,
Regierung,NOUN,NN,Regierung,Regierung
unter,ADP,APPR,unter,
anderem,PRON,PIS,ander,
das,DET,ART,das,
"""",PUNCT,$(,"""",
Sofortprogramm,NOUN,NN,Programm,Sofortprogramm
von,ADP,APPR,von,
Bundesregierung,NOUN,NN,Regierung,Bundesregierung
und,CCONJ,KON,und,
IuK-Wirtschaft,NOUN,NN,Wirtschaft,IuK-Wirtschaft
zur,_,,_,
zu,ADP,APPR,zu,
der,DET,ART,der,
Deckung,NOUN,NN,Deckung,Deckung
des,DET,ART,des,
IT-Fachkräftebedarfs,NOUN,NN,Bedarf,IT-Fachkräftebedarf
in,ADP,APPR,in,
Deutschland,PROPN,NE,Deutschland,
"""",PUNCT,$(,"""",
sowie,CCONJ,KON,sowie,
das,DET,ART,das,
Konzept,NOUN,NN,Konzept,Konzept
"""",PUNCT,$(,"""",
IT,NOUN,NN,IT,IT
in,ADP,APPR,in,
der,DET,ART,der,
Bildung,NOUN,NN,Bildung,Bildung
-,PUNCT,$(,-,
Anschluss,NOUN,NN,Anschluß,Anschluss
statt,ADP,APPR,statt,
Ausschluss,NOUN,NN,Ausschluß,Ausschluss
"""",PUNCT,$(,"""",
.,PUNCT,$.,.,
Bis,ADP,APPR,bis,
Ende,NOUN,NN,Ende,Ende
2000,NUM,CARD,2000,2000
gab,VERB,VVFIN,geben,geben
es,PRON,PPER,es,
rund,ADV,ADV,rund,rund
53.000,NUM,CARD,53.000,53.000
Ausbildungsverträge,NOUN,NN,Vertrag,Ausbildungsvertrag
in,ADP,APPR,in,
IT-,NOUN,TRUNC,IT-,IT-
und,CCONJ,KON,und,
Medienberufen,NOUN,NN,Beruf,Medienberuf
;,PUNCT,$.,;,
25.000,NUM,CARD,25.000,25.000
dieser,DET,PDAT,dieser,
Ausbildungen,NOUN,NN,Ausbildung,Ausbildungen
wurden,AUX,VAFIN,werden,
