token,tag,tag_STTS,lemma_gold,lemma_pred
Kann,VERB,VMFIN,können,können
ich,PRON,PPER,ich,ich
einen,DET,ART,ein,ein
Laptop,NOUN,NN,Laptop,Laptop
mit,PART,PTKVZ,mit,mit
in,ADP,APPR,in,in
die,DET,ART,der,der
Bibo,NOUN,NN,Bibliothek,Bibo
nehmen,VERB,VVINF,nehmen,nehmen
",",PUNCT,"$,",",",","
damit,SCONJ,KOUS,damit,damit
ich,PRON,PPER,ich,ich
im,ADP,APPRART,in,im
Katalog,NOUN,NN,Katalog,Katalog
nach,ADP,APPR,nach,nach
Büchern,NOUN,NN,Buch,Buch
suchen,VERB,VVINF,suchen,suchen
kann,VERB,VMFIN,können,können
",",PUNCT,"$,",",",","
oder,CONJ,KON,oder,oder
ist,AUX,VAFIN,sein,sein
es,PRON,PPER,es,es
jederzeit,ADV,ADV,jederzeit,jederzeit
möglich,ADJ,ADJD,möglich,möglich
einen,DET,ART,ein,ein
freien,ADJ,ADJA,frei,frei
EDV-Platz,NOUN,NN,EDV-Platz,EDV-Platz
...,PUNCT,$(,...,...
Sie,PRON,PPER,sie,Sie|sie
können,VERB,VMFIN,können,können
auf,ADP,APPR,auf,auf
jedenfall,NOUN,NN,Jedenfall,jedenfall
Ihr,DET,PPOSAT,ihr,ihr
Laptop,NOUN,NN,Laptop,Laptop
mitnehmen,VERB,VVINF,mitnehmen,mitnehmen
.,PUNCT,$.,.,.
WIr,PRON,PPER,wir,wir
haben,AUX,VAFIN,haben,haben
...,PUNCT,$(,...,...
einen,DET,ART,ein,ein
Notebook-Arbeitspool,NOUN,NN,Notebook-Arbeitspool,Notebook-Arbeitspool
eingerichtet,VERB,VVPP,einrichten,einrichten
",",PUNCT,"$,",",",","
für,ADP,APPR,für,für
die,DET,ART,der,der
Nutzung,NOUN,NN,Nutzung,Nutzung
mit,ADP,APPR,mit,mit
Kabel,NOUN,NN,Kabel,Kabel
und,CONJ,KON,und,und
Funknetz,NOUN,NN,Funknetz,Funknetz
.,PUNCT,$.,.,.
Doch,CONJ,KON,doch,doch
...,PUNCT,$(,...,...
gibt,VERB,VVFIN,geben,geben
es,PRON,PPER,es,es
einen,DET,ART,ein,ein
bibliothekseigenen,ADJ,ADJA,bibliothekseigen,bibliothekseigen
Intenet-Pool,NOUN,NN,Internet-Pool,Intenet-Pool
",",PUNCT,"$,",",",","
sowie,CONJ,KON,sowie,sowie
einen,DET,ART,ein,ein
Recherche-Pool,NOUN,NN,Recherche-Pool,Recherche-Pool
",",PUNCT,"$,",",",","
die,PRON,PRELS,der,der
Sie,PRON,PPER,sie,Sie|sie
jederzeit,ADV,ADV,jederzeit,jederzeit
nutzen,VERB,VVINF,nutzen,nutzen
können,VERB,VMFIN,können,können
.,PUNCT,$.,.,.
EVtl.,ADJ,ADJD,evtl.,EVtl.
im,ADP,APPRART,in,im
Internet-Pool,NOUN,NN,Internet-Pool,Internet-Pool
müsste,VERB,VMFIN,müssen,müssen
man,PRON,PIS,man,man
etwas,ADV,ADV,etwas,etwas
warten,VERB,VVINF,warten,warten
",",PUNCT,"$,",",",","
bis,SCONJ,KOUS,bis,bis
ein,DET,ART,ein,ein
Platz,NOUN,NN,Platz,Platz
frei,ADJ,ADJD,frei,frei
wird,AUX,VAFIN,werden,werden
.,PUNCT,$.,.,.
nochmals,ADV,ADV,nochmals,nochmals
vielen,DET,PIAT,vieler,viel
dank,NOUN,NN,Dank,danken
!,PUNCT,$.,!,!
bitte,PART,PTKANT,bitte,bitten
schön,ADJ,ADJD,schön,schön
:),UNK,EMOASC,:),:)
Wie,ADV,PWAV,wie,wie
bekomme,VERB,VVFIN,bekommen,bekommen
ich,PRON,PPER,ich,ich
heraus,PART,PTKVZ,heraus,heraus
",",PUNCT,"$,",",",","
ob,SCONJ,KOUS,ob,ob
die,DET,ART,der,der
Uni,NOUN,NN,Uni,Uni
Dortmund,PROPN,NE,Dortmund,Dortmund
eine,DET,ART,ein,ein
bestimmte,ADJ,ADJA,bestimmt,bestimmen
Zeitschrift,NOUN,NN,Zeitschrift,Zeitschrift
abonniert,VERB,VVPP,abonnieren,abonniert
hat,AUX,VAFIN,haben,haben
und,CONJ,KON,und,und
in,ADP,APPR,in,in
welcher,DET,PWAT,welcher,welch
Bib,NOUN,NN,Bibliothek,Bib
die,PRON,PDS,der,der
steht,VERB,VVFIN,stehen,stehen
?,PUNCT,$.,?,?
Sie,PRON,PPER,sie,Sie|sie
können,VERB,VMFIN,können,können
unter,ADP,APPR,unter,unter
dem,DET,ART,der,der
Link,NOUN,NN,Link,Link
