token,tag,tag_STTS,lemma_gold,lemma_pred
was,PRON,PWS,was,was
echt,ADJ,ADJD,echt,echt
zori,PROPN,NE,Zori,zori
?,PUNCT,$.,?,?
das,PRON,PDS,der,der
küssen,NOUN,NN,küssen,küssen
??,PUNCT,$.,??,??
na,INTJ,ITJ,na,na
gut,ADJ,ADJD,gut,gut
marc,PROPN,NE,Marc,Marc
.,PUNCT,$.,.,.
kein,DET,PIAT,kein,kein
servicepaket,NOUN,NN,Servicepaket,servicepaket
nr.,NOUN,NN,Nr.,nr.
1,NUM,CARD,1,1
für,ADP,APPR,für,für
dich,PRON,PPER,dich,du
:),UNK,EMOASC,:),:)
was,PRON,PWS,was,was
?,PUNCT,$.,?,?
hi,INTJ,ITJ,hi,hi
Danke,PART,PTKANT,danke,Dank
Pharao,PROPN,NE,Pharao,Pharao
*,PUNCT,$(,*,*
erleichtertguck,UNK,AKW,erleichtertguck,erleichtertguck
*,PUNCT,$(,*,*
juhuuu,INTJ,ITJ,juhu,juhuuu
tom,PROPN,NE,Tom,Tom
is,AUX,VAFIN,sein,is
dada,ADV,ADV,da,Dada
echt,ADJ,ADJD,echt,echt
?,PUNCT,$.,?,?
hi,INTJ,ITJ,hi,hi
quaki,PROPN,NE,quaki,quaki
Heyho,INTJ,ITJ,heyho,Heyho
Tom,PROPN,NE,Tom,Tom
re,INTJ,ITJ,re,Re
Tom,PROPN,NE,Tom,Tom
hi,INTJ,ITJ,hi,hi
marc,PROPN,NE,Marc,Marc
hi,INTJ,ITJ,hi,hi
tom,PROPN,NE,Tom,Tom
hi,INTJ,ITJ,hi,hi
faryen,PROPN,NE,Faryen,faryen
hi,INTJ,ITJ,hi,hi
zora,PROPN,NE,Zora,zora
huhu,INTJ,ITJ,huhu,huhu
tom,PROPN,NE,Tom,Tom
:),UNK,EMOASC,:),:)
alles,PRON,PIS,alle,alle
konfetti,ADJ,ADJD,konfetti,Konfetti
bei,ADP,APPR,bei,bei
euch,PRON,PPER,euch,euch
?,PUNCT,$.,?,?
mich,PRON,PPER,mich,ich
nochmal,ADV,ADV,nochmal,nochmal
zu,ADP,APPR,zu,zu
hi,X,XY,hi,hi
n,X,XY,n,n
hinstell,UNK,AKW,hinstell,hinstell
:),UNK,EMOASC,:),:)
lantonieeeeee,PROPN,NE,Lantonie,lantonieeeeee
Hallo,INTJ,ITJ,hallo,hallo
.,PUNCT,$.,.,.
:),UNK,EMOASC,:),:)
LANTOOO,PROPN,NE,Lantonie,LANTOOO
:))),UNK,EMOASC,:))),:)))
*,PUNCT,$(,*,*
mal,UNK,PTKMA,mal,mal
guck,UNK,AKW,guck,gucken
wo,ADV,PWAV,wo,wo
quaki,PROPN,NE,quaki,quaki
sich,PRON,PRF,sich,er|es|sie
nu,ADV,ADV,nun,Nu
hinstelt,VERB,VVFIN,hinstellen,hinstelt
*,PUNCT,$(,*,*
G,UNK,AKW,g,G
*,PUNCT,$(,*,*
freu,UNK,AKW,freu,freuen
juhuuu,INTJ,ITJ,juhu,juhuuu
Hallo,INTJ,ITJ,hallo,hallo
quaki,PROPN,NE,quaki,quaki
.,PUNCT,$.,.,.
Lantöööö,PROPN,NE,Lantonie,Lantöööö
:o),UNK,EMOASC,:o),:o)
hi,INTJ,ITJ,hi,hi
lanto,PROPN,NE,Lanto,lanto
Huhu,INTJ,ITJ,huhu,Huhu
zoriiiiii,PROPN,NE,zora,zoriiiiii
.,PUNCT,$.,.,.
:))),UNK,EMOASC,:))),:)))
re,INTJ,ITJ,re,Re
Tomcat,PROPN,NE,Tomcat,Tomcat
.,PUNCT,$.,.,.
re,INTJ,ITJ,re,Re
marc,PROPN,NE,Marc,Marc
.,PUNCT,$.,.,.
.))),UNK,EMOASC,.))),.)))
ups,INTJ,ITJ,ups,ups
is,AUX,VAFIN,sein,is
das,PRON,PDS,der,der
das,DET,ART,der,der
falsche,ADJ,ADJA,falsch,falsch
eck,NOUN,NN,Eck,Eck
??,PUNCT,$.,??,??
hi,INTJ,ITJ,hi,hi
Lantonie,PROPN,NE,Lantonie,Lantonie
quaki,PROPN,NE,quaki,quaki
krabbelt,VERB,VVFIN,krabbeln,krabbeln
aus,ADP,APPR,aus,aus
dem,DET,ART,der,der
eck,NOUN,NN,Eck,Eck
raus,PART,PTKVZ,raus,raus
Hallo,INTJ,ITJ,hallo,hallo
Faryen,PROPN,NE,Faryen,Faryen
.,PUNCT,$.,.,.
:),UNK,EMOASC,:),:)
Ich,PRON,PPER,ich,ich
finde,VERB,VVFIN,finden,finden
den,DET,ART,der,der
quaki,PROPN,NE,quaki,quaki
klasse,ADJ,ADJD,klasse,Klasse
",",PUNCT,"$,",",",","
ein,DET,ART,ein,ein
toller,ADJ,ADJA,toll,toll
Neuzugang,NOUN,NN,Neuzugang,Neuzugang
",",PUNCT,"$,",",",","
der,PRON,PRELS,der,der
sich,PRON,PRF,sich,er|es|sie
echt,ADJ,ADJD,echt,echt
bewährt,VERB,VVFIN,bewähren,bewährt
.,PUNCT,$.,.,.
:))),UNK,EMOASC,:))),:)))
Na,INTJ,ITJ,na,Na
",",PUNCT,"$,",",",","
zori,PROPN,NE,Zori,zori
?,PUNCT,$.,?,?
:)),UNK,EMOASC,:)),:))
den,PRON,PDS,der,der
?,PUNCT,$.,?,?
*,PUNCT,$(,*,*
g,UNK,AKW,g,g
*,PUNCT,$(,*,*
dange,PART,PTKANT,danke,dange
lantonie,PROPN,NE,Lantonie,lantonie
Ich,PRON,PPER,ich,ich
habe,AUX,VAFIN,haben,haben
heute,ADV,ADV,heute,heute
einen,DET,ART,ein,ein
SMS,NOUN,NN,SMS,SMS
von,ADP,APPR,von,von
Tigaaaaelse,PROPN,NE,Tigaaaaelse,Tigaaaaelse
bekommen,VERB,VVPP,bekommen,bekommen
.,PUNCT,$.,.,.
*,PUNCT,$(,*,*
erzähl,UNK,AKW,erzähl,erzählen
*,PUNCT,$(,*,*
lanto,PROPN,NE,Lanto,lanto
redet,VERB,VVFIN,reden,reden
wie,CONJ,KOKOM,wie,wie
ne,DET,ART,ein,ne
bewährungshelferin,NOUN,NN,Bewährungshelferin,Bewährungshelferin
zora,PROPN,NE,Zora,zora
freut,VERB,VVFIN,freuen,freuen
sich,PRON,PRF,sich,er|es|sie
über,ADP,APPR,über,über
ihr,DET,PPOSAT,ihr,ihr
zeugniss,NOUN,NN,Zeugnis,zeugniss
:))),UNK,EMOASC,:))),:)))
*,PUNCT,$(,*,*
aufpluster,UNK,AKW,aufpluster,aufpluster
*,PUNCT,$(,*,*
ich,PRON,PPER,ich,ich
mal,UNK,PTKMA,mal,mal
wieder,ADV,ADV,wieder,wieder
nich,PART,PTKNEG,nicht,nich
...,PUNCT,$.,...,...
was,PRON,PWS,was,was
hast,AUX,VAFIN,haben,hasten
denn,UNK,PTKMA,denn,denn
zori,PROPN,NE,Zori,zori
??,PUNCT,$.,??,??
erzähl,VERB,VVIMP,erzählen,erzählen
Das,PRON,PDS,der,der
hast,AUX,VAFIN,haben,hasten
du,PRON,PPER,du,du
dir,PRON,PRF,sich,du
verdient,VERB,VVPP,verdienen,verdient
",",PUNCT,"$,",",",","
zori,PROPN,NE,Zori,zori
?,PUNCT,$.,?,?
oh,INTJ,ITJ,oh,oh
man,INTJ,ITJ,man,man
wat,PRON,PWS,was,waten
fürn,ADP,APPRART,für,fürn
krawall,NOUN,NN,Krawall,Krawall
hier,ADV,ADV,hier,hier
draußen,ADV,ADV,draußen,draußen
...,PUNCT,$.,...,...
*,PUNCT,$(,*,*
guck,UNK,AKW,guck,gucken
*,PUNCT,$(,*,*
nur,UNK,PTKIFG,nur,nur
einsen,NOUN,NN,Eins,eins
*,PUNCT,$(,*,*
brustschwell,UNK,AKW,brustschwell,brustschwell
*,PUNCT,$(,*,*
ree,INTJ,ITJ,re,ree
:-))),UNK,EMOASC,:-))),:-)))
reee,INTJ,ITJ,re,reee
r,INTJ,ITJ,r,r
emon,PROPN,NE,Emon,emon
und,CONJ,KON,und,und
eine,DET,ART,ein,ein
eins,NOUN,NN,Eins,ein
minus,NOUN,NN,Minus,minus
in,ADP,APPR,in,in
benehmen,NOUN,NN,benehmen,benehmen
*,PUNCT,$(,*,*
ggg,UNK,AKW,ggg,ggg
*,PUNCT,$(,*,*
*,PUNCT,$(,*,*
njamnjamnajm,UNK,ONO,njamnjamnajm,njamnjamnajm
*,PUNCT,$(,*,*
reee,INTJ,ITJ,re,reee
stoeps,PROPN,NE,stoeps,stoeps
.,PUNCT,$.,.,.
ohhhh,INTJ,ITJ,oh,ohhhh
die,DET,ART,der,der
geitigkeit,NOUN,NN,Geistigkeit,geitigkeit
kommt,VERB,VVFIN,kommen,kommen
auch,ADV,ADV,auch,auch
*,PUNCT,$(,*,*
freu,UNK,AKW,freu,freuen
*,PUNCT,$(,*,*
re,INTJ,ITJ,re,Re
schdöbbs,PROPN,NE,stoeps,schdöbbs
:o),UNK,EMOASC,:o),:o)
+,X,XY,+,+
s,UNK,AKW,s,s
Hallo,INTJ,ITJ,hallo,hallo
Emon,PROPN,NE,Emon,Emon
.,PUNCT,$.,.,.
re,INTJ,ITJ,re,Re
stoeps,PROPN,NE,stoeps,stoeps
hi,INTJ,ITJ,hi,hi
emon,PROPN,NE,Emon,emon
tag,INTJ,ITJ,tag,tagen
quaki,PROPN,NE,quaki,quaki
:),UNK,EMOASC,:),:)
dat,PRON,PDS,der,dat
sind,AUX,VAFIN,sein,sein
schätzungsweise,ADV,ADV,schätzungsweise,schätzungsweise
200,NUM,CARD,200,200
krähen,NOUN,NN,Krähe,krähen
oder,CONJ,KON,oder,oder
so,ADV,ADV,so,so
in,ADP,APPR,in,in
nem,DET,ART,ein,nem
baum,NOUN,NN,Baum,Baum
der,PRON,PRELS,der,der
etwa,ADV,ADV,etwa,etwa
100,NUM,CARD,100,100
m,NOUN,NN,m,m
weg,ADV,ADV,weg,weg
is,AUX,VAFIN,sein,is
...,PUNCT,$.,...,...
quaaakiiii,PROPN,NE,quaki,quaaakiiii
und,CONJ,KON,und,und
lanto,PROPN,NE,Lanto,lanto
:),UNK,EMOASC,:),:)
hi,INTJ,ITJ,hi,hi
thor,PROPN,NE,Thor,thor
:-),UNK,EMOASC,:-),:-)
hi,INTJ,ITJ,hi,hi
stoeps,PROPN,NE,stoeps,stoeps
unf,CONJ,KON,und,unf
tom,PROPN,NE,Tom,Tom
:(,UNK,EMOASC,:(,:(
*,PUNCT,$(,*,*
g,UNK,AKW,g,g
*,PUNCT,$(,*,*
über,ADP,APPR,über,über
meine,DET,PPOSAT,mein,meinen
benehmennote,NOUN,NN,Benehmennote,benehmennote
reden,VERB,VVFIN,reden,schönreden
wir,PRON,PPER,wir,wir
lieber,ADJ,ADJD,lieb,lieb
nicht,PART,PTKNEG,nicht,nicht
hi,INTJ,ITJ,hi,hi
emon,PROPN,NE,Emon,emon
200,NUM,CARD,200,200
krähen,NOUN,NN,Krähe,krähen
?,PUNCT,$.,?,?
jo,PART,PTKANT,jo,Jo
..,PUNCT,$.,..,..
Die,DET,ART,der,der
eins,NOUN,NN,Eins,ein
Minus,NOUN,NN,Minus,Minus
hast,AUX,VAFIN,haben,hasten
du,PRON,PPER,du,du
bekommen,VERB,VVPP,bekommen,bekommen
",",PUNCT,"$,",",",","
weil,SCONJ,KOUS,weil,weil
du,PRON,PPER,du,du
eine,DET,ART,ein,ein
Zeitlang,NOUN,NN,Zeitlang,Zeitlang
häufti,ADJ,ADJD,häufti,häufti
gesagt,VERB,VVPP,sagen,sagen
hast,AUX,VAFIN,haben,hasten
.,PUNCT,$.,.,.
was,PRON,PWS,was,was
ist,AUX,VAFIN,sein,sein
Benehmen,NOUN,NN,benehmen,Benehmen
?,PUNCT,$.,?,?
die,DET,ART,der,der
vögel,NOUN,NN,Vogel,vögeln
hi,INTJ,ITJ,hi,hi
quaki,PROPN,NE,quaki,quaki
",",PUNCT,"$,",",",","
lantonie,PROPN,NE,Lantonie,lantonie
*,PUNCT,$(,*,*
hehe,INTJ,ITJ,hehe,hehe
