token,tag,tag_STTS,lemma_gold,lemma_pred
Jemand,PRON,PIS,jemand,Jemand
",",PUNCT,"$,",",",","
der,PRON,PRELS,der,der
Lieder,NOUN,NN,Lied,Lied
schreibt,VERB,VVFIN,schreiben,schreiben
",",PUNCT,"$,",",",","
ist,AUX,VAFIN,sein,sein
gemäß,ADP,APPR,gemäß,gemäß
meinem,DET,PPOSAT,mein,mein
Sprachverständnis,NOUN,NN,Sprachverständnis,Sprachverständnis
ein,DET,ART,ein,einen
Liedschreiber,NOUN,NN,Liedschreiber,Liedschreiber
.,PUNCT,$.,.,.
Wieso,ADV,PWAV,wieso,Wieso
das,PRON,PDS,der,der
weniger,DET,PIAT,weniger,wenig
deutsch,ADJ,ADJD,deutsch,deutschen
sein,AUX,VAINF,sein,mein
soll,VERB,VMFIN,sollen,soll
als,CONJ,KOKOM,als,als
"""",PUNCT,$(,"""",""""
Songautor,NOUN,NN,Songautor,Songautor
"""",PUNCT,$(,"""",""""
",",PUNCT,"$,",",",","
müsstest,VERB,VMFIN,müssen,müsstest
du,PRON,PPER,du,du
mir,PRON,PPER,mir,sich
dann,ADV,ADV,dann,dann
noch,ADV,ADV,noch,noch
erläutern,VERB,VVINF,erläutern,erläutern
.,PUNCT,$.,.,.
Schreibe,VERB,VVFIN,schreiben,Schreibe
ich,PRON,PPER,ich,ich
einen,DET,ART,ein,ein
Ssssssong,NOUN,NN,Song,Ssssssong
",",PUNCT,"$,",",",","
so,ADV,ADV,so,so
schreibe,VERB,VVFIN,schreiben,schreiben
ich,PRON,PPER,ich,ich
nichts,DET,PIAT,nichts,nichts
anderes,PRON,PIS,anderer,ander
als,ADP,APPR,als,als
ein,DET,ART,ein,einen
Lied,NOUN,NN,Lied,Lied
.,PUNCT,$.,.,.
Ich,PRON,PPER,ich,Ich
hab,AUX,VAFIN,haben,hab
mal,UNK,PTKMA,mal,mal
im,ADP,APPRART,in,im
Duden,PROPN,NE,Duden,Duden
nachgesehen,VERB,VVPP,nachsehen,nachsehen
(,PUNCT,$(,(,(
24.,ADJ,ADJA,24.,24.
Auflage,NOUN,NN,Auflage,Auflage
",",PUNCT,"$,",",",","
2006,NUM,CARD,2006,2006
),PUNCT,$(,),)
:,PUNCT,$.,:,:
„,PUNCT,$(,„,„
Liedschreiber,NOUN,NN,Liedschreiber,Liedschreiber
“,PUNCT,$(,“,“
gibt,VERB,VVFIN,geben,geben
es,PRON,PPER,es,ich
nicht,PART,PTKNEG,nicht,nicht
",",PUNCT,"$,",",",","
dafür,ADV,PAV,dafür,dafür
aber,ADV,ADV,aber,aber
„,PUNCT,$(,„,„
Songwriter,NOUN,NN,Songwriter,Songwriter
“,PUNCT,$(,“,“
.,PUNCT,$.,.,.
Ich,PRON,PPER,ich,Ich
verbessere,VERB,VVFIN,verbessern,verbessern
entsprechend,ADJ,ADJD,entsprechend,entsprechen
.,PUNCT,$.,.,.
Gruß,NOUN,NN,Gruß,Gruß
",",PUNCT,"$,",",",","
Solange,SCONJ,KOUS,solange,Solange
keine,DET,PIAT,kein,kein
zuverlässige,ADJ,ADJA,zuverlässig,zuverlässig
Informationsquelle,NOUN,NN,Informationsquelle,Informationsquelle
vorliegt,VERB,VVFIN,vorliegen,vorliegen
",",PUNCT,"$,",",",","
die,PRON,PRELS,der,der
Lou,PROPN,NE,Lou,Lou
Reed,PROPN,NE,Reed,Reed
als,CONJ,KOKOM,als,als
„,PUNCT,$(,„,„
Liedschreiber,NOUN,NN,Liedschreiber,Liedschreiber
“,PUNCT,$(,“,“
bezeichnet,VERB,VVFIN,bezeichnen,bezeichnen
(,PUNCT,$(,(,(
ein,DET,ART,ein,einen
Begriff,NOUN,NN,Begriff,Begriff
",",PUNCT,"$,",",",","
den,PRON,PRELS,der,der
der,DET,ART,der,der
Duden,PROPN,NE,Duden,Duden
wiegesagt,INTJ,ITJ,wiegesagt,wiegesagt
nicht,PART,PTKNEG,nicht,nicht
kennt,VERB,VVFIN,kennen,kennen
),PUNCT,$(,),)
",",PUNCT,"$,",",",","
sollten,VERB,VMFIN,sollen,sollen
wir,PRON,PPER,wir,ich
ihn,PRON,PPER,ihn,ich
nicht,PART,PTKNEG,nicht,nicht
verwenden,VERB,VVINF,verwenden,verwenden
.,PUNCT,$.,.,.
Die,DET,ART,der,der
Konnoation,NOUN,NN,Konnotation,Konnoation
ist,AUX,VAFIN,sein,sein
eben,UNK,PTKMA,eben,eben
eine,DET,ART,ein,einen
andere,DET,PIAT,anderer,ander
als,CONJ,KOKOM,als,als
bei,ADP,APPR,bei,bei
Songwriter,NOUN,NN,Songwriter,Songwriter
.,PUNCT,$.,.,.
Habe,AUX,VAFIN,haben,Habe
den,DET,ART,der,der
Artikel,NOUN,NN,Artikel,Artikel
zufällig,ADJ,ADJD,zufällig,zufällig
auf,ADP,APPR,auf,auf
meiner,DET,PPOSAT,mein,sich
Beobachtungsliste,NOUN,NN,Beobachtungsliste,Beobachtungsliste
und,CONJ,KON,und,und
wundere,VERB,VVFIN,wundern,wund
mich,PRON,PRF,sich,sich
über,ADP,APPR,über,über
die,DET,ART,der,der
Begriffsverkrampfung,NOUN,NN,Begriffsverkrampfung,Begriffsverkrampfung
.,PUNCT,$.,.,.
Also,ADV,ADV,also,Also
"""",PUNCT,$(,"""",""""
Liedschreiber,NOUN,NN,Liedschreiber,Liedschreiber
"""",PUNCT,$(,"""",""""
liest,VERB,VVFIN,lesen,lesen
sich,PRON,PRF,sich,sich
schon,UNK,PTKMA,schon,schon
arg,UNK,PTKIFG,arg,arg
reaktionär,ADJ,ADJD,reaktionär,reaktionär
.,PUNCT,$.,.,.
Warum,ADV,PWAV,warum,warum
nicht,PART,PTKNEG,nicht,nicht
den,DET,ART,der,der
allgemein,ADJ,ADJD,allgemein,allgemein
geläufigen,ADJ,ADJA,geläufig,geläufig
Anglizismus,NOUN,NN,Anglizismus,Anglizismus
"""",PUNCT,$(,"""",""""
Songwriting,NOUN,NN,Songwriting,Songwriting
"""",PUNCT,$(,"""",""""
akzeptieren,VERB,VVINF,akzeptieren,akzeptieren
?,PUNCT,$.,?,?
Songwriting,NOUN,NN,Songwriting,Songwriting
kann,VERB,VMFIN,können,können
der,DET,ART,der,der
moderne,ADJ,ADJA,modern,modern
",",PUNCT,"$,",",",","
an,ADP,APPR,an,an
Popularmusik,NOUN,NN,Popularmusik,Popularmusik
interessierte,ADJ,ADJA,interessiert,interessieren
Mensch,NOUN,NN,Mensch,Mensch
übrigens,ADV,ADV,übrigens,übrigens
sogar,UNK,PTKIFG,sogar,sogar
an,ADP,APPR,an,an
deutschen,ADJ,ADJA,deutsch,deutsch
Universitäten,NOUN,NN,Universität,Universität
erlernen,VERB,VVINF,erlernen,erlernen
",",PUNCT,"$,",",",","
z.,ADP,APPRART,z.,z.
B.,NOUN,NN,B.,B.
an,ADP,APPR,an,an
der,DET,ART,der,der
MH,NOUN,NN,MH,MH
Stuttgart,PROPN,NE,Stuttgart,Stuttgart
.,PUNCT,$.,.,.
Und,CONJ,KON,und,und
das,DET,ART,der,der
Wiki-Lemma,NOUN,NN,Wiki-Lemma,Wiki-Lemma
lautet,VERB,VVFIN,lauten,lauten
ebenso,ADV,ADV,ebenso,ebenso
.,PUNCT,$.,.,.
Habe,AUX,VAFIN,haben,Habe
die,DET,ART,der,der
Ehre,NOUN,NN,Ehre,Ehre
",",PUNCT,"$,",",",","
Wer,PRON,PWS,wer,Wer
daraus,ADV,PAV,daraus,daraus
nen,DET,ART,ein,nen
Drama,NOUN,NN,Drama,Drama
macht,VERB,VVFIN,machen,machen
",",PUNCT,"$,",",",","
ist,AUX,VAFIN,sein,sein
wie,CONJ,KOKOM,wie,wie
immer,ADV,ADV,immer,immer
Phi,PROPN,NE,Phi,Phi
-,PUNCT,$(,-,-
sie,PRON,PPER,sie,ich
kanns,UNK,VMPPER,können,kanns
einfach,ADJ,ADJD,einfach,einfach
nicht,PART,PTKNEG,nicht,nicht
lassen,VERB,VVINF,lassen,lassen
.,PUNCT,$.,.,.
Wenn,SCONJ,KOUS,wenn,Wenn
songwriting,NOUN,NN,Songwriting,songwriting
auf,ADP,APPR,auf,auf
engl.,ADJ,ADJA,englisch,engl.
Liedschreiberei,NOUN,NN,Liedschreiberei,Liedschreiberei
verweist,VERB,VVFIN,verweisen,verweisen
",",PUNCT,"$,",",",","
ist,AUX,VAFIN,sein,sein
diese,DET,PDAT,dieser,dies
Diskussion,NOUN,NN,Diskussion,Diskussion
mal,UNK,PTKMA,mal,mal
wieder,ADV,ADV,wieder,wieder
völlig,UNK,PTKIFG,völlig,völlig
sinnlos,ADJ,ADJD,sinnlos,sinnlos
.,PUNCT,$.,.,.
Bewegen,VERB,VVFIN,bewegen,Bewegen
wir,PRON,PPER,wir,ich
uns,PRON,PRF,sich,sich
hier,ADV,ADV,hier,hier
in,ADP,APPR,in,in
der,DET,ART,der,der
