token,tag,tag_STTS,lemma_gold,lemma_pred
Dazu,ADV,PROAV,dazu,Dazu
kommen,VERB,VVFIN,kommen,kommen
zehn,NUM,CARD,zehn,zehn
statt,ADP,APPR,statt,statt
bisher,ADV,ADV,bisher,bisher
fünf,NUM,CARD,fünf,fünf
E-Mail-Adressen,NOUN,NN,Adresse,E-Mail-Adressen
sowie,CCONJ,KON,sowie,sowie
zehn,NUM,CARD,zehn,zehn
MByte,NOUN,NN,MByte,MByte
Webspace,PROPN,NE,Webspace,Webspace
.,PUNCT,$.,.,.
Die,DET,ART,die,der
bisherigen,ADJ,ADJA,bisherig,bisherig
kostenlosen,ADJ,ADJA,kostenlos,kostenlos
Dienste,NOUN,NN,Dienst,Dienst
bleiben,VERB,VVFIN,bleiben,bleiben
weiterhin,ADV,ADV,weiterhin,weiterhin
im,_,,_,im
in,ADP,APPR,in,in
dem,DET,ART,der,der
Angebot,NOUN,NN,Angebot,Angebot
.,PUNCT,$.,.,.
Das,DET,ART,das,der
US-amerikanische,ADJ,ADJA,amerikanisch,US-amerikanische
Unternehmen,NOUN,NN,Unternehmen,Unternehmen
Qwest,PROPN,NE,Qwest,Qwest
verlängert,VERB,VVFIN,verlängern,verlängern
seine,PRON,PPOSAT,seine,mein
Mitgliedschaft,NOUN,NN,Mitgliedschaft,Mitgliedschaft
im,_,,_,im
in,ADP,APPR,in,in
dem,DET,ART,der,der
Forschungskonsortium,NOUN,NN,Konsortium,Forschungskonsortium
Internet2,X,FM,Internet2,Internet2
.,PUNCT,$.,.,.
Internet2,X,FM,internet2,Internet2
ist,AUX,VAFIN,sein,sein
ein,DET,ART,ein,einen
in,ADP,APPR,in,in
den,DET,ART,den,der
USA,PROPN,NE,USA,USA
1996,NUM,CARD,1996,1996
gegründeter,ADJ,ADJA,gründen,gegründet
Zusammenschluss,NOUN,NN,Zusammenschluß,Zusammenschluss
von,ADP,APPR,von,von
rund,ADV,ADV,rund,rund
140,NUM,CARD,140,140
Universitäten,NOUN,NN,Universität,Universität
",",PUNCT,"$,",",",","
die,PRON,PRELS,die,der
mit,ADP,APPR,mit,mit
Unterstützung,NOUN,NN,Unterstützung,Unterstützung
der,DET,ART,der,der
Industrie,NOUN,NN,Industrie,Industrie
an,ADP,APPR,an,an
der,DET,ART,der,der
nächsten,ADJ,ADJA,nächste,nächst
Generation,NOUN,NN,Generation,Generation
des,DET,ART,des,der
Internet,NOUN,NN,Internet,Internet
forschen,VERB,VVFIN,forschen,forschen
.,PUNCT,$.,.,.
Qwest,PROPN,NE,Qwest,Qwest
liefert,VERB,VVFIN,liefern,liefern
dem,DET,ART,dem,der
Konsortium,NOUN,NN,Konsortium,Konsortium
die,DET,ART,die,der
nötige,ADJ,ADJA,nötig,nötig
Leitungsinfrastruktur,NOUN,NN,Infrastruktur,Leitungsinfrastruktur
.,PUNCT,$.,.,.
Das,DET,ART,das,der
deutsche,ADJ,ADJA,deutsch,deutsch
Internet2,X,FM,Internet2,Internet2
ging,VERB,VVFIN,gehen,gehen
Ende,NOUN,NN,Ende,Ende
Juni,NOUN,NN,Juni,Juni
2000,NUM,CARD,2000,2000
an,ADP,APPR,an,an
den,DET,ART,den,der
Start,NOUN,NN,Start,Start
.,PUNCT,$.,.,.
Sun,PROPN,NE,Sun,Sun
Microsystems,PROPN,NE,Microsystems,Microsystems
erwartet,VERB,VVFIN,erwarten,erwarten
nach,ADP,APPR,nach,nach
den,DET,ART,den,der
vorläufigen,ADJ,ADJA,vorläufig,vorläufig
Zahlen,NOUN,NN,Zahl,Zahl
für,ADP,APPR,für,für
das,DET,ART,das,der
erste,ADJ,ADJA,erste,erste
Quartal,NOUN,NN,Quartal,Quartal
des,DET,ART,des,der
laufenden,ADJ,ADJA,laufenden,laufend
Geschäftsjahres,NOUN,NN,Geschäftsjahr,Geschäftsjahres
einen,DET,ART,einen,ein
Umsatz,NOUN,NN,Umsatz,Umsatz
zwischen,ADP,APPR,zwischen,zwischen
"2,7",NUM,CARD,"2,7","2,7"
und,CCONJ,KON,und,und
"2,9",NUM,CARD,"2,9","2,9"
Milliarden,NOUN,NN,Milliarde,Milliarde
US-Dollar,NOUN,NN,Dollar,US-Dollar
;,PUNCT,$.,;,;
daraus,ADV,PROAV,daraus,daraus
resultiere,VERB,VVFIN,resultieren,resultieren
ein,DET,ART,ein,einen
Verlust,NOUN,NN,Verlust,Verlust
von,ADP,APPR,von,von
fünf,NUM,CARD,fünf,fünf
bis,ADP,APPR,bis,bis
sieben,NUM,CARD,sieben,sieben
Cents,NOUN,NN,Cents,Cents
pro,ADP,APPR,pro,pro
Aktie,NOUN,NN,Aktie,Aktie
.,PUNCT,$.,.,.
Die,DET,ART,die,der
Erwartungen,NOUN,NN,Erwartung,Erwartung
der,DET,ART,der,der
Analysten,NOUN,NN,Analyst,Analysten
betrugen,VERB,VVFIN,betragen,betragen
bislang,ADV,ADV,bislang,bislang
4,NUM,CARD,4,4
Cents,NOUN,NN,Cents,Cents
Verlust,NOUN,NN,Verlust,Verlust
pro,ADP,APPR,pro,pro
Aktie,NOUN,NN,Aktie,Aktie
.,PUNCT,$.,.,.
Nach,ADP,APPR,nach,Nach
den,DET,ART,den,der
Attentaten,NOUN,NN,Attentat,Attentat
vom,_,,_,vom
von,ADP,APPR,von,von
dem,DET,ART,der,der
11.,ADJ,ADJA,11.,11.
September,NOUN,NN,September,September
müssten,AUX,VMFIN,müssen,müssten
die,DET,ART,die,der
Erwartungen,NOUN,NN,Erwartung,Erwartung
weiter,ADV,ADV,weiter,weit
nach,ADP,APPR,nach,nach
unten,ADV,ADV,unten,unten
korrigiert,VERB,VVPP,korrigieren,korrigieren
werden,AUX,VAINF,werden,werden
",",PUNCT,"$,",",",","
sagte,VERB,VVFIN,sagen,sagen
Vorstandvorsitzender,NOUN,NN,Vorsitzender,Vorstandvorsitzender
Scott,PROPN,NE,Scott,Scott
McNealy,PROPN,NE,McNealy,McNealy
nun,ADV,ADV,nun,nun
am,_,,_,am
an,ADP,APPR,an,an
dem,DET,ART,der,der
heutigen,ADJ,ADJA,heutig,heutig
Freitag,NOUN,NN,Freitag,Freitag
.,PUNCT,$.,.,.
Die,DET,ART,die,der
Position,NOUN,NN,Position,Position
seines,PRON,PPOSAT,seines,mein
Unternehmens,NOUN,NN,Unternehmen,Unternehmen
sei,AUX,VAFIN,sein,sein
zwar,ADV,ADV,zwar,zwar
stärker,ADJ,ADJD,stärker,stark
denn,CCONJ,KOKOM,denn,denn
je,ADV,ADV,je,je
",",PUNCT,"$,",",",","
doch,CCONJ,KON,doch,doch
die,DET,ART,die,der
derzeitigen,ADJ,ADJA,derzeitig,derzeitig
ökonomischen,ADJ,ADJA,ökonomisch,ökonomisch
Bedingungen,NOUN,NN,Bedingung,Bedingung
seien,AUX,VAFIN,sein,sein
ohne,ADP,APPR,ohne,ohne
Zweifel,NOUN,NN,Zweifel,Zweifel
sehr,ADV,ADV,sehr,sehr
schwierig,ADJ,ADJD,schwierig,schwierig
.,PUNCT,$.,.,.
Daher,ADV,PROAV,daher,daher
will,AUX,VMFIN,wollen,wollen
Sun,PROPN,NE,Sun,Sun
neun,NUM,CARD,neun,neun
Prozent,NOUN,NN,Prozent,Prozent
der,DET,ART,der,der
Belegschaft,NOUN,NN,Belegschaft,Belegschaft
entlassen,VERB,VVINF,entlassen,entlassen
und,CCONJ,KON,und,und
einige,DET,PIAT,einig,einig
Fabriken,NOUN,NN,Fabrik,Fabrik
schließen,VERB,VVINF,schließen,schließen
.,PUNCT,$.,.,.
Für,ADP,APPR,für,Für
das,DET,ART,das,der
zweite,ADJ,ADJA,zweit,zweite
Quartal,NOUN,NN,Quartal,Quartal
entstehen,VERB,VVFIN,entstehen,entstehen
dem,DET,ART,dem,der
Unternehmen,NOUN,NN,Unternehmen,Unternehmen
dadurch,ADV,PROAV,dadurch,dadurch
zusätzliche,ADJ,ADJA,zusätzlich,zusätzliche
Belastungen,NOUN,NN,Belastung,Belastung
in,ADP,APPR,in,in
Höhe,NOUN,NN,Höhe,Höhe
von,ADP,APPR,von,von
500,NUM,CARD,500,500
Millionen,NOUN,NN,Million,Million
US-Dollar,NOUN,NN,Dollar,US-Dollar
.,PUNCT,$.,.,.
In,ADP,APPR,in,In
diesen,DET,PDAT,diesen,dies
Tagen,NOUN,NN,Tag,Tag
hatten,AUX,VAFIN,haben,haben
auch,ADV,ADV,auch,auch
die,DET,ART,die,der
PC-Hersteller,NOUN,NN,Hersteller,PC-Hersteller
Gateway,PROPN,NE,Gateway,Gateway
und,CCONJ,KON,und,und
Compaq,PROPN,NE,Compaq,Compaq
Gewinnwarnungen,NOUN,NN,Warnung,Gewinnwarnungen
wegen,ADP,APPR,wegen,wegen
der,DET,ART,der,der
rückläufigen,ADJ,ADJA,rückläufig,rückläufig
Nachfrage,NOUN,NN,Nachfrage,Nachfrage
im,_,,_,im
in,ADP,APPR,in,in
dem,DET,ART,der,der
Zusammenhang,NOUN,NN,Zusammenhang,Zusammenhang
mit,ADP,APPR,mit,mit
den,DET,ART,den,der
Ereignissen,NOUN,NN,Ereignis,Ereignis
vom,_,,_,vom
von,ADP,APPR,von,von
dem,DET,ART,der,der
11.,ADJ,ADJA,11.,11.
September,NOUN,NN,September,September
verkündet,VERB,VVPP,verkünden,verkünden
.,PUNCT,$.,.,.
Dell,PROPN,NE,Dell,Dell
und,CCONJ,KON,und,und
Cisco,PROPN,NE,Cisco,Cisco
zeigten,VERB,VVFIN,zeigen,zeigen
sich,PRON,PRF,sich,sich
hingegen,ADV,ADV,hingegen,hingegen
davon,ADV,PROAV,davon,davon
relativ,ADJ,ADJD,relativ,relativ
unbeeindruckt,ADJ,ADJD,unbeeindruckt,unbeeindruckt
.,PUNCT,$.,.,.
Die,DET,ART,die,der
Bundesregierung,NOUN,NN,Regierung,Bundesregierung
zeigt,VERB,VVFIN,zeigen,zeigen
sich,PRON,PRF,sich,sich
bedingt,ADJ,ADJD,bedingen,bedingt
optimistisch,ADJ,ADJD,optimistisch,optimistisch
bei,ADP,APPR,bei,bei
der,DET,ART,der,der
Beseitigung,NOUN,NN,Beseitigung,Beseitigung
des,DET,ART,des,der
Fachkräftemangels,NOUN,NN,Mangel,Fachkräftemangels
in,ADP,APPR,in,in
der,DET,ART,der,der
IT-Branche,NOUN,NN,Branche,IT-Branche
.,PUNCT,$.,.,.
Bis,ADP,APPR,bis,bis
2005,NUM,CARD,2005,2005
könnte,AUX,VMFIN,können,können
es,PRON,PPER,es,ich
350.000,NUM,CARD,350.000,350.000
zusätzliche,ADJ,ADJA,zusätzlich,zusätzliche
Fachkräfte,NOUN,NN,Fachkraft,Fachkräfte
geben,VERB,VVINF,geben,geben
",",PUNCT,"$,",",",","
erklärte,VERB,VVFIN,erklären,erklären
heute,ADV,ADV,heute,heute
die,DET,ART,die,der
Bundesregierung,NOUN,NN,Regierung,Bundesregierung
in,ADP,APPR,in,in
einer,DET,ART,einer,einer
Antwort,NOUN,NN,Antwort,Antwort
auf,ADP,APPR,auf,auf
eine,DET,ART,eine,einen
große,ADJ,ADJA,groß,groß
Anfrage,NOUN,NN,Anfrage,Anfrage
der,DET,ART,der,der
CDU/CSU-Fraktion,NOUN,NN,Fraktion,CDU/CSU-Fraktion
.,PUNCT,$.,.,.
Voraussetzung,NOUN,NN,Voraussetzung,Voraussetzung
sei,AUX,VAFIN,sein,sein
",",PUNCT,"$,",",",","
dass,SCONJ,KOUS,dass,dass
die,DET,ART,die,der
Unternehmen,NOUN,NN,Unternehmen,Unternehmen
weiter,ADV,ADV,weiter,weit
engagiert,ADJ,ADJD,engagieren,engagieren
ausbildeten,VERB,VVFIN,ausbilden,ausbilden
und,CCONJ,KON,und,und
die,DET,ART,die,der
Bundesanstalt,NOUN,NN,Anstalt,Bundesanstalt
für,ADP,APPR,für,für
Arbeit,NOUN,NN,Arbeit,Arbeit
ihre,PRON,PPOSAT,ihre,mein
Weiterbildungsmaßnahmen,NOUN,NN,Maßnahme,Weiterbildungsmaßnahmen
"""",PUNCT,$(,"""",""""
auf,ADP,APPR,auf,auf
hohem,ADJ,ADJA,hoch,hoch
Niveau,NOUN,NN,Niveau,Niveau
"""",PUNCT,$(,"""",""""
beibehalte,VERB,VVFIN,beibehalten,beibehalten
.,PUNCT,$.,.,.
Außerdem,ADV,PROAV,außerdem,Außerdem
müssten,AUX,VMFIN,müssen,müssten
Hochschulreformen,NOUN,NN,Reform,Hochschulreformen
greifen,VERB,VVINF,greifen,greifen
und,CCONJ,KON,und,und
die,DET,ART,die,der
Strukturierung,NOUN,NN,Strukturierung,Strukturierung
der,DET,ART,der,der
Weiterbildung,NOUN,NN,Bildung,Weiterbildung
im,_,,_,im
in,ADP,APPR,in,in
dem,DET,ART,der,der
IT-Bereich,NOUN,NN,Bereich,IT-Bereich
abgeschlossen,VERB,VVPP,abschließen,abschließen
sein,AUX,VAINF,sein,mein
.,PUNCT,$.,.,.
Als,CCONJ,KOKOM,als,als
Beispiele,NOUN,NN,Beispiel,Beispiel
für,ADP,APPR,für,für
Reformen,NOUN,NN,Reform,Reform
nannte,VERB,VVFIN,nennen,nennen
die,DET,ART,die,der
Regierung,NOUN,NN,Regierung,Regierung
unter,ADP,APPR,unter,unter
anderem,PRON,PIS,ander,ander
das,DET,ART,das,der
"""",PUNCT,$(,"""",""""
Sofortprogramm,NOUN,NN,Programm,Sofortprogramm
von,ADP,APPR,von,von
Bundesregierung,NOUN,NN,Regierung,Bundesregierung
und,CCONJ,KON,und,und
IuK-Wirtschaft,NOUN,NN,Wirtschaft,IuK-Wirtschaft
zur,_,,_,zur
zu,ADP,APPR,zu,zu
der,DET,ART,der,der
Deckung,NOUN,NN,Deckung,Deckung
des,DET,ART,des,der
IT-Fachkräftebedarfs,NOUN,NN,Bedarf,IT-Fachkräftebedarfs
in,ADP,APPR,in,in
Deutschland,PROPN,NE,Deutschland,Deutschland
"""",PUNCT,$(,"""",""""
sowie,CCONJ,KON,sowie,sowie
das,DET,ART,das,der
Konzept,NOUN,NN,Konzept,Konzept
"""",PUNCT,$(,"""",""""
IT,NOUN,NN,IT,IT
in,ADP,APPR,in,in
der,DET,ART,der,der
Bildung,NOUN,NN,Bildung,Bildung
-,PUNCT,$(,-,-
Anschluss,NOUN,NN,Anschluß,Anschluss
statt,ADP,APPR,statt,statt
Ausschluss,NOUN,NN,Ausschluß,Ausschluss
"""",PUNCT,$(,"""",""""
.,PUNCT,$.,.,.
Bis,ADP,APPR,bis,bis
Ende,NOUN,NN,Ende,Ende
2000,NUM,CARD,2000,2000
