token,tag,tag_STTS,lemma_gold,lemma_pred
Von,ADP,``,von,von
Anbeginn,NOUN,DT,Anbeginn,Anbeginn
Biß,NOUN,NN,Biß,Biß
Dato,PROPN,DT,Dato,Dato
hin,PART,JJ,hin,hin
/,PUNCT,NN,/,--
Täte,NOUN,VBC,Täte,Täte
man,PRON,IN,man,man
den,DET,DT,d,der
Adel,NOUN,JJ,Adel,Adel
achten,VERB,NN,achten,achten
",",PUNCT,JJ,",",--
In,ADP,",",in,in
diesem,DET,DT,dies,dieser
Land,NOUN,JJ,Land,Land
Ei,INTJ,NN,Ei,Ei
p',ADJ,RB,p',p'
fuch,NOUN,RB,fuch,fuch
der,DET,'',d,der
Schand,NOUN,",",Schand,Schand
Tut,PROPN,VBC,Tut,Tut
man,PRON,NNP,man,man
ihn,PRON,NN,er,ihn
gar,ADV,NNP,gar,gar
verachten,VERB,NNP,verachten,verachten
Täte,NOUN,,Täte,Täte
dies,PRON,APPR,dies,dieser
nur,ADV,ART,nur,nur
Sin,NOUN,NN,Sin,Sin
/,PUNCT,IN,/,--
Es,PRON,DT,es,es
ginge,VERB,NN,gehen,gehen
hin,PART,.,hin,hin
/,PUNCT,IN,/,--
Man,PRON,NN,man,man
nimmt,VERB,",",nehmen,nehmen
ihm,PRON,REL,er,ihm
gar,ADV,NN,gar,gar
die,DET,-,d,der
Würzen,ADJ,NN,Würzen,Würze
Das,DET,-,d,der
G',NOUN,NN,G',G'
schlecht,ADJ,IN,schlecht,schlecht
das,DET,DT,d,der
Blut,NOUN,NN,Blut,Blut
/,PUNCT,NN,/,--
Mit,ADP,VBC,mit,mit
Hab,NOUN,",",Hab,Hab
und,CONJ,VBC,und,und
Gut,ADJ,DT,gut,gute
/,PUNCT,NN,/,--
Will,VERB,DT,wollen,Will
man,PRON,NN,man,man
zu,ADP,JJ,zu,zu
Boden,NOUN,VB,Boden,Boden
stürzen,VERB,.,stürzen,stürzen
/,PUNCT,IN,/,--
Kein,DET,DTP$,kein,kein
edles,ADJ,JJ,edel,edel
Haus,NOUN,NN,Haus,Haus
Sich,PRON,,er|es|sie,sich
schwinget,VERB,APPR,schwinget,schwingen
aus,PART,ART,aus,aus
/,PUNCT,NN,/,--
