token,tag,tag_STTS,lemma_gold,lemma_pred
_,UNK,--,--,_
JustChat,PROPN,NE,JustChat,JustChat
4.0r0.204,X,XY,4.0r0.204,4.0r0.204
(,PUNCT,$(,(,--
"55,204",NUM,CARD,"55,204","55,204"
),PUNCT,$(,),--
developed,X,FM,developed,developed
by,X,FM,by,by
Medium.net,PROPN,NE,Medium.net,Medium.net
.,PUNCT,$.,.,--
_,UNK,--,--,_
Du,PRON,PPER,du,du
betrittst,VERB,VVFIN,betreten,betritten
den,DET,ART,d,der
Raum,NOUN,NN,Raum,Raum
.,PUNCT,$.,.,--
_,UNK,--,--,_
Was,PRON,PWS,was,was
passiert,VERB,VVFIN,passieren,passieren
?,PUNCT,$.,?,--
_,UNK,--,--,_
Ist,AUX,VAFIN,sein,sein
das,PRON,PDS,d,der
echt,ADJ,ADJD,echt,echt
",",PUNCT,"$,",",",--
Zora,PROPN,NE,Zora,Zora
?,PUNCT,$.,?,--
_,UNK,--,--,_
Little15,PROPN,NE,little15,Little15
betritt,VERB,VVFIN,betreten,betreten
den,DET,ART,d,der
Raum,NOUN,NN,Raum,Raum
.,PUNCT,$.,.,--
_,UNK,--,--,_
Das,DET,ART,d,der
Küssen,NOUN,NN,Küssen,Küssen
macht,VERB,VVFIN,machen,machen
etwas,PRON,PIS,etwas,etwas
?,PUNCT,$.,?,--
_,UNK,--,--,_
Na,INTJ,ITJ,na,Na
",",PUNCT,"$,",",",--
gut,ADJ,ADJD,gut,gut
",",PUNCT,"$,",",",--
marc30,PROPN,NE,marc30,marc30
.,PUNCT,$.,.,--
_,UNK,--,--,_
Es,PRON,PPER,es,es
gibt,VERB,VVFIN,geben,geben
kein,DET,PIAT,kein,kein
Servicepaket,NOUN,NN,Servicepaket,Servicepaket
Nr.,NOUN,NN,Nummer,Nr.
1,NUM,CARD,1,1
für,ADP,APPR,für,für
dich,PRON,PPER,du,dich
.,PUNCT,$.,.,--
_,UNK,--,--,_
:),X,XY,:),:)
.,PUNCT,$.,.,--
_,UNK,--,--,_
Was,PRON,PIS,was,was
ist,AUX,VAFIN,sein,sein
passiert,VERB,VVPP,passieren,passieren
?,PUNCT,$.,?,--
_,UNK,--,--,_
TomcatMJ,PROPN,NE,TomcatMJ,TomcatMJ
kommt,VERB,VVFIN,kommen,kommen
aus,ADP,APPR,aus,aus
dem,DET,ART,d,der
Raum,NOUN,NN,Raum,Raum
Go-Rin-No-Sho,PROPN,NE,Go-Rin-No-Sho,Go-Rin-No-Sho
herein,PART,PTKVZ,herein,herein
.,PUNCT,$.,.,--
_,UNK,--,--,_
Hi,INTJ,ITJ,hi,Hi
_,UNK,--,--,_
TomcatMJ,PROPN,NE,TomcatMJ,TomcatMJ
ist,AUX,VAFIN,sein,sein
wieder,ADV,ADV,wieder,wieder
da,PART,PTKVZ,da,da
.,PUNCT,$.,.,--
_,UNK,--,--,_
Danke,PART,PTKANT,danke,Danke
",",PUNCT,"$,",",",--
Pharao,PROPN,NE,Pharao,Pharao
.,PUNCT,$.,.,--
_,UNK,--,--,_
_,UNK,--,--,_
Erleichtert,ADJ,ADJD,erleichtert,Erleichtert
gucke,VERB,VVFIN,gucken,gucken
ich,PRON,PPER,ich,ich
_,UNK,--,--,_
.,PUNCT,$.,.,--
_,UNK,--,--,_
Juhu,INTJ,ITJ,juhu,Juhu
",",PUNCT,"$,",",",--
TomcatMJ,PROPN,NE,TomcatMJ,TomcatMJ
ist,AUX,VAFIN,sein,sein
da,ADV,ADV,da,da
.,PUNCT,$.,.,--
_,UNK,--,--,_
Ist,AUX,VAFIN,sein,sein
das,PRON,PDS,d,der
echt,ADJ,ADJD,echt,echt
?,PUNCT,$.,?,--
_,UNK,--,--,_
Hi,INTJ,ITJ,hi,Hi
",",PUNCT,"$,",",",--
Quaki,PROPN,NE,Quaki,Quaki
.,PUNCT,$.,.,--
_,UNK,--,--,_
Heyho,INTJ,ITJ,hey,Heyho
",",PUNCT,"$,",",",--
TomcatMJ,PROPN,NE,TomcatMJ,TomcatMJ
.,PUNCT,$.,.,--
_,UNK,--,--,_
TomcatMJ,PROPN,NE,TomcatMJ,TomcatMJ
.,PUNCT,$.,.,--
_,UNK,--,--,_
Hi,INTJ,ITJ,hi,Hi
",",PUNCT,"$,",",",--
marc30,PROPN,NE,marc30,marc30
.,PUNCT,$.,.,--
_,UNK,--,--,_
Hi,INTJ,ITJ,hi,Hi
",",PUNCT,"$,",",",--
TomcatMJ,PROPN,NE,TomcatMJ,TomcatMJ
.,PUNCT,$.,.,--
_,UNK,--,--,_
Hi,INTJ,ITJ,hi,Hi
",",PUNCT,"$,",",",--
Faryen-Angle,PROPN,NE,Faryen-Angle,Faryen-Angle
.,PUNCT,$.,.,--
_,UNK,--,--,_
Hi,INTJ,ITJ,hi,Hi
",",PUNCT,"$,",",",--
Zora,PROPN,NE,Zora,Zora
.,PUNCT,$.,.,--
_,UNK,--,--,_
Huhu,INTJ,ITJ,huhu,Huhu
",",PUNCT,"$,",--,--
TomcatMJ,PROPN,NE,TomcatMJ,TomcatMJ
.,PUNCT,$.,.,--
_,UNK,--,--,_
Ist,AUX,VAFIN,sein,sein
alles,PRON,PIS,alles,alle
Konfetti,NOUN,NN,Konfetti,Konfetti
bei,ADP,APPR,bei,bei
euch,PRON,PPER,ihr,euch
?,PUNCT,$.,?,--
_,UNK,--,--,_
Ich,PRON,PPER,ich,ich
mich,PRON,PRF,ich,sich
nochmal,ADV,ADV,nochmal,nochmal
zu,ADP,APPR,zu,zu
hi,NOUN,NN,Hi,hi
hin,PART,PTKVZ,hin,hin
stelle,VERB,VVFIN,stellen,stellen
_,UNK,--,--,_
Little15,PROPN,NE,little15,Little15
verlässt,VERB,VVFIN,verlassen,verlässen
den,DET,ART,d,der
Raum,NOUN,NN,Raum,Raum
.,PUNCT,$.,.,--
_,UNK,--,--,_
Lantonie,PROPN,NE,Lantonie,Lantonie
betritt,VERB,VVFIN,betreten,betreten
den,DET,ART,d,der
Raum,NOUN,NN,Raum,Raum
.,PUNCT,$.,.,--
_,UNK,--,--,_
Lantonie,PROPN,NE,Lantonie,Lantonie
.,PUNCT,$.,.,--
_,UNK,--,--,_
Hallo,INTJ,ITJ,hallo,Hallo
.,PUNCT,$.,.,--
_,UNK,--,--,_
:))),X,XY,:))),:)))
_,UNK,--,--,_
Ich,PRON,PPER,ich,ich
mal,ADV,ADV,mal,mal
gucke,VERB,VVFIN,gucken,gucken
",",PUNCT,"$,",",",--
wo,ADV,PWAV,wo,wo
Quaki,PROPN,NE,Quaki,Quaki
sich,PRON,PRF,sich,sich
nun,ADV,ADV,nun,nun
hinstellt,VERB,VVFIN,hinstellen,hinstellen
.,PUNCT,$.,.,--
_,UNK,--,--,_
_,UNK,--,--,_
G,X,XY,g,G
_,UNK,--,--,_
.,PUNCT,$.,.,--
_,UNK,--,--,_
Ich,PRON,PPER,ich,ich
_,UNK,--,--,_
freue,VERB,VVFIN,freuen,freuen
_,UNK,--,--,_
mich,PRON,PRF,ich,mich
.,PUNCT,$.,.,--
_,UNK,--,--,_
Juhu,INTJ,ITJ,juhu,Juhu
!,PUNCT,$.,!,--
_,UNK,--,--,_
Hallo,INTJ,ITJ,hallo,Hallo
",",PUNCT,"$,",",",--
Quaki,PROPN,NE,Quaki,Quaki
.,PUNCT,$.,.,--
_,UNK,--,--,_
:o),X,XY,:o),:o)
_,UNK,--,--,_
Hi,INTJ,ITJ,hi,Hi
",",PUNCT,"$,",",",--
Lantonie,PROPN,NE,Lantonie,Lantonie
.,PUNCT,$.,.,--
_,UNK,--,--,_
Huhu,INTJ,ITJ,huhu,Huhu
",",PUNCT,"$,",",",--
Zora,PROPN,NE,Zora,Zora
.,PUNCT,$.,.,--
_,UNK,--,--,_
Re,INTJ,ITJ,re,Re
",",PUNCT,"$,",",",--
TomcatMJ,PROPN,NE,TomcatMJ,TomcatMJ
.,PUNCT,$.,.,--
_,UNK,--,--,_
Re,INTJ,ITJ,re,Re
",",PUNCT,"$,",",",--
marc30,PROPN,NE,marc30,marc30
.,PUNCT,$.,.,--
_,UNK,--,--,_
.))),X,XY,.))),.)))
_,UNK,--,--,_
Upps,INTJ,ITJ,ups,Upps
",",PUNCT,"$,",",",--
ist,AUX,VAFIN,sein,sein
das,PRON,PDS,d,der
das,DET,ART,d,der
falsche,ADJ,ADJA,falsche,falsch
Eck,NOUN,NN,Eck,Eck
?,PUNCT,$.,?,--
_,UNK,--,--,_
Quaki,PROPN,NE,Quaki,Quaki
krabbelt,VERB,VVFIN,krabbeln,krabbeln
aus,ADP,APPR,aus,aus
dem,DET,ART,d,der
Eck,NOUN,NN,Eck,Eck
raus,PART,PTKVZ,raus,raus
.,PUNCT,$.,.,--
_,UNK,--,--,_
Hallo,INTJ,ITJ,hallo,Hallo
",",PUNCT,"$,",",",--
Faryen-Angle,PROPN,NE,Faryen-Angle,Faryen-Angle
.,PUNCT,$.,.,--
_,UNK,--,--,_
Ich,PRON,PPER,ich,ich
finde,VERB,VVFIN,finden,finden
den,DET,ART,d,der
Quaki,PROPN,NE,Quaki,Quaki
klasse,ADJ,ADJD,klasse,klasse
",",PUNCT,"$,",",",--
er,PRON,PPER,er,er
ist,AUX,VAFIN,sein,sein
ein,DET,ART,ein,ein
toller,ADJ,ADJA,toll,toll
Neuzugang,NOUN,NN,Neuzugang,Neuzugang
",",PUNCT,"$,",",",--
der,PRON,PRELS,d,der
sich,PRON,PRF,sich,sich
echt,ADJ,ADJD,echt,echt
bewährt,VERB,VVFIN,bewähren,bewähren
.,PUNCT,$.,.,--
_,UNK,--,--,_
Na,INTJ,ITJ,na,na
",",PUNCT,"$,",",",--
Zora,PROPN,NE,Zora,Zora
?,PUNCT,$.,?,--
_,UNK,--,--,_
:)),X,XY,:)),:))
_,UNK,--,--,_
Den,PRON,PDS,d,der
magst,VERB,VMFIN,mögen,magst
du,PRON,PPER,du,du
?,PUNCT,$.,?,--
_,UNK,--,--,_
_,UNK,--,--,_
g,X,XY,g,g
_,UNK,--,--,_
!,PUNCT,$.,!,--
_,UNK,--,--,_
Danke,PART,PTKANT,danke,Danke
",",PUNCT,"$,",",",--
Lantonie,PROPN,NE,Lantonie,Lantonie
.,PUNCT,$.,.,--
_,UNK,--,--,_
Ich,PRON,PPER,ich,ich
habe,AUX,VAFIN,haben,haben
heute,ADV,ADV,heute,heute
eine,DET,ART,ein,ein
SMS,NOUN,NN,SMS,SMS
von,ADP,APPR,von,von
Tigaaaaelse,PROPN,NE,Tigaaaaelse,Tigaaaaelse
bekommen,VERB,VVPP,bekommen,bekommen
.,PUNCT,$.,.,--
_,UNK,--,--,_
Erzähl,VERB,VVIMP,erzählen,Erzähl
!,PUNCT,$.,!,--
_,UNK,--,--,_
Lantonie,PROPN,NE,Lantonie,Lantonie
redet,VERB,VVFIN,reden,reden
wie,CONJ,KOKOM,wie,wie
eine,DET,ART,ein,ein
Bewährungshelferin,NOUN,NN,Bewährungshelferin,Bewährungshelferin
.,PUNCT,$.,.,--
_,UNK,--,--,_
Zora,PROPN,NE,Zora,Zora
freut,VERB,VVFIN,freuen,freuen
sich,PRON,PRF,sich,sich
über,ADP,APPR,über,über
ihr,DET,PPOSAT,ihr,ihr
Zeugnis,NOUN,NN,Zeugnis,Zeugnis
.,PUNCT,$.,.,--
_,UNK,--,--,_
_,UNK,--,--,_
Auf,PART,PTKVZ,auf,auf
plustere,VERB,VVFIN,plustern,plustere
_,UNK,--,--,_
ich,PRON,PPER,ich,ich
mich,PRON,PPER,ich,sich
.,PUNCT,$.,.,--
_,UNK,--,--,_
Thor,PROPN,NE,Thor,Thor
betritt,VERB,VVFIN,betreten,betreten
den,DET,ART,d,der
Raum,NOUN,NN,Raum,Raum
.,PUNCT,$.,.,--
_,UNK,--,--,_
Ich,PRON,PPER,ich,ich
habe,AUX,VAFIN,haben,haben
das,PRON,PDS,d,der
mal,ADV,ADV,mal,mal
wieder,ADV,ADV,wieder,wieder
nicht,PART,PTKNEG,nicht,nicht
.,PUNCT,$.,.,--
_,UNK,--,--,_
Was,PRON,PWS,was,was
hast,AUX,VAFIN,haben,haben
du,PRON,PPER,du,du
denn,ADV,ADV,denn,denn
",",PUNCT,"$,",",",--
Zora,PROPN,NE,Zora,Zora
?,PUNCT,$.,?,--
_,UNK,--,--,_
Stoeps,PROPN,NE,stoeps,Stoeps
kommt,VERB,VVFIN,kommen,kommen
aus,ADP,APPR,aus,aus
dem,DET,ART,d,der
Raum,NOUN,NN,Raum,Raum
Number_of_the_beast,PROPN,NE,Number_of_the_beast,Number_of_the_beast
herein,PART,PTKVZ,herein,herein
.,PUNCT,$.,.,--
_,UNK,--,--,_
Das,PRON,PDS,d,der
hast,AUX,VAFIN,haben,haben
du,PRON,PPER,du,du
dir,PRON,PRF,du,dir
verdient,VERB,VVPP,verdienen,verdienen
",",PUNCT,"$,",",",--
Zora,PROPN,NE,Zora,Zora
?,PUNCT,$.,?,--
_,UNK,--,--,_
Oh,INTJ,ITJ,oh,Oh
",",PUNCT,"$,",",",--
Mann,NOUN,NN,Mann,Mann
",",PUNCT,"$,",",",--
was,PRON,PWS,was,was
für,ADP,APPR,für,für
ein,DET,ART,ein,ein
Krawall,NOUN,NN,Krawall,Krawall
ist,AUX,VAFIN,sein,sein
hier,ADV,ADV,hier,hier
draußen,ADV,ADV,draußen,draußen
.,PUNCT,$.,.,--
_,UNK,--,--,_
Ich,PRON,PPER,ich,ich
_,UNK,--,--,_
gucke,VERB,VVFIN,gucken,gucken
_,UNK,--,--,_
.,PUNCT,$.,.,--
_,UNK,--,--,_
Ich,PRON,PPER,ich,ich
habe,AUX,VAFIN,haben,haben
nur,ADV,ADV,nur,nur
Einsen,NOUN,NN,Eins,einsen
.,PUNCT,$.,.,--
_,UNK,--,--,_
Die,DET,ART,d,der
_,UNK,--,--,_
Brust,NOUN,NN,Brust,Brust
schwillt,VERB,VVFIN,schwellen,schwellen
_,UNK,--,--,_
mir,PRON,PPER,ich,mir
.,PUNCT,$.,.,--
_,UNK,--,--,_
Emon,PROPN,NE,Emon,Emon
betritt,VERB,VVFIN,betreten,betreten
den,DET,ART,d,der
Raum,NOUN,NN,Raum,Raum
.,PUNCT,$.,.,--
_,UNK,--,--,_
Re,INTJ,ITJ,re,Re
.,PUNCT,$.,.,--
_,UNK,--,--,_
:-))),X,XY,:-))),:-)))
_,UNK,--,--,_
Emon,PROPN,NE,Emon,Emon
ist,AUX,VAFIN,sein,sein
wieder,ADV,ADV,wieder,wieder
da,PART,PTKVZ,da,da
.,PUNCT,$.,.,--
_,UNK,--,--,_
Re,INTJ,ITJ,re,Re
",",PUNCT,"$,",",",--
Emon,PROPN,NE,Emon,Emon
.,PUNCT,$.,.,--
_,UNK,--,--,_
Und,CONJ,KON,und,und
du,PRON,PPER,du,du
hast,AUX,VAFIN,haben,haben
eine,DET,ART,ein,ein
Eins,NOUN,NN,Eins,eins
Minus,ADV,ADV,minus,Minus
in,ADP,APPR,in,in
Benehmen,NOUN,NN,Benehmen,Benehmen
.,PUNCT,$.,.,--
_,UNK,--,--,_
_,UNK,--,--,_
ggg,INTJ,ITJ,g,ggg
_,UNK,--,--,_
!,PUNCT,$.,!,--
_,UNK,--,--,_
_,UNK,--,--,_
njamnjamnajm,INTJ,ITJ,njam,njamnjamnajm
_,UNK,--,--,_
!,PUNCT,$.,!,--
_,UNK,--,--,_
Re,INTJ,ITJ,re,Re
",",PUNCT,"$,",",",--
Stoeps,PROPN,NE,stoeps,Stoeps
.,PUNCT,$.,.,--
_,UNK,--,--,_
Oh,INTJ,ITJ,oh,Oh
.,PUNCT,$.,.,--
_,UNK,--,--,_
Die,DET,ART,d,der
Geistigkeit,NOUN,NN,Geistigkeit,Geistigkeit
kommt,VERB,VVFIN,kommen,kommen
auch,ADV,ADV,auch,auch
.,PUNCT,$.,.,--
_,UNK,--,--,_
+s,X,XY,+s,+s
_,UNK,--,--,_
Hallo,INTJ,ITJ,hallo,Hallo
",",PUNCT,"$,",",",--
Emon,PROPN,NE,Emon,Emon
.,PUNCT,$.,.,--
_,UNK,--,--,_
Hi,INTJ,ITJ,hi,Hi
",",PUNCT,"$,",",",--
Emon,PROPN,NE,Emon,Emon
_,UNK,--,--,_
Tag,NOUN,NN,Tag,Tag
",",PUNCT,"$,",",",--
Quaki,PROPN,NE,Quaki,Quaki
.,PUNCT,$.,.,--
_,UNK,--,--,_
Das,PRON,PDS,d,der
sind,AUX,VAFIN,sein,sein
schätzungsweise,ADV,ADV,schätzungsweise,schätzungsweise
200,NUM,CARD,200,200
Krähen,NOUN,NN,Krähe,Krähe
oder,CONJ,KON,oder,oder
so,ADV,ADV,so,so
in,ADP,APPR,in,in
einem,DET,ART,ein,ein
Baum,NOUN,NN,Baum,Baum
",",PUNCT,"$,",",",--
der,PRON,PRELS,d,der
etwa,ADV,ADV,etwa,etwa
100,NUM,CARD,100,100
Meter,NOUN,NN,Meter,Meter
weg,ADV,ADV,weg,weg
ist,AUX,VAFIN,sein,sein
.,PUNCT,$.,.,--
_,UNK,--,--,_
Quaki,PROPN,NE,Quaki,Quaki
und,CONJ,KON,und,und
Lantonie,PROPN,NE,Lantonie,Lantonie
sind,AUX,VAFIN,sein,sein
etwas,PRON,PIS,etwas,etwas
.,PUNCT,$.,.,--
_,UNK,--,--,_
Hi,INTJ,ITJ,hi,Hi
",",PUNCT,"$,",",",--
Thor,PROPN,NE,Thor,Thor
.,PUNCT,$.,.,--
_,UNK,--,--,_
:-),X,XY,:-),:-)
_,UNK,--,--,_
Hi,INTJ,ITJ,hi,Hi
",",PUNCT,"$,",",",--
Stoeps,PROPN,NE,stoeps,Stoeps
und,CONJ,KON,und,und
TomcatMJ,PROPN,NE,TomcatMJ,TomcatMJ
.,PUNCT,$.,.,--
_,UNK,--,--,_
:(,X,XY,:(,:(
_,UNK,--,--,_
Über,ADP,APPR,über,über
meine,DET,PPOSAT,mein,mein
Benehmensnote,NOUN,NN,Benehmensnote,Benehmensnote
reden,VERB,VVFIN,reden,reden
wir,PRON,PPER,wir,wir
lieber,ADJ,ADJD,lieber,lieber
nicht,PART,PTKNEG,nicht,nicht
.,PUNCT,$.,.,--
_,UNK,--,--,_
Hi,INTJ,ITJ,hi,Hi
",",PUNCT,"$,",",",--
Emon,PROPN,NE,Emon,Emon
.,PUNCT,$.,.,--
_,UNK,--,--,_
200,NUM,CARD,200,200
Krähen,NOUN,NN,Krähe,Krähe
sind,AUX,VAFIN,sein,sein
da,ADV,ADV,da,da
?,PUNCT,$.,?,--
