token,tag,tag_STTS,lemma_gold,lemma_pred
Die,DET,ART,der,der
Zigeuner,NOUN,NN,Zigeuner,Zigeuner
waren,AUX,VAFIN,sein,sein
damals,ADV,ADV,damals,damals
in,ADP,APPR,in,in
der,DET,ART,der,der
Verfolgung,NOUN,NN,Verfolgung,Verfolgung
",",PUNCT,"$,",--,--
welche,PRON,PRELS,welche,welcher
die,DET,ART,der,der
vertriebenen,ADJ,ADJA,vertrieben,vertrieben
Juden,NOUN,NN,Jude,Jude
ihnen,PRON,PPER,ihnen,ihnen
zuzogen,VERB,VVFIN,zuziehen,zuziehen
",",PUNCT,"$,",--,--
die,PRON,PRELS,der,der
sich,PRON,PRF,sich,sich
für,ADP,APPR,für,für
Zigeuner,NOUN,NN,Zigeuner,Zigeuner
ausgaben,VERB,VVFIN,ausgeben,ausgeben
",",PUNCT,"$,",--,--
um,SCONJ,KOUI,um,um
geduldet,VERB,VVPP,dulden,dulden
zu,PART,PTKZU,zu,zu
werden,AUX,VAFIN,werden,werden
",",PUNCT,"$,",--,--
schon,ADV,ADV,schon,schon
sündlich,ADV,ADV,sündlich,sündlich
verwildert,ADJ,ADJD,verwildert,verwildern
;,PUNCT,$.,--,--
oft,ADV,ADV,oft,oft
hatte,AUX,VAFIN,haben,haben
Herzog,NOUN,NN,Herzog,Herzog
Michael,PROPN,NE,Michael,Michael
darüber,ADV,PAV,darüber,darüber
geklagt,VERB,VVPP,klagen,klagen
und,CONJ,KON,und,und
alle,DET,PIAT,alle,aller
seine,DET,PPOSAT,sein,sein
Klugheit,NOUN,NN,Klugheit,Klugheit
angewendet,VERB,VVPP,anwenden,anwenden
",",PUNCT,"$,",--,--
sie,PRON,PPER,sie,sie
aus,ADP,APPR,aus,aus
dieser,DET,PDAT,dieser,dieser
Zerstreuung,NOUN,NN,Zerstreuung,Zerstreuung
nach,ADP,APPR,nach,nach
ihrem,DET,PPOSAT,ihr,ihr
Vaterlande,NOUN,NN,Vaterland,Vaterland
zurückzuführen,VERB,VVIZU,zurückführen,zurückführen
.,PUNCT,$.,--,--
Ihr,DET,PPOSAT,ihr,ihr
Gelübde,NOUN,NN,Gelübde,Gelübde
",",PUNCT,"$,",--,--
so,ADV,ADV,so,so
weit,ADJ,ADJA,weit,weit
zu,PART,PTKZU,zu,zu
ziehen,VERB,VVINF,ziehen,ziehen
",",PUNCT,"$,",--,--
als,SCONJ,KOUS,als,als
sie,PRON,PPER,sie,sie
noch,ADV,ADV,noch,noch
Christen,NOUN,NN,Christ,Christ
fänden,VERB,VVFIN,finden,finden
",",PUNCT,"$,",--,--
war,AUX,VAFIN,sein,sein
gelöst,VERB,VVPP,lösen,lösen
",",PUNCT,"$,",--,--
denn,ADV,ADV,denn,denn
sie,PRON,PPER,sie,sie
waren,AUX,VAFIN,sein,sein
schon,ADV,ADV,schon,schon
aus,ADP,APPR,aus,aus
Spanien,PROPN,NE,Spanien,Spanien
vom,ADP,APPRART,von,von
Weltmeere,NOUN,NN,Weltmeer,Weltmeer
zurückgekehrt,VERB,VVPP,zurückkehren,zurückkehren
;,PUNCT,$.,--,--
nur,ADV,ADV,nur,nur
der,DET,ART,der,der
Wunsch,NOUN,NN,Wunsch,Wunsch
nach,ADP,APPR,nach,nach
der,DET,ART,der,der
neuen,ADJ,ADJA,neu,neu
Welt,NOUN,NN,Welt,Welt
hielt,VERB,VVFIN,halten,halten
sie,PRON,PPER,sie,sie
in,ADP,APPR,in,in
der,DET,ART,der,der
alten,ADJ,ADJA,alt,alt
",",PUNCT,"$,",--,--
die,PRON,PRELS,der,der
nur,ADV,ADV,nur,nur
Krieger,NOUN,NN,Krieger,Krieger
",",PUNCT,"$,",--,--
keine,DET,PIAT,kein,kein
Pilger,NOUN,NN,Pilger,Pilger
hinübersetzen,VERB,VVINF,hinübersetzen,hinübersetzen
wollte,VERB,VVFIN,wollen,wollen
.,PUNCT,$.,--,--
Das,DET,ART,der,der
Zurückführen,NOUN,NN,Zurückführen,zurückführen
nach,ADP,APPR,nach,nach
Ägypten,PROPN,NE,Ägypten,Ägypten
war,AUX,VAFIN,sein,sein
aber,CONJ,KON,aber,aber
bei,ADP,APPR,bei,bei
der,DET,ART,der,der
zunehmenden,ADJ,ADJA,zunehmend,zunehmend
Türkenmacht,NOUN,NN,Türkenmacht,Türkenmacht
",",PUNCT,"$,",--,--
bei,ADP,APPR,bei,bei
der,DET,ART,der,der
Verfolgung,NOUN,NN,Verfolgung,Verfolgung
überall,ADV,ADV,überall,überall
",",PUNCT,"$,",--,--
bei,ADP,APPR,bei,bei
dem,DET,ART,der,der
Mangel,NOUN,NN,Mangel,Mangel
an,ADP,APPR,an,an
Gelde,NOUN,NN,Geld,Geld
unendlich,ADV,ADV,unendlich,unendlich
schwer,ADJ,ADJD,schwer,schwer
.,PUNCT,$.,--,--
Schon,ADV,ADV,schon,schon
hatte,AUX,VAFIN,haben,haben
der,DET,ART,der,der
Herzog,NOUN,NN,Herzog,Herzog
",",PUNCT,"$,",--,--
was,PRON,PWS,was,wer
sonst,ADV,ADV,sonst,sonst
ihre,DET,PPOSAT,ihr,ihr
Nationalbelustigung,NOUN,NN,Nationalbelustigung,Nationalbelustigung
war,AUX,VAFIN,sein,sein
",",PUNCT,"$,",--,--
Proben,NOUN,NN,Probe,Probe
von,ADP,APPR,von,von
Stärke,NOUN,NN,Stärke,Stärke
und,CONJ,KON,und,und
Geschicklichkeit,NOUN,NN,Geschicklichkeit,Geschicklichkeit
(,PUNCT,$(,--,--
wie,CONJ,KOKOM,wie,wie
sie,PRON,PPER,sie,sie
schwere,ADJ,ADJA,schwer,schwer
Tische,NOUN,NN,Tisch,Tisch
auf,ADP,APPR,auf,auf
ihren,DET,PPOSAT,ihr,ihr
Zähnen,NOUN,NN,Zahn,Zahn
im,ADP,APPRART,im,in
Gleichgewichte,NOUN,NN,Gleichgewicht,Gleichgewicht
trugen,VERB,VVFIN,tragen,tragen
",",PUNCT,"$,",--,--
wie,CONJ,KOKOM,wie,wie
sie,PRON,PPER,sie,sie
sich,PRON,PRF,sich,sich
springend,ADJ,ADJD,springend,springend
in,ADP,APPR,in,in
der,DET,ART,der,der
Luft,NOUN,NN,Luft,Luft
überschlugen,VERB,VVFIN,überschlagen,überschlagen
oder,CONJ,KON,oder,oder
auf,ADP,APPR,auf,auf
den,DET,ART,der,der
Händen,NOUN,NN,Hand,Hand
gingen,VERB,VVFIN,gehen,gehen
),PUNCT,$(,--,--
",",PUNCT,"$,",--,--
alles,PRON,PIS,alle,alle
das,PRON,PDS,der,der
",",PUNCT,"$,",--,--
was,PRON,PWS,was,wer
sie,PRON,PPER,sie,sie
mit,ADP,APPR,mit,mit
dem,DET,ART,der,der
Namen,NOUN,NN,Name,Name
der,DET,ART,der,der
starken,ADJ,ADJA,stark,stark
Mannskünste,NOUN,NN,Mannskunst,Mannskünste
bezeichneten,VERB,VVFIN,bezeichnet,bezeichnen
",",PUNCT,"$,",--,--
zu,ADP,APPR,zu,zu
ihrer,DET,PPOSAT,ihr,ihr
Erhaltung,NOUN,NN,Erhaltung,Erhaltung
zu,PART,PTKZU,zu,zu
benutzen,VERB,VVINF,benutzen,benutzen
gesucht,VERB,VVPP,suchen,suchen
",",PUNCT,"$,",--,--
aber,CONJ,KON,aber,aber
von,ADP,APPR,von,von
einem,DET,ART,ein,ein
Gebiete,NOUN,NN,Gebiet,Gebiet
ins,ADP,APPRART,im,in
andre,NOUN,NN,Andere,andre
zurückgedrängt,VERB,VVPP,zurückdrängen,zurückdrängen
",",PUNCT,"$,",--,--
erschöpften,ADJ,ADJA,erschöpfen,erschöpfen
sich,PRON,PRF,sich,sich
diese,DET,PDAT,dieser,dieser
Erwerbsquellen,NOUN,NN,Erwerbsquelle,Erwerbsquelle
",",PUNCT,"$,",--,--
und,CONJ,KON,und,und
auch,ADV,ADV,auch,auch
die,DET,ART,der,der
Besseren,NOUN,NN,Bessere,Besseren
",",PUNCT,"$,",--,--
wenn,SCONJ,KOUS,wenn,wenn
selbst,PRON,PRF,sich,selbst
das,DET,ART,der,der
Wahrsagen,NOUN,NN,Wahrsagen,wahrsagen
nicht,PART,PTKNEG,nicht,nicht
mehr,ADV,ADV,mehr,mehr
galt,VERB,VVFIN,gelten,gelten
",",PUNCT,"$,",--,--
sahen,VERB,VVFIN,sehen,sehen
sich,PRON,PRF,sich,sich
gezwungen,VERB,VVPP,zwingen,zwingen
",",PUNCT,"$,",--,--
ihre,DET,PPOSAT,ihr,ihr
ärmliche,ADJ,ADJA,ärmlich,ärmlich
Nahrung,NOUN,NN,Nahrung,Nahrung
zu,PART,PTKZU,zu,zu
stehlen,VERB,VVINF,stehlen,stehlen
oder,CONJ,KON,oder,oder
mit,ADP,APPR,mit,mit
jagdfreien,ADJ,ADJA,jagdfrei,jagdfrei
Tieren,NOUN,NN,Tier,Tier
",",PUNCT,"$,",--,--
wie,CONJ,KOKOM,wie,wie
Maulwürfe,NOUN,NN,Maulwurf,Maulwürf
und,CONJ,KON,und,und
Stachelschweine,NOUN,NN,Stachelschwein,Stachelschwein
",",PUNCT,"$,",--,--
fürlieb,ADV,ADV,fürlieb,fürlieb
zu,PART,PTKZU,zu,zu
nehmen,VERB,VVINF,nehmen,nehmen
