token,tag,tag_STTS,lemma_gold,lemma_pred
Der,_,ART,der,der
SC,_,NE,SC,SC
Lituania,_,NE,Lituania,Lituania
Tilsit,_,NE,Tilsit,Tilsit
war,_,VAFIN,sein,sein
ein,_,ART,ein,ein
deutscher,_,ADJA,deutsch,deutsch
Sportverein,_,NN,Sportverein,Sportverein
der,_,ART,der,der
ostpreußischen,_,ADJA,ostpreußisch,ostpreußisch
Stadt,_,NN,Stadt,Stadt
Tilsit,_,NE,Tilsit,Tilsit
",",_,"$,",",",","
heute,_,ADV,heute,heute
Sowetsk,_,NE,Sowetsk,Sowetsk
.,_,$.,.,.
Der,_,ART,der,der
1907,_,CARD,1907,1907
gegründete,_,ADJA,gegründet,gegründet
Verein,_,NN,Verein,Verein
wurde,_,VAFIN,werden,werden
1911,_,CARD,1911,1911
Verbandsmeister,_,NN,Verbandsmeister,Verbandsmeister
des,_,ART,der,der
Baltischen,_,ADJA,baltisch,baltisch
Rasensport-Verbandes,_,NN,Rasensport-Verband,Rasensport-Verband
(,_,$(,(,(
BRV,_,NE,BRV,BRV
),_,$(,),)
und,_,KON,und,und
durfte,_,VMFIN,dürfen,dürfen
somit,_,ADV,somit,somit
an,_,APPR,an,an
der,_,ART,der,der
Endrunde,_,NN,Endrunde,Endrunde
um,_,APPR,um,um
die,_,ART,der,der
deutsche,_,ADJA,deutsch,deutsch
Fußballmeisterschaft,_,NN,Fußballmeisterschaft,Fußballmeisterschaft
teilnehmen,_,VVINF,teilnehmen,teilnehmen
.,_,$.,.,.
Wegen,_,APPR,wegen,wegen
zu,_,PTKA,zu,zu
hoher,_,ADJA,hoch,hoch
Reisekosten,_,NN,Reisekosten,Reisekosten
verzichtete,_,VVFIN,verzichten,verzichten
Lituania,_,NE,Lituania,Lituania
Tilsit,_,NE,Tilsit,Tilsit
jedoch,_,ADV,jedoch,jedoch
auf,_,APPR,auf,auf
das,_,ART,der,der
Startrecht,_,NN,Startrecht,Startrecht
",",_,"$,",",",","
so,_,ADV,so,so
dass,_,KOUS,dass,dass
die,_,ART,der,der
gegnerische,_,ADJA,gegnerisch,gegnerisch
Mannschaft,_,NN,Mannschaft,Mannschaft
vom,_,APPRART,von,vom
Berliner,_,ADJA,Berliner,Berliner
TuFC,_,NE,TuFC,TuFC
Viktoria,_,NE,Viktoria,Viktoria
89,_,CARD,89,89
kampflos,_,ADJD,kampflos,kampflos
ins,_,APPRART,in,er
Halbfinale,_,NN,Halbfinale,Halbfinale
einrückte,_,VVFIN,einrücken,einrücken
.,_,$.,.,.
1912,_,CARD,1912,1912
und,_,KON,und,und
1913,_,CARD,1913,1913
erreichte,_,VVFIN,erreichen,erreichen
der,_,ART,der,der
Verein,_,NN,Verein,Verein
noch,_,ADV,noch,noch
die,_,ART,der,der
Baltische,_,ADJA,Baltisch,baltisch
Endrunde,_,NN,Endrunde,Endrunde
",",_,"$,",",",","
unterlag,_,VVFIN,unterliegen,unterliegen
aber,_,ADV,aber,aber
in,_,APPR,in,in
beiden,_,PIAT,beide,beide
Jahren,_,NN,Jahr,Jahr
dem,_,ART,der,der
jeweiligen,_,ADJA,jeweilig,jeweilig
Finalgegner,_,NN,Finalgegner,Finalgegner
.,_,$.,.,.
Nachdem,_,KOUS,nachdem,nachdem
Lituania,_,NE,Lituania,Lituania
in,_,APPR,in,in
den,_,ART,der,der
20er,_,ADJA,20er,20er
Jahren,_,NN,Jahr,Jahr
ohne,_,APPR,ohne,ohne
größeren,_,ADJA,groß,groß
Erfolg,_,NN,Erfolg,Erfolg
im,_,APPRART,in,em
Bezirk,_,NN,Bezirk,Bezirk
Ostpreußen,_,NE,Ostpreußen,Ostpreußen
gespielt,_,VVPP,spielen,spielen
hatte,_,VAFIN,haben,haben
",",_,"$,",",",","
erfolgte,_,VVFIN,erfolgen,erfolgen
1929,_,CARD,1929,1929
die,_,ART,der,der
Fusion,_,NN,Fusion,Fusion
mit,_,APPR,mit,mit
dem,_,ART,der,der
Verein,_,NN,Verein,Verein
für,_,APPR,für,für
Körperübungen,_,NN,Körperübung,Körperübung
Tilsit,_,NE,Tilsit,Tilsit
zum,_,APPRART,zu,zum
Tilsiter,_,ADJA,Tilsit,Tilsiter
SC,_,NE,SC,SC
.,_,$.,.,.
Córrego,_,NE,Córrego,Córrego
do,_,NE,do,do
Ouro,_,NE,Ouro,Ouro
ist,_,VAFIN,sein,sein
eine,_,ART,ein,ein
brasilianische,_,ADJA,brasilianisch,brasilianisch
politische,_,ADJA,politisch,politisch
Gemeinde,_,NN,Gemeinde,Gemeinde
im,_,APPRART,in,em
Bundesstaat,_,NN,Bundesstaat,Bundesstaat
Goiás,_,NE,Goiás,Goiás
in,_,APPR,in,in
der,_,ART,der,der
Mesoregion,_,NN,Mesoregion,Mesoregion
