token,tag,tag_STTS,lemma_gold,lemma_pred
Mein,DET,PPOSAT,mein,mein
Papa,NOUN,NN,Papa,Papa
hat,AUX,VAFIN,haben,haben
zwei,NUM,CARD,zwei,zwei
große,ADJ,ADJA,groß,groß
Blöcke,NOUN,NN,Block,Block
super,UNK,PTKIFG,super,super
hartes,ADJ,ADJA,hart,hart
Styropor,NOUN,NN,Styropor,Styropor
und,CONJ,KON,und,und
wir,PRON,PPER,wir,wir
haben,AUX,VAFIN,haben,haben
mal,UNK,PTKMA,mal,mal
das,DET,ART,der,der
teil,NOUN,NN,Teil,teil
daraus,ADV,PAV,daraus,daraus
geschnitzt,VERB,VVPP,schnitzen,schnitzen
",",PUNCT,"$,",",",","
wo,SCONJ,KOUS,wo,wo
die,DET,ART,der,der
haken,NOUN,NN,Haken,haken
rauskommen,VERB,VVFIN,rauskommen,rauskommen
.,PUNCT,$.,.,.
emojiQsmilingFaceWithOpenMouthAndSmilingEyes,UNK,EMOIMG,emojiQsmilingFaceWithOpenMouthAndSmilingEyes,emojiQsmilingFaceWithOpenMouthAndSmilingEyes
Uuuh,INTJ,ITJ,uh,Uuuh
das,PRON,PDS,der,der
sieht,VERB,VVFIN,sehen,sehen
voll,UNK,PTKIFG,voll,voll
gut,ADJ,ADJD,gut,gut
aus,PART,PTKVZ,aus,aus
*_*,UNK,EMOASC,*_*,*_*
Und,CONJ,KON,und,und
der,DET,ART,der,der
pilzkopferwin,PROPN,NE,Pilzkopferwin,pilzkopferwin
auch,ADV,ADV,auch,auch
xD,UNK,EMOASC,xD,xD
Nadine,PROPN,NE,Nadine,Nadine
bestellt,VERB,VVFIN,bestellen,bestellen
sich,PRON,PRF,sich,er|es|sie
jetzt,ADV,ADV,jetzt,jetzt
nen,DET,ART,ein,nen
Styroporschneider,NOUN,NN,Styroporschneider,Styroporschneider
für,ADP,APPR,für,für
die,DET,ART,der,der
Grigfe,NOUN,NN,Griff,Grigfe
und,CONJ,KON,und,und
macht,VERB,VVFIN,machen,machen
nen,DET,ART,ein,nen
Prototyp,NOUN,NN,Prototyp,Prototyp
.,PUNCT,$.,.,.
emojiQsmilingFaceWithSmilingEyes,UNK,EMOIMG,emojiQsmilingFaceWithSmilingEyes,emojiQsmilingFaceWithSmilingEyes
und,CONJ,KON,und,und
den,DET,ART,der,der
perfekten,ADJ,ADJA,perfekt,perfekt
Lack,NOUN,NN,Lack,Lack
für,ADP,APPR,für,für
die,DET,ART,der,der
Klingen,NOUN,NN,Klinge,Klinge|Klingen
hab,AUX,VAFIN,haben,haben
ich,PRON,PPER,ich,ich
auch,ADV,ADV,auch,auch
schon,ADV,ADV,schon,schon
gefunden,VERB,VVPP,finden,finden
.,PUNCT,$.,.,.
Müssen,VERB,VMFIN,müssen,Müsse
uns,PRON,PRF,sich,wir
bald,ADV,ADV,bald,bald
mal,UNK,PTKMA,mal,mal
wieder,ADV,ADV,wieder,wieder
treffen,VERB,VVINF,treffen,treffen
.,PUNCT,$.,.,.
emojiQkissingCatFaceWithClosedEyes,UNK,EMOIMG,emojiQkissingCatFaceWithClosedEyes,emojiQkissingCatFaceWithClosedEyes
Au,INTJ,ITJ,au,Au
ja,PART,PTKANT,ja,ja
!,PUNCT,$.,!,!
:),UNK,EMOASC,:),:)
unbedingt,ADJ,ADJD,unbedingt,unbedingt
!,PUNCT,$.,!,!
*_*,UNK,EMOASC,*_*,*_*
Dann,ADV,ADV,dann,dann
kann,VERB,VMFIN,können,können
ich,PRON,PPER,ich,ich
dir,PRON,PPER,dir,der
alles,PRON,PIS,alle,alle
zeigen,VERB,VVINF,zeigen,zeigen
.,PUNCT,$.,.,.
Man,INTJ,ITJ,Mann,man
ich,PRON,PPER,ich,ich
bin,AUX,VAFIN,sein,sein
schon,ADV,ADV,schon,schon
so,UNK,PTKIFG,so,so
aufgeregt,ADJ,ADJD,aufgeregt,aufgeregt
.,PUNCT,$.,.,.
emojiQflushedFace,UNK,EMOIMG,emojiQflushedFace,emojiQflushedFace
Jaaaa,PART,PTKANT,ja,Jaaaa
!,PUNCT,$.,!,!
Hehe,INTJ,ITJ,hehe,Hehe
ich,PRON,PPER,ich,ich
auch,ADV,ADV,auch,auch
xD,UNK,EMOASC,xD,xD
Das,PRON,PDS,der,der
wird,AUX,VAFIN,werden,werden
so,UNK,PTKIFG,so,so
gut,ADJ,ADJD,gut,gut
.,PUNCT,$.,.,.
emojiQsmilingCatFaceWithHeartShapedEyes,UNK,EMOIMG,emojiQsmilingCatFaceWithHeartShapedEyes,emojiQsmilingCatFaceWithHeartShapedEyes
Jaa,PART,PTKANT,ja,Jaa
auf,ADP,APPR,auf,auf
jedenfall,NOUN,NN,Jedenfall,jedenfallen
!,PUNCT,$.,!,!
:),UNK,EMOASC,:),:)
Und,CONJ,KON,und,und
Sushi,NOUN,NN,Sushi,Sushi
müssen,VERB,VMFIN,müssen,müssen
wir,PRON,PPER,wir,wir
auch,ADV,ADV,auch,auch
mal,UNK,PTKMA,mal,mal
wieder,ADV,ADV,wieder,wieder
essen,VERB,VVINF,essen,essen
gehen,VERB,VVINF,gehen,gehen
.,PUNCT,$.,.,.
Hehe,INTJ,ITJ,hehe,Hehe
:),UNK,EMOASC,:),:)
das,PRON,PDS,der,der
klingt,VERB,VVFIN,klingen,klingen
gut,ADJ,ADJD,gut,gut
auch,ADV,ADV,auch,auch
wenn,SCONJ,KOUS,wenn,wenn
ich,PRON,PPER,ich,ich
schon,UNK,PTKMA,schon,schon
voll,UNK,PTKIFG,voll,voll
pleite,ADV,ADV,pleite,pleit
bin,AUX,VAFIN,sein,sein
xD,UNK,EMOASC,xD,xD
Ich,PRON,PPER,ich,ich
doch,UNK,PTKMA,doch,doch
auch,ADV,ADV,auch,auch
.,PUNCT,$.,.,.
XD,UNK,EMOASC,XD,XD
XD,UNK,EMOASC,XD,XD
Ahahahaha,INTJ,ITJ,ahahahaha,Ahahahaha
!,PUNCT,$.,!,!
Wie,UNK,PTKIFG,wie,wie
herrlich,ADJ,ADJD,herrlich,herrlich
!,PUNCT,$.,!,!
XD,UNK,EMOASC,XD,XD
Der,PRON,PDS,der,der
hat,AUX,VAFIN,haben,haben
soviel,DET,PIAT,sovieler,soviel
Potenzial,NOUN,NN,Potenzial,Potenzial
.,PUNCT,$.,.,.
Ooh,INTJ,ITJ,oh,Ooh
mann,NOUN,NN,Mann,mann
",",PUNCT,"$,",",",","
wie,UNK,PTKIFG,wie,wie
herrlich,ADJ,ADJD,herrlich,herrlich
!,PUNCT,$.,!,!
Ich,PRON,PPER,ich,ich
liebe,VERB,VVFIN,lieben,lieb
dich,PRON,PPER,dich,du
dafür,ADV,PAV,dafür,dafür
!,PUNCT,$.,!,!
XD,UNK,EMOASC,XD,XD
XD,UNK,EMOASC,XD,XD
ooh,INTJ,ITJ,ooh,ooh
mann,NOUN,NN,Mann,mann
!,PUNCT,$.,!,!
Oha,INTJ,ITJ,oha,Oha
",",PUNCT,"$,",",",","
gryffindor,PROPN,NE,Gryffindor,gryffindor
?,PUNCT,$.,?,?
XD,UNK,EMOASC,XD,XD
XD,UNK,EMOASC,XD,XD
du,PRON,PPER,du,du
killst,VERB,VVFIN,killen,killsen
mich,PRON,PPER,mich,ich
!,PUNCT,$.,!,!
Soooo,UNK,PTKIFG,so,Soooo
herrlich,ADJ,ADJD,herrlich,herrlich
xDD,UNK,EMOASC,xDD,xDD
Das,PRON,PDS,der,der
macht,VERB,VVFIN,machen,machen
so,ADV,ADV,so,so
Spaß,NOUN,NN,Spaß,Spaß
.,PUNCT,$.,.,.
emojiQcatFaceWithWrySmile,UNK,EMOIMG,emojiQcatFaceWithWrySmile,emojiQcatFaceWithWrySmile
Uuuuh,INTJ,ITJ,uh,Uuuuh
xD,UNK,EMOASC,xD,xD
jaa,PART,PTKANT,ja,jaa
!,PUNCT,$.,!,!
Ich,PRON,PPER,ich,ich
denk,VERB,VVFIN,denken,denken
mir,PRON,PRF,sich,ich
heute,ADV,ADV,heute,heute
sicher,ADJ,ADJD,sicher,sicher
noch,UNK,PTKMA,noch,noch
mehr,PRON,PIS,mehr,mehr
machen,VERB,VVFIN,machen,machen
.,PUNCT,$.,.,.
emojiQkissingCatFaceWithClosedEyes,UNK,EMOIMG,emojiQkissingCatFaceWithClosedEyes,emojiQkissingCatFaceWithClosedEyes
Ich,PRON,PPER,ich,ich
glaube,VERB,VVFIN,glauben,glauben
",",PUNCT,"$,",",",","
ich,PRON,PPER,ich,ich
bleibe,VERB,VVFIN,bleiben,bleiben
bei,ADP,APPR,bei,bei
Janosch,PROPN,NE,Janosch,Janosch
.,PUNCT,$.,.,.
emojiQpersonFrowning,UNK,EMOIMG,emojiQpersonFrowning,emojiQpersonFrowning
Ja,PART,PTKANT,ja,Ja
...,PUNCT,$(,...,...
benedikt,PROPN,NE,Benedikt,benediken
sind,AUX,VAFIN,sein,sein
irgendwie,ADV,ADV,irgendwie,irgendwie
etwas,UNK,PTKIFG,etwas,etwas
seltsam,ADJ,ADJD,seltsam,seltsam
aus,PART,PTKVZ,aus,aus
xD,UNK,EMOASC,xD,xD
Ich,PRON,PPER,ich,ich
weiß,VERB,VVFIN,wissen,wissen
...,PUNCT,$(,...,...
dabei,ADV,PAV,dabei,dabei
hab,AUX,VAFIN,haben,haben
ich,PRON,PPER,ich,ich
mit,PRON,PRF,sich,mit
voll,UNK,PTKIFG,voll,voll
Mühe,NOUN,NN,Mühe,Mühe
gegeben,VERB,VVPP,geben,geben
.,PUNCT,$.,.,.
emojiQpersonFrowning,UNK,EMOIMG,emojiQpersonFrowning,emojiQpersonFrowning
Hm,INTJ,ITJ,hm,Hm
hm,INTJ,ITJ,hm,hm
:),UNK,EMOASC,:),:)
