token,tag,tag_STTS,lemma_gold,lemma_pred
_,UNK,--,--,_
Veruntreute,VERB,VVFIN,veruntreuen,Veruntreute
die,DET,ART,d,der
AWO,NOUN,NN,AWO,AWO
Spendengeld,NOUN,NN,Spendengeld,Spendengeld
?,PUNCT,$.,?,?
_,UNK,--,--,_
_,UNK,--,--,_
Staatsanwaltschaft,NOUN,NN,Staatsanwaltschaft,Staatsanwaltschaft
muß,VERB,VMFIN,müssen,müssen
AWO-Konten,NOUN,NN,AWO-Konto,AWO-Konten
prüfen,VERB,VVINF,prüfen,prüfen
/,PUNCT,$(,/,/
_,UNK,--,--,_
Flossen,VERB,VVFIN,fließen,Flosse
165.000,NUM,CARD,165.000,165.000
Mark,NOUN,NN,Mark,Mark
Sammelgelder,NOUN,NN,Sammelgeld,Sammelgelder
für,ADP,APPR,für,für
Flutopfer,NOUN,NN,Flutopfer,Flutopfer
in,ADP,APPR,in,in
ein,DET,ART,ein,ein
Altenheim,NOUN,NN,Altenheim,Altenheim
in,ADP,APPR,in,in
Danzig,PROPN,NE,Danzig,Danzig
?,PUNCT,$.,?,?
_,UNK,--,--,_
Landesvorsitzende,NOUN,NN,Landesvorsitzende,Landesvorsitzende
Ute,PROPN,NE,Ute,Ute
Wedemeier,PROPN,NE,Wedemeier,Wedemeier
_,UNK,--,--,_
:,PUNCT,$.,:,:
_,UNK,--,--,_
_,UNK,--,--,_
Ein,DET,ART,ein,ein
Buchungsfehler,NOUN,NN,Buchungsfehler,Buchungsfehler
_,UNK,--,--,_
Im,ADP,APPRART,im,im
Januar,NOUN,NN,Januar,Januar
hat,AUX,VAFIN,haben,haben
die,DET,ART,d,der
Arbeiterwohlfahrt,PROPN,NE,Arbeiterwohlfahrt,Arbeiterwohlfahrt
Bremen,PROPN,NE,Bremen,Bremen
ihren,DET,PPOSAT,ihr,ihr
langjährigen,ADJ,ADJA,langjährig,langjährig
Geschäftsführer,NOUN,NN,Geschäftsführer,Geschäftsführer
Hans,PROPN,NE,Hans,Hans
Taake,PROPN,NE,Taake,Taake
fristlos,ADJ,ADJD,fristlos,fristlos
entlassen,VERB,VVPP,entlassen,entlassen
",",PUNCT,"$,",",",","
nun,ADV,ADV,nun,nun
wird,AUX,VAFIN,werden,werden
auch,ADV,ADV,auch,auch
der,DET,ART,d,der
Vorstand,NOUN,NN,Vorstand,Vorstand
der,DET,ART,d,der
Wohlfahrtsorganisation,NOUN,NN,Wohlfahrtsorganisation,Wohlfahrtsorganisation
in,ADP,APPR,in,in
den,DET,ART,d,der
Fall,NOUN,NN,Fall,Fall
hineingezogen,VERB,VVPP,hineinziehen,hineinziehen
.,PUNCT,$.,.,.
_,UNK,--,--,_
In,ADP,APPR,in,in
einer,DET,ART,ein,ein
anonymen,ADJ,ADJA,anonym,anonym
Anzeige,NOUN,NN,Anzeige,Anzeige
werden,AUX,VAFIN,werden,werden
der,DET,ART,d,der
Bremer,ADJ,ADJA,Bremer,Bremer
Staatsanwaltschaft,NOUN,NN,Staatsanwaltschaft,Staatsanwaltschaft
Details,NOUN,NN,Detail,Detail
über,ADP,APPR,über,über
dubiose,ADJ,ADJA,dubios,dubiose
finanzielle,ADJ,ADJA,finanziell,finanziell
Transaktionen,NOUN,NN,Transaktion,Transaktion
mitgeteilt,VERB,VVPP,mitteilen,mitteilen
.,PUNCT,$.,.,.
_,UNK,--,--,_
Verantwortlich,ADJ,ADJD,verantwortlich,Verantwortlich
",",PUNCT,"$,",",",","
so,ADV,ADV,so,so
_,UNK,--,--,_
das,DET,ART,d,der
Schreiben,NOUN,NN,Schreiben,Schreiben
einer,DET,ART,ein,ein
Mitarbeiterin,NOUN,NN,Mitarbeiterin,Mitarbeiterin
der,DET,ART,d,der
AWO,PROPN,NE,AWO,AWO
",",PUNCT,"$,",",",","
sei,AUX,VAFIN,sein,sein
die,DET,ART,d,der
Landesvorsitzende,NOUN,NN,Landesvorsitzende,Landesvorsitzende
Ute,PROPN,NE,Ute,Ute
Wedemeier,PROPN,NE,Wedemeier,Wedemeier
",",PUNCT,"$,",",",","
die,PRON,PRELS,d,der
sich,PRON,PRF,sich,er|es|sie
jetzt,ADV,ADV,jetzt,jetzt
als,ADP,APPR,als,als
"""",PUNCT,$(,"""",""""
Sauberfrau,NOUN,NN,Sauberfrau,Sauberfrau
"""",PUNCT,$(,"""",""""
gebe,VERB,VVFIN,geben,geben
",",PUNCT,"$,",",",","
"""",PUNCT,$(,"""",""""
wo,SCONJ,KOUS,wo,wo
doch,ADV,ADV,doch,doch
alle,PRON,PIS,alle,alle
wissen,VERB,VVFIN,wissen,wissen
",",PUNCT,"$,",",",","
wie,SCONJ,KOUS,wie,wie
eng,ADJ,ADJD,eng,eng
sie,PRON,PPER,sie,sie
mit,ADP,APPR,mit,mit
Taake,PROPN,NE,Taake,Taake
zusammenhing,VERB,VVFIN,zusammenhängen,zusammenhing
"""",PUNCT,$(,"""",""""
.,PUNCT,$.,.,.
_,UNK,--,--,_
_,UNK,--,--,_
Vorwurf,NOUN,NN,Vorwurf,Vorwurf
Nummer,NOUN,NN,Nummer,Nummer
1,NUM,CARD,1,1
_,UNK,--,--,_
:,PUNCT,$.,:,:
165.000,NUM,CARD,165.000,165.000
Mark,NOUN,NN,Mark,Mark
aus,ADP,APPR,aus,aus
der,DET,ART,d,der
bundesweiten,ADJ,ADJA,bundesweit,bundesweiten
Geldsammlung,NOUN,NN,Geldsammlung,Geldsammlung
für,ADP,APPR,für,für
die,DET,ART,d,der
Flutopfer,NOUN,NN,Flutopfer,Flutopfer
in,ADP,APPR,in,in
Südpolen,NOUN,NN,Südpolen,Südpolen
seien,AUX,VAFIN,sein,sein
über,ADP,APPR,über,über
das,DET,ART,d,der
Konto,NOUN,NN,Konto,Konto
des,DET,ART,d,der
Bremer,ADJ,ADJA,Bremer,Bremer
Landesverbandes,NOUN,NN,Landesverband,Landesverband
der,DET,ART,d,der
AWO,PROPN,NE,AWO,AWO
an,ADP,APPR,an,an
die,DET,ART,d,der
Caritas,PROPN,NE,Caritas,Caritas
in,ADP,APPR,in,in
Danzig,PROPN,NE,Danzig,Danzig
geflossen,VERB,VVPP,fließen,fließen
",",PUNCT,"$,",",",","
"""",PUNCT,$(,"""",""""
damit,SCONJ,KOUS,damit,damit
dort,ADV,ADV,dort,dort
ein,DET,ART,ein,ein
Altenheim,NOUN,NN,Altenheim,Altenheim
gebaut,VERB,VVPP,bauen,bauen
wird,AUX,VAFIN,werden,werden
"""",PUNCT,$(,"""",""""
.,PUNCT,$.,.,.
_,UNK,--,--,_
Das,DET,ART,d,der
Altenheim,NOUN,NN,Altenheim,Altenheim
sei,AUX,VAFIN,sein,sein
"""",PUNCT,$(,"""",""""
ein,DET,ART,ein,ein
Prestigeobjekt,NOUN,NN,Prestigeobjekt,Prestigeobjekt
von,ADP,APPR,von,von
ihr,PRON,PPER,sie,ihr
und,CONJ,KON,und,und
anderen,PRON,PIS,ander,ander
"""",PUNCT,$(,"""",""""
.,PUNCT,$.,.,.
_,UNK,--,--,_
In,ADP,APPR,in,in
der,DET,ART,d,der
Tat,NOUN,NN,Tat,Tat
sitzt,VERB,VVFIN,sitzen,sitzen
Ute,PROPN,NE,Ute,Ute
Wedemeier,PROPN,NE,Wedemeier,Wedemeier
im,ADP,APPRART,im,im
Kuratorium,NOUN,NN,Kuratorium,Kuratorium
für,ADP,APPR,für,für
das,DET,ART,d,der
Altenheim,NOUN,NN,Altenheim,Altenheim
",",PUNCT,"$,",",",","
eine,DET,ART,ein,ein
derartige,ADJ,ADJA,derartig,derartig
Umleitung,NOUN,NN,Umleitung,Umleitung
von,ADP,APPR,von,von
Geldern,NOUN,NN,Geld,Geldern
habe,AUX,VAFIN,haben,haben
es,PRON,PPER,es,es
aber,ADV,ADV,aber,aber
nicht,PART,PTKNEG,nicht,nicht
gegeben,VERB,VVPP,geben,geben
",",PUNCT,"$,",",",","
sagt,VERB,VVFIN,sagen,sagen
sie,PRON,PPER,sie,sie
.,PUNCT,$.,.,.
_,UNK,--,--,_
"""",PUNCT,$(,"""",""""
Wenn,SCONJ,KOUS,wenn,wenn
da,ADV,ADV,da,da
was,PRON,PIS,was,was
gebucht,VERB,VVPP,buchen,buchen
worden,AUX,VAPP,werden,werden
ist,AUX,VAFIN,sein,sein
",",PUNCT,"$,",",",","
dann,ADV,ADV,dann,dann
ist,AUX,VAFIN,sein,sein
das,PRON,PDS,d,der
nicht,PART,PTKNEG,nicht,nicht
in,ADP,APPR,in,in
Ordnung,NOUN,NN,Ordnung,Ordnung
"""",PUNCT,$(,"""",""""
-,PUNCT,$(,-,-
höchstens,ADV,ADV,höchstens,höchstens
einen,DET,ART,ein,ein
Buchungsfehler,NOUN,NN,Buchungsfehler,Buchungsfehler
kann,VERB,VMFIN,können,können
sie,PRON,PPER,sie,sie
sich,PRON,PRF,sich,er|es|sie
vorstellen,VERB,VVINF,vorstellen,vorstellen
.,PUNCT,$.,.,.
_,UNK,--,--,_
Volker,PROPN,NE,Volker,Volker
Tegeler,PROPN,NE,Tegeler,Tegeler
",",PUNCT,"$,",",",","
stellvertretender,ADJ,ADJA,stellvertretend,stellvertretend
Geschäftsführer,NOUN,NN,Geschäftsführer,Geschäftsführer
des,DET,ART,d,der
Landesverbandes,NOUN,NN,Landesverband,Landesverband
",",PUNCT,"$,",",",","
sagt,VERB,VVFIN,sagen,sagen
:,PUNCT,$.,:,:
"""",PUNCT,$(,"""",""""
Es,PRON,PPER,es,es
gibt,VERB,VVFIN,geben,geben
so,ADV,ADV,so,so
eine,DET,ART,ein,ein
Buchung,NOUN,NN,Buchung,Buchung
.,PUNCT,$.,.,.
"""",PUNCT,$(,"""",""""
_,UNK,--,--,_
In,ADP,APPR,in,in
einer,DET,ART,ein,ein
internen,ADJ,ADJA,intern,intern
Kontrolle,NOUN,NN,Kontrolle,Kontrolle
nach,ADP,APPR,nach,nach
der,DET,ART,d,der
Kündigung,NOUN,NN,Kündigung,Kündigung
von,ADP,APPR,von,von
Taake,PROPN,NE,Taake,Taake
sei,AUX,VAFIN,sein,sein
dies,PRON,PDS,dies,dies
aufgefallen,VERB,VVPP,auffallen,auffallen
",",PUNCT,"$,",",",","
zur,ADP,APPRART,zur,zur
Aufklärung,NOUN,NN,Aufklärung,Aufklärung
solle,VERB,VMFIN,sollen,sollen
ein,DET,ART,ein,ein
externer,ADJ,ADJA,extern,extern
Wirtschaftsprüfer,NOUN,NN,Wirtschaftsprüfer,Wirtschaftsprüfer
beauftragt,VERB,VVPP,beauftragen,beauftragen
werden,AUX,VAINF,werden,werden
.,PUNCT,$.,.,.
_,UNK,--,--,_
Verantwortlich,ADJ,ADJD,verantwortlich,Verantwortlich
für,ADP,APPR,für,für
die,DET,ART,d,der
Finanzen,NOUN,NN,Finanzen,Finanz
des,DET,ART,d,der
Landesverbandes,NOUN,NN,Landesverband,Landesverband
sei,AUX,VAFIN,sein,sein
aber,ADV,ADV,aber,aber
"""",PUNCT,$(,"""",""""
durchgehend,ADJ,ADJD,durchgehend,durchgehend
Herr,NOUN,NN,Herr,Herr
Taake,PROPN,NE,Taake,Taake
"""",PUNCT,$(,"""",""""
gewesen,AUX,VAPP,sein,sein
",",PUNCT,"$,",",",","
sagt,VERB,VVFIN,sagen,sagen
Tegeler,PROPN,NE,Tegeler,Tegeler
.,PUNCT,$.,.,.
_,UNK,--,--,_
Aufgefallen,VERB,VVPP,auffallen,Aufgefall
bei,ADP,APPR,bei,bei
der,DET,ART,d,der
internen,ADJ,ADJA,intern,intern
Prüfung,NOUN,NN,Prüfung,Prüfung
ist,AUX,VAFIN,sein,sein
auch,ADV,ADV,auch,auch
