token,tag,tag_STTS,lemma_gold,lemma_pred
Der,DET,ART,der,der
Hauptgang,NOUN,NN,Hauptgang,Hauptgang
war,AUX,VAFIN,sein,sein
in,ADP,APPR,in,in
Ordnung,NOUN,NN,Ordnung,Ordnung
",",PUNCT,"$,",",",","
aber,CCONJ,KON,aber,aber
alles,ADV,PIAT,alle,alle
andere,PRON,PIS,ander,ander
als,ADP,KOKOM,als,als
umwerfend,ADJ,ADJD,umwerfend,umwerfend
.,PUNCT,$.,.,.
Ich,PRON,PPER,ich,ich
habe,AUX,VAFIN,haben,haben
dort,ADV,ADV,dort,dort
2007,NUM,CARD,2007,2007
meinen,DET,PPOSAT,mein,mein
OWD,PROPN,NN,OWD,OWD
gemacht,VERB,VVPP,machen,machen
und,CCONJ,KON,und,und
weil,SCONJ,KOUS,weil,weil
mir,PRON,PPER,ich,ich
das,DET,ART,der,der
Tauchen,NOUN,NN,Tauchen,Tauchen
so,ADV,ADV,so,so
gefiel,VERB,VVFIN,gefallen,gefallen
hab,AUX,VAFIN,haben,haben
ich,PRON,PPER,ich,ich
dort,ADV,ADV,dort,dort
noch,ADV,ADV,noch,noch
im,_,,_,im
in,ADP,APPR,in,in
dem,DET,ART,der,der
selben,DET,PDAT,selb,selb
Jahr,NOUN,NN,Jahr,Jahr
den,DET,ART,der,der
AOWD,PROPN,NN,AOWD,AOWD
und,CCONJ,KON,und,und
den,DET,ART,der,der
Deep,PROPN,NN,Deep,Deep
drangehängt,VERB,VVFIN,dranhängen,drangehängt
.,PUNCT,$.,.,.
Ist,AUX,VAFIN,sein,sein
ja,PART,ADV,ja,ja
wohl,ADV,ADV,wohl,wohl
ein,DET,ART,ein,ein
Witz,NOUN,NN,Witz,Witz
.,PUNCT,$.,.,.
(,PUNCT,$(,(,(
Bei,ADP,APPR,bei,bei
den,DET,ART,der,der
Damen,NOUN,NN,Dame,Dame
und,CCONJ,KON,und,und
Herren,NOUN,NN,Herr,Herr
des,DET,ART,der,der
besagten,ADJ,ADJA,besagt,besagt
Mobilfunkanbieters,NOUN,NN,Mobilfunkanbieters,Mobilfunkanbieters
bin,AUX,VAFIN,sein,sein
ich,PRON,PPER,ich,ich
im,_,,_,im
in,ADP,APPR,in,in
dem,DET,ART,der,der
Gegensatz,NOUN,NN,Gegensatz,Gegensatz
dazu,ADV,PAV,dazu,dazu
bisher,ADV,ADV,bisher,bisher
ausschließlich,ADV,ADV,ausschließlich,ausschließlich
auf,ADP,APPR,auf,auf
arrogante,ADJ,ADJA,arrogant,arrogant
Unkenntnis,NOUN,NN,Unkenntnis,Unkenntnis
gestossen,VERB,VVPP,stoßen,stossen
),PUNCT,$(,),)
.,PUNCT,$.,.,.
10,NUM,CARD,10,10
Euro,NOUN,NN,Euro,Euro
günstiger,ADV,ADJD,günstig,günstig
selbst,ADV,ADV,selbst,selbst
hätte,AUX,VAFIN,haben,haben
kaufen,VERB,VVINF,kaufen,kaufen
können,AUX,VMINF,können,können
.,PUNCT,$.,.,.
Absolut,ADV,ADJD,absolut,absolut
empfehlenswert,ADJ,ADJD,empfehlenswert,empfehlenswert
ist,AUX,VAFIN,sein,sein
auch,ADV,ADV,auch,auch
der,DET,ART,der,der
Service,NOUN,NN,Service,Service
.,PUNCT,$.,.,.
Alle,PRON,PIAT,alle,alle
am,_,,_,am
an,ADP,APPR,an,an
dem,DET,ART,der,der
Wort,NOUN,NN,Wort,Wort
Gottes,NOUN,NE,Gott,Gott
interessierte,ADJ,ADJA,interessiert,interessieren
Personen,NOUN,NN,Person,Person
sind,AUX,VAFIN,sein,sein
