token,tag,tag_STTS,lemma_gold,lemma_pred
…,PUNCT,$(,…,...
das,PRON,PDS,der,die
hört,VERB,VVFIN,hören,hören
sich,PRON,PRF,sich,sich
ja,UNK,PTKMA,ja,ja
nach,ADP,APPR,nach,nach
einem,DET,ART,ein,eine
spannend-amüsanten,ADJ,ADJA,spannend-amüsant,spannend-amüsant
Ausflug,NOUN,NN,Ausflug,Ausflug
an,PART,PTKVZ,an,an
…,PUNCT,$(,…,...
.,PUNCT,$.,.,.
super,ADJ,ADJD,super,super
!,PUNCT,$.,!,!
Wusstet,VERB,VVFIN,wissen,wissen
Ihr,PRON,PPER,ihr,sie
",",PUNCT,"$,",",",","
dass,SCONJ,KOUS,dass,dass
es,PRON,PPER,es,es
eine,DET,ART,ein,eine
Seite,NOUN,NN,Seite,Seite
“,PUNCT,$(,“,“
Fettehenne.info,UNK,URL,fettehenne.info,replaced-dns
”,PUNCT,$(,”,
im,ADP,APPRART,in,”
Netz,NOUN,NN,Netz,in+die
gibt,VERB,VVFIN,geben,Netz
?,PUNCT,$.,?,geben
Danke,PART,PTKANT,danke,Dank
für,ADP,APPR,für,für
deinen,DET,PPOSAT,dein,dein
Kommentar,NOUN,NN,Kommentar,Kommentar
!,PUNCT,$.,!,!
Ja,PART,PTKANT,ja,ja
",",PUNCT,"$,",",",","
die,DET,ART,der,die
Seite,NOUN,NN,Seite,Seite
kenne,VERB,VVFIN,kennen,kennen
ich,PRON,PPER,ich,ich
…,PUNCT,$.,…,...
;-),UNK,EMOASC,;-),;
Hallo,INTJ,ITJ,hallo,hallo
lieber,ADJ,ADJA,lieb,lieb
Yannik,PROPN,NE,Yannik,Yannik
",",PUNCT,"$,",",",","
ich,PRON,PPER,ich,ich
wollte,VERB,VMFIN,wollen,wollen
dir,PRON,PPER,dir,du
mal,UNK,PTKMA,mal,mal
meinen,DET,PPOSAT,mein,mein
Respekt,NOUN,NN,Respekt,Respekt
für,ADP,APPR,für,für
deinen,DET,PPOSAT,dein,dein
Beitrag,NOUN,NN,Beitrag,Beitrag
über,ADP,APPR,über,über
die,DET,ART,der,die
Jugend,NOUN,NN,Jugend,Jugend
mitteilen,VERB,VVINF,mitteilen,mitteilen
.,PUNCT,$.,.,.
Dein,DET,PPOSAT,dein,dein
Papa,NOUN,NN,Papa,Papa
hat,AUX,VAFIN,haben,haben
mir,PRON,PPER,mir,ich
den,DET,ART,der,die
Tip,NOUN,NN,Tipp,Tip
gegeben,VERB,VVPP,geben,geben
mal,UNK,PTKMWL,mal,mal
hier,ADV,ADV,hier,hier
deine,DET,PPOSAT,dein,dein
Blogs,NOUN,NN,Blog,Blog
zu,PART,PTKZU,zu,zu
bewundern,VERB,VVINF,bewundern,bewundern
;),UNK,EMOASC,;),;
Echt,UNK,PTKIFG,echt,)
stark,ADJ,ADJD,stark,echt
für,ADP,APPR,für,stark
dein,DET,PPOSAT,dein,für
Alter,NOUN,NN,Alter,dein
!!,PUNCT,$.,!!,Alter
Ich,PRON,PPER,ich,!
habe,AUX,VAFIN,haben,!
auch,ADV,ADV,auch,ich
einen,DET,ART,ein,haben
Sohn,NOUN,NN,Sohn,auch
",",PUNCT,"$,",",",eine
er,PRON,PPER,er,Sohn
ist,AUX,VAFIN,sein,","
14,NUM,CARD,14,er
Jahre,NOUN,NN,Jahr,sein
und,CONJ,KON,und,@card@
zählt,VERB,VVFIN,zählen,Jahr
zum,ADP,APPRART,zu,und
Glück,NOUN,NN,Glück,zählen
(,PUNCT,$(,(,zu+die
so,ADV,ADV,so,Glück
wie,SCONJ,KOUS,wie,(
du,PRON,PPER,du,so
offensichtlich,ADJ,ADJD,offensichtlich,wie
ja,UNK,PTKMA,ja,du
auch,UNK,PTKMA,auch,offensichtlich
nicht,PART,PTKNEG,nicht,ja
),PUNCT,$(,),auch
zu,ADP,APPR,zu,nicht
diesem,DET,PDAT,dieser,)
Teil,NOUN,NN,Teil,zu
der,DET,ART,der,dies
Jugend,NOUN,NN,Jugend,Teil
.,PUNCT,$.,.,die
Vielleicht,ADV,ADV,vielleicht,Jugend
schreibt,VERB,VVFIN,schreiben,.
Ihr,PRON,PPER,ihr,vielleicht
euch,PRON,PRF,sich,schreiben
mal,ADV,ADV,mal,sie
im,ADP,APPRART,in,ihr
SchülerVZ,PROPN,NE,SchülerVZ,mal
.,PUNCT,$.,.,in+die
Ich,PRON,PPER,ich,SchülerVZ
habe,AUX,VAFIN,haben,.
deinen,DET,PPOSAT,dein,ich
Papa,NOUN,NN,Papa,haben
auch,ADV,ADV,auch,dein
im,ADP,APPRART,in,Papa
Chat,NOUN,NN,Chat,auch
kennengelernt,VERB,VVPP,kennenlernen,in+die
vor,ADP,APPR,vor,Chat
etwa,ADV,ADV,etwa,kennenlernen
5,NUM,CARD,5,vor
JaHREN,NOUN,NN,Jahr,etwa
:,PUNCT,$.,:,@card@
dU,PRON,PPER,du,Jahr
KENNST,VERB,VVFIN,kennen,:
DIE,DET,ART,der,dU
GESCHICHTE,NOUN,NN,Geschichte,kennen
VIELLEICHT,ADV,ADV,vielleicht,die
SOGAR,UNK,PTKIFG,sogar,Geschichte
;,PUNCT,$.,;,vielleicht
DENN,SCONJ,KOUS,denn,sogar
WIE,SCONJ,KOUS,wie,;
ICH,PRON,PPER,ich,denn
WEI?,VERB,VVFIN,wissen,wie
HABT,AUX,VAFIN,haben,ich
IHR,PRON,PPER,ihr,Wei
BEIDE,PRON,PIS,beide,?
EIN,DET,ART,ein,haben
TOLLES,ADJ,ADJA,toll,ihr
vERHÄLTNIS,NOUN,NN,Verhältnis,beide
:,PUNCT,$.,:,eine
Viele,DET,PIAT,vieler,toll
Grüße,NOUN,NN,Gruß,Verhältnis
von,ADP,APPR,von,:
Ines,PROPN,NE,Ines,viele
Gerade,ADV,ADV,gerade,gerade
als,SCONJ,KOUS,als,als
ich,PRON,PPER,ich,ich
das,PRON,PDS,der,die
las,VERB,VVFIN,lesen,lesen
wollte,VERB,VMFIN,wollen,wollen
ich,PRON,PPER,ich,ich
schon,UNK,PTKMA,schon,schon
sagen,VERB,VVINF,sagen,sagen
:,PUNCT,$.,:,:
das,PRON,PDS,der,die
ist,AUX,VAFIN,sein,sein
ein,DET,ART,ein,eine
Aghori,NOUN,NN,Aghori,Aghori
.,PUNCT,$.,.,.
Ich,PRON,PPER,ich,ich
persönlich,ADJ,ADJD,persönlich,persönlich
finde,VERB,VVFIN,finden,finden
durchaus,ADV,ADV,durchaus,durchaus
",",PUNCT,"$,",",",","
dass,SCONJ,KOUS,dass,dass
ihre,DET,PPOSAT,ihr,ihr
Art,NOUN,NN,Art,Art
der,DET,ART,der,die
Verehrung,NOUN,NN,Verehrung,Verehrung
Platz,NOUN,NN,Platz,Platz
hat,AUX,VAFIN,haben,haben
(,PUNCT,$(,(,(
es,PRON,PPER,es,es
ist,AUX,VAFIN,sein,sein
eben,UNK,PTKMA,eben,eben
LHP,NOUN,NN,LHP,LHP
),PUNCT,$(,),)
",",PUNCT,"$,",",",","
denn,CONJ,KON,denn,denn
schließlich,ADV,ADV,schließlich,schließlich
hat,AUX,VAFIN,haben,haben
auch,UNK,PTKIFG,auch,auch
Shiva,PROPN,NE,Shiva,Shiva
dunkle,ADJ,ADJA,dunkel,dunkel
Seiten,NOUN,NN,Seite,Seite
.,PUNCT,$.,.,.
So,ADV,ADV,so,so
wie,SCONJ,KOUS,wie,wie
ich,PRON,PPER,ich,ich
das,PRON,PDS,der,die
mitbekommen,VERB,VVPP,mitbekommen,mitbekommen
haben,AUX,VAFIN,haben,haben
sind,AUX,VAFIN,sein,sein
sie,PRON,PPER,sie,sie
sehr,UNK,PTKIFG,sehr,sehr
gottesfürchtig,ADJ,ADJD,gottesfürchtig,gottesfürchtig
.,PUNCT,$.,.,.
Sie,PRON,PPER,sie,Sie
haben,AUX,VAFIN,haben,haben
nur,UNK,PTKIFG,nur,nur
einfach,ADJ,ADJD,einfach,einfach
andere,DET,PIAT,anderer,andere
(,PUNCT,$(,(,(
strenge,ADJ,ADJA,streng,strengen
),PUNCT,$(,),)
regeln,NOUN,NN,Regel,regeln
an,ADP,APPR,an,an
die,PRON,PRELS,der,die
sie,PRON,PPER,sie,sie
sich,PRON,PRF,sich,sich
halten,VERB,VVINF,halten,halten
müssen,VERB,VMFIN,müssen,müssen
als,CONJ,KOKOM,als,als
der,DET,ART,der,die
Rest,NOUN,NN,Rest,Rest
.,PUNCT,$.,.,.
Und,CONJ,KON,und,und
ansosten,ADV,ADV,ansonsten,ansosten
…,PUNCT,$(,…,...
sehr,UNK,PTKIFG,sehr,sehr
interessant,ADJ,ADJD,interessant,interessant
:),UNK,EMOASC,:),:
Ja,PART,PTKANT,ja,ja
",",PUNCT,"$,",",",","
ich,PRON,PPER,ich,ich
find,VERB,VVFIN,finden,finden
auch,ADV,ADV,auch,auch
",",PUNCT,"$,",",",","
dass,SCONJ,KOUS,dass,dass
ihre,DET,PPOSAT,ihr,ihr
Art,NOUN,NN,Art,Art
Platz,NOUN,NN,Platz,Platz
hat,AUX,VAFIN,haben,haben
und,CONJ,KON,und,und
sie,PRON,PPER,sie,sie
einfach,ADJ,ADJD,einfach,einfach
dazu,ADV,PAV,dazu,dazu
gehört,VERB,VVFIN,gehören,gehören
",",PUNCT,"$,",",",","
kann,VERB,VMFIN,können,können
mir,PRON,PRF,sich,ich
aber,ADV,ADV,aber,aber
auch,UNK,PTKMA,auch,auch
gut,ADJ,ADJD,gut,gut
vorstellen,VERB,VVINF,vorstellen,vorstellen
",",PUNCT,"$,",",",","
das,SCONJ,KOUS,dass,die
sie,PRON,PPER,sie,sie
eben,UNK,PTKMA,eben,eben
durch,ADP,APPR,durch,durch
ihre,DET,PPOSAT,ihr,ihr
Tabu-Brüche,NOUN,NN,Tabubruch,Tabu-Bruch
gesellschaftlicher,ADJ,ADJA,gesellschaftlich,gesellschaftlich
und,CONJ,KON,und,und
religiöser,ADJ,ADJA,religiös,religiös
Art,NOUN,NN,Art,Art
(,PUNCT,$(,(,(
z.,ADP,APPRART,z.,z
B.,NOUN,NN,B.,.
Fleisch,NOUN,NN,Fleisch,B
und,CONJ,KON,und,.
Alkoho,NOUN,NN,Alkohol,Fleisch
),PUNCT,$(,),und
von,ADP,APPR,von,Alkoho
manchen,DET,PIAT,mancher,)
Hindus,NOUN,NN,Hindu,von
abgelehnt,VERB,VVPP,ablehnen,manche
werden,AUX,VAFIN,werden,Hindu
.,PUNCT,$.,.,ablehnen
Dabei,ADV,PAV,dabei,werden
gehts,UNK,VVPPER,gehen,.
ja,UNK,PTKMA,ja,dabei
weniger,ADJ,ADJD,wenig,gehts
um,ADP,APPR,um,ja
ihre,DET,PPOSAT,ihr,weniger
Gottesfürchtigkeit,NOUN,NN,Gottesfürchtigkeit,um
und,CONJ,KON,und,ihr
ihre,DET,PPOSAT,ihr,Gottesfürchtigkeit
strengen,ADJ,ADJA,streng,und
Regeln,NOUN,NN,Regel,ihr
",",PUNCT,"$,",",",streng
als,SCONJ,KOUS,als,Regel
eben,UNK,PTKMA,eben,","
um,ADP,APPR,um,als
die,DET,ART,der,eben
Praktiken,NOUN,NN,Praktik,um
.,PUNCT,$.,.,die
Ich,PRON,PPER,ich,Praktik
hab,AUX,VAFIN,haben,.
den,DET,ART,der,ich
Eindruck,NOUN,NN,Eindruck,haben
",",PUNCT,"$,",",",die
dass,SCONJ,KOUS,dass,Eindruck
es,PRON,PPER,es,","
da,ADV,ADV,da,dass
nicht,PART,PTKNEG,nicht,es
anders,ADV,ADV,anders,da
ist,AUX,VAFIN,sein,nicht
",",PUNCT,"$,",",",anders
wie,CONJ,KOKOM,wie,sein
bei,ADP,APPRART,bei,","
vielen,DET,PIAT,vieler,wie
Coven,NOUN,NN,Coven,bei
",",PUNCT,"$,",",",viele
Logen,NOUN,NN,Loge,Coven
",",PUNCT,"$,",",",","
Orden,NOUN,NN,Orden,Loge
etc.,ADV,ADV,etc.,","
die,PRON,PRELS,der,Orden
sehr,UNK,PTKIFG,sehr,etc.
verschlossen,ADJ,ADJD,verschlossen,.
sind,AUX,VAFIN,sein,die
und,CONJ,KON,und,sehr
Wert,NOUN,NN,Wert,verschließen
darauf,ADV,PAV,darauf,sein
legen,VERB,VVFIN,legen,und
",",PUNCT,"$,",",",Wert
dass,SCONJ,KOUS,dass,darauf
