token,tag,tag_STTS,lemma_gold,lemma_pred
Das,PRON,PDS,der,die
wärs,UNK,VAPPER,sein,wärs
",",PUNCT,"$,",",",","
allen,DET,PIAT,aller,alle
Teilnehmern,NOUN,NN,Teilnehmer,Teilnehmer
herzlichen,ADJ,ADJA,herzlich,herzlich
Dank,NOUN,NN,Dank,Dank
!,PUNCT,$.,!,!
#dtaclarin14,UNK,HST,#dtaclarin14,#dtaclarin14
CLARIN,PROPN,NE,Clarin,CLARIN
VLO,PROPN,NE,Vlo,VLO
:,PUNCT,$(,:,:
https://catalog.clarin.eu,UNK,URL,https://catalog.clarin.eu,replaced-url
#dtaclarin14,UNK,HST,#dtaclarin14,
Dieter,PROPN,NE,Dieter,Dieter
van,PROPN,NE,Van,van
Uytvanck,PROPN,NE,Uytvanck,Uytvanck
(,PUNCT,$(,(,(
Nijmegen,PROPN,NE,Nijmegen,Nijmegen
),PUNCT,$(,),)
:,PUNCT,$(,:,:
Auf,ADP,APPR,auf,auf
der,DET,ART,der,die
Suche,NOUN,NN,Suche,Suche
nach,ADP,APPR,nach,nach
Sprachressourcen,NOUN,NN,Sprachressource,Sprachressource
:,PUNCT,$(,:,:
CLARINs,PROPN,NE,CLARIN,CLARINs
Virtual,PROPN,NE,Virtual,virtual
Language,PROPN,NE,Language,Language
Observatory,PROPN,NE,Observatory,Observatory
#dtaclarin14,UNK,HST,#dtaclarin14,#dtaclarin14
praktisches,ADJ,ADJA,praktisch,praktisch
Beispiel,NOUN,NN,Beispiel,Beispiel
der,DET,ART,der,die
Wortverlaufskurve,NOUN,NN,Wortverlaufskurve,Wortverlaufskurve
:,PUNCT,$(,:,:
Abnahme,NOUN,NN,Abnahme,Abnahme
von,ADP,APPR,von,von
erweiterten,ADJ,ADJA,erweitert,erweitert
Partizipialattributen,NOUN,NN,Partizipialattribut,Partizipialattribut
mit,ADP,APPR,mit,mit
"""",PUNCT,$(,"""",""""
habend,ADJ,ADJD,habend,habend
"""",PUNCT,$(,"""",""""
:,PUNCT,$(,:,:
http://bit.ly/1EUPPhK,UNK,URL,http://bit.ly/1eupphk,replaced-url
#dtaclarin14,UNK,HST,#dtaclarin14,
WLAN,NOUN,NN,WLAN,WLAN
an,ADP,APPR,an,an
der,DET,ART,der,die
@bbaw_de,PROPN,NE,@bbaw_de,@
