token,tag,tag_STTS,lemma_gold,lemma_pred
Jemand,PRON,PIS,jemand,jemand
",",PUNCT,"$,",",",","
der,PRON,PRELS,der,die
Lieder,NOUN,NN,Lied,Lied
schreibt,VERB,VVFIN,schreiben,schreiben
",",PUNCT,"$,",",",","
ist,AUX,VAFIN,sein,sein
gemäß,ADP,APPR,gemäß,gemäß
meinem,DET,PPOSAT,mein,mein
Sprachverständnis,NOUN,NN,Sprachverständnis,Sprachverständnis
ein,DET,ART,ein,eine
Liedschreiber,NOUN,NN,Liedschreiber,Liedschreiber
.,PUNCT,$.,.,.
Wieso,ADV,PWAV,wieso,wieso
das,PRON,PDS,der,die
weniger,DET,PIAT,weniger,weniger
deutsch,ADJ,ADJD,deutsch,deutsch
sein,AUX,VAINF,sein,sein
soll,VERB,VMFIN,sollen,sollen
als,CONJ,KOKOM,als,als
"""",PUNCT,$(,"""",""""
Songautor,NOUN,NN,Songautor,Songautor
"""",PUNCT,$(,"""",""""
",",PUNCT,"$,",",",","
müsstest,VERB,VMFIN,müssen,müssen
du,PRON,PPER,du,du
mir,PRON,PPER,mir,ich
dann,ADV,ADV,dann,dann
noch,ADV,ADV,noch,noch
erläutern,VERB,VVINF,erläutern,erläutern
.,PUNCT,$.,.,.
Schreibe,VERB,VVFIN,schreiben,schreiben
ich,PRON,PPER,ich,ich
einen,DET,ART,ein,eine
Ssssssong,NOUN,NN,Song,Ssssssong
",",PUNCT,"$,",",",","
so,ADV,ADV,so,so
schreibe,VERB,VVFIN,schreiben,schreiben
ich,PRON,PPER,ich,ich
nichts,DET,PIAT,nichts,nichts
anderes,PRON,PIS,anderer,andere
als,ADP,APPR,als,als
ein,DET,ART,ein,eine
Lied,NOUN,NN,Lied,Lied
.,PUNCT,$.,.,.
Ich,PRON,PPER,ich,ich
hab,AUX,VAFIN,haben,haben
mal,UNK,PTKMA,mal,mal
im,ADP,APPRART,in,in+die
Duden,PROPN,NE,Duden,Duden
nachgesehen,VERB,VVPP,nachsehen,nachsehen
(,PUNCT,$(,(,(
24.,ADJ,ADJA,24.,@ord@
Auflage,NOUN,NN,Auflage,Auflage
",",PUNCT,"$,",",",","
2006,NUM,CARD,2006,@card@
),PUNCT,$(,),)
:,PUNCT,$.,:,:
„,PUNCT,$(,„,„
Liedschreiber,NOUN,NN,Liedschreiber,Liedschreiber
“,PUNCT,$(,“,“
gibt,VERB,VVFIN,geben,geben
es,PRON,PPER,es,es
nicht,PART,PTKNEG,nicht,nicht
",",PUNCT,"$,",",",","
dafür,ADV,PAV,dafür,dafür
aber,ADV,ADV,aber,aber
„,PUNCT,$(,„,„
Songwriter,NOUN,NN,Songwriter,Songwriter
“,PUNCT,$(,“,“
.,PUNCT,$.,.,.
Ich,PRON,PPER,ich,ich
verbessere,VERB,VVFIN,verbessern,verbessern
entsprechend,ADJ,ADJD,entsprechend,entsprechend
.,PUNCT,$.,.,.
Gruß,NOUN,NN,Gruß,Gruß
",",PUNCT,"$,",",",","
Solange,SCONJ,KOUS,solange,solange
keine,DET,PIAT,kein,keine
zuverlässige,ADJ,ADJA,zuverlässig,zuverlässig
Informationsquelle,NOUN,NN,Informationsquelle,Informationsquelle
vorliegt,VERB,VVFIN,vorliegen,vorliegen
",",PUNCT,"$,",",",","
die,PRON,PRELS,der,die
Lou,PROPN,NE,Lou,Lou
Reed,PROPN,NE,Reed,Reed
als,CONJ,KOKOM,als,als
„,PUNCT,$(,„,„
Liedschreiber,NOUN,NN,Liedschreiber,Liedschreiber
“,PUNCT,$(,“,“
bezeichnet,VERB,VVFIN,bezeichnen,bezeichnen
(,PUNCT,$(,(,(
ein,DET,ART,ein,eine
Begriff,NOUN,NN,Begriff,Begriff
",",PUNCT,"$,",",",","
den,PRON,PRELS,der,die
der,DET,ART,der,die
Duden,PROPN,NE,Duden,Duden
wiegesagt,INTJ,ITJ,wiegesagt,wiegesagt
nicht,PART,PTKNEG,nicht,nicht
kennt,VERB,VVFIN,kennen,kennen
),PUNCT,$(,),)
",",PUNCT,"$,",",",","
sollten,VERB,VMFIN,sollen,sollen
wir,PRON,PPER,wir,wir
ihn,PRON,PPER,ihn,er
nicht,PART,PTKNEG,nicht,nicht
verwenden,VERB,VVINF,verwenden,verwenden
.,PUNCT,$.,.,.
Die,DET,ART,der,die
Konnoation,NOUN,NN,Konnotation,Konnoation
ist,AUX,VAFIN,sein,sein
eben,UNK,PTKMA,eben,eben
eine,DET,ART,ein,eine
andere,DET,PIAT,anderer,andere
als,CONJ,KOKOM,als,als
bei,ADP,APPR,bei,bei
Songwriter,NOUN,NN,Songwriter,Songwriter
.,PUNCT,$.,.,.
Habe,AUX,VAFIN,haben,haben
den,DET,ART,der,die
Artikel,NOUN,NN,Artikel,Artikel
zufällig,ADJ,ADJD,zufällig,zufällig
auf,ADP,APPR,auf,auf
meiner,DET,PPOSAT,mein,mein
Beobachtungsliste,NOUN,NN,Beobachtungsliste,Beobachtungsliste
und,CONJ,KON,und,und
wundere,VERB,VVFIN,wundern,wundern
mich,PRON,PRF,sich,ich
über,ADP,APPR,über,über
die,DET,ART,der,die
Begriffsverkrampfung,NOUN,NN,Begriffsverkrampfung,Begriffsverkrampfung
.,PUNCT,$.,.,.
Also,ADV,ADV,also,also
"""",PUNCT,$(,"""",""""
Liedschreiber,NOUN,NN,Liedschreiber,Liedschreiber
"""",PUNCT,$(,"""",""""
liest,VERB,VVFIN,lesen,lesen
sich,PRON,PRF,sich,sich
schon,UNK,PTKMA,schon,schon
arg,UNK,PTKIFG,arg,arg
reaktionär,ADJ,ADJD,reaktionär,reaktionär
.,PUNCT,$.,.,.
Warum,ADV,PWAV,warum,warum
nicht,PART,PTKNEG,nicht,nicht
den,DET,ART,der,die
allgemein,ADJ,ADJD,allgemein,allgemein
geläufigen,ADJ,ADJA,geläufig,geläufig
Anglizismus,NOUN,NN,Anglizismus,Anglizismus
"""",PUNCT,$(,"""",""""
Songwriting,NOUN,NN,Songwriting,Songwriting
"""",PUNCT,$(,"""",""""
akzeptieren,VERB,VVINF,akzeptieren,akzeptieren
?,PUNCT,$.,?,?
Songwriting,NOUN,NN,Songwriting,Songwriting
kann,VERB,VMFIN,können,können
der,DET,ART,der,die
moderne,ADJ,ADJA,modern,modern
",",PUNCT,"$,",",",","
an,ADP,APPR,an,an
Popularmusik,NOUN,NN,Popularmusik,Popularmusik
interessierte,ADJ,ADJA,interessiert,interessiert
Mensch,NOUN,NN,Mensch,Mensch
übrigens,ADV,ADV,übrigens,übrigens
sogar,UNK,PTKIFG,sogar,sogar
an,ADP,APPR,an,an
deutschen,ADJ,ADJA,deutsch,deutsch
Universitäten,NOUN,NN,Universität,Universität
erlernen,VERB,VVINF,erlernen,erlernen
",",PUNCT,"$,",",",","
z.,ADP,APPRART,z.,z
B.,NOUN,NN,B.,.
an,ADP,APPR,an,B
der,DET,ART,der,.
MH,NOUN,NN,MH,an
Stuttgart,PROPN,NE,Stuttgart,die
.,PUNCT,$.,.,MH
Und,CONJ,KON,und,Stuttgart
das,DET,ART,der,.
Wiki-Lemma,NOUN,NN,Wiki-Lemma,und
lautet,VERB,VVFIN,lauten,die
ebenso,ADV,ADV,ebenso,Wiki-Lemma
.,PUNCT,$.,.,lauten
Habe,AUX,VAFIN,haben,ebenso
die,DET,ART,der,.
Ehre,NOUN,NN,Ehre,haben
",",PUNCT,"$,",",",die
Wer,PRON,PWS,wer,wer
daraus,ADV,PAV,daraus,daraus
nen,DET,ART,ein,nen
Drama,NOUN,NN,Drama,Drama
macht,VERB,VVFIN,machen,machen
",",PUNCT,"$,",",",","
ist,AUX,VAFIN,sein,sein
wie,CONJ,KOKOM,wie,wie
immer,ADV,ADV,immer,immer
Phi,PROPN,NE,Phi,Phi
-,PUNCT,$(,-,-
sie,PRON,PPER,sie,sie
kanns,UNK,VMPPER,können,kanns
einfach,ADJ,ADJD,einfach,einfach
nicht,PART,PTKNEG,nicht,nicht
lassen,VERB,VVINF,lassen,lassen
.,PUNCT,$.,.,.
Wenn,SCONJ,KOUS,wenn,wenn
songwriting,NOUN,NN,Songwriting,songwriting
auf,ADP,APPR,auf,auf
engl.,ADJ,ADJA,englisch,engl
Liedschreiberei,NOUN,NN,Liedschreiberei,.
verweist,VERB,VVFIN,verweisen,Liedschreiberei
",",PUNCT,"$,",",",verweisen
ist,AUX,VAFIN,sein,","
diese,DET,PDAT,dieser,sein
Diskussion,NOUN,NN,Diskussion,dies
mal,UNK,PTKMA,mal,Diskussion
wieder,ADV,ADV,wieder,mal
völlig,UNK,PTKIFG,völlig,wieder
sinnlos,ADJ,ADJD,sinnlos,völlig
.,PUNCT,$.,.,sinnlos
Bewegen,VERB,VVFIN,bewegen,.
wir,PRON,PPER,wir,bewegen
uns,PRON,PRF,sich,wir
hier,ADV,ADV,hier,wir
in,ADP,APPR,in,hier
der,DET,ART,der,in
deutschen,ADJ,ADJA,deutsch,die
