token,tag,tag_STTS,lemma_gold,lemma_pred
Das,DET,ART,der,die
Vokabular,NOUN,NN,Vokabular,Vokabular
des,DET,ART,der,die
Esperanto,PROPN,NE,Esperanto,Esperanto
besteht,VERB,VVFIN,bestehen,bestehen
zum,ADP,APPRART,zu,zu+die
großen,ADJ,ADJA,groß,groß
Teil,NOUN,NN,Teil,Teil
aus,ADP,APPR,aus,aus
Entlehnungen,NOUN,NN,Entlehnung,Entlehnungen
aus,ADP,APPR,aus,aus
romanischen,ADJ,ADJA,romanisch,romanisch
Sprachen,NOUN,NN,Sprache,Sprache
",",PUNCT,"$,",",",","
ein,DET,ART,ein,eine
Teil,NOUN,NN,Teil,Teil
lässt,VERB,VVFIN,lassen,lassen
sich,PRON,PRF,sich,sich
aber,ADV,ADV,aber,aber
auch,ADV,ADV,auch,auch
auf,ADP,APPR,auf,auf
germanische,ADJ,ADJA,germanisch,germanisch
und,CONJ,KON,und,und
slawische,ADJ,ADJA,slawisch,slawisch
Ursprünge,NOUN,NN,Ursprung,Ursprung
zurückführen,VERB,VVINF,zurückführen,zurückführen
.,PUNCT,$.,.,.
Zur,ADP,APPRART,zu,zu+die
leichten,ADJ,ADJA,leicht,leicht
Erlernbarkeit,NOUN,NN,Erlernbarkeit,Erlernbarkeit
setze,VERB,VVFIN,setzen,setzen
Zamenhof,PROPN,NE,Zamenhof,Zamenhof
auf,ADP,APPR,auf,auf
strenge,ADJ,ADJA,streng,streng
Regularitäten,NOUN,NN,Regularität,Regularitäten
",",PUNCT,"$,",",",","
z.,ADP,APPRART,z.,z
B.,NOUN,NN,B.,.
eine,DET,ART,ein,B
phonematische,ADJ,ADJA,phonematisch,.
Schriftweise,NOUN,NN,Schriftweise,eine
(,PUNCT,$(,(,phonematische
jedem,DET,PIAT,jeder,Schriftweise
Laut,NOUN,NN,Laut,(
wird,AUX,VAFIN,werden,jede
genau,ADJ,ADJD,genau,Laut
ein,NUM,CARD,ein,werden
Schriftzeichen,NOUN,NN,Schriftzeichen,genau
zugeordnet,VERB,VVPP,zuordnen,eine
bzw.,CONJ,KON,bzw.,Schriftzeichen
linguistisch,ADJ,ADJD,linguistisch,zuordnen
korrekt,ADJ,ADJD,korrekt,bzw
:,PUNCT,$.,:,.
jedem,DET,PIAT,jeder,linguistisch
Phonem,NOUN,NN,Phonem,korrekt
entspricht,VERB,VVFIN,entsprechen,:
genau,ADJ,ADJD,genau,jede
ein,NUM,CARD,ein,Phonem
Graphem,NOUN,NN,Graphem,entsprechen
),PUNCT,$(,),genau
;,PUNCT,$.,;,eine
die,DET,ART,der,Graphem
Wortbildung,NOUN,NN,Wortbildung,)
ist,AUX,VAFIN,sein,;
an,ADP,APPR,an,die
agglutinierende,ADJ,ADJA,agglutinierend,Wortbildung
Sprachen,NOUN,NN,Sprache,sein
(,PUNCT,$(,(,an
z.,ADP,APPRART,z.,agglutinierende
B.,NOUN,NN,B.,Sprache
Türkisch,NOUN,NN,Türkisch,(
),PUNCT,$(,),z
angelehnt,ADJ,ADJD,anlehnen,.
",",PUNCT,"$,",",",B
wo,ADV,PWAV,wo,.
Sinneinheiten,NOUN,NN,Sinneinheit,türkisch
(,PUNCT,$(,(,)
linguistisch,ADJ,ADJD,linguistisch,anlehnen
:,PUNCT,$.,:,","
sprachlichen,ADJ,ADJA,sprachlich,wo
Konzepten,NOUN,NN,Konzept,Sinneinheit
),PUNCT,$(,),(
eindeutige,ADJ,ADJA,eindeutig,linguistisch
Wortbestandteile,NOUN,NN,Wortbestandteil,:
(,PUNCT,$(,(,sprachlich
linguistisch,ADJ,ADJD,linguistisch,Konzept
:,PUNCT,$.,:,)
Morpheme,NOUN,NN,Morphem,eindeutig
),PUNCT,$(,),Wortbestandteil
zugeordnet,VERB,VVPP,zuordnen,(
sind,AUX,VAFIN,sein,linguistisch
.,PUNCT,$.,.,:
So,ADV,ADV,so,Morpheme
ist,AUX,VAFIN,sein,)
ein,DET,ART,ein,zuordnen
Wort,NOUN,NN,Wort,sein
",",PUNCT,"$,",",",.
das,PRON,PRELS,der,so
auf,ADP,APPR,auf,sein
-o,X,XY,-o,eine
endet,VERB,VVFIN,enden,Wort
",",PUNCT,"$,",",",","
immer,ADV,ADV,immer,die
ein,DET,ART,ein,auf
Substantiv,NOUN,NN,Substantiv,-o
",",PUNCT,"$,",",",enden
eins,PRON,PIS,einer,","
auf,ADP,APPR,auf,immer
-a,X,XY,-a,eine
immer,ADV,ADV,immer,Substantiv
ein,DET,ART,ein,","
Adjektiv,NOUN,NN,Adjektiv,eins
.,PUNCT,$.,.,auf
Durch,ADP,APPR,durch,-a
Anhängen,NOUN,NN,anhängen,immer
von,ADP,APPR,von,eine
-j,X,XY,-j,Adjektiv
kann,VERB,VMFIN,können,.
man,PRON,PIS,man,durch
den,DET,ART,der,Anhängen
Plural,NOUN,NN,Plural,von
bilden,VERB,VVINF,bilden,-j
",",PUNCT,"$,",",",können
durch,ADP,APPR,durch,man
Vorsetzen,NOUN,NN,vorsetzen,die
von,ADP,APPR,von,Plural
mal-,X,TRUNC,mal,bilden
verneinen,VERB,VVINF,verneinen,","
:,PUNCT,$.,:,durch
bela,X,FM,bela,Bela
Blogo,X,FM,blogo,Blogo
–,PUNCT,$(,–,-
der,DET,ART,der,die
schöne,ADJ,ADJA,schön,schön
Blog,NOUN,NN,Blog,Blog
malbenaj,X,FM,malbenaj,malbenaj
Blogoj,X,FM,blogoj,Blogoj
–,PUNCT,$(,–,-
die,DET,ART,der,die
nicht,PART,PTKNEG,nicht,nicht
schönen,ADJ,ADJA,schön,schön
Blogs,NOUN,NN,Blog,Blog
bediente,VERB,VVFIN,bedienen,bedienen
sich,PRON,PRF,sich,sich
also,ADV,ADV,also,also
des,DET,ART,der,die
Vokabulars,NOUN,NN,Vokabular,Vokabular
verschiedener,ADJ,ADJA,verschieden,verschieden
natürlicher,ADJ,ADJA,natürlich,natürlich
Sprachen,NOUN,NN,Sprache,Sprache
und,CONJ,KON,und,und
versuchte,VERB,VVFIN,versuchen,versuchen
",",PUNCT,"$,",",",","
die,DET,ART,der,die
Grammatik,NOUN,NN,Grammatik,Grammatik
weitestgehend,ADJ,ADJD,weitestgehend,weitestgehend
zu,PART,PTKZU,zu,zu
systematisieren,VERB,VVINF,systematisieren,systematisieren
.,PUNCT,$.,.,.
Solche,DET,PIAT,solcher,solche
