token,tag,tag_STTS,lemma_gold,lemma_pred
Von,ADP,``,von,von
Anbeginn,NOUN,DT,Anbeginn,Anbeginn
Biß,NOUN,NN,Biß,Biss
Dato,PROPN,DT,Dato,dato
hin,PART,JJ,hin,hin
/,PUNCT,NN,/,/
Täte,NOUN,VBC,Täte,tun
man,PRON,IN,man,man
den,DET,DT,d,die
Adel,NOUN,JJ,Adel,Adel
achten,VERB,NN,achten,achten
",",PUNCT,JJ,",",","
In,ADP,",",in,in
diesem,DET,DT,dies,dies
Land,NOUN,JJ,Land,Land
Ei,INTJ,NN,Ei,Ei
p',ADJ,RB,p',p
fuch,NOUN,RB,fuch,'
der,DET,'',d,fuch
Schand,NOUN,",",Schand,die
Tut,PROPN,VBC,Tut,Schand
man,PRON,NNP,man,tun
ihn,PRON,NN,er,man
gar,ADV,NNP,gar,er
verachten,VERB,NNP,verachten,gar
Täte,NOUN,,Täte,verachten
dies,PRON,APPR,dies,tun
nur,ADV,ART,nur,dies
Sin,NOUN,NN,Sin,nur
/,PUNCT,IN,/,Sin
Es,PRON,DT,es,/
ginge,VERB,NN,gehen,Es
hin,PART,.,hin,gehen
/,PUNCT,IN,/,hin
Man,PRON,NN,man,/
nimmt,VERB,",",nehmen,man
ihm,PRON,REL,er,nehmen
gar,ADV,NN,gar,er
die,DET,-,d,gar
Würzen,ADJ,NN,Würzen,die
Das,DET,-,d,Würzen
G',NOUN,NN,G',die
schlecht,ADJ,IN,schlecht,G
das,DET,DT,d,'
Blut,NOUN,NN,Blut,schlecht
/,PUNCT,NN,/,die
Mit,ADP,VBC,mit,Blut
Hab,NOUN,",",Hab,/
und,CONJ,VBC,und,mit
Gut,ADJ,DT,gut,Hab
/,PUNCT,NN,/,und
Will,VERB,DT,wollen,Gut
man,PRON,NN,man,/
zu,ADP,JJ,zu,Will
Boden,NOUN,VB,Boden,man
stürzen,VERB,.,stürzen,zu
/,PUNCT,IN,/,Boden
Kein,DET,DTP$,kein,stürzen
edles,ADJ,JJ,edel,/
Haus,NOUN,NN,Haus,keine
Sich,PRON,,er|es|sie,edel
schwinget,VERB,APPR,schwinget,Haus
aus,PART,ART,aus,sich
/,PUNCT,NN,/,schwinget
