token,tag,tag_STTS,lemma_gold,lemma_pred
_,UNK,--,--,_
Omnis,X,FM,Omis,Omnis
arbor,X,FM,arbor,arbor
bona,X,FM,bona,Bona
facit,X,FM,facit,facit
fructum,X,FM,fructum,fructum
suum,X,FM,suum,suum
bonum,X,FM,bonum,bonum
.,PUNCT,$.,.,.
_,UNK,--,--,_
Dese,DET,PDAT,dies,Dese
wort,NOUN,NN,Wort,wort
spricht,VERB,VVFIN,sprechen,sprechen
vnser,DET,PPOSAT,unser,vnser
liber,ADJ,ADJA,lieb,liber
here,PROPN,NE,Herr,here
ihesus,PROPN,NE,Jesus,ihesus
cristus,PROPN,NE,Christus,cristus
czu,ADP,APPR,zu,czu
eyme,DET,ART,ein,eyme
iczlychen,DET,PIDAT,jed,iczlychen
menschen,NOUN,NN,Mensch,menschen
_,PUNCT,"$,",--,_
der,PRON,PRELS,d,die
do,SCONJ,KOUS,da,do
vorbas,ADJ,ADJD,wahrhaft,vorbas
wil,VERB,VMFIN,wollen,Wil
komen,VERB,VVINF,kommen,komen
vnd,CONJ,KON,und,vnd
_,UNK,--,--,_
_,UNK,--,--,_
fruchtbar,ADJ,ADJD,fruchtbar,fruchtbar
wil,VERB,VMFIN,wollen,Wil
werden,AUX,VAINF,werden,werden
an,ADP,APPR,an,an
syner,DET,PPOSAT,sein,syner
zele,NOUN,NN,Seele,zele
.,PUNCT,$.,.,.
_,UNK,--,--,_
vnd,CONJ,KON,und,vnd
beduten,VERB,VVFIN,bedeuten,beduten
dese,DET,PDAT,dies,dese
wort,NOUN,NN,Wort,wort
alsus,ADV,ADV,also,alsus
_,UNK,--,--,_
_,UNK,--,--,_
ayn,DET,ART,ein,ayn
iczlich,DET,PIAT,jed,iczlich
guter,ADJ,ADJA,gut,gut
bowm,NOUN,NN,Baum,bowm
brenget,VERB,VVFIN,bringen,brenget
eyne,DET,ART,ein,eyne
gute,ADJ,ADJA,gut,gut
frucht,NOUN,NN,Frucht,Frucht
_,UNK,--,--,_
_,UNK,--,--,_
Wilt,VERB,VMFIN,wollen,Wilt
u,PRON,PPER,du,u
nu,ADV,ADV,nun,nu
_,UNK,--,--,_
_,UNK,--,--,_
_,UNK,--,--,_
gvter,ADJ,ADJA,gut,gvter
mensche,NOUN,NN,Mensch,mensche
eynen,DET,ART,ein,eynen
guten,ADJ,ADJA,gut,gut
bowm,NOUN,NN,Baum,bowm
seen,VERB,VVFIN,säen,seen
_,UNK,--,--,_
_,UNK,--,--,_
vnd,CONJ,KON,und,vnd
wilt,VERB,VMFIN,wollen,wilt
u,PRON,PPER,du,u
_,UNK,--,--,_
gute,ADJ,ADJA,gut,gut
frucht,NOUN,NN,Frucht,Frucht
an,ADP,APPR,zu,an
dyner,DET,PPOSAT,dein,dyner
zele,NOUN,NN,Seele,zele
brengen,VERB,VVINF,bringen,breng
_,UNK,--,--,_
so,ADV,ADV,so,so
salt,VERB,VMFIN,sollen,salt
u,PRON,PPER,du,u
dich,PRON,PRF,du,du
vben,VERB,VVINF,üben,vben
an,ADP,APPR,in,an
guten,ADJ,ADJA,gut,gut
werken,NOUN,NN,Werk,werken
ydoch,ADV,ADV,jedoch,ydoch
obir,ADP,APPR,über,obir
alle,DET,PIAT,alle,alle
ding,NOUN,NN,Ding,dingen
.,PUNCT,$.,.,.
_,UNK,--,--,_
so,ADV,ADV,so,so
salt,VERB,VMFIN,sollen,salt
u,PRON,PPER,du,u
dich,PRON,PRF,du,du
vben,VERB,VVINF,üben,vben
an,ADP,APPR,in,an
dy,DET,ART,d,dy
martir,NOUN,NN,Marter,martir
vnsers,DET,PPOSAT,unser,vnsers
heren,PROPN,NE,Herr,heren
ihesu,PROPN,NE,Jesus,ihesu
xp-i,PROPN,NE,Christus,xp-i
.,PUNCT,$.,.,.
_,UNK,--,--,_
vnd,CONJ,KON,und,vnd
_,UNK,--,--,_
salt,VERB,VMFIN,sollen,salt
dy,PRON,PDS,dies,dy
merken,VERB,VVINF,merken,merken
myt,ADP,APPR,mit,myt
alle,DET,PIAT,alle,alle
dyner,DET,PPOSAT,dein,dyner
craft,NOUN,NN,Kraft,craft
dyner,DET,PPOSAT,dein,dyner
synne,NOUN,NN,Sinn,synne
_,UNK,--,--,_
_,UNK,--,--,_
vnd,CONJ,KON,und,vnd
_,UNK,--,--,_
salt,VERB,VMFIN,sollen,salt
dich,PRON,PPER,du,du
myt,ADP,APPR,mit,myt
dyner,DET,PPOSAT,dein,dyner
zele,NOUN,NN,Seele,zele
hengen,VERB,VVINF,hängen,henge
an,ADP,APPR,an,an
den,DET,ART,d,die
heiligen,ADJ,ADJA,heilig,heilig
bowm,NOUN,NN,Baum,bowm
_,UNK,--,--,_
an,ADP,APPR,an,an
dem,PRON,PDS,d,die
vnser,DET,PPOSAT,unser,vnser
heylant,PROPN,NE,Heiland,heylant
syne,DET,PPOSAT,sein,syne
sele,NOUN,NN,Seele,sele
vfgap,VERB,VVFIN,aufgeben,vfgap
durch,ADP,APPR,durch,durch
vnse,DET,PPOSAT,unser,vnse
svnde,NOUN,NN,Sünde,svnde
.,PUNCT,$.,.,.
_,UNK,--,--,_
vnn,CONJ,KON,und,vnn
_,UNK,--,--,_
salt,VERB,VMFIN,sollen,salt
betrachten,VERB,VVINF,betrachten,betrachten
syne,DET,PPOSAT,sein,syne
martir,NOUN,NN,Marter,martir
myt,ADP,APPR,mit,myt
eyme,DET,ART,ein,eyme
betrubegen,ADJ,ADJA,betrübt,betrubegen
herczen,NOUN,NN,Herz,herczen
_,UNK,--,--,_
