token,tag,tag_STTS,lemma_gold,lemma_pred
_,UNK,--,--,_
Um,SCONJ,KOUI,um,um
sich,PRON,PRF,sich,sich
zu,ADP,APPR,zu,zu
dieser,DET,PDAT,dies,dies
Behauptung,NOUN,NN,Behauptung,Behauptung
überhaupt,ADV,ADV,überhaupt,überhaupt
zu,PART,PTKZU,zu,zu
verhalten,VERB,VVINF,verhalten,verhalten
",",PUNCT,"$,",",",","
muss,VERB,VMFIN,müssen,müssen
man,PRON,PIS,man,man
sich,PRON,PRF,sich,sich
erst,ADV,ADV,erst,erst
überlegen,VERB,VVINF,überlegen,überlegen
:,PUNCT,$.,:,:
_,UNK,--,--,_
"""",PUNCT,$(,"""",""""
Haben,AUX,VAFIN,haben,Haben
Frauen,NOUN,NN,Frau,Frau
andere,ADJ,ADJA,ander,andere
Interessen,NOUN,NN,Interesse,Interesse
als,CONJ,KOKOM,als,als
Männer,NOUN,NN,Mann,Mann
?,PUNCT,$.,?,?
"""",PUNCT,$(,"""",""""
_,UNK,--,--,_
Ist,AUX,VAFIN,sein,sein
dies,PRON,PDS,dies,dies
nicht,PART,PTKNEG,nicht,nicht
der,DET,ART,d,die
Fall,NOUN,NN,Fall,Fall
",",PUNCT,"$,",",",","
entfällt,VERB,VVFIN,entfallen,entfallen
die,DET,ART,d,die
Legitimität,NOUN,NN,Legitimität,Legitimität
der,DET,ART,d,die
Frage,NOUN,NN,Frage,Frage
(,PUNCT,$(,(,(
und,CONJ,KON,und,und
des,DET,ART,d,die
Begriffes,NOUN,NN,Begriff,Begriff
Feminismus,NOUN,NN,Feminismus,Feminismus
),PUNCT,$(,),)
.,PUNCT,$.,.,.
_,UNK,--,--,_
Findet,VERB,VVFIN,finden,finden
man,PRON,PIS,man,man
",",PUNCT,"$,",",",","
dass,SCONJ,KOUS,dass,dass
Interessen,NOUN,NN,Interesse,Interesse
der,DET,ART,d,die
Frauen,NOUN,NN,Frau,Frau
sich,PRON,PRF,sich,sich
von,ADP,APPR,von,von
Interessen,NOUN,NN,Interesse,Interesse
der,DET,ART,d,die
Männer,NOUN,NN,Mann,Mann
unterscheiden,VERB,VVINF,unterscheiden,unterscheiden
lassen,VERB,VVFIN,lassen,lassen
",",PUNCT,"$,",",",","
kann,VERB,VMFIN,können,können
man,PRON,PIS,man,man
mit,ADP,APPR,mit,mit
der,DET,ART,d,die
Frage,NOUN,NN,Frage,Frage
weitergehen,VERB,VVINF,weitergehen,weitergehen
:,PUNCT,$.,:,:
"""",PUNCT,$(,"""",""""
Welches,PRON,PWS,welch,welche
sind,AUX,VAFIN,sein,sein
die,DET,ART,d,die
Interessen,NOUN,NN,Interesse,Interesse
der,DET,ART,d,die
Frauen,NOUN,NN,Frau,Frau
?,PUNCT,$.,?,?
"""",PUNCT,$(,"""",""""
_,UNK,--,--,_
Das,PRON,PDS,d,die
muss,VERB,VMFIN,müssen,müssen
abgeklärt,VERB,VVPP,abklären,abklären
werden,AUX,VAINF,werden,werden
",",PUNCT,"$,",",",","
bevor,SCONJ,KOUS,bevor,bevor
man,PRON,PIS,man,man
dazu,ADV,PAV,dazu,dazu
Stellung,NOUN,NN,Stellung,Stellung
nehmen,VERB,VVINF,nehmen,nehmen
kann,VERB,VMFIN,können,können
",",PUNCT,"$,",",",","
ob,SCONJ,KOUS,ob,ob
Interessen,NOUN,NN,Interesse,Interesse
geschadet,VERB,VVPP,schaden,schaden
oder,CONJ,KON,oder,oder
diesen,PRON,PDS,dies,diese
genutzt,VERB,VVPP,nutzen,nutzen
worden,AUX,VAPP,werden,werden
sind,AUX,VAFIN,sein,sein
.,PUNCT,$.,.,.
_,UNK,--,--,_
Erst,ADV,ADV,erst,erst
kommt,VERB,VVFIN,kommen,kommen
also,ADV,ADV,also,also
:,PUNCT,$.,:,:
_,UNK,--,--,_
Haben,AUX,VAFIN,haben,Haben
Frauen,NOUN,NN,Frau,Frau
andere,ADJ,ADJA,ander,andere
Interessen,NOUN,NN,Interesse,Interesse
als,CONJ,KOKOM,als,als
Männer,NOUN,NN,Mann,Mann
?,PUNCT,$.,?,?
_,UNK,--,--,_
Ich,PRON,PPER,ich,Ich
gehe,VERB,VVFIN,gehen,gehen
von,ADP,APPR,von,von
der,DET,ART,d,die
Vorstellung,NOUN,NN,Vorstellung,Vorstellung
aus,PART,PTKVZ,aus,aus
",",PUNCT,"$,",",",","
dass,SCONJ,KOUS,dass,dass
Interessen,NOUN,NN,Interesse,Interesse
von,ADP,APPR,von,von
Werten,NOUN,NN,Wert,Wert|Werten
abhängig,ADJ,ADJD,abhängig,abhängig
sind,AUX,VAFIN,sein,sein
.,PUNCT,$.,.,.
_,UNK,--,--,_
So,ADV,ADV,so,so
sind,AUX,VAFIN,sein,sein
die,DET,ART,d,die
Interessen,NOUN,NN,Interesse,Interesse
der,DET,ART,d,die
Frauen,NOUN,NN,Frau,Frau
eine,DET,ART,ein,eine
Widerspiegelung,NOUN,NN,Widerspiegelung,Widerspiegelung
der,DET,ART,d,die
Werte,NOUN,NN,Wert,Wert
der,DET,ART,d,die
Frauen,NOUN,NN,Frau,Frau
.,PUNCT,$.,.,.
_,UNK,--,--,_
Welche,DET,PWAT,welch,welche
sich,PRON,PRF,sich,sich
von,ADP,APPR,von,von
männlichen,ADJ,ADJA,männlich,männlich
Werten,NOUN,NN,Wert,Wert|Werten
unterscheidende,ADJ,ADJA,unterscheidend,unterscheidend
Werte,NOUN,NN,Wert,Wert
könnten,VERB,VMFIN,können,können
Frauen,NOUN,NN,Frau,Frau
haben,AUX,VAINF,haben,haben
?,PUNCT,$.,?,?
_,UNK,--,--,_
Überzeugt,VERB,VVPP,überzeugt,überzeugt
davon,ADV,PAV,davon,davon
",",PUNCT,"$,",",",","
dass,SCONJ,KOUS,dass,dass
es,PRON,PPER,es,es
etwas,PRON,PIS,etwas,etwas
wie,CONJ,KOKOM,wie,wie
universelle,ADJ,ADJA,universell,universell
",",PUNCT,"$,",",",","
grundlegende,ADJ,ADJA,grundlegend,grundlegend
Werte,NOUN,NN,Wert,Wert
gibt,VERB,VVFIN,geben,geben
(,PUNCT,$(,(,(
z.,ADP,APPRART,z.,z
B.,NOUN,NN,B.,.
geht,VERB,VVFIN,gehen,B
es,PRON,PPER,es,.
