token,tag,tag_STTS,lemma_gold,lemma_pred
_,UNK,--,--,_
Verhaftung,NOUN,NN,Verhaftung,Verhaftung
–,PUNCT,$(,–,-
_,UNK,--,--,_
Gespräch,NOUN,NN,Gespräch,Gespräch
mit,ADP,APPR,mit,mit
Frau,NOUN,NN,Frau,Frau
Grubach,PROPN,NE,Grubach,Grubach
–,PUNCT,$(,–,-
_,UNK,--,--,_
Dann,ADV,ADV,dann,dann
kommt,VERB,VVFIN,kommen,kommen
Fräulein,NOUN,NN,Fräulein,Fräulein
Bürstner,PROPN,NE,Bürstner,Bürstner
_,UNK,--,--,_
Jemand,PRON,PIS,jemand,Jemand
musste,VERB,VMFIN,müssen,müssen
Josef,PROPN,NE,Josef,Josef
K.,PROPN,NE,K.,K
verleumdet,VERB,VVPP,verleumden,.
haben,AUX,VAFIN,haben,verleumden
",",PUNCT,"$,",",",haben
denn,CONJ,KON,denn,","
ohne,ADP,APPR,ohne,denn
dass,SCONJ,KOUS,dass,ohne
er,PRON,PPER,er,dass
etwas,PRON,PIS,etwas,er
Böses,NOUN,NN,Böse,etwas
getan,VERB,VVPP,tun,Böse
hätte,AUX,VAFIN,haben,tun
",",PUNCT,"$,",",",haben
wurde,AUX,VAFIN,werden,","
er,PRON,PPER,er,werden
eines,DET,ART,ein,er
Morgens,NOUN,NN,Morgen,eine
verhaftet,VERB,VVPP,verhaften,Morgen
.,PUNCT,$.,.,verhaften
_,UNK,--,--,_
Die,DET,ART,d,die
Köchin,NOUN,NN,Köchin,Köchin
der,DET,ART,d,die
Frau,NOUN,NN,Frau,Frau
Grubach,PROPN,NE,Grubach,Grubach
",",PUNCT,"$,",",",","
seine,DET,PPOSAT,sein,sein
Zimmervermieterin,NOUN,NN,Zimmervermieterin,Zimmervermieterin
",",PUNCT,"$,",",",","
die,PRON,PRELS,d,die
ihm,PRON,PPER,er,er
jeden,DET,PIDAT,jed,jede
Tag,NOUN,NN,Tag,Tag
gegen,ADP,APPR,gegen,gegen
acht,NUM,CARD,acht,acht
Uhr,NOUN,NN,Uhr,Uhr
früh,ADJ,ADJD,früh,früh
das,DET,ART,d,die
Frühstück,NOUN,NN,Frühstück,Frühstück
brachte,VERB,VVFIN,bringen,bringen
",",PUNCT,"$,",",",","
kam,VERB,VVFIN,kommen,kommen
diesmal,ADV,ADV,diesmal,diesmal
nicht,PART,PTKNEG,nicht,nicht
.,PUNCT,$.,.,.
_,UNK,--,--,_
Das,PRON,PDS,d,die
war,AUX,VAFIN,sein,sein
noch,ADV,ADV,noch,noch
niemals,ADV,ADV,niemals,niemals
geschehen,VERB,VVPP,geschehen,geschehen
.,PUNCT,$.,.,.
_,UNK,--,--,_
K.,PROPN,NE,K.,K
wartete,VERB,VVFIN,warten,.
noch,ADV,ADV,noch,warten
ein,DET,ART,ein,noch
Weilchen,NOUN,NN,Weilchen,eine
",",PUNCT,"$,",",",Weilchen
er,PRON,PPER,er,","
sah,VERB,VVFIN,sehen,er
von,ADP,APPR,von,sehen
seinem,DET,PPOSAT,sein,von
Kopfkissen,NOUN,NN,Kopfkissen,sein
aus,ADP,APZR,aus,Kopfkissen
die,DET,ART,d,aus
alte,ADJ,ADJA,alt,die
Frau,NOUN,NN,Frau,alt
",",PUNCT,"$,",",",Frau
die,PRON,PRELS,d,","
ihm,PRON,PPER,er,die
gegenüber,ADP,APPO,gegenüber,er
wohnte,VERB,VVFIN,wohnen,gegenüber
und,CONJ,KON,und,wohnen
die,PRON,PRELS,d,und
ihn,PRON,PPER,er,die
mit,ADP,APPR,mit,er
einer,DET,ART,ein,mit
an,ADP,APPR,an,eine
ihr,PRON,PPER,er,an
ganz,ADJ,ADJD,ganz,ihr
ungewöhnlichen,ADJ,ADJA,ungewöhnlich,ganz
Neugierde,NOUN,NN,Neugierde,ungewöhnlich
beobachtete,VERB,VVFIN,beobachten,Neugierde
",",PUNCT,"$,",",",beobachten
dann,ADV,ADV,dann,","
aber,ADV,ADV,aber,dann
",",PUNCT,"$,",",",aber
gleichzeitig,ADJ,ADJD,gleichzeitig,","
befremdet,ADJ,ADJD,befremdet,gleichzeitig
und,CONJ,KON,und,befremdet
hungrig,ADJ,ADJD,hungrig,und
",",PUNCT,"$,",",",hungrig
läutete,VERB,VVFIN,läuten,","
er,PRON,PPER,er,läuten
.,PUNCT,$.,.,er
_,UNK,--,--,_
Sofort,ADV,ADV,sofort,sofort
klopfte,VERB,VVFIN,klopfen,klopfen
es,PRON,PPER,es,es
und,CONJ,KON,und,und
ein,DET,ART,ein,eine
Mann,NOUN,NN,Mann,Mann
",",PUNCT,"$,",",",","
den,PRON,PRELS,d,die
er,PRON,PPER,er,er
in,ADP,APPR,in,in
