token,tag,tag_STTS,lemma_gold,lemma_pred
_,UNK,--,--,_
JustChat,PROPN,NE,JustChat,JustChat
4.0r0.204,X,XY,4.0r0.204,4.0r@card@
(,PUNCT,$(,(,(
"55,204",NUM,CARD,"55,204",@card@
),PUNCT,$(,),","
developed,X,FM,developed,@card@
by,X,FM,by,)
Medium.net,PROPN,NE,Medium.net,developed
.,PUNCT,$.,.,by
_,UNK,--,--,_
Du,PRON,PPER,du,du
betrittst,VERB,VVFIN,betreten,betreten
den,DET,ART,d,die
Raum,NOUN,NN,Raum,Raum
.,PUNCT,$.,.,.
_,UNK,--,--,_
was,PRON,PWS,was,was
_,UNK,--,--,_
_,UNK,--,--,_
_,UNK,--,--,_
_,UNK,--,--,_
_,UNK,--,--,_
echt,ADJ,ADJD,echt,echt
_,UNK,--,--,_
zori,PROPN,NE,Zora,zori
?,PUNCT,$.,?,?
_,UNK,--,--,_
little15,PROPN,NE,little15,little15
betritt,VERB,VVFIN,betreten,betreten
den,DET,ART,d,die
Raum,NOUN,NN,Raum,Raum
.,PUNCT,$.,.,.
_,UNK,--,--,_
das,DET,ART,d,die
küssen,NOUN,NN,Küssen,küssen
_,UNK,--,--,_
_,UNK,--,--,_
?,PUNCT,$.,?,?
_,UNK,--,--,_
na,INTJ,ITJ,na,na
_,UNK,--,--,_
gut,ADJ,ADJD,gut,gut
_,UNK,--,--,_
marc,PROPN,NE,marc30,Marc
.,PUNCT,$.,.,.
_,UNK,--,--,_
_,UNK,--,--,_
_,UNK,--,--,_
kein,DET,PIAT,kein,keine
servicepaket,NOUN,NN,Servicepaket,Servicepaket
nr.,NOUN,NN,Nr.,nr
1,NUM,CARD,1,.
für,ADP,APPR,für,@card@
dich,PRON,PPER,du,für
_,UNK,--,--,du
_,UNK,--,--,_
:),X,XY,:),_
_,UNK,--,--,:
_,UNK,--,--,)
was,PRON,PWS,was,_
_,UNK,--,--,_
_,UNK,--,--,was
?,PUNCT,$.,?,_
_,UNK,--,--,_
TomcatMJ,PROPN,NE,TomcatMJ,TomcatMJ
kommt,VERB,VVFIN,kommen,kommen
aus,ADP,APPR,aus,aus
dem,DET,ART,d,die
Raum,NOUN,NN,Raum,Raum
Go-Rin-No-Sho,PROPN,NE,Go-Rin-No-Sho,Go-Rin-No-Sho
herein,PART,PTKVZ,herein,herein
.,PUNCT,$.,.,.
_,UNK,--,--,_
hi,INTJ,ITJ,hi,hi
_,UNK,--,--,_
TomcatMJ,PROPN,NE,TomcatMJ,TomcatMJ
ist,AUX,VAFIN,sein,sein
wieder,ADV,ADV,wieder,wieder
da,PART,PTKVZ,da,da
.,PUNCT,$.,.,.
_,UNK,--,--,_
Danke,PART,PTKANT,danke,Dank
",",PUNCT,"$,",",",","
Pharao,PROPN,NE,Pharao,Pharao
_,UNK,--,--,_
_,UNK,--,--,_
*,PUNCT,$(,*,*
erleichtert|,ADJ,ADJD,erleichtert,erleichtern
guck,VERB,VVINF,gucken,|
_,UNK,--,--,gucken
*,PUNCT,$(,*,_
_,UNK,--,--,*
_,UNK,--,--,_
juhuuu,INTJ,ITJ,juhuu,_
_,UNK,--,--,juhuuu
tom,PROPN,NE,TomcatMJ,_
is,AUX,VAFIN,sein,tom
dada,ADV,ADV,da,is
_,UNK,--,--,dada
_,UNK,--,--,_
_,UNK,--,--,_
_,UNK,--,--,_
echt,ADJ,ADJD,echt,_
?,PUNCT,$.,?,echt
_,UNK,--,--,_
hi,INTJ,ITJ,hi,hi
_,UNK,--,--,_
quaki,PROPN,NE,Quaki,quaki
_,UNK,--,--,_
_,UNK,--,--,_
Heyho,INTJ,ITJ,hey,Heyho
_,UNK,--,--,_
Tom,PROPN,NE,TomcatMJ,Tom
_,UNK,--,--,_
_,UNK,--,--,_
Tom,PROPN,NE,TomcatMJ,Tom
_,UNK,--,--,_
_,UNK,--,--,_
hi,INTJ,ITJ,hi,hi
_,UNK,--,--,_
marc,PROPN,NE,marc30,marc
_,UNK,--,--,_
_,UNK,--,--,_
hi,INTJ,ITJ,hi,hi
_,UNK,--,--,_
tom,PROPN,NE,TomcatMJ,tom
_,UNK,--,--,_
_,UNK,--,--,_
hi,INTJ,ITJ,hi,hi
_,UNK,--,--,_
faryen,PROPN,NE,Faryen-Angle,faryen
_,UNK,--,--,_
_,UNK,--,--,_
hi,INTJ,ITJ,hi,hi
_,UNK,--,--,_
zora,PROPN,NE,Zora,zora
_,UNK,--,--,_
_,UNK,--,--,_
huhu,INTJ,ITJ,huhu,huhu
_,UNK,--,--,_
tom,PROPN,NE,TomcatMJ,tom
_,UNK,--,--,_
_,UNK,--,--,_
_,UNK,--,--,_
alles,PRON,PIS,alles,alle
konfetti,NOUN,NN,Konfetti,Konfetti
bei,ADP,APPR,bei,bei
euch,PRON,PPER,ihr,ihr
?,PUNCT,$.,?,?
_,UNK,--,--,_
_,UNK,--,--,_
mich,PRON,PRF,ich,ich
nochmal,ADV,ADV,nochmal,nochmal
zu,ADP,APPR,zu,zu
hi,INTJ,ITJ,hi,hi
n,PART,PTKVZ,hin,n
hinstell,VERB,VVINF,stellen,hinstell
_,UNK,--,--,_
little15,PROPN,NE,little15,little15
verlässt,VERB,VVFIN,verlassen,verlassen
den,DET,ART,d,die
Raum,NOUN,NN,Raum,Raum
.,PUNCT,$.,.,.
_,UNK,--,--,_
Lantonie,PROPN,NE,Lantonie,Lantonie
betritt,VERB,VVFIN,betreten,betreten
den,DET,ART,d,die
Raum,NOUN,NN,Raum,Raum
.,PUNCT,$.,.,.
_,UNK,--,--,_
Lantöööö,PROPN,NE,Lantonie,Lantöööö
_,UNK,--,--,_
_,UNK,--,--,_
Hallooo,INTJ,ITJ,hallo,Hallooo
.,PUNCT,$.,.,.
_,UNK,--,--,_
:))),X,XY,:))),:
_,UNK,--,--,)
_,UNK,--,--,)
mal,ADV,ADV,mal,)
guck,VERB,VVINF,gucken,_
_,UNK,--,--,_
wo,ADV,PWAV,wo,mal
quaki,PROPN,NE,Quaki,gucken
sich,PRON,PRF,sich,_
nu,ADV,ADV,nun,wo
hinstelt,VERB,VVFIN,hinstellen,quaki
_,UNK,--,--,sich
_,UNK,--,--,nu
*,PUNCT,$(,*,hinstelt
G,X,XY,g,_
*,PUNCT,$(,*,_
_,UNK,--,--,*
_,UNK,--,--,G
_,UNK,--,--,*
*,PUNCT,$(,*,_
freu,VERB,VVINF,freuen,_
*,PUNCT,$(,*,_
_,PRON,PRF,--,*
_,PUNCT,$.,--,freuen
_,UNK,--,--,_
juhuuuuuu,INTJ,ITJ,juhuu,juhuuuuuu
_,UNK,--,--,_
_,UNK,--,--,_
Hallo,INTJ,ITJ,hallo,hallo
_,UNK,--,--,_
quaki,PROPN,NE,Quaki,quaki
.,PUNCT,$.,.,.
_,UNK,--,--,_
:o),X,XY,:o),:
_,UNK,--,--,o
hi,INTJ,ITJ,hi,)
_,UNK,--,--,_
Lantonie,PROPN,NE,Lantonie,hi
_,UNK,--,--,_
_,UNK,--,--,Lantonie
huhu,INTJ,ITJ,huhu,_
_,UNK,--,--,_
zoriiiiii,PROPN,NE,Zora,huhu
.,PUNCT,$.,.,_
_,UNK,--,--,_
re,INTJ,ITJ,re,re
_,UNK,--,--,_
Tomcat,PROPN,NE,TomcatMJ,Tomcat
.,PUNCT,$.,.,.
_,UNK,--,--,_
re,INTJ,ITJ,re,re
_,UNK,--,--,_
marc,PROPN,NE,marc30,Marc
.,PUNCT,$.,.,.
_,UNK,--,--,_
.))),X,XY,.))),.
_,UNK,--,--,)
ups,INTJ,ITJ,ups,)
_,UNK,--,--,)
is,AUX,VAFIN,sein,_
das,PRON,PDS,d,ups
das,DET,ART,d,_
falsche,ADJ,ADJA,falsch,is
eck,NOUN,NN,Eck,die
?,PUNCT,$.,?,die
_,UNK,--,--,_
quaki,PROPN,NE,Quaki,quaki
krabbelt,VERB,VVFIN,krabbeln,krabbeln
aus,ADP,APPR,aus,aus
dem,DET,ART,d,die
eck,NOUN,NN,Eck,ecken
raus,PART,PTKVZ,raus,raus
_,UNK,--,--,_
_,UNK,--,--,_
Hallo,INTJ,ITJ,hallo,hallo
_,UNK,--,--,_
Faryen,PROPN,NE,Faryen-Angle,Faryen
.,PUNCT,$.,.,.
_,UNK,--,--,_
Ich,PRON,PPER,ich,Ich
finde,VERB,VVFIN,finden,finden
den,DET,ART,d,die
quaki,PROPN,NE,Quaki,quaki
klasse,ADJ,ADJD,klasse,klasse
",",PUNCT,"$,",",",","
er,PRON,PPER,er,er
ist,AUX,VAFIN,sein,sein
ein,DET,ART,ein,eine
toller,ADJ,ADJA,toll,toll
Neuzugang,NOUN,NN,Neuzugang,Neuzugang
",",PUNCT,"$,",",",","
der,PRON,PRELS,d,die
sich,PRON,PRF,sich,sich
echt,ADJ,ADJD,echt,echt
bewährt,VERB,VVFIN,bewähren,bewähren
.,PUNCT,$.,.,.
_,UNK,--,--,_
Na,INTJ,ITJ,na,na
",",PUNCT,"$,",",",","
zori,PROPN,NE,Zora,zori
?,PUNCT,$.,?,?
_,UNK,--,--,_
:)),X,XY,:)),:
_,UNK,--,--,)
den,PRON,PDS,d,)
_,UNK,--,--,_
_,UNK,--,--,die
?,PUNCT,$.,?,_
_,UNK,--,--,_
*,PUNCT,$(,*,*
g,X,XY,g,g
*,PUNCT,$(,*,*
_,UNK,--,--,_
_,UNK,--,--,_
dange,PART,PTKANT,danke,dange
_,UNK,--,--,_
lantonie,PROPN,NE,Lantonie,lantonie
_,UNK,--,--,_
_,UNK,--,--,_
Ich,PRON,PPER,ich,Ich
habe,AUX,VAFIN,haben,haben
heute,ADV,ADV,heute,heute
einen,DET,ART,ein,eine
SMS,NOUN,NN,SMS,SMS
von,ADP,APPR,von,von
Tigaaaaelse,PROPN,NE,Tigaaaaelse,Tigaaaaelse
bekommen,VERB,VVPP,bekommen,bekommen
.,PUNCT,$.,.,.
_,UNK,--,--,_
erzähl,VERB,VVIMP,erzählen,erzählen
_,UNK,--,--,_
_,UNK,--,--,_
lanto,PROPN,NE,Lantonie,lanto
redet,VERB,VVFIN,reden,reden
wie,CONJ,KOKOM,wie,wie
ne,DET,ART,ein,eine
bewährungshelferin,NOUN,NN,Bewährungshelferin,Bewährungshelferin
_,UNK,--,--,_
_,UNK,--,--,_
zora,PROPN,NE,Zora,zora
freut,VERB,VVFIN,freuen,freuen
sich,PRON,PRF,sich,sich
über,ADP,APPR,über,über
ihr,DET,PPOSAT,ihr,ihr
zeugniss,NOUN,NN,Zeugnis,zeugniss
_,UNK,--,--,_
_,UNK,--,--,_
*,PUNCT,$(,*,*
auf|,PART,PTKVZ,auf,auf
pluster,VERB,VVINF,plustern,|
*,PUNCT,$(,*,pluster
_,UNK,--,--,*
_,UNK,--,--,_
_,UNK,--,--,_
_,UNK,--,--,_
Thor,PROPN,NE,Thor,_
betritt,VERB,VVFIN,betreten,Thor
den,DET,ART,d,betreten
Raum,NOUN,NN,Raum,die
.,PUNCT,$.,.,Raum
_,UNK,--,--,_
ich,PRON,PPER,ich,ich
_,UNK,--,--,_
_,UNK,--,--,_
mal,ADV,ADV,mal,mal
wieder,ADV,ADV,wieder,wieder
nich,PART,PTKNEG,nicht,nich
...,PUNCT,$.,...,...
_,UNK,--,--,_
was,PRON,PWS,was,was
hast,AUX,VAFIN,haben,haben
_,UNK,--,--,_
denn,ADV,ADV,denn,denn
_,UNK,--,--,_
zori,PROPN,NE,Zora,zori
?,PUNCT,$.,?,?
_,UNK,--,--,_
stoeps,PROPN,NE,stoeps,stoeps
kommt,VERB,VVFIN,kommen,kommen
aus,ADP,APPR,aus,aus
dem,DET,ART,d,die
Raum,NOUN,NN,Raum,Raum
Number_of_the_beast,PROPN,NE,Number_of_the_beast,Number_of_the_beast
herein,PART,PTKVZ,herein,herein
.,PUNCT,$.,.,.
_,UNK,--,--,_
Das,PRON,PDS,d,die
hast,AUX,VAFIN,haben,haben
du,PRON,PPER,du,du
dir,PRON,PRF,du,du
verdient,VERB,VVPP,verdienen,verdienen
",",PUNCT,"$,",",",","
zori,PROPN,NE,Zora,zori
?,PUNCT,$.,?,?
_,UNK,--,--,_
oh,INTJ,ITJ,oh,oh
_,UNK,--,--,_
man,NOUN,NN,Mann,man
_,UNK,--,--,_
wat,PRON,PWS,was,waten
fürn,ADP,APPR,für,fürn
_,UNK,--,--,_
krawall,NOUN,NN,Krawall,Krawall
_,UNK,--,--,_
hier,ADV,ADV,hier,hier
draußen,ADV,ADV,draußen,draußen
...,PUNCT,$.,...,...
_,UNK,--,--,_
_,UNK,--,--,_
*,PUNCT,$(,*,*
guck,VERB,VVINF,gucken,gucken
*,PUNCT,$(,*,*
_,UNK,--,--,_
_,UNK,--,--,_
_,UNK,--,--,_
_,UNK,--,--,_
nur,ADV,ADV,nur,nur
einsen,NOUN,NN,Eins,Eins
_,UNK,--,--,_
_,UNK,--,--,_
_,UNK,--,--,_
*,PUNCT,$(,*,*
brust|,NOUN,NN,Brust,brust
schwell,VERB,VVINF,schwellen,|
*,PUNCT,$(,*,schwell
_,UNK,--,--,*
_,UNK,--,--,_
_,UNK,--,--,_
Emon,PROPN,NE,Emon,_
betritt,VERB,VVFIN,betreten,Emon
den,DET,ART,d,betreten
Raum,NOUN,NN,Raum,die
.,PUNCT,$.,.,Raum
_,UNK,--,--,_
re,INTJ,ITJ,re,re
_,UNK,--,--,_
_,UNK,--,--,_
:-))),X,XY,:-))),:
_,UNK,--,--,-
Emon,PROPN,NE,Emon,)
ist,AUX,VAFIN,sein,)
wieder,ADV,ADV,wieder,)
da,PART,PTKVZ,da,_
.,PUNCT,$.,.,Emon
_,UNK,--,--,_
re,INTJ,ITJ,re,re
_,UNK,--,--,_
Emon,PROPN,NE,Emon,Emon
_,UNK,--,--,_
_,UNK,--,--,_
und,CONJ,KON,und,und
_,UNK,--,--,_
_,UNK,--,--,_
eine,DET,ART,ein,eine
eins,NOUN,NN,Eins,eins
minus,ADV,ADV,minus,minus
in,ADP,APPR,in,in
benehmen,NOUN,NN,Benehmen,benehmen
_,UNK,--,--,_
_,UNK,--,--,_
*,PUNCT,$(,*,*
ggg,INTJ,ITJ,g,ggg
*,PUNCT,$(,*,*
_,UNK,--,--,_
_,UNK,--,--,_
*,PUNCT,$(,*,*
njamnjamnajm,INTJ,ITJ,njam,njamnjamnajm
*,PUNCT,$(,*,*
_,UNK,--,--,_
_,UNK,--,--,_
re,INTJ,ITJ,re,re
_,UNK,--,--,_
stoeps,PROPN,NE,stoeps,stoeps
_,UNK,--,--,_
_,UNK,--,--,_
ohhhh,INTJ,ITJ,oh,ohhhh
_,UNK,--,--,_
_,UNK,--,--,_
die,DET,ART,d,die
geitigkeit,NOUN,NN,Geistigkeit,geitigkeit
kommt,VERB,VVFIN,kommen,kommen
auch,ADV,ADV,auch,auch
_,UNK,--,--,_
_,UNK,--,--,_
+s,X,XY,+s,+s
_,UNK,--,--,_
hallo,INTJ,ITJ,hallo,hallo
_,UNK,--,--,_
Emon,PROPN,NE,Emon,Emon
_,UNK,--,--,_
_,UNK,--,--,_
hi,INTJ,ITJ,hi,hi
_,UNK,--,--,_
emon,PROPN,NE,Emon,emon
_,UNK,--,--,_
tag,NOUN,NN,Tag,tagen
_,UNK,--,--,_
quaki,PROPN,NE,Quaki,quaki
_,UNK,--,--,_
_,UNK,--,--,_
dat,PRON,PDS,d,dat
sind,AUX,VAFIN,sein,sein
schätzungsweise,ADV,ADV,schätzungsweise,schätzungsweise
200,NUM,CARD,200,@card@
krähen,NOUN,NN,Krähe,krähen
oder,CONJ,KON,oder,oder
so,ADV,ADV,so,so
in,ADP,APPR,in,in
nem,DET,ART,ein,nem
baum,NOUN,NN,Baum,Baum
_,UNK,--,--,_
der,PRON,PRELS,d,die
etwa,ADV,ADV,etwa,etwa
100,NUM,CARD,100,@card@
m,NOUN,NN,Meter,m
weg,ADV,ADV,weg,weg
is,AUX,VAFIN,sein,is
...,PUNCT,$.,...,...
_,UNK,--,--,_
quaaakiiii,PROPN,NE,Quaki,quaaakiiii
und,CONJ,KON,und,und
lanto,PROPN,NE,Lantonie,lanto
_,UNK,--,--,_
_,UNK,--,--,_
_,UNK,--,--,_
_,UNK,--,--,_
hi,INTJ,ITJ,hi,hi
_,UNK,--,--,_
thor,PROPN,NE,Thor,thor
_,UNK,--,--,_
_,UNK,--,--,_
:-),X,XY,:-),:
_,UNK,--,--,-
hi,INTJ,ITJ,hi,)
_,UNK,--,--,_
stoeps,PROPN,NE,stoeps,hi
unf,CONJ,KON,und,_
tom,PROPN,NE,TomcatMJ,stoeps
_,UNK,--,--,unf
_,UNK,--,--,tom
:(,X,XY,:(,_
_,UNK,--,--,_
über,ADP,APPR,über,:
meine,DET,PPOSAT,mein,(
benehmennote,NOUN,NN,Benehmensnote,_
reden,VERB,VVFIN,reden,über
wir,PRON,PPER,wir,mein
lieber,ADJ,ADJD,lieber,benehmennote
nicht,PART,PTKNEG,nicht,reden
_,UNK,--,--,wir
_,UNK,--,--,lieb
hi,INTJ,ITJ,hi,nicht
_,UNK,--,--,_
emon,PROPN,NE,Emon,_
_,UNK,--,--,hi
_,UNK,--,--,_
200,NUM,CARD,200,emon
krähen,NOUN,NN,Krähe,_
_,UNK,--,--,_
_,UNK,--,--,@card@
?,PUNCT,$.,?,krähen
_,UNK,--,--,_
jo..,PART,PTKANT,ja,Jo
_,UNK,--,--,.
Die,DET,ART,d,.
eins,NOUN,NN,Eins,_
Minus,ADV,ADV,minus,die
hast,AUX,VAFIN,haben,eins
du,PRON,PPER,du,Minus
bekommen,VERB,VVPP,bekommen,haben
",",PUNCT,"$,",",",du
weil,SCONJ,KOUS,weil,bekommen
du,PRON,PPER,du,","
eine,DET,ART,ein,weil
Zeit|,NOUN,NN,Zeit,du
lang,ADJ,ADJD,lang,eine
häufti,ADJ,ADJD,häufig,Zeit
gesagt,VERB,VVPP,sagen,|
hast,AUX,VAFIN,haben,lang
.,PUNCT,$.,.,häufti
_,UNK,--,--,_
_,UNK,--,--,_
was,PRON,PWS,was,was
ist,AUX,VAFIN,sein,sein
Benehmen,NOUN,NN,Benehmen,Benehmen
?,PUNCT,$.,?,?
_,UNK,--,--,_
_,UNK,--,--,_
die,DET,ART,d,die
vögel,NOUN,NN,Vogel,vögeln
_,UNK,--,--,_
_,UNK,--,--,_
_,UNK,--,--,_
B67,PROPN,NE,B67,B67
betritt,VERB,VVFIN,betreten,betreten
den,DET,ART,d,die
Raum,NOUN,NN,Raum,Raum
.,PUNCT,$.,.,.
_,UNK,--,--,_
