token,tag,tag_STTS,lemma_gold,lemma_pred
Heute,_,ADV,heute,heute
wird,_,VAFIN,werden,werden
von,_,APPR,von,von
Monaco,_,NE,Monaco,Monaco
aus,_,APZR,aus,aus
z.B.,_,ADV,z.B.,z.B.
nach,_,APPR,nach,nach
Europa,_,NE,Europa,Europa
und,_,KON,und,und
North,_,FM,North,North
Afrika,_,NE,Afrika,Afrika
in,_,APPR,in,in
mehr,_,ADV,mehr,mehr
als,_,KOKOM,als,als
20,_,CARD,20,@card@
Sprachen,_,NN,Sprache,Sprache
",",_,"$,",",",","
das,_,ART,der,die
Evangelium,_,NN,Evangelium,Evangelium
verbreitet,_,VVPP,verbreiten,verbreiten
.,_,$.,.,.
Auch,_,ADV,auch,auch
für,_,APPR,für,für
uns,_,PPER,wir,wir
als,_,KOKOM,als,als
Gemeinde,_,NN,Gemeinde,Gemeinde
wird,_,VAFIN,werden,werden
Gott,_,NN,Gott,Gott
sorgen,_,VVINF,sorgen,sorgen
",",_,"$,",",",","
wenn,_,KOUS,wenn,wenn
wir,_,PPER,wir,wir
ganz,_,ADV,ganz,ganz
und,_,KON,und,und
gar,_,ADV,gar,gar
ihm,_,PPER,er,er
dienen,_,VVFIN,dienen,dienen
.,_,$.,.,.
Und,_,KON,und,und
als,_,KOKOM,als,als
Zweites,_,NN,Zweite,Zweite
sagt,_,VVFIN,sagen,sagen
Jesus,_,NE,Jesus,Jesus
",",_,"$,",",",","
lohnt,_,VVFIN,lohnen,lohnen
es,_,PPER,es,es
sich,_,PRF,sich,sich
",",_,"$,",",",","
weil,_,KOUS,weil,weil
wir,_,PPER,wir,wir
in,_,APPR,in,in
der,_,ART,der,die
neuen,_,ADJA,neu,neu
Welt,_,NN,Welt,Welt
im,_,APPRART,in,in+die
neuen,_,ADJA,neu,neu
Zeitalter,_,NN,Zeitalter,Zeitalter
",",_,"$,",",",","
das,_,ART,der,die
ewige,_,ADJA,ewig,ewig
Leben,_,NN,Leben,Leben
bekommen,_,VVFIN,bekommen,bekommen
.,_,$.,.,.
Das,_,ART,der,die
ewige,_,ADJA,ewig,ewig
Leben,_,NN,Leben,Leben
ist,_,VAFIN,sein,sein
das,_,ART,der,die
höchste,_,ADJA,hoch,hoch
Gut,_,NN,Gut,Gut
",",_,"$,",",",","
das,_,PRELS,der,die
ein,_,ART,ein,eine
Mensch,_,NN,Mensch,Mensch
bekommen,_,VVINF,bekommen,bekommen
kann,_,VMFIN,können,können
.,_,$.,.,.
Es,_,PPER,es,es
gibt,_,VVFIN,geben,geben
nichts,_,PIAT,nichts,nichts
anstrebenswerteres,_,NN,Anstrebenswertere,anstrebenswerteres
als,_,KOKOM,als,als
das,_,ART,der,die
ewige,_,ADJA,ewig,ewig
Leben,_,NN,Leben,Leben
.,_,$.,.,.
Es,_,PPER,es,es
war,_,VAFIN,sein,sein
am,_,APPRART,an,an+die
Ende,_,NN,Ende,Ende
meines,_,PPOSAT,mein,mein
Theologiestudiums,_,NN,Theologiestudium,Theologiestudium
.,_,$.,.,.
Ich,_,PPER,ich,ich
war,_,VAFIN,sein,sein
voll,_,ADJD,voll,voll
getankt,_,ADJD,getankt,tanken
mit,_,APPR,mit,mit
Erkenntnissen,_,NN,Erkenntnis,Erkenntnis
",",_,"$,",",",","
voll,_,ADJD,voll,voll
gepumpt,_,ADJD,gepumpt,pumpen
mit,_,APPR,mit,mit
theoretischem,_,ADJA,theoretisch,theoretisch
Wissen,_,NN,Wissen,Wissen
.,_,$.,.,.
Zuhause,_,ADV,zuhause,zuhause
lag,_,VVFIN,liegen,liegen
nach,_,APPR,nach,nach
langem,_,ADJA,lang,lang
Krebsleiden,_,NN,Krebsleiden,Krebsleiden
die,_,ART,der,die
schwer,_,ADJD,schwer,schwer
geprüfte,_,ADJA,geprüft,geprüft
Großmutter,_,NN,Großmutter,Großmutter
mit,_,APPR,mit,mit
ihrem,_,PPOSAT,ihr,ihr
zerfressenen,_,ADJA,zerfressen,zerfressen
Gesicht,_,NN,Gesicht,Gesicht
.,_,$.,.,.
Mir,_,PPER,ich,ich
aber,_,ADV,aber,aber
war,_,VAFIN,sein,sein
der,_,ART,der,die
Mund,_,NN,Mund,Mund
verschlossen,_,VVPP,verschlossen,verschließen
.,_,$.,.,.
Kein,_,PIAT,kein,keine
Gebetssatz,_,NN,Gebetssatz,Gebetssatz
war,_,VAFIN,sein,sein
abrufbar,_,ADJD,abrufbar,abrufbar
",",_,"$,",",",","
keine,_,PIS,keiner,keine
der,_,ART,der,die
vielen,_,PIAT,vieler,viele
einst,_,ADV,einst,einst
auswendig,_,ADV,auswendig,auswendig
gelernten,_,ADJA,gelernt,gelernt
Liedzeilen,_,NN,Liedzeile,Liedzeile
.,_,$.,.,.
Schrecklich,_,ADJD,schrecklich,schrecklich
",",_,"$,",",",","
unvorstellbar,_,ADJD,unvorstellbar,unvorstellbar
schrecklich,_,ADJD,schrecklich,schrecklich
!,_,$.,!,!
Seit,_,APPR,seit,seit
jenem,_,PDAT,jener,jen
Augenblick,_,NN,Augenblick,Augenblick
weiß,_,VVFIN,wissen,wissen
ich,_,PPER,ich,ich
:,_,$.,:,:
Es,_,PPER,es,es
kann,_,VMFIN,können,können
die,_,ART,der,die
ganze,_,ADJA,ganz,ganz
Quintessenz,_,NN,Quintessenz,Quintessenz
meiner,_,PPOSAT,mein,mein
Frömmigkeit,_,NN,Frömmigkeit,Frömmigkeit
null,_,ADJD,null,null
und,_,KON,und,und
nichtig,_,ADJD,nichtig,nichtig
sein,_,VAINF,sein,sein
!,_,$.,!,!
Unbrauchbar,_,ADJD,unbrauchbar,unbrauchbar
.,_,$.,.,.
Das,_,PDS,der,die
ist,_,VAFIN,sein,sein
ein,_,ART,ein,eine
wunderbares,_,ADJA,wunderbar,wunderbar
Geheimnis,_,NN,Geheimnis,Geheimnis
.,_,$.,.,.
Das,_,PDS,der,die
heißt,_,VVFIN,heißen,heißen
",",_,"$,",",",","
ich,_,PPER,ich,ich
verstehe,_,VVFIN,verstehen,verstehen
es,_,PPER,es,es
nicht,_,PTKNEG,nicht,nicht
mit,_,APPR,mit,mit
meinem,_,PPOSAT,mein,mein
Kopf,_,NN,Kopf,Kopf
",",_,"$,",",",","
aber,_,KON,aber,aber
es,_,PPER,es,es
ist,_,VAFIN,sein,sein
trotzdem,_,ADV,trotzdem,trotzdem
wahr,_,ADJD,wahr,wahr
und,_,KON,und,und
ein,_,ART,ein,eine
Faktum,_,NN,Faktum,Faktum
",",_,"$,",",",","
dass,_,KOUS,dass,dass
dieser,_,PDAT,dieser,dies
Jesus,_,NE,Jesus,Jesus
Christus,_,NE,Christus,Christus
mich,_,PPER,ich,ich
schon,_,ADV,schon,schon
gekannt,_,VVPP,kennen,kennen
hat,_,VAFIN,haben,haben
",",_,"$,",",",","
bevor,_,KOUS,bevor,bevor
ich,_,PPER,ich,ich
geboren,_,VVPP,gebären,gebären
wurde,_,VAFIN,werden,werden
.,_,$.,.,.
Bevor,_,KOUS,bevor,bevor
ich,_,PPER,ich,ich
gezeugt,_,VVPP,zeugen,zeugen
wurde,_,VAFIN,werden,werden
",",_,"$,",",",","
er,_,PPER,er,er
kennt,_,VVFIN,kennen,kennen
mich,_,PPER,ich,ich
.,_,$.,.,.
Gott,_,NN,Gott,Gott
hat,_,VAFIN,haben,haben
einen,_,ART,ein,eine
Plan,_,NN,Plan,Plan
für,_,APPR,für,für
mein,_,PPOSAT,mein,mein
Leben,_,NN,Leben,Leben
",",_,"$,",",",","
er,_,PPER,er,er
sucht,_,VVFIN,suchen,suchen
mich,_,PPER,ich,ich
.,_,$.,.,.
Warum,_,PWAV,warum,warum
nicht,_,PTKNEG,nicht,nicht
",",_,"$,",",",","
wenn,_,KOUS,wenn,wenn
man,_,PIS,man,man
arbeitslos,_,ADJD,arbeitslos,arbeitslos
ist,_,VAFIN,sein,sein
",",_,"$,",",",","
in,_,APPR,in,in
der,_,ART,der,die
Gemeinde,_,NN,Gemeinde,Gemeinde
oder,_,KON,oder,oder
in,_,APPR,in,in
einem,_,ART,ein,eine
christlichen,_,ADJA,christlich,christlich
Werk,_,NN,Werk,Werk
zupacken,_,VVINF,zupacken,zupacken
?,_,$.,?,?
Warum,_,PWAV,warum,warum
nicht,_,PTKNEG,nicht,nicht
Verantwortung,_,NN,Verantwortung,Verantwortung
übernehmen,_,VVINF,übernehmen,übernehmen
und,_,KON,und,und
auch,_,ADV,auch,auch
