token,tag,tag_STTS,lemma_gold,lemma_pred
Die,DET,ART,der,die
Zigeuner,NOUN,NN,Zigeuner,Zigeuner
waren,AUX,VAFIN,sein,sein
damals,ADV,ADV,damals,damals
in,ADP,APPR,in,in
der,DET,ART,der,die
Verfolgung,NOUN,NN,Verfolgung,Verfolgung
",",PUNCT,"$,",--,","
welche,PRON,PRELS,welche,welche
die,DET,ART,der,die
vertriebenen,ADJ,ADJA,vertrieben,vertrieben
Juden,NOUN,NN,Jude,Jude
ihnen,PRON,PPER,ihnen,sie
zuzogen,VERB,VVFIN,zuziehen,zuziehen
",",PUNCT,"$,",--,","
die,PRON,PRELS,der,die
sich,PRON,PRF,sich,sich
für,ADP,APPR,für,für
Zigeuner,NOUN,NN,Zigeuner,Zigeuner
ausgaben,VERB,VVFIN,ausgeben,ausgeben
",",PUNCT,"$,",--,","
um,SCONJ,KOUI,um,um
geduldet,VERB,VVPP,dulden,dulden|gedulden
zu,PART,PTKZU,zu,zu
werden,AUX,VAFIN,werden,werden
",",PUNCT,"$,",--,","
schon,ADV,ADV,schon,schon
sündlich,ADV,ADV,sündlich,sündlich
verwildert,ADJ,ADJD,verwildert,verwildern
;,PUNCT,$.,--,;
oft,ADV,ADV,oft,oft
hatte,AUX,VAFIN,haben,haben
Herzog,NOUN,NN,Herzog,Herzog
Michael,PROPN,NE,Michael,Michael
darüber,ADV,PAV,darüber,darüber
geklagt,VERB,VVPP,klagen,klagen
und,CONJ,KON,und,und
alle,DET,PIAT,alle,alle
seine,DET,PPOSAT,sein,sein
Klugheit,NOUN,NN,Klugheit,Klugheit
angewendet,VERB,VVPP,anwenden,anwenden
",",PUNCT,"$,",--,","
sie,PRON,PPER,sie,sie
aus,ADP,APPR,aus,aus
dieser,DET,PDAT,dieser,dies
Zerstreuung,NOUN,NN,Zerstreuung,Zerstreuung
nach,ADP,APPR,nach,nach
ihrem,DET,PPOSAT,ihr,ihr
Vaterlande,NOUN,NN,Vaterland,Vaterland
zurückzuführen,VERB,VVIZU,zurückführen,zurückführen
.,PUNCT,$.,--,.
Ihr,DET,PPOSAT,ihr,ihr
Gelübde,NOUN,NN,Gelübde,Gelübde
",",PUNCT,"$,",--,","
so,ADV,ADV,so,so
weit,ADJ,ADJA,weit,weit
zu,PART,PTKZU,zu,zu
ziehen,VERB,VVINF,ziehen,ziehen
",",PUNCT,"$,",--,","
als,SCONJ,KOUS,als,als
sie,PRON,PPER,sie,sie
noch,ADV,ADV,noch,noch
Christen,NOUN,NN,Christ,Christ
fänden,VERB,VVFIN,finden,finden
",",PUNCT,"$,",--,","
war,AUX,VAFIN,sein,sein
gelöst,VERB,VVPP,lösen,lösen
",",PUNCT,"$,",--,","
denn,ADV,ADV,denn,denn
sie,PRON,PPER,sie,sie
waren,AUX,VAFIN,sein,sein
schon,ADV,ADV,schon,schon
aus,ADP,APPR,aus,aus
Spanien,PROPN,NE,Spanien,Spanien
vom,ADP,APPRART,von,von+die
Weltmeere,NOUN,NN,Weltmeer,Weltmeer
zurückgekehrt,VERB,VVPP,zurückkehren,zurückkehren
;,PUNCT,$.,--,;
nur,ADV,ADV,nur,nur
der,DET,ART,der,die
Wunsch,NOUN,NN,Wunsch,Wunsch
nach,ADP,APPR,nach,nach
der,DET,ART,der,die
neuen,ADJ,ADJA,neu,neu
Welt,NOUN,NN,Welt,Welt
hielt,VERB,VVFIN,halten,halten
sie,PRON,PPER,sie,sie
in,ADP,APPR,in,in
der,DET,ART,der,die
alten,ADJ,ADJA,alt,alt
",",PUNCT,"$,",--,","
die,PRON,PRELS,der,die
nur,ADV,ADV,nur,nur
Krieger,NOUN,NN,Krieger,Krieger
",",PUNCT,"$,",--,","
keine,DET,PIAT,kein,keine
Pilger,NOUN,NN,Pilger,Pilger
hinübersetzen,VERB,VVINF,hinübersetzen,hinübersetzen
wollte,VERB,VVFIN,wollen,wollen
.,PUNCT,$.,--,.
Das,DET,ART,der,die
Zurückführen,NOUN,NN,Zurückführen,Zurückführen
nach,ADP,APPR,nach,nach
Ägypten,PROPN,NE,Ägypten,Ägypten
war,AUX,VAFIN,sein,sein
aber,CONJ,KON,aber,aber
bei,ADP,APPR,bei,bei
der,DET,ART,der,die
zunehmenden,ADJ,ADJA,zunehmend,zunehmend
Türkenmacht,NOUN,NN,Türkenmacht,Türkenmacht
",",PUNCT,"$,",--,","
bei,ADP,APPR,bei,bei
der,DET,ART,der,die
Verfolgung,NOUN,NN,Verfolgung,Verfolgung
überall,ADV,ADV,überall,überall
",",PUNCT,"$,",--,","
bei,ADP,APPR,bei,bei
dem,DET,ART,der,die
Mangel,NOUN,NN,Mangel,Mangel
an,ADP,APPR,an,an
Gelde,NOUN,NN,Geld,Geld
unendlich,ADV,ADV,unendlich,unendlich
schwer,ADJ,ADJD,schwer,schwer
.,PUNCT,$.,--,.
Schon,ADV,ADV,schon,schon
hatte,AUX,VAFIN,haben,haben
der,DET,ART,der,die
Herzog,NOUN,NN,Herzog,Herzog
",",PUNCT,"$,",--,","
was,PRON,PWS,was,was
sonst,ADV,ADV,sonst,sonst
ihre,DET,PPOSAT,ihr,ihr
Nationalbelustigung,NOUN,NN,Nationalbelustigung,Nationalbelustigung
war,AUX,VAFIN,sein,sein
",",PUNCT,"$,",--,","
Proben,NOUN,NN,Probe,Probe
von,ADP,APPR,von,von
Stärke,NOUN,NN,Stärke,Stärke
und,CONJ,KON,und,und
Geschicklichkeit,NOUN,NN,Geschicklichkeit,Geschicklichkeit
(,PUNCT,$(,--,(
wie,CONJ,KOKOM,wie,wie
sie,PRON,PPER,sie,sie
schwere,ADJ,ADJA,schwer,schwer
Tische,NOUN,NN,Tisch,Tisch
auf,ADP,APPR,auf,auf
ihren,DET,PPOSAT,ihr,ihr
Zähnen,NOUN,NN,Zahn,Zahn
im,ADP,APPRART,im,in+die
Gleichgewichte,NOUN,NN,Gleichgewicht,Gleichgewicht
trugen,VERB,VVFIN,tragen,tragen
",",PUNCT,"$,",--,","
wie,CONJ,KOKOM,wie,wie
sie,PRON,PPER,sie,sie
sich,PRON,PRF,sich,sich
springend,ADJ,ADJD,springend,springend
in,ADP,APPR,in,in
der,DET,ART,der,die
Luft,NOUN,NN,Luft,Luft
überschlugen,VERB,VVFIN,überschlagen,überschlagen
oder,CONJ,KON,oder,oder
auf,ADP,APPR,auf,auf
den,DET,ART,der,die
Händen,NOUN,NN,Hand,Hand
gingen,VERB,VVFIN,gehen,gehen
),PUNCT,$(,--,)
",",PUNCT,"$,",--,","
alles,PRON,PIS,alle,alle
das,PRON,PDS,der,die
",",PUNCT,"$,",--,","
was,PRON,PWS,was,was
sie,PRON,PPER,sie,sie
mit,ADP,APPR,mit,mit
dem,DET,ART,der,die
Namen,NOUN,NN,Name,Name
der,DET,ART,der,die
starken,ADJ,ADJA,stark,stark
Mannskünste,NOUN,NN,Mannskunst,Mannskunst
bezeichneten,VERB,VVFIN,bezeichnet,bezeichnen
",",PUNCT,"$,",--,","
zu,ADP,APPR,zu,zu
ihrer,DET,PPOSAT,ihr,ihr
Erhaltung,NOUN,NN,Erhaltung,Erhaltung
zu,PART,PTKZU,zu,zu
benutzen,VERB,VVINF,benutzen,benutzen
gesucht,VERB,VVPP,suchen,suchen
",",PUNCT,"$,",--,","
aber,CONJ,KON,aber,aber
von,ADP,APPR,von,von
einem,DET,ART,ein,eine
Gebiete,NOUN,NN,Gebiet,Gebiet
ins,ADP,APPRART,im,in+die
andre,NOUN,NN,Andere,andere
zurückgedrängt,VERB,VVPP,zurückdrängen,zurückdrängen
",",PUNCT,"$,",--,","
erschöpften,ADJ,ADJA,erschöpfen,erschöpfen
sich,PRON,PRF,sich,sich
diese,DET,PDAT,dieser,dies
Erwerbsquellen,NOUN,NN,Erwerbsquelle,Erwerbsquelle
",",PUNCT,"$,",--,","
und,CONJ,KON,und,und
auch,ADV,ADV,auch,auch
die,DET,ART,der,die
Besseren,NOUN,NN,Bessere,Bessere
",",PUNCT,"$,",--,","
wenn,SCONJ,KOUS,wenn,wenn
selbst,PRON,PRF,sich,selbst
das,DET,ART,der,die
Wahrsagen,NOUN,NN,Wahrsagen,Wahrsagen
nicht,PART,PTKNEG,nicht,nicht
mehr,ADV,ADV,mehr,mehr
galt,VERB,VVFIN,gelten,gelten
",",PUNCT,"$,",--,","
sahen,VERB,VVFIN,sehen,sehen
sich,PRON,PRF,sich,sich
gezwungen,VERB,VVPP,zwingen,zwingen
",",PUNCT,"$,",--,","
ihre,DET,PPOSAT,ihr,ihr
ärmliche,ADJ,ADJA,ärmlich,ärmlich
Nahrung,NOUN,NN,Nahrung,Nahrung
zu,PART,PTKZU,zu,zu
stehlen,VERB,VVINF,stehlen,stehlen
oder,CONJ,KON,oder,oder
mit,ADP,APPR,mit,mit
jagdfreien,ADJ,ADJA,jagdfrei,jagdfrei
Tieren,NOUN,NN,Tier,Tier
",",PUNCT,"$,",--,","
wie,CONJ,KOKOM,wie,wie
Maulwürfe,NOUN,NN,Maulwurf,Maulwurf
und,CONJ,KON,und,und
Stachelschweine,NOUN,NN,Stachelschwein,Stachelschwein
",",PUNCT,"$,",--,","
fürlieb,ADV,ADV,fürlieb,fürlieb
zu,PART,PTKZU,zu,zu
nehmen,VERB,VVINF,nehmen,nehmen
.,PUNCT,$.,--,.
Da,ADV,ADV,da,da
fühlten,VERB,VVFIN,fühlen,fühlen
sie,PRON,PPER,sie,sie
erst,ADV,ADV,erst,erst
recht,ADV,ADV,recht,recht
innerlich,ADJ,ADJD,innerlich,innerlich
die,DET,ART,der,die
Strafe,NOUN,NN,Strafe,Strafe
",",PUNCT,"$,",--,","
daß,SCONJ,KOUS,daß,dass
sie,PRON,PPER,sie,sie
die,DET,ART,der,die
heilige,ADJ,ADJA,heilige,heilig
Mutter,NOUN,NN,Mutter,Mutter
Gottes,NOUN,NN,Gott,Gott
mit,ADP,APPR,mit,mit
dem,DET,ART,der,die
Jesuskinde,NOUN,NN,Jesuskind,Jesuskind
und,CONJ,KON,und,und
dem,DET,ART,der,die
alten,ADJ,ADJA,alten,alt
Joseph,PROPN,NE,Joseph,Joseph
verstoßen,VERB,VVFIN,"verstoßen,",verstoßen
",",PUNCT,"$,",--,","
als,SCONJ,KOUS,als,als
sie,PRON,PPER,sie,sie
zu,ADP,APPR,zu,zu
ihnen,DET,PPOSAT,ihnen,sie
nach,ADP,APPR,nach,nach
Ägypten,PROPN,NE,Ägypten,Ägypten
flüchteten,VERB,VVFIN,flüchten,flüchten
",",PUNCT,"$,",--,","
weil,SCONJ,KOUS,weil,weil
sie,PRON,PPER,sie,sie
nicht,PART,PTKNEG,nicht,nicht
die,DET,ART,der,die
Augen,NOUN,NN,Auge,Auge
des,DET,ART,der,die
Herrn,NOUN,NN,Herr,Herr
ansahen,VERB,VVFIN,ansehen,ansehen
",",PUNCT,"$,",--,","
sondern,CONJ,KON,sondern,sondern
mit,ADP,APPR,mit,mit
roher,ADJ,ADJA,roh,roh
Gleichgültigkeit,NOUN,NN,Gleichgültigkeit,Gleichgültigkeit
die,DET,ART,der,die
Heiligen,NOUN,NN,Heilige,Heilige
für,ADP,APPR,für,für
Juden,NOUN,NN,Jude,Jude
hielten,VERB,VVFIN,halten,halten
",",PUNCT,"$,",--,","
die,PRON,PRELS,der,die
in,ADP,APPR,in,in
Ägypten,PROPN,NE,Ägypten,Ägypten
auf,ADP,APPR,auf,auf
ewige,ADJ,ADJA,ewig,ewig
Zeit,NOUN,NN,Zeit,Zeit
nicht,PART,PTKNEG,nicht,nicht
beherbergt,VERB,VVPP,beherbergn,beherbergen
werden,AUX,VAINF,sein,werden
",",PUNCT,"$,",--,","
weil,SCONJ,KOUS,weil,weil
sie,PRON,PPER,sie,sie
die,DET,ART,der,die
geliehenen,ADJ,ADJA,leihen,geliehen
goldnen,ADJ,ADJA,golden,goldnen
und,CONJ,KON,und,und
silbernen,ADJ,ADJA,silbern,silbern
Gefäße,NOUN,NN,Gefäß,Gefäß
auf,ADP,APPR,auf,auf
ihrer,DET,PPOSAT,ihr,ihr
Auswanderung,NOUN,NN,Auswanderung,Auswanderung
nach,ADP,APPR,nach,nach
dem,DET,ART,der,die
gelobten,ADJ,ADJA,gelobt,gelobt
Lande,NOUN,NN,Land,Land
mitgenommen,VERB,VVPP,mitnehmen,mitnehmen
hatten,VERB,VVFIN,haben,haben
.,PUNCT,$.,--,.
Als,SCONJ,KOUS,als,als
sie,PRON,PPER,sie,sie
nun,ADV,ADV,nun,nun
später,ADV,ADV,später,spät
den,DET,ART,der,die
Heiland,NOUN,NN,Heiland,Heiland
aus,ADP,APPR,aus,aus
seinem,DET,PPOSAT,sein,sein
Tode,NOUN,NN,Tod,Tod
erkannten,VERB,VVFIN,erkennen,erkennen
",",PUNCT,"$,",--,","
den,PRON,PRELS,der,die
sie,PRON,PPER,sie,sie
in,ADP,APPR,in,in
seinem,DET,PPOSAT,sein,sein
Leben,NOUN,NN,Leben,Leben
verschmäht,VERB,VVPP,verschmähen,verschmähen
hatten,AUX,VAFIN,haben,haben
",",PUNCT,"$,",--,","
da,SCONJ,KOUS,da,da
wollte,VERB,VVFIN,wollen,wollen
die,DET,ART,der,die
Hälfte,NOUN,NN,Hälfte,Hälfte
des,DET,ART,der,die
Volks,NOUN,NN,Volks,Volk
durch,ADP,APPR,durch,durch
eine,DET,ART,ein,eine
Wallfahrt,NOUN,NN,Wallfahrt,Wallfahrt
",",PUNCT,"$,",--,","
so,ADV,ADV,so,so
weit,ADJ,ADJA,weit,weit
sie,PRON,PPER,sie,sie
Christen,NOUN,NN,Christ,Christ
finden,VERB,VVINF,finden,finden
würden,AUX,VAFIN,werden,werden
",",PUNCT,"$,",--,","
diese,DET,PPOSAT,dieser,dies
Hartherzigkeit,NOUN,NN,Hartherzigkeit,Hartherzigkeit
büßen,VERB,VVFIN,büßen,büßen
.,PUNCT,$.,--,.
Sie,PRON,PPER,Sie,Sie
zogen,VERB,VVFIN,ziehen,ziehen
durch,ADP,APPR,durch,durch
Kleinasien,PROPN,NE,Kleinasien,Kleinasien
nach,ADP,APPR,nach,nach
Europa,PROPN,NE,Europa,Europa
und,CONJ,KON,und,und
nahmen,VERB,VVFIN,nehmen,nehmen
ihre,DET,PPOSAT,ihr,ihr
Schätze,NOUN,NN,Schatz,Schatz
mit,ADP,APPR,mit,mit
sich,PRON,PRF,sich,sich
",",PUNCT,"$,",--,","
und,CONJ,KON,und,und
