token,tag,tag_STTS,lemma_gold,lemma_pred
Der,DET,ART,der,die
Hauptgang,NOUN,NN,Hauptgang,Hauptgang
war,AUX,VAFIN,sein,sein
in,ADP,APPR,in,in
Ordnung,NOUN,NN,Ordnung,Ordnung
",",PUNCT,"$,",",",","
aber,CCONJ,KON,aber,aber
alles,ADV,PIAT,alle,alle
andere,PRON,PIS,ander,andere
als,ADP,KOKOM,als,als
umwerfend,ADJ,ADJD,umwerfend,umwerfend
.,PUNCT,$.,.,.
Ich,PRON,PPER,ich,ich
habe,AUX,VAFIN,haben,haben
dort,ADV,ADV,dort,dort
2007,NUM,CARD,2007,@card@
meinen,DET,PPOSAT,mein,meinen
OWD,PROPN,NN,OWD,OWD
gemacht,VERB,VVPP,machen,machen
und,CCONJ,KON,und,und
weil,SCONJ,KOUS,weil,weil
mir,PRON,PPER,ich,ich
das,DET,ART,der,die
Tauchen,NOUN,NN,Tauchen,Tauchen
so,ADV,ADV,so,so
gefiel,VERB,VVFIN,gefallen,gefallen
hab,AUX,VAFIN,haben,haben
ich,PRON,PPER,ich,ich
dort,ADV,ADV,dort,dort
noch,ADV,ADV,noch,noch
im,_,,_,in+die
in,ADP,APPR,in,in
dem,DET,ART,der,die
selben,DET,PDAT,selb,selb
Jahr,NOUN,NN,Jahr,Jahr
den,DET,ART,der,die
AOWD,PROPN,NN,AOWD,AOWD
und,CCONJ,KON,und,und
den,DET,ART,der,die
Deep,PROPN,NN,Deep,Deep
drangehängt,VERB,VVFIN,dranhängen,dranhängen
.,PUNCT,$.,.,.
Ist,AUX,VAFIN,sein,sein
ja,PART,ADV,ja,ja
wohl,ADV,ADV,wohl,wohl
ein,DET,ART,ein,eine
Witz,NOUN,NN,Witz,Witz
.,PUNCT,$.,.,.
(,PUNCT,$(,(,(
Bei,ADP,APPR,bei,bei
den,DET,ART,der,die
Damen,NOUN,NN,Dame,Dame
und,CCONJ,KON,und,und
Herren,NOUN,NN,Herr,Herr
des,DET,ART,der,die
besagten,ADJ,ADJA,besagt,besagt
Mobilfunkanbieters,NOUN,NN,Mobilfunkanbieters,Mobilfunkanbieter
bin,AUX,VAFIN,sein,sein
ich,PRON,PPER,ich,ich
im,_,,_,in+die
in,ADP,APPR,in,in
dem,DET,ART,der,die
Gegensatz,NOUN,NN,Gegensatz,Gegensatz
dazu,ADV,PAV,dazu,dazu
bisher,ADV,ADV,bisher,bisher
ausschließlich,ADV,ADV,ausschließlich,ausschließlich
auf,ADP,APPR,auf,auf
arrogante,ADJ,ADJA,arrogant,arrogant
Unkenntnis,NOUN,NN,Unkenntnis,Unkenntnis
gestossen,VERB,VVPP,stoßen,stoßen
),PUNCT,$(,),)
.,PUNCT,$.,.,.
10,NUM,CARD,10,@card@
Euro,NOUN,NN,Euro,Euro
günstiger,ADV,ADJD,günstig,günstig
selbst,ADV,ADV,selbst,selbst
hätte,AUX,VAFIN,haben,haben
kaufen,VERB,VVINF,kaufen,kaufen
können,AUX,VMINF,können,können
.,PUNCT,$.,.,.
Absolut,ADV,ADJD,absolut,absolut
empfehlenswert,ADJ,ADJD,empfehlenswert,empfehlenswert
ist,AUX,VAFIN,sein,sein
auch,ADV,ADV,auch,auch
der,DET,ART,der,die
Service,NOUN,NN,Service,Service
.,PUNCT,$.,.,.
Alle,PRON,PIAT,alle,alle
am,_,,_,an+die
an,ADP,APPR,an,an
dem,DET,ART,der,die
Wort,NOUN,NN,Wort,Wort
Gottes,NOUN,NE,Gott,Gott
interessierte,ADJ,ADJA,interessiert,interessiert
Personen,NOUN,NN,Person,Person
sind,AUX,VAFIN,sein,sein
herzlich,ADV,ADJD,herzlich,herzlich
eingelanden,VERB,VVPP,eingelanden,eingelanden
",",PUNCT,"$,",",",","
Gottesdienst,NOUN,NN,Gottesdienst,Gottesdienst
mit,ADP,APPR,mit,mit
Liedern,NOUN,NN,Lied,Lied
",",PUNCT,"$,",",",","
Gebeten,NOUN,NN,Gebet,Gebet
und,CCONJ,KON,und,und
Predigten,NOUN,NN,Predigt,Predigt
mit,ADP,APPR,mit,mit
den,DET,ART,der,die
Mitgliedern,NOUN,NN,Mitglied,Mitglied
zu,PART,PTKZU,zu,zu
feiern,VERB,VVINF,feiern,feiern
.,PUNCT,$.,.,.
Alles,PRON,PIS,alle,alle
in,ADP,APPR,in,in
Allem,NOUN,NE,Allem,alle
ein,DET,ART,ein,eine
super,ADJ,ADJA,super,super
Erlebnis,NOUN,NN,Erlebnis,Erlebnis
.,PUNCT,$.,.,.
Als,SCONJ,KOUS,als,als
ich,PRON,PPER,ich,ich
mit,ADP,APPR,mit,mit
meiner,DET,PPOSAT,mein,mein
Frau,NOUN,NN,Frau,Frau
und,CCONJ,KON,und,und
meiner,DET,PPOSAT,mein,mein
Tante,NOUN,NN,Tante,Tante
im,_,,_,in+die
in,ADP,APPR,in,in
dem,DET,ART,der,die
Oktober,PROPN,NN,Oktober,Oktober
2007,NUM,CARD,2007,@card@
in,ADP,APPR,in,in
Norden,NOUN,NN,Norden,Norden
nach,ADP,APPR,nach,nach
einer,DET,ART,ein,eine
Gaststätte,NOUN,NN,Gaststätte,Gaststätte
suchten,VERB,VVFIN,suchen,suchen
",",PUNCT,"$,",",",","
in,ADP,APPR,in,in
der,DET,PRELS,der,die
man,PRON,PIS,man,man
das,DET,ART,der,die
originelle,ADJ,ADJA,originell,originell
Gericht,NOUN,NN,Gericht,Gericht
"""",PUNCT,$(,"""",""""
Labskaus,NOUN,NN,Labskaus,Labskaus
"""",PUNCT,$(,"""",""""
essen,VERB,VVINF,essen,essen
könnte,AUX,VMFIN,können,können
",",PUNCT,"$,",",",","
verlief,VERB,VVFIN,verlaufen,verlaufen
unsere,DET,PPOSAT,unser,unser
Suche,NOUN,NN,Suche,Suche
zunächst,ADV,ADV,zunächst,zunächst
erfolglos,ADV,ADJD,erfolglos,erfolglos
.,PUNCT,$.,.,.
Als,SCONJ,KOUS,als,als
wir,PRON,PPER,wir,wir
dann,ADV,ADV,dann,dann
Schritt,NOUN,NN,Schritt,Schritt
für,ADP,APPR,für,für
Schritt,NOUN,NN,Schritt,Schritt
durch,ADP,APPR,durch,durch
den,DET,ART,der,die
Versicherungsbogen,NOUN,NN,Versicherungsbogen,Versicherungsbogen
gingen,VERB,VVFIN,gehen,gehen
",",PUNCT,"$,",",",","
wurden,AUX,VAFIN,werden,werden
die,DET,ART,der,die
Hälfte,NOUN,NN,Hälfte,Hälfte
der,DET,ART,der,die
von,ADP,APPR,von,von
mir,PRON,PPER,ich,ich
gemachten,ADJ,ADJA,gemacht,gemacht
Angaben,NOUN,NN,Angabe,Angabe
nur,ADV,ADV,nur,nur
fehlerhaft,ADV,ADJD,fehlerhaft,fehlerhaft
oder,CCONJ,KON,oder,oder
gar,ADV,ADV,gar,gar
nicht,PART,PTKNEG,nicht,nicht
übernommen,VERB,VVPP,übernehmen,übernehmen
.,PUNCT,$.,.,.
Also,ADV,ADV,also,also
für,ADP,APPR,für,für
eine,DET,ART,ein,eine
Nacht,NOUN,NN,Nacht,Nacht
reicht,VERB,VVFIN,reichen,reichen
es,PRON,PPER,es,es
",",PUNCT,"$,",",",","
aber,CCONJ,KON,aber,aber
nicht,PART,PTKNEG,nicht,nicht
noch,ADV,ADV,noch,noch
einmal,ADV,ADV,einmal,einmal
.,PUNCT,$.,.,.
Also,ADV,ADV,also,also
wenn,SCONJ,KOUS,wenn,wenn
die,DET,ART,der,die
Bedienung,NOUN,NN,Bedienung,Bedienung
mitte,NOUN,ADV,mitte,mitte
40,NUM,CARD,40,@card@
und,CCONJ,KON,und,und
blond,ADJ,ADJD,blond,blond
war,AUX,VAFIN,sein,sein
",",PUNCT,"$,",",",","
war,AUX,VAFIN,sein,sein
es,PRON,PPER,es,es
keine,PRON,PIAT,kein,keine
Angestellte,NOUN,NN,Angestellte,Angestellte
",",PUNCT,"$,",",",","
sondern,CCONJ,KON,sondern,sondern
die,DET,ART,der,die
"""",PUNCT,$(,"""",""""
Chefin,NOUN,NN,Chefin,Chefin
"""",PUNCT,$(,"""",""""
selbst,ADV,ADV,selbst,selbst
.,PUNCT,$.,.,.
Also,ADV,ADV,also,also
wurde,AUX,VAFIN,werden,werden
von,ADP,APPR,von,von
der,DET,ART,der,die
Vodafone,PROPN,NN,Vodafone,Vodafone
-,PUNCT,$(,-,-
Seite,NOUN,NN,Seite,Seite
das,DET,ART,der,die
Update,NOUN,NN,Update,Update
für,ADP,APPR,für,für
den,DET,ART,der,die
Schneeleoparden,NOUN,NN,Schneeleopard,Schneeleopard
auf,ADP,APPR,auf,auf
eine,DET,ART,ein,eine
CD,NOUN,NN,CD,CD
gebrannt,VERB,VVPP,brennen,brennen
und,CCONJ,KON,und,und
mir,PRON,PPER,ich,ich
in,ADP,APPR,in,in
die,DET,ART,der,die
Hand,NOUN,NN,Hand,Hand
gedrückt,VERB,VVPP,drücken,drücken
--,PUNCT,$(,--,--
gratis,ADV,ADJD,gratis,gratis
.,PUNCT,$.,.,.
An,ADP,APPR,an,an
den,DET,ART,der,die
anderen,ADJ,ADJA,ander,andere
Tischen,NOUN,NN,Tisch,Tisch
sah,VERB,VVFIN,sehen,sehen
es,PRON,PPER,es,es
nicht,PART,PTKNEG,nicht,nicht
besser,ADJ,ADJD,gut,gut
aus,ADP,PTKVZ,aus,aus
.,PUNCT,$.,.,.
Anders,ADV,ADV,anders,anders
kann,AUX,VMFIN,können,können
ich,PRON,PPER,ich,ich
es,PRON,PPER,es,es
nicht,PART,PTKNEG,nicht,nicht
ausdrücken,VERB,VVINF,ausdrücken,ausdrücken
.,PUNCT,$.,.,.
Ansonsten,ADV,ADV,ansonsten,ansonsten
gemütliche,ADJ,ADJA,gemütlich,gemütlich
Bar,NOUN,NN,Bar,Bar
mit,ADP,APPR,mit,mit
innenstadtüblichen,ADJ,ADJA,innenstadtüblichen,innenstadtüblich
Preisen,NOUN,NN,Preis|Preisen,Preis|Preisen
und,CCONJ,KON,und,und
spätabendlicher,ADJ,ADJA,spätabendlicher,spätabendlich
Küche,NOUN,NN,Küche,Küche
.,PUNCT,$.,.,.
Ansonsten,ADV,ADV,ansonsten,ansonsten
gibt,VERB,VVFIN,geben,geben
es,PRON,PPER,es,es
eine,DET,ART,ein,eine
Auswahl,NOUN,NN,Auswahl,Auswahl
an,ADP,APPR,an,an
verschiedenen,ADJ,ADJA,verschieden,verschieden
Kraft,NOUN,TRUNC,Kraft,Kraft
-,PUNCT,$(,-,-
und,CCONJ,KON,und,und
Cardiogeräten,NOUN,NN,Cardiogeräten,Cardiogeräten
.,PUNCT,$.,.,.
Ansonsten,ADV,ADV,ansonsten,ansonsten
war,AUX,VAFIN,sein,sein
alles,PRON,PIS,alle,alle
bestens,ADJ,ADV,bestens,bestens
.,PUNCT,$.,.,.
Auch,ADV,ADV,auch,auch
alle,PRON,PIAT,alle,alle
anderen,ADJ,ADJA,ander,andere
Speisen,NOUN,NN,Speise|Speisen,Speise|Speisen
und,CCONJ,KON,und,und
der,DET,ART,der,die
Kuchen,NOUN,NN,Kuchen,Kuchen
aus,ADP,APPR,aus,aus
eigener,ADJ,ADJA,eigen,eigen
Herstellung,NOUN,NN,Herstellung,Herstellung
.,PUNCT,$.,.,.
Auch,ADV,ADV,auch,auch
das,DET,ART,der,die
passende,ADJ,ADJA,passend,passend
Preis,NOUN,NN,Preis,Preis
-,PUNCT,$(,-,-
Leistungsverhältnis,NOUN,NN,Leistungsverhältnis,Leistungsverhältnis
.,PUNCT,$.,.,.
Auch,ADV,ADV,auch,auch
das,DET,ART,der,die
Servieren,NOUN,NN,Servieren,Servieren
der,DET,ART,der,die
Speisen,NOUN,NN,Speise|Speisen,Speise|Speisen
ging,VERB,VVFIN,gehen,gehen
auffallend,ADV,ADJD,auffallend,auffallend
schnell,ADJ,ADJD,schnell,schnell
",",PUNCT,"$,",",",","
also,ADV,ADV,also,also
ich,PRON,PPER,ich,ich
könnte,AUX,VMFIN,können,können
nicht,PART,PTKNEG,nicht,nicht
so,ADV,ADV,so,so
schnell,ADV,ADJD,schnell,schnell
kochen,VERB,VVINF,kochen,kochen
.,PUNCT,$.,.,.
Auch,ADV,ADV,auch,auch
eine,DET,ART,ein,eine
anschließende,ADJ,ADJA,anschließend,anschließend
Reklamation,NOUN,NN,Reklamation,Reklamation
mit,ADP,APPR,mit,mit
einer,DET,ART,ein,eine
Überprüfung,NOUN,NN,Überprüfung,Überprüfung
der,DET,ART,der,die
Gläser,NOUN,NN,Glas,Glas
brachte,VERB,VVFIN,bringen,bringen
keine,PRON,PIAT,kein,keine
Verbesserung,NOUN,NN,Verbesserung,Verbesserung
.,PUNCT,$.,.,.
Auch,ADV,ADV,auch,auch
für,ADP,APPR,für,für
Probetermine,NOUN,NN,Probetermin,Probetermin
nimmt,VERB,VVFIN,nehmen,nehmen
sie,PRON,PPER,sie,sie
sich,PRON,PRF,er|es|sie,sich
sehr,ADV,ADV,sehr,sehr
viel,DET,PIAT,viel,viele
Zeit,NOUN,NN,Zeit,Zeit
und,CCONJ,KON,und,und
zeichnet,VERB,VVFIN,zeichnen,zeichnen
alles,PRON,PIS,alle,alle
genaustens,ADV,ADV,genaustens,genaustens
vor,ADP,PTKVZ,vor,vor
",",PUNCT,"$,",",",","
so,ADV,KOUS,so,so
dass,SCONJ,KOUS,dass,dass
man,PRON,PIS,man,man
sich,PRON,PRF,er|es|sie,sich
vorstellen,VERB,VVINF,vorstellen,vorstellen
kann,AUX,VMFIN,können,können
",",PUNCT,"$,",",",","
wie,SCONJ,KOUS,wie,wie
das,DET,ART,der,die
Ergebnis,NOUN,NN,Ergebnis,Ergebnis
ist,VERB,VAFIN,sein,sein
.,PUNCT,$.,.,.
Auch,ADV,ADV,auch,auch
hier,ADV,ADV,hier,hier
sind,AUX,VAFIN,sein,sein
die,DET,ART,der,die
Leistungen,NOUN,NN,Leistung,Leistung
top,ADJ,ADJD,top,top
",",PUNCT,"$,",",",","
hoffe,VERB,VVFIN,hoffen,hoffen
die,DET,ART,der,die
Regulierung,NOUN,NN,Regulierung,Regulierung
auch,ADV,ADV,auch,auch
.,PUNCT,$.,.,.
Auch,ADV,ADV,auch,auch
wenn,SCONJ,KOUS,wenn,wenn
ich,PRON,PPER,ich,ich
nicht,PART,PTKNEG,nicht,nicht
viel,ADV,PIS,viel,viel
von,ADP,APPR,von,von
Besuchen,NOUN,NN,Besuch|Besuchen,Besuch|Besuchen
beim,_,,_,bei+die
bei,ADP,APPR,bei,bei
dem,DET,ART,der,die
Zahnarzt,NOUN,NN,Zahnarzt,Zahnarzt
halte,VERB,VVFIN,halten,halten
",",PUNCT,"$,",",",","
wer,PRON,PWS,wer,wer
tut,VERB,VVFIN,tun,tun
das,PRON,PDS,der,die
schon,ADV,ADV,schon,schon
gerne,ADV,ADV,gerne,gerne
",",PUNCT,"$,",",",","
kann,AUX,VMFIN,können,können
ich,PRON,PPER,ich,ich
nur,ADV,ADV,nur,nur
sagen,VERB,VVINF,sagen,sagen
",",PUNCT,"$,",",",","
die,DET,ART,der,die
Frau,NOUN,NN,Frau,Frau
versteht,VERB,VVFIN,verstehen,verstehen
ihren,DET,PPOSAT,ihr,ihr
Beruf,NOUN,NN,Beruf,Beruf
.,PUNCT,$.,.,.
Auch,ADV,ADV,auch,auch
wenn,SCONJ,KOUS,wenn,wenn
man,PRON,PIS,man,man
einen,DET,ART,ein,eine
Termin,NOUN,NN,Termin,Termin
hat,VERB,VAFIN,haben,haben
",",PUNCT,"$,",",",","
kann,AUX,VMFIN,können,können
/,PUNCT,$(,/,/
muß,AUX,VMFIN,müssen,müssen
man,PRON,PIS,man,man
mal,ADV,ADV,mal,mal
warten,VERB,VVINF,warten,warten
",",PUNCT,"$,",",",","
wie,SCONJ,KOKOM,wie,wie
bei,ADP,APPR,bei,bei
Arzt,NOUN,NN,Arzt,Arzt
oder,CCONJ,KON,oder,oder
Frieseur,NOUN,NN,Frieseur,Frieseur
das,PRON,PDS,der,die
ist,VERB,VAFIN,sein,sein
nun,ADV,ADV,nun,nun
mal,ADV,ADV,mal,mal
so,ADV,ADV,so,so
.,PUNCT,$.,.,.
Auf,ADP,APPR,auf,auf
Fax,NOUN,NN,Fax,Fax
und,CCONJ,KON,und,und
Telefonanrufe,NOUN,NN,Telefonanruf,Telefonanruf
wird,AUX,VAFIN,werden,werden
nicht,PART,PTKNEG,nicht,nicht
reagiert,VERB,VVPP,reagieren,reagieren
.,PUNCT,$.,.,.
Auf,ADP,APPR,auf,auf
unserer,DET,PPOSAT,unser,unser
Elberadweg,PROPN,NN,Elberadweg,Elberadweg
-,PUNCT,$(,-,-
Tour,NOUN,NN,Tour,Tour
haben,AUX,VAFIN,haben,haben
wir,PRON,PPER,wir,wir
im,_,,_,in+die
in,ADP,APPR,in,in
dem,DET,ART,der,die
"""",PUNCT,$(,"""",""""
Kranhaus,NOUN,NN,Kranhaus,Kranhaus
"""",PUNCT,$(,"""",""""
einen,DET,ART,ein,eine
Abend,NOUN,NN,Abend,Abend
verweilen,VERB,VVINF,verweilen,verweilen
können,AUX,VMINF,können,können
und,CCONJ,KON,und,und
haben,AUX,VAFIN,haben,haben
es,PRON,PPER,es,es
sehr,ADV,ADV,sehr,sehr
genossen,VERB,VVPP,genießen,genießen
.,PUNCT,$.,.,.
Aussage,NOUN,NN,Aussage,Aussage
des,DET,ART,der,die
Verkäufers,NOUN,NN,Verkäufer,Verkäufer
in,ADP,APPR,in,in
15,NUM,CARD,15,@card@
minuten,NOUN,ADJA,Minute,Minute
freigeschalten,VERB,VVPP,freigeschalten,freigeschalten
sein,AUX,VAINF,sein,sein
.,PUNCT,$.,.,.
Außenplätze,NOUN,ADJA,Außenplatz,Außenplatz
",",PUNCT,"$,",",",","
separates,ADJ,ADJA,separat,separat
Kinderspielzimmer,NOUN,NN,Kinderspielzimmer,Kinderspielzimmer
und,CCONJ,KON,und,und
ein,DET,ART,ein,eine
gemütlicher,ADJ,ADJA,gemütlich,gemütlich
Gastraum,NOUN,NN,Gastraum,Gastraum
.,PUNCT,$.,.,.
Außerdem,ADV,PAV,außerdem,außerdem
gehört,VERB,VVFIN,gehören,gehören
Herr,NOUN,NN,Herr,Herr
Lansky,PROPN,NE,Lansky,Lansky
zu,ADP,APPR,zu,zu
den,DET,ART,der,die
Anwälten,NOUN,NN,Anwalt,Anwalt
",",PUNCT,"$,",",",","
die,PRON,PRELS,der,die
gerade,ADV,ADV,gerade,gerade
herraus,ADV,ADV,herraus,herraus
sagen,VERB,VVFIN,sagen,sagen
",",PUNCT,"$,",",",","
wie,SCONJ,KOUS,wie,wie
die,DET,ART,der,die
Chancen,NOUN,NN,Chance,Chance
stehen,VERB,VVFIN,stehen,stehen
",",PUNCT,"$,",",",","
den,DET,ART,der,die
Fall,NOUN,NN,Fall,Fall
zu,PART,PTKZU,zu,zu
gewinnen,VERB,VVINF,gewinnen,gewinnen
oder,CCONJ,KON,oder,oder
nicht,PART,PTKNEG,nicht,nicht
.,PUNCT,$.,.,.
Bei,ADP,APPR,bei,bei
Kontaktanfragen,NOUN,NN,Kontaktanfragen,Kontaktanfrage
wird,AUX,VAFIN,werden,werden
man,PRON,PIS,man,man
bei,ADP,APPR,bei,bei
Problemen,NOUN,NN,Problem,Problem
wochenlang,ADJ,ADJD,wochenlang,wochenlang
ignoriert,VERB,VVPP,ignorieren,ignorieren
!,PUNCT,$.,!,!
!,PUNCT,$.,!,!
!,PUNCT,$.,!,!
Bei,ADP,APPR,bei,bei
Rechtsanwalt,NOUN,NN,Rechtsanwalt,Rechtsanwalt
Lansky,PROPN,NE,Lansky,Lansky
sind,AUX,VAFIN,sein,sein
wir,PRON,PPER,wir,wir
seit,ADP,APPR,seit,seit
2002,NUM,CARD,2002,@card@
Mandanten,NOUN,NN,Mandant,Mandant
.,PUNCT,$.,.,.
Bei,ADP,APPR,bei,bei
unserem,DET,PPOSAT,unser,unser
nächsten,ADJ,ADJA,nah,nah
Aufenthalt,NOUN,NN,Aufenthalt,Aufenthalt
auf,ADP,APPR,auf,auf
Sylt,PROPN,NE,Sylt,Sylt
werden,AUX,VAFIN,werden,werden
wir,PRON,PPER,wir,wir
ganz,ADV,ADV,ganz,ganz
bestimmt,ADV,ADV,bestimmt,bestimmt
wieder,ADV,ADV,wieder,wieder
hier,ADV,ADV,hier,hier
essen,VERB,VVINF,essen,essen
gehen,VERB,VVINF,gehen,gehen
!,PUNCT,$.,!,!
Beim,_,,_,bei+die
Bei,ADP,APPR,bei,bei
dem,DET,ART,der,die
Kickboxen,NOUN,NN,Kickboxen,Kickbox|boxen
kommen,VERB,VVFIN,kommen,kommen
dann,ADV,ADV,dann,dann
selbstverständlich,ADV,ADJD,selbstverständlich,selbstverständlich
noch,ADV,ADV,noch,noch
verschiedenste,ADJ,ADJA,verschieden,verschieden
Tritt,NOUN,NN,Tritt,Tritt
-,PUNCT,$(,-,-
Techniken,NOUN,NN,Technik,Technik
dazu,ADV,PTKVZ,dazu,dazu
.,PUNCT,$.,.,.
Bester,ADJ,ADJA,gut,gut
Kaffee,NOUN,NN,Kaffee,Kaffee
im,_,,_,in+die
in,ADP,APPR,in,in
dem,DET,ART,der,die
Veedel,PROPN,NN,Veedel,Veedel
sowieso,ADV,ADV,sowieso,sowieso
.,PUNCT,$.,.,.
biene,NOUN,VVFIN,biene,biene
maja,NOUN,ADV,Maja,Maja
tanzt,VERB,VVFIN,tanzen,tanzen
.,PUNCT,$.,.,.
Bilder,NOUN,NN,Bild,Bild
werden,AUX,VAFIN,werden,werden
dort,ADV,ADV,dort,dort
gespeichert,VERB,VVPP,speichern,speichern
",",PUNCT,"$,",",",","
so,ADV,KOUS,so,so
dass,SCONJ,KOUS,dass,dass
man,PRON,PIS,man,man
auch,ADV,ADV,auch,auch
