token,tag,tag_STTS,lemma_gold,lemma_pred
Dazu,ADV,PROAV,dazu,dazu
kommen,VERB,VVFIN,kommen,kommen
zehn,NUM,CARD,zehn,zehn
statt,ADP,APPR,statt,statt
bisher,ADV,ADV,bisher,bisher
fünf,NUM,CARD,fünf,fünf
E-Mail-Adressen,NOUN,NN,Adresse,E-Mail-Adresse
sowie,CCONJ,KON,sowie,sowie
zehn,NUM,CARD,zehn,zehn
MByte,NOUN,NN,MByte,MByte
Webspace,PROPN,NE,Webspace,Webspace
.,PUNCT,$.,.,.
Die,DET,ART,die,die
bisherigen,ADJ,ADJA,bisherig,bisherig
kostenlosen,ADJ,ADJA,kostenlos,kostenlos
Dienste,NOUN,NN,Dienst,Dienst
bleiben,VERB,VVFIN,bleiben,bleiben
weiterhin,ADV,ADV,weiterhin,weiterhin
im,_,,_,in+die
in,ADP,APPR,in,in
dem,DET,ART,der,die
Angebot,NOUN,NN,Angebot,Angebot
.,PUNCT,$.,.,.
Das,DET,ART,das,die
US-amerikanische,ADJ,ADJA,amerikanisch,US-amerikanisch
Unternehmen,NOUN,NN,Unternehmen,Unternehmen
Qwest,PROPN,NE,Qwest,Qwest
verlängert,VERB,VVFIN,verlängern,verlängern
seine,PRON,PPOSAT,seine,sein
Mitgliedschaft,NOUN,NN,Mitgliedschaft,Mitgliedschaft
im,_,,_,in+die
in,ADP,APPR,in,in
dem,DET,ART,der,die
Forschungskonsortium,NOUN,NN,Konsortium,Forschungskonsortium
Internet2,X,FM,Internet2,Internet2
.,PUNCT,$.,.,.
Internet2,X,FM,internet2,Internet2
ist,AUX,VAFIN,sein,sein
ein,DET,ART,ein,eine
in,ADP,APPR,in,in
den,DET,ART,den,die
USA,PROPN,NE,USA,USA
1996,NUM,CARD,1996,@card@
gegründeter,ADJ,ADJA,gründen,gegründet
Zusammenschluss,NOUN,NN,Zusammenschluß,Zusammenschluss
von,ADP,APPR,von,von
rund,ADV,ADV,rund,rund
140,NUM,CARD,140,@card@
Universitäten,NOUN,NN,Universität,Universität
",",PUNCT,"$,",",",","
die,PRON,PRELS,die,die
mit,ADP,APPR,mit,mit
Unterstützung,NOUN,NN,Unterstützung,Unterstützung
der,DET,ART,der,die
Industrie,NOUN,NN,Industrie,Industrie
an,ADP,APPR,an,an
der,DET,ART,der,die
nächsten,ADJ,ADJA,nächste,nah
Generation,NOUN,NN,Generation,Generation
des,DET,ART,des,die
Internet,NOUN,NN,Internet,Internet
forschen,VERB,VVFIN,forschen,forschen
.,PUNCT,$.,.,.
Qwest,PROPN,NE,Qwest,Qwest
liefert,VERB,VVFIN,liefern,liefern
dem,DET,ART,dem,die
Konsortium,NOUN,NN,Konsortium,Konsortium
die,DET,ART,die,die
nötige,ADJ,ADJA,nötig,nötig
Leitungsinfrastruktur,NOUN,NN,Infrastruktur,Leitungsinfrastruktur
.,PUNCT,$.,.,.
Das,DET,ART,das,die
deutsche,ADJ,ADJA,deutsch,deutsch
Internet2,X,FM,Internet2,Internet2
ging,VERB,VVFIN,gehen,gehen
Ende,NOUN,NN,Ende,Ende
Juni,NOUN,NN,Juni,Juni
2000,NUM,CARD,2000,@card@
an,ADP,APPR,an,an
den,DET,ART,den,die
Start,NOUN,NN,Start,Start
.,PUNCT,$.,.,.
Sun,PROPN,NE,Sun,Sun
Microsystems,PROPN,NE,Microsystems,Microsystems
erwartet,VERB,VVFIN,erwarten,erwarten
nach,ADP,APPR,nach,nach
den,DET,ART,den,die
vorläufigen,ADJ,ADJA,vorläufig,vorläufig
Zahlen,NOUN,NN,Zahl,Zahl
für,ADP,APPR,für,für
das,DET,ART,das,die
erste,ADJ,ADJA,erste,erst
Quartal,NOUN,NN,Quartal,Quartal
des,DET,ART,des,die
laufenden,ADJ,ADJA,laufenden,laufend
Geschäftsjahres,NOUN,NN,Geschäftsjahr,Geschäftsjahr
einen,DET,ART,einen,eine
Umsatz,NOUN,NN,Umsatz,Umsatz
zwischen,ADP,APPR,zwischen,zwischen
"2,7",NUM,CARD,"2,7",@card@
und,CCONJ,KON,und,","
"2,9",NUM,CARD,"2,9",@card@
Milliarden,NOUN,NN,Milliarde,und
US-Dollar,NOUN,NN,Dollar,@card@
;,PUNCT,$.,;,","
daraus,ADV,PROAV,daraus,@card@
resultiere,VERB,VVFIN,resultieren,Milliarde
ein,DET,ART,ein,US-Dollar
Verlust,NOUN,NN,Verlust,;
von,ADP,APPR,von,daraus
fünf,NUM,CARD,fünf,resultieren
bis,ADP,APPR,bis,eine
sieben,NUM,CARD,sieben,Verlust
Cents,NOUN,NN,Cents,von
pro,ADP,APPR,pro,fünf
Aktie,NOUN,NN,Aktie,bis
.,PUNCT,$.,.,sieben
Die,DET,ART,die,die
Erwartungen,NOUN,NN,Erwartung,Erwartung
der,DET,ART,der,die
Analysten,NOUN,NN,Analyst,Analyst
betrugen,VERB,VVFIN,betragen,betragen
bislang,ADV,ADV,bislang,bislang
4,NUM,CARD,4,@card@
Cents,NOUN,NN,Cents,Cent
Verlust,NOUN,NN,Verlust,Verlust
pro,ADP,APPR,pro,pro
Aktie,NOUN,NN,Aktie,Aktie
.,PUNCT,$.,.,.
Nach,ADP,APPR,nach,nach
den,DET,ART,den,die
Attentaten,NOUN,NN,Attentat,Attentat
vom,_,,_,von+die
von,ADP,APPR,von,von
dem,DET,ART,der,die
11.,ADJ,ADJA,11.,@ord@
September,NOUN,NN,September,September
müssten,AUX,VMFIN,müssen,müssen
die,DET,ART,die,die
Erwartungen,NOUN,NN,Erwartung,Erwartung
weiter,ADV,ADV,weiter,weiter
nach,ADP,APPR,nach,nach
unten,ADV,ADV,unten,unten
korrigiert,VERB,VVPP,korrigieren,korrigieren
werden,AUX,VAINF,werden,werden
",",PUNCT,"$,",",",","
sagte,VERB,VVFIN,sagen,sagen
Vorstandvorsitzender,NOUN,NN,Vorsitzender,Vorstandvorsitzende
Scott,PROPN,NE,Scott,Scott
McNealy,PROPN,NE,McNealy,McNealy
nun,ADV,ADV,nun,nun
am,_,,_,an+die
an,ADP,APPR,an,an
dem,DET,ART,der,die
heutigen,ADJ,ADJA,heutig,heutig
Freitag,NOUN,NN,Freitag,Freitag
.,PUNCT,$.,.,.
Die,DET,ART,die,die
Position,NOUN,NN,Position,Position
seines,PRON,PPOSAT,seines,sein
Unternehmens,NOUN,NN,Unternehmen,Unternehmen
sei,AUX,VAFIN,sein,sein
zwar,ADV,ADV,zwar,zwar
stärker,ADJ,ADJD,stärker,stark
denn,CCONJ,KOKOM,denn,denn
je,ADV,ADV,je,je
",",PUNCT,"$,",",",","
doch,CCONJ,KON,doch,doch
die,DET,ART,die,die
derzeitigen,ADJ,ADJA,derzeitig,derzeitig
ökonomischen,ADJ,ADJA,ökonomisch,ökonomisch
Bedingungen,NOUN,NN,Bedingung,Bedingung
seien,AUX,VAFIN,sein,sein
ohne,ADP,APPR,ohne,ohne
Zweifel,NOUN,NN,Zweifel,Zweifel
sehr,ADV,ADV,sehr,sehr
schwierig,ADJ,ADJD,schwierig,schwierig
.,PUNCT,$.,.,.
Daher,ADV,PROAV,daher,daher
will,AUX,VMFIN,wollen,wollen
Sun,PROPN,NE,Sun,Sun
neun,NUM,CARD,neun,neun
Prozent,NOUN,NN,Prozent,Prozent
der,DET,ART,der,die
Belegschaft,NOUN,NN,Belegschaft,Belegschaft
entlassen,VERB,VVINF,entlassen,entlassen
und,CCONJ,KON,und,und
einige,DET,PIAT,einig,einige
Fabriken,NOUN,NN,Fabrik,Fabrik
schließen,VERB,VVINF,schließen,schließen
.,PUNCT,$.,.,.
Für,ADP,APPR,für,für
das,DET,ART,das,die
zweite,ADJ,ADJA,zweit,zweit
Quartal,NOUN,NN,Quartal,Quartal
entstehen,VERB,VVFIN,entstehen,entstehen
dem,DET,ART,dem,die
Unternehmen,NOUN,NN,Unternehmen,Unternehmen
dadurch,ADV,PROAV,dadurch,dadurch
zusätzliche,ADJ,ADJA,zusätzlich,zusätzlich
Belastungen,NOUN,NN,Belastung,Belastung
in,ADP,APPR,in,in
Höhe,NOUN,NN,Höhe,Höhe
von,ADP,APPR,von,von
500,NUM,CARD,500,@card@
Millionen,NOUN,NN,Million,Million
US-Dollar,NOUN,NN,Dollar,US-Dollar
.,PUNCT,$.,.,.
In,ADP,APPR,in,in
diesen,DET,PDAT,diesen,dies
Tagen,NOUN,NN,Tag,Tag
hatten,AUX,VAFIN,haben,haben
auch,ADV,ADV,auch,auch
die,DET,ART,die,die
PC-Hersteller,NOUN,NN,Hersteller,PC-Hersteller
Gateway,PROPN,NE,Gateway,Gateway
und,CCONJ,KON,und,und
Compaq,PROPN,NE,Compaq,Compaq
Gewinnwarnungen,NOUN,NN,Warnung,Gewinnwarnung
wegen,ADP,APPR,wegen,wegen
der,DET,ART,der,die
rückläufigen,ADJ,ADJA,rückläufig,rückläufig
Nachfrage,NOUN,NN,Nachfrage,Nachfrage
im,_,,_,in+die
in,ADP,APPR,in,in
dem,DET,ART,der,die
Zusammenhang,NOUN,NN,Zusammenhang,Zusammenhang
mit,ADP,APPR,mit,mit
den,DET,ART,den,die
Ereignissen,NOUN,NN,Ereignis,Ereignis
vom,_,,_,von+die
von,ADP,APPR,von,von
dem,DET,ART,der,die
11.,ADJ,ADJA,11.,@ord@
September,NOUN,NN,September,September
verkündet,VERB,VVPP,verkünden,verkünden
.,PUNCT,$.,.,.
Dell,PROPN,NE,Dell,dellen
und,CCONJ,KON,und,und
Cisco,PROPN,NE,Cisco,Cisco
zeigten,VERB,VVFIN,zeigen,zeigen
sich,PRON,PRF,sich,sich
hingegen,ADV,ADV,hingegen,hingegen
davon,ADV,PROAV,davon,davon
relativ,ADJ,ADJD,relativ,relativ
unbeeindruckt,ADJ,ADJD,unbeeindruckt,unbeeindruckt
.,PUNCT,$.,.,.
Die,DET,ART,die,die
Bundesregierung,NOUN,NN,Regierung,Bundesregierung
zeigt,VERB,VVFIN,zeigen,zeigen
sich,PRON,PRF,sich,sich
bedingt,ADJ,ADJD,bedingen,bedingt
optimistisch,ADJ,ADJD,optimistisch,optimistisch
bei,ADP,APPR,bei,bei
der,DET,ART,der,die
Beseitigung,NOUN,NN,Beseitigung,Beseitigung
des,DET,ART,des,die
Fachkräftemangels,NOUN,NN,Mangel,Fachkräftemangel
in,ADP,APPR,in,in
der,DET,ART,der,die
IT-Branche,NOUN,NN,Branche,IT-Branche
.,PUNCT,$.,.,.
Bis,ADP,APPR,bis,bis
2005,NUM,CARD,2005,@card@
könnte,AUX,VMFIN,können,können
es,PRON,PPER,es,es
350.000,NUM,CARD,350.000,@card@
zusätzliche,ADJ,ADJA,zusätzlich,zusätzlich
Fachkräfte,NOUN,NN,Fachkraft,Fachkraft
geben,VERB,VVINF,geben,geben
",",PUNCT,"$,",",",","
erklärte,VERB,VVFIN,erklären,erklären
heute,ADV,ADV,heute,heute
die,DET,ART,die,die
Bundesregierung,NOUN,NN,Regierung,Bundesregierung
in,ADP,APPR,in,in
einer,DET,ART,einer,eine
Antwort,NOUN,NN,Antwort,Antwort
auf,ADP,APPR,auf,auf
eine,DET,ART,eine,eine
große,ADJ,ADJA,groß,groß
Anfrage,NOUN,NN,Anfrage,Anfrage
der,DET,ART,der,die
CDU/CSU-Fraktion,NOUN,NN,Fraktion,CDU
.,PUNCT,$.,.,/
Voraussetzung,NOUN,NN,Voraussetzung,Voraussetzung
sei,AUX,VAFIN,sein,sein
",",PUNCT,"$,",",",","
dass,SCONJ,KOUS,dass,dass
die,DET,ART,die,die
Unternehmen,NOUN,NN,Unternehmen,Unternehmen
weiter,ADV,ADV,weiter,weiter
engagiert,ADJ,ADJD,engagieren,engagiert
ausbildeten,VERB,VVFIN,ausbilden,ausbilden
und,CCONJ,KON,und,und
die,DET,ART,die,die
Bundesanstalt,NOUN,NN,Anstalt,Bundesanstalt
für,ADP,APPR,für,für
Arbeit,NOUN,NN,Arbeit,Arbeit
ihre,PRON,PPOSAT,ihre,ihr
Weiterbildungsmaßnahmen,NOUN,NN,Maßnahme,Weiterbildungsmaßnahme
"""",PUNCT,$(,"""",""""
auf,ADP,APPR,auf,auf
hohem,ADJ,ADJA,hoch,hoch
Niveau,NOUN,NN,Niveau,Niveau
"""",PUNCT,$(,"""",""""
beibehalte,VERB,VVFIN,beibehalten,beibehalten
.,PUNCT,$.,.,.
Außerdem,ADV,PROAV,außerdem,außerdem
müssten,AUX,VMFIN,müssen,müssen
Hochschulreformen,NOUN,NN,Reform,Hochschulreform
greifen,VERB,VVINF,greifen,greifen
und,CCONJ,KON,und,und
die,DET,ART,die,die
Strukturierung,NOUN,NN,Strukturierung,Strukturierung
der,DET,ART,der,die
Weiterbildung,NOUN,NN,Bildung,Weiterbildung
im,_,,_,in+die
in,ADP,APPR,in,in
dem,DET,ART,der,die
IT-Bereich,NOUN,NN,Bereich,IT-Bereich
abgeschlossen,VERB,VVPP,abschließen,abschließen
sein,AUX,VAINF,sein,sein
.,PUNCT,$.,.,.
Als,CCONJ,KOKOM,als,als
Beispiele,NOUN,NN,Beispiel,Beispiel
für,ADP,APPR,für,für
Reformen,NOUN,NN,Reform,Reform
nannte,VERB,VVFIN,nennen,nennen
die,DET,ART,die,die
Regierung,NOUN,NN,Regierung,Regierung
unter,ADP,APPR,unter,unter
anderem,PRON,PIS,ander,andere
das,DET,ART,das,die
"""",PUNCT,$(,"""",""""
Sofortprogramm,NOUN,NN,Programm,Sofortprogramm
von,ADP,APPR,von,von
Bundesregierung,NOUN,NN,Regierung,Bundesregierung
und,CCONJ,KON,und,und
IuK-Wirtschaft,NOUN,NN,Wirtschaft,IuK-Wirtschaft
zur,_,,_,zu+die
zu,ADP,APPR,zu,zu
der,DET,ART,der,die
Deckung,NOUN,NN,Deckung,Deckung
des,DET,ART,des,die
IT-Fachkräftebedarfs,NOUN,NN,Bedarf,IT-Fachkräftebedarf
in,ADP,APPR,in,in
Deutschland,PROPN,NE,Deutschland,Deutschland
"""",PUNCT,$(,"""",""""
sowie,CCONJ,KON,sowie,sowie
das,DET,ART,das,die
Konzept,NOUN,NN,Konzept,Konzept
"""",PUNCT,$(,"""",""""
IT,NOUN,NN,IT,IT
in,ADP,APPR,in,in
der,DET,ART,der,die
Bildung,NOUN,NN,Bildung,Bildung
-,PUNCT,$(,-,-
Anschluss,NOUN,NN,Anschluß,Anschluss
statt,ADP,APPR,statt,statt
Ausschluss,NOUN,NN,Ausschluß,Ausschluss
"""",PUNCT,$(,"""",""""
.,PUNCT,$.,.,.
Bis,ADP,APPR,bis,bis
Ende,NOUN,NN,Ende,Ende
