token,tag,tag_STTS,lemma_gold,lemma_pred
…,PUNCT,$(,…,…
das,PRON,PDS,der,der
hört,VERB,VVFIN,hören,hören
sich,PRON,PRF,sich,sich
ja,UNK,PTKMA,ja,ja
nach,ADP,APPR,nach,nach
einem,DET,ART,ein,ein
spannend-amüsanten,ADJ,ADJA,spannend-amüsant,spannend-amüsant
Ausflug,NOUN,NN,Ausflug,Ausflug
an,PART,PTKVZ,an,an
…,PUNCT,$(,…,…
.,PUNCT,$.,.,.
super,ADJ,ADJD,super,super
!,PUNCT,$.,!,!
wusstet,VERB,VVFIN,wissen,wissen
ihr,PRON,PPER,ihr,ihr
",",PUNCT,"$,",",",","
dass,SCONJ,KOUS,dass,dass
es,PRON,PPER,es,es
eine,DET,ART,ein,ein
Seite,NOUN,NN,Seite,Seite
“,PUNCT,$(,“,“
fettehenne.info,UNK,URL,fettehenne.info,fettehenne.info
”,PUNCT,$(,”,”
im,ADP,APPRART,in,im
Netz,NOUN,NN,Netz,Netz
gibt,VERB,VVFIN,geben,geben
?,PUNCT,$.,?,?
danke,PART,PTKANT,danke,danke
für,ADP,APPR,für,fur
deinen,DET,PPOSAT,dein,dein
Kommentar,NOUN,NN,Kommentar,Kommentar
!,PUNCT,$.,!,!
ja,PART,PTKANT,ja,ja
",",PUNCT,"$,",",",","
die,DET,ART,der,die
Seite,NOUN,NN,Seite,Seite
kenne,VERB,VVFIN,kennen,kennen
ich,PRON,PPER,ich,ich
…,PUNCT,$.,…,…
;-),UNK,EMOASC,;-),;-)
gerade,ADV,ADV,gerade,gerade
als,SCONJ,KOUS,als,al
ich,PRON,PPER,ich,ich
das,PRON,PDS,der,das
las,VERB,VVFIN,lesen,lesen
wollte,VERB,VMFIN,wollen,wollen
ich,PRON,PPER,ich,ich
schon,UNK,PTKMA,schon,schon
sagen,VERB,VVINF,sagen,sagen
:,PUNCT,$.,:,:
das,PRON,PDS,der,das
ist,AUX,VAFIN,sein,sein
ein,DET,ART,ein,ein
Aghori,NOUN,NN,Aghori,Aghori
.,PUNCT,$.,.,.
ich,PRON,PPER,ich,ich
persönlich,ADJ,ADJD,persönlich,persönlich
finde,VERB,VVFIN,finden,finden
durchaus,ADV,ADV,durchaus,durchaus
",",PUNCT,"$,",",",","
dass,SCONJ,KOUS,dass,dass
ihre,DET,PPOSAT,ihr,ihr
Art,NOUN,NN,Art,Art
der,DET,ART,der,der
Verehrung,NOUN,NN,Verehrung,Verehrung
Platz,NOUN,NN,Platz,Platz
hat,AUX,VAFIN,haben,haben
(,PUNCT,$(,(,(
es,PRON,PPER,es,es
ist,AUX,VAFIN,sein,sein
eben,UNK,PTKMA,eben,eben
LHP,NOUN,NN,LHP,LHP
),PUNCT,$(,),)
",",PUNCT,"$,",",",","
denn,CONJ,KON,denn,denn
schließlich,ADV,ADV,schließlich,schließen
hat,AUX,VAFIN,haben,haben
auch,UNK,PTKIFG,auch,auch
Shiva,PROPN,NE,Shiva,Shiva
dunkle,ADJ,ADJA,dunkel,dunkel
Seiten,NOUN,NN,Seite,Seite
.,PUNCT,$.,.,.
so,ADV,ADV,so,so
wie,SCONJ,KOUS,wie,wie
ich,PRON,PPER,ich,ich
das,PRON,PDS,der,das
mitbekommen,VERB,VVPP,mitbekommen,mitbekommen
haben,AUX,VAFIN,haben,haben
sind,AUX,VAFIN,sein,sein
sie,PRON,PPER,sie,sie
sehr,UNK,PTKIFG,sehr,sehr
gottesfürchtig,ADJ,ADJD,gottesfürchtig,gottesfürchtig
.,PUNCT,$.,.,.
sie,PRON,PPER,sie,sie
haben,AUX,VAFIN,haben,haben
nur,UNK,PTKIFG,nur,nur
einfach,ADJ,ADJD,einfach,einfach
andere,DET,PIAT,anderer,ander
(,PUNCT,$(,(,(
strenge,ADJ,ADJA,streng,streng
),PUNCT,$(,),)
Regeln,NOUN,NN,Regel,Regel
an,ADP,APPR,an,an
die,PRON,PRELS,der,die
sie,PRON,PPER,sie,sie
sich,PRON,PRF,sich,sich
halten,VERB,VVINF,halten,halten
müssen,VERB,VMFIN,müssen,müssen
als,CONJ,KOKOM,als,als
der,DET,ART,der,der
Rest,NOUN,NN,Rest,Rest
.,PUNCT,$.,.,.
und,CONJ,KON,und,und
ansonsten,ADV,ADV,ansonsten,ansonsten
…,PUNCT,$(,…,…
sehr,UNK,PTKIFG,sehr,sehr
interessant,ADJ,ADJD,interessant,interessant
:),UNK,EMOASC,:),:)
