token,tag,tag_STTS,lemma_gold,lemma_pred
…,PUNCT,$(,…,…
das,PRON,PDS,der,
hört,VERB,VVFIN,hören,hören
sich,PRON,PRF,sich,
ja,UNK,PTKMA,ja,ja
nach,ADP,APPR,nach,nach
einem,DET,ART,ein,ein
spannend-amüsanten,ADJ,ADJA,spannend-amüsant,
Ausflug,NOUN,NN,Ausflug,Ausflug
an,PART,PTKVZ,an,an
…,PUNCT,$(,…,…
.,PUNCT,$.,.,.
super,ADJ,ADJD,super,super
!,PUNCT,$.,!,!
wusstet,VERB,VVFIN,wissen,wissen
ihr,PRON,PPER,ihr,
",",PUNCT,"$,",",",","
dass,SCONJ,KOUS,dass,dass
es,PRON,PPER,es,
eine,DET,ART,ein,ein
Seite,NOUN,NN,Seite,Seite
“,PUNCT,$(,“,“
fettehenne.info,UNK,URL,fettehenne.info,fettehenne.info
”,PUNCT,$(,”,”
im,ADP,APPRART,in,in
Netz,NOUN,NN,Netz,Netz
gibt,VERB,VVFIN,geben,geben
?,PUNCT,$.,?,?
danke,PART,PTKANT,danke,danke
für,ADP,APPR,für,für
deinen,DET,PPOSAT,dein,
Kommentar,NOUN,NN,Kommentar,Kommentar
!,PUNCT,$.,!,!
ja,PART,PTKANT,ja,ja
",",PUNCT,"$,",",",","
die,DET,ART,der,
Seite,NOUN,NN,Seite,Seite
kenne,VERB,VVFIN,kennen,kennen
ich,PRON,PPER,ich,
…,PUNCT,$.,…,…
;-),UNK,EMOASC,;-),;-)
hallo,INTJ,ITJ,hallo,hallo
lieber,ADJ,ADJA,lieb,lieb
Yannik,PROPN,NE,Yannik,Yannik
",",PUNCT,"$,",",",","
ich,PRON,PPER,ich,
wollte,VERB,VMFIN,wollen,wollen
dir,PRON,PPER,dir,
mal,UNK,PTKMA,mal,mal
meinen,DET,PPOSAT,mein,
Respekt,NOUN,NN,Respekt,Respekt
für,ADP,APPR,für,für
deinen,DET,PPOSAT,dein,
Beitrag,NOUN,NN,Beitrag,Beitrag
über,ADP,APPR,über,über
die,DET,ART,der,
Jugend,NOUN,NN,Jugend,Jugend
mitteilen,VERB,VVINF,mitteilen,mitteilen
.,PUNCT,$.,.,.
dein,DET,PPOSAT,dein,
Papa,NOUN,NN,Papa,Papa
hat,AUX,VAFIN,haben,haben
mir,PRON,PPER,mir,
den,DET,ART,der,
Tipp,NOUN,NN,Tipp,Tipp
gegeben,VERB,VVPP,geben,geben
mal,UNK,PTKMWL,mal,mal
hier,ADV,ADV,hier,hier
deine,DET,PPOSAT,dein,
Blogs,NOUN,NN,Blog,Blog
zu,PART,PTKZU,zu,zu
bewundern,VERB,VVINF,bewundern,bewundern
;),UNK,EMOASC,;),;)
echt,UNK,PTKIFG,echt,echt
stark,ADJ,ADJD,stark,stark
für,ADP,APPR,für,für
dein,DET,PPOSAT,dein,
Alter,NOUN,NN,Alter,Alter
!!,PUNCT,$.,!!,!!
ich,PRON,PPER,ich,
habe,AUX,VAFIN,haben,haben
auch,ADV,ADV,auch,auch
einen,DET,ART,ein,ein
Sohn,NOUN,NN,Sohn,Sohn
",",PUNCT,"$,",",",","
er,PRON,PPER,er,er
ist,AUX,VAFIN,sein,sein
14,NUM,CARD,14,14
Jahre,NOUN,NN,Jahr,Jahr
und,CONJ,KON,und,und
zählt,VERB,VVFIN,zählen,zählen
zum,ADP,APPRART,zu,zu
Glück,NOUN,NN,Glück,Glück
(,PUNCT,$(,(,(
so,ADV,ADV,so,so
wie,SCONJ,KOUS,wie,wie
du,PRON,PPER,du,
offensichtlich,ADJ,ADJD,offensichtlich,offensichtlich
ja,UNK,PTKMA,ja,ja
auch,UNK,PTKMA,auch,auch
nicht,PART,PTKNEG,nicht,nicht
),PUNCT,$(,),)
zu,ADP,APPR,zu,zu
diesem,DET,PDAT,dieser,
Teil,NOUN,NN,Teil,Teil
der,DET,ART,der,
Jugend,NOUN,NN,Jugend,Jugend
.,PUNCT,$.,.,.
vielleicht,ADV,ADV,vielleicht,vielleicht
schreibt,VERB,VVFIN,schreiben,schreiben
ihr,PRON,PPER,ihr,
euch,PRON,PRF,sich,
mal,ADV,ADV,mal,mal
im,ADP,APPRART,in,in
SchülerVZ,PROPN,NE,SchülerVZ,SchülerVZ
.,PUNCT,$.,.,.
ich,PRON,PPER,ich,
habe,AUX,VAFIN,haben,haben
deinen,DET,PPOSAT,dein,
Papa,NOUN,NN,Papa,Papa
auch,ADV,ADV,auch,auch
im,ADP,APPRART,in,in
Chat,NOUN,NN,Chat,Chat
kennengelernt,VERB,VVPP,kennenlernen,
vor,ADP,APPR,vor,vor
etwa,ADV,ADV,etwa,etwa
5,NUM,CARD,5,5
Jahren,NOUN,NN,Jahr,Jahr
:,PUNCT,$.,:,
du,PRON,PPER,du,
kennst,VERB,VVFIN,kennen,kennen
die,DET,ART,der,
Geschichte,NOUN,NN,Geschichte,Geschichte
vielleicht,ADV,ADV,vielleicht,vielleicht
sogar,UNK,PTKIFG,sogar,sogar
;,PUNCT,$.,;,;
denn,SCONJ,KOUS,denn,denn
wie,SCONJ,KOUS,wie,wie
