token,tag,tag_STTS,lemma_gold,lemma_pred
…,PUNCT,$(,…,...
das,PRON,PDS,der,die
hört,VERB,VVFIN,hören,hören
sich,PRON,PRF,sich,sich
ja,UNK,PTKMA,ja,ja
nach,ADP,APPR,nach,nach
einem,DET,ART,ein,eine
spannend-amüsanten,ADJ,ADJA,spannend-amüsant,spannend-amüsant
Ausflug,NOUN,NN,Ausflug,Ausflug
an,PART,PTKVZ,an,an
…,PUNCT,$(,…,...
.,PUNCT,$.,.,.
super,ADJ,ADJD,super,super
!,PUNCT,$.,!,!
wusstet,VERB,VVFIN,wissen,wissen
ihr,PRON,PPER,ihr,ihr
",",PUNCT,"$,",",",","
dass,SCONJ,KOUS,dass,dass
es,PRON,PPER,es,es
eine,DET,ART,ein,eine
Seite,NOUN,NN,Seite,Seite
“,PUNCT,$(,“,“
fettehenne.info,UNK,URL,fettehenne.info,<unknown>
”,PUNCT,$(,”,<unknown>
im,ADP,APPRART,in,in+die
Netz,NOUN,NN,Netz,Netz
gibt,VERB,VVFIN,geben,geben
?,PUNCT,$.,?,?
danke,PART,PTKANT,danke,danke
für,ADP,APPR,für,für
deinen,DET,PPOSAT,dein,dein
Kommentar,NOUN,NN,Kommentar,Kommentar
!,PUNCT,$.,!,!
ja,PART,PTKANT,ja,ja
",",PUNCT,"$,",",",","
die,DET,ART,der,die
Seite,NOUN,NN,Seite,Seite
kenne,VERB,VVFIN,kennen,kennen
ich,PRON,PPER,ich,ich
…,PUNCT,$.,…,...
;-),UNK,EMOASC,;-),<unknown>
hallo,INTJ,ITJ,hallo,hallo
lieber,ADJ,ADJA,lieb,lieb
Yannik,PROPN,NE,Yannik,<unknown>
",",PUNCT,"$,",",",","
ich,PRON,PPER,ich,ich
wollte,VERB,VMFIN,wollen,wollen
dir,PRON,PPER,dir,du
mal,UNK,PTKMA,mal,mal
meinen,DET,PPOSAT,mein,mein
Respekt,NOUN,NN,Respekt,Respekt
für,ADP,APPR,für,für
deinen,DET,PPOSAT,dein,dein
Beitrag,NOUN,NN,Beitrag,Beitrag
über,ADP,APPR,über,über
die,DET,ART,der,die
Jugend,NOUN,NN,Jugend,Jugend
mitteilen,VERB,VVINF,mitteilen,mitteilen
.,PUNCT,$.,.,.
dein,DET,PPOSAT,dein,dein
Papa,NOUN,NN,Papa,Papa
hat,AUX,VAFIN,haben,haben
mir,PRON,PPER,mir,ich
den,DET,ART,der,die
Tipp,NOUN,NN,Tipp,Tip
gegeben,VERB,VVPP,geben,geben
mal,UNK,PTKMWL,mal,mal
hier,ADV,ADV,hier,hier
deine,DET,PPOSAT,dein,dein
Blogs,NOUN,NN,Blog,Blog
zu,PART,PTKZU,zu,zu
bewundern,VERB,VVINF,bewundern,bewundern
;),UNK,EMOASC,;),<unknown>
echt,UNK,PTKIFG,echt,echt
stark,ADJ,ADJD,stark,stark
für,ADP,APPR,für,für
dein,DET,PPOSAT,dein,dein
Alter,NOUN,NN,Alter,Alter
!!,PUNCT,$.,!!,<unknown>
ich,PRON,PPER,ich,ich
habe,AUX,VAFIN,haben,haben
auch,ADV,ADV,auch,auch
einen,DET,ART,ein,eine
Sohn,NOUN,NN,Sohn,Sohn
",",PUNCT,"$,",",",","
er,PRON,PPER,er,er
ist,AUX,VAFIN,sein,sein
14,NUM,CARD,14,@card@
Jahre,NOUN,NN,Jahr,Jahr
und,CONJ,KON,und,und
zählt,VERB,VVFIN,zählen,zählen
zum,ADP,APPRART,zu,zu+die
Glück,NOUN,NN,Glück,Glück
(,PUNCT,$(,(,(
so,ADV,ADV,so,so
wie,SCONJ,KOUS,wie,wie
du,PRON,PPER,du,du
offensichtlich,ADJ,ADJD,offensichtlich,offensichtlich
ja,UNK,PTKMA,ja,ja
auch,UNK,PTKMA,auch,auch
nicht,PART,PTKNEG,nicht,nicht
),PUNCT,$(,),)
zu,ADP,APPR,zu,zu
diesem,DET,PDAT,dieser,dies
Teil,NOUN,NN,Teil,Teil
der,DET,ART,der,die
Jugend,NOUN,NN,Jugend,Jugend
.,PUNCT,$.,.,.
vielleicht,ADV,ADV,vielleicht,vielleicht
schreibt,VERB,VVFIN,schreiben,schreiben
ihr,PRON,PPER,ihr,ihr
euch,PRON,PRF,sich,ihr
mal,ADV,ADV,mal,mal
im,ADP,APPRART,in,in+die
SchülerVZ,PROPN,NE,SchülerVZ,<unknown>
.,PUNCT,$.,.,.
ich,PRON,PPER,ich,ich
habe,AUX,VAFIN,haben,haben
deinen,DET,PPOSAT,dein,dein
Papa,NOUN,NN,Papa,Papa
auch,ADV,ADV,auch,auch
im,ADP,APPRART,in,in+die
Chat,NOUN,NN,Chat,Chat
kennengelernt,VERB,VVPP,kennenlernen,kennenlernen
vor,ADP,APPR,vor,vor
etwa,ADV,ADV,etwa,etwa
5,NUM,CARD,5,@card@
Jahren,NOUN,NN,Jahr,Jahr
:,PUNCT,$.,:,:
du,PRON,PPER,du,du
kennst,VERB,VVFIN,kennen,kennen
die,DET,ART,der,die
Geschichte,NOUN,NN,Geschichte,Geschichte
vielleicht,ADV,ADV,vielleicht,vielleicht
sogar,UNK,PTKIFG,sogar,sogar
;,PUNCT,$.,;,;
denn,SCONJ,KOUS,denn,denn
wie,SCONJ,KOUS,wie,wie
ich,PRON,PPER,ich,ich
weiß,VERB,VVFIN,wissen,weiß
habt,AUX,VAFIN,haben,haben
ihr,PRON,PPER,ihr,ihr
beide,PRON,PIS,beide,beide
ein,DET,ART,ein,eine
tolles,ADJ,ADJA,toll,toll
Verhältnis,NOUN,NN,Verhältnis,Verhältnis
:,PUNCT,$.,:,:
viele,DET,PIAT,vieler,viele
Grüße,NOUN,NN,Gruß,Gruß
von,ADP,APPR,von,von
Ines,PROPN,NE,Ines,Ines
gerade,ADV,ADV,gerade,gerade
als,SCONJ,KOUS,als,als
ich,PRON,PPER,ich,ich
das,PRON,PDS,der,die
las,VERB,VVFIN,lesen,lesen
wollte,VERB,VMFIN,wollen,wollen
ich,PRON,PPER,ich,ich
schon,UNK,PTKMA,schon,schon
sagen,VERB,VVINF,sagen,sagen
:,PUNCT,$.,:,:
das,PRON,PDS,der,die
ist,AUX,VAFIN,sein,sein
ein,DET,ART,ein,eine
Aghori,NOUN,NN,Aghori,<unknown>
.,PUNCT,$.,.,.
ich,PRON,PPER,ich,ich
persönlich,ADJ,ADJD,persönlich,persönlich
finde,VERB,VVFIN,finden,finden
durchaus,ADV,ADV,durchaus,durchaus
",",PUNCT,"$,",",",","
dass,SCONJ,KOUS,dass,dass
ihre,DET,PPOSAT,ihr,ihr
Art,NOUN,NN,Art,Art
der,DET,ART,der,die
Verehrung,NOUN,NN,Verehrung,Verehrung
Platz,NOUN,NN,Platz,Platz
hat,AUX,VAFIN,haben,haben
(,PUNCT,$(,(,(
es,PRON,PPER,es,es
ist,AUX,VAFIN,sein,sein
eben,UNK,PTKMA,eben,eben
LHP,NOUN,NN,LHP,LHP
),PUNCT,$(,),)
",",PUNCT,"$,",",",","
denn,CONJ,KON,denn,denn
schließlich,ADV,ADV,schließlich,schließlich
hat,AUX,VAFIN,haben,haben
auch,UNK,PTKIFG,auch,auch
Shiva,PROPN,NE,Shiva,Shiva
dunkle,ADJ,ADJA,dunkel,dunkel
Seiten,NOUN,NN,Seite,Seite
.,PUNCT,$.,.,.
so,ADV,ADV,so,so
wie,SCONJ,KOUS,wie,wie
ich,PRON,PPER,ich,ich
das,PRON,PDS,der,die
mitbekommen,VERB,VVPP,mitbekommen,mitbekommen
haben,AUX,VAFIN,haben,haben
sind,AUX,VAFIN,sein,sein
sie,PRON,PPER,sie,sie
sehr,UNK,PTKIFG,sehr,sehr
gottesfürchtig,ADJ,ADJD,gottesfürchtig,gottesfürchtig
.,PUNCT,$.,.,.
sie,PRON,PPER,sie,sie
haben,AUX,VAFIN,haben,haben
nur,UNK,PTKIFG,nur,nur
einfach,ADJ,ADJD,einfach,einfach
andere,DET,PIAT,anderer,andere
(,PUNCT,$(,(,(
strenge,ADJ,ADJA,streng,streng
),PUNCT,$(,),)
Regeln,NOUN,NN,Regel,Regel
an,ADP,APPR,an,an
die,PRON,PRELS,der,die
sie,PRON,PPER,sie,sie
sich,PRON,PRF,sich,sich
halten,VERB,VVINF,halten,halten
müssen,VERB,VMFIN,müssen,müssen
als,CONJ,KOKOM,als,als
der,DET,ART,der,die
Rest,NOUN,NN,Rest,Rest
.,PUNCT,$.,.,.
und,CONJ,KON,und,und
ansonsten,ADV,ADV,ansonsten,ansonsten
…,PUNCT,$(,…,...
sehr,UNK,PTKIFG,sehr,sehr
interessant,ADJ,ADJD,interessant,interessant
:),UNK,EMOASC,:),<unknown>
ja,PART,PTKANT,ja,ja
",",PUNCT,"$,",",",","
ich,PRON,PPER,ich,ich
finde,VERB,VVFIN,finden,finden
auch,ADV,ADV,auch,auch
",",PUNCT,"$,",",",","
dass,SCONJ,KOUS,dass,dass
ihre,DET,PPOSAT,ihr,ihr
Art,NOUN,NN,Art,Art
Platz,NOUN,NN,Platz,Platz
hat,AUX,VAFIN,haben,haben
und,CONJ,KON,und,und
sie,PRON,PPER,sie,sie
einfach,ADJ,ADJD,einfach,einfach
dazu,ADV,PAV,dazu,dazu
gehört,VERB,VVFIN,gehören,gehören
",",PUNCT,"$,",",",","
kann,VERB,VMFIN,können,können
mir,PRON,PRF,sich,ich
aber,ADV,ADV,aber,aber
auch,UNK,PTKMA,auch,auch
gut,ADJ,ADJD,gut,gut
vorstellen,VERB,VVINF,vorstellen,vorstellen
",",PUNCT,"$,",",",","
dass,SCONJ,KOUS,dass,dass
sie,PRON,PPER,sie,sie
eben,UNK,PTKMA,eben,eben
durch,ADP,APPR,durch,durch
ihre,DET,PPOSAT,ihr,ihr
Tabubrüche,NOUN,NN,Tabubruch,Tabubruch
gesellschaftlicher,ADJ,ADJA,gesellschaftlich,gesellschaftlich
und,CONJ,KON,und,und
religiöser,ADJ,ADJA,religiös,religiös
Art,NOUN,NN,Art,Art
(,PUNCT,$(,(,(
z.,ADP,APPRART,z.,zu+die
B.,NOUN,NN,B.,B.
Fleisch,NOUN,NN,Fleisch,Fleisch
und,CONJ,KON,und,und
Alkohol,NOUN,NN,Alkohol,Alkohol
),PUNCT,$(,),)
von,ADP,APPR,von,von
manchen,DET,PIAT,mancher,manche
Hindus,NOUN,NN,Hindu,Hindu
abgelehnt,VERB,VVPP,ablehnen,ablehnen
werden,AUX,VAFIN,werden,werden
.,PUNCT,$.,.,.
dabei,ADV,PAV,dabei,dabei
gehts,UNK,VVPPER,gehen,<unknown>
ja,UNK,PTKMA,ja,ja
weniger,ADJ,ADJD,wenig,weniger
um,ADP,APPR,um,um
ihre,DET,PPOSAT,ihr,ihr
Gottesfürchtigkeit,NOUN,NN,Gottesfürchtigkeit,<unknown>
und,CONJ,KON,und,und
ihre,DET,PPOSAT,ihr,ihr
strengen,ADJ,ADJA,streng,streng
Regeln,NOUN,NN,Regel,Regel
",",PUNCT,"$,",",",","
als,SCONJ,KOUS,als,als
eben,UNK,PTKMA,eben,eben
um,ADP,APPR,um,um
die,DET,ART,der,die
Praktiken,NOUN,NN,Praktik,Praktik
.,PUNCT,$.,.,.
ich,PRON,PPER,ich,ich
habe,AUX,VAFIN,haben,haben
den,DET,ART,der,die
Eindruck,NOUN,NN,Eindruck,Eindruck
",",PUNCT,"$,",",",","
dass,SCONJ,KOUS,dass,dass
es,PRON,PPER,es,es
da,ADV,ADV,da,da
nicht,PART,PTKNEG,nicht,nicht
anders,ADV,ADV,anders,anders
ist,AUX,VAFIN,sein,sein
",",PUNCT,"$,",",",","
wie,CONJ,KOKOM,wie,wie
bei,ADP,APPRART,bei,bei
vielen,DET,PIAT,vieler,viele
Coven,NOUN,NN,Coven,<unknown>
",",PUNCT,"$,",",",","
Logen,NOUN,NN,Loge,Loge
",",PUNCT,"$,",",",","
Orden,NOUN,NN,Orden,Orden
etc.,ADV,ADV,etc.,etc.
die,PRON,PRELS,der,die
sehr,UNK,PTKIFG,sehr,sehr
verschlossen,ADJ,ADJD,verschlossen,verschließen
sind,AUX,VAFIN,sein,sein
und,CONJ,KON,und,und
Wert,NOUN,NN,Wert,Wert
darauf,ADV,PAV,darauf,darauf
legen,VERB,VVFIN,legen,legen
",",PUNCT,"$,",",",","
dass,SCONJ,KOUS,dass,dass
vieles,PRON,PIS,viele,viele
