token,tag,tag_STTS,lemma_gold,lemma_pred
…,PUNCT,$(,…,…
das,PRON,PDS,der,das
hört,VERB,VVFIN,hören,hört
sich,PRON,PRF,sich,sich
ja,UNK,PTKMA,ja,ja
nach,ADP,APPR,nach,nach
einem,DET,ART,ein,einem
spannend-amüsanten,ADJ,ADJA,spannend-amüsant,spannend-amüsanten
Ausflug,NOUN,NN,Ausflug,Ausflug
an,PART,PTKVZ,an,an
…,PUNCT,$(,…,…
.,PUNCT,$.,.,.
super,ADJ,ADJD,super,super
!,PUNCT,$.,!,!
Wusstet,VERB,VVFIN,wissen,Wusstet
Ihr,PRON,PPER,ihr,Ihr
",",PUNCT,"$,",",",","
dass,SCONJ,KOUS,dass,dass
es,PRON,PPER,es,es
eine,DET,ART,ein,eine
Seite,NOUN,NN,Seite,Seite
“,PUNCT,$(,“,“
Fettehenne.info,UNK,URL,fettehenne.info,Fettehenne.info
”,PUNCT,$(,”,”
im,ADP,APPRART,in,im
Netz,NOUN,NN,Netz,Netz
gibt,VERB,VVFIN,geben,gibt
?,PUNCT,$.,?,?
Danke,PART,PTKANT,danke,Danke
für,ADP,APPR,für,für
deinen,DET,PPOSAT,dein,deinen
Kommentar,NOUN,NN,Kommentar,Kommentar
!,PUNCT,$.,!,!
Ja,PART,PTKANT,ja,Ja
",",PUNCT,"$,",",",","
die,DET,ART,der,die
Seite,NOUN,NN,Seite,Seite
kenne,VERB,VVFIN,kennen,kenne
ich,PRON,PPER,ich,ich
…,PUNCT,$.,…,…
;-),UNK,EMOASC,;-),;-)
Hallo,INTJ,ITJ,hallo,Hallo
lieber,ADJ,ADJA,lieb,lieber
Yannik,PROPN,NE,Yannik,Yannik
",",PUNCT,"$,",",",","
ich,PRON,PPER,ich,ich
wollte,VERB,VMFIN,wollen,wollte
dir,PRON,PPER,dir,dir
mal,UNK,PTKMA,mal,mal
meinen,DET,PPOSAT,mein,meinen
Respekt,NOUN,NN,Respekt,Respekt
für,ADP,APPR,für,für
deinen,DET,PPOSAT,dein,deinen
Beitrag,NOUN,NN,Beitrag,Beitrag
über,ADP,APPR,über,über
die,DET,ART,der,die
Jugend,NOUN,NN,Jugend,Jugend
mitteilen,VERB,VVINF,mitteilen,mitteilen
.,PUNCT,$.,.,.
Dein,DET,PPOSAT,dein,Dein
Papa,NOUN,NN,Papa,Papa
hat,AUX,VAFIN,haben,hat
mir,PRON,PPER,mir,mir
den,DET,ART,der,den
Tip,NOUN,NN,Tipp,Tip
gegeben,VERB,VVPP,geben,gegeben
mal,UNK,PTKMWL,mal,mal
hier,ADV,ADV,hier,hier
deine,DET,PPOSAT,dein,deine
Blogs,NOUN,NN,Blog,Blogs
zu,PART,PTKZU,zu,zu
bewundern,VERB,VVINF,bewundern,bewundern
;),UNK,EMOASC,;),;)
Echt,UNK,PTKIFG,echt,Echt
stark,ADJ,ADJD,stark,stark
für,ADP,APPR,für,für
dein,DET,PPOSAT,dein,dein
Alter,NOUN,NN,Alter,Alter
!!,PUNCT,$.,!!,!!
Ich,PRON,PPER,ich,Ich
habe,AUX,VAFIN,haben,habe
auch,ADV,ADV,auch,auch
einen,DET,ART,ein,einen
Sohn,NOUN,NN,Sohn,Sohn
",",PUNCT,"$,",",",","
er,PRON,PPER,er,er
ist,AUX,VAFIN,sein,ist
14,NUM,CARD,14,14
Jahre,NOUN,NN,Jahr,Jahre
und,CONJ,KON,und,und
zählt,VERB,VVFIN,zählen,zählt
zum,ADP,APPRART,zu,zum
Glück,NOUN,NN,Glück,Glück
(,PUNCT,$(,(,(
so,ADV,ADV,so,so
wie,SCONJ,KOUS,wie,wie
du,PRON,PPER,du,du
offensichtlich,ADJ,ADJD,offensichtlich,offensichtlich
ja,UNK,PTKMA,ja,ja
auch,UNK,PTKMA,auch,auch
nicht,PART,PTKNEG,nicht,nicht
),PUNCT,$(,),)
zu,ADP,APPR,zu,zu
diesem,DET,PDAT,dieser,diesem
Teil,NOUN,NN,Teil,Teil
der,DET,ART,der,der
Jugend,NOUN,NN,Jugend,Jugend
.,PUNCT,$.,.,.
Vielleicht,ADV,ADV,vielleicht,Vielleicht
schreibt,VERB,VVFIN,schreiben,schreibt
Ihr,PRON,PPER,ihr,Ihr
euch,PRON,PRF,sich,euch
mal,ADV,ADV,mal,mal
im,ADP,APPRART,in,im
SchülerVZ,PROPN,NE,SchülerVZ,SchülerVZ
.,PUNCT,$.,.,.
Ich,PRON,PPER,ich,Ich
habe,AUX,VAFIN,haben,habe
deinen,DET,PPOSAT,dein,deinen
Papa,NOUN,NN,Papa,Papa
auch,ADV,ADV,auch,auch
im,ADP,APPRART,in,im
Chat,NOUN,NN,Chat,Chat
kennengelernt,VERB,VVPP,kennenlernen,kennengelernt
vor,ADP,APPR,vor,vor
etwa,ADV,ADV,etwa,etwa
5,NUM,CARD,5,5
JaHREN,NOUN,NN,Jahr,JaHREN
:,PUNCT,$.,:,:
dU,PRON,PPER,du,dU
KENNST,VERB,VVFIN,kennen,KENNST
DIE,DET,ART,der,DIE
GESCHICHTE,NOUN,NN,Geschichte,GESCHICHTE
VIELLEICHT,ADV,ADV,vielleicht,VIELLEICHT
SOGAR,UNK,PTKIFG,sogar,SOGAR
;,PUNCT,$.,;,;
DENN,SCONJ,KOUS,denn,DENN
WIE,SCONJ,KOUS,wie,WIE
ICH,PRON,PPER,ich,ICH
WEI?,VERB,VVFIN,wissen,WEI?
HABT,AUX,VAFIN,haben,HABT
IHR,PRON,PPER,ihr,IHR
BEIDE,PRON,PIS,beide,BEIDE
EIN,DET,ART,ein,EIN
TOLLES,ADJ,ADJA,toll,TOLLES
vERHÄLTNIS,NOUN,NN,Verhältnis,vERHÄLTNIS
:,PUNCT,$.,:,:
Viele,DET,PIAT,vieler,Viele
Grüße,NOUN,NN,Gruß,Grüße
von,ADP,APPR,von,von
Ines,PROPN,NE,Ines,Ines
Gerade,ADV,ADV,gerade,Gerade
als,SCONJ,KOUS,als,als
ich,PRON,PPER,ich,ich
das,PRON,PDS,der,das
las,VERB,VVFIN,lesen,las
wollte,VERB,VMFIN,wollen,wollte
ich,PRON,PPER,ich,ich
schon,UNK,PTKMA,schon,schon
sagen,VERB,VVINF,sagen,sagen
:,PUNCT,$.,:,:
das,PRON,PDS,der,das
ist,AUX,VAFIN,sein,ist
ein,DET,ART,ein,ein
Aghori,NOUN,NN,Aghori,Aghori
.,PUNCT,$.,.,.
Ich,PRON,PPER,ich,Ich
persönlich,ADJ,ADJD,persönlich,persönlich
finde,VERB,VVFIN,finden,finde
durchaus,ADV,ADV,durchaus,durchaus
",",PUNCT,"$,",",",","
dass,SCONJ,KOUS,dass,dass
ihre,DET,PPOSAT,ihr,ihre
Art,NOUN,NN,Art,Art
der,DET,ART,der,der
Verehrung,NOUN,NN,Verehrung,Verehrung
Platz,NOUN,NN,Platz,Platz
hat,AUX,VAFIN,haben,hat
(,PUNCT,$(,(,(
es,PRON,PPER,es,es
ist,AUX,VAFIN,sein,ist
eben,UNK,PTKMA,eben,eben
LHP,NOUN,NN,LHP,LHP
),PUNCT,$(,),)
",",PUNCT,"$,",",",","
denn,CONJ,KON,denn,denn
schließlich,ADV,ADV,schließlich,schließlich
hat,AUX,VAFIN,haben,hat
auch,UNK,PTKIFG,auch,auch
Shiva,PROPN,NE,Shiva,Shiva
dunkle,ADJ,ADJA,dunkel,dunkle
Seiten,NOUN,NN,Seite,Seiten
.,PUNCT,$.,.,.
So,ADV,ADV,so,So
wie,SCONJ,KOUS,wie,wie
ich,PRON,PPER,ich,ich
das,PRON,PDS,der,das
mitbekommen,VERB,VVPP,mitbekommen,mitbekommen
haben,AUX,VAFIN,haben,haben
sind,AUX,VAFIN,sein,sind
sie,PRON,PPER,sie,sie
sehr,UNK,PTKIFG,sehr,sehr
gottesfürchtig,ADJ,ADJD,gottesfürchtig,gottesfürchtig
.,PUNCT,$.,.,.
Sie,PRON,PPER,sie,Sie
haben,AUX,VAFIN,haben,haben
nur,UNK,PTKIFG,nur,nur
einfach,ADJ,ADJD,einfach,einfach
andere,DET,PIAT,anderer,andere
(,PUNCT,$(,(,(
strenge,ADJ,ADJA,streng,strenge
),PUNCT,$(,),)
regeln,NOUN,NN,Regel,regeln
an,ADP,APPR,an,an
die,PRON,PRELS,der,die
sie,PRON,PPER,sie,sie
sich,PRON,PRF,sich,sich
halten,VERB,VVINF,halten,halten
müssen,VERB,VMFIN,müssen,müssen
als,CONJ,KOKOM,als,als
der,DET,ART,der,der
Rest,NOUN,NN,Rest,Rest
.,PUNCT,$.,.,.
Und,CONJ,KON,und,Und
ansosten,ADV,ADV,ansonsten,ansosten
…,PUNCT,$(,…,…
sehr,UNK,PTKIFG,sehr,sehr
interessant,ADJ,ADJD,interessant,interessant
:),UNK,EMOASC,:),:)
Ja,PART,PTKANT,ja,Ja
