token,tag,tag_STTS,lemma_gold,lemma_pred
…,PUNCT,$(,…,
das,PRON,PDS,der,
hört,VERB,VVFIN,hören,hören
sich,PRON,PRF,sich,
ja,UNK,PTKMA,ja,
nach,ADP,APPR,nach,
einem,DET,ART,ein,
spannend-amüsanten,ADJ,ADJA,spannend-amüsant,spannend-amüsant
Ausflug,NOUN,NN,Ausflug,Ausflug
an,PART,PTKVZ,an,
…,PUNCT,$(,…,
.,PUNCT,$.,.,
super,ADJ,ADJD,super,super
!,PUNCT,$.,!,
Wusstet,VERB,VVFIN,wissen,wissen
Ihr,PRON,PPER,ihr,
",",PUNCT,"$,",",",
dass,SCONJ,KOUS,dass,
es,PRON,PPER,es,
eine,DET,ART,ein,
Seite,NOUN,NN,Seite,Seite
“,PUNCT,$(,“,
Fettehenne.info,UNK,URL,fettehenne.info,
”,PUNCT,$(,”,
im,ADP,APPRART,in,
Netz,NOUN,NN,Netz,Netz
gibt,VERB,VVFIN,geben,geben
?,PUNCT,$.,?,
Danke,PART,PTKANT,danke,
für,ADP,APPR,für,
deinen,DET,PPOSAT,dein,
Kommentar,NOUN,NN,Kommentar,Kommentar
!,PUNCT,$.,!,
Ja,PART,PTKANT,ja,
",",PUNCT,"$,",",",
die,DET,ART,der,
Seite,NOUN,NN,Seite,Seite
kenne,VERB,VVFIN,kennen,kennen
ich,PRON,PPER,ich,
…,PUNCT,$.,…,
;-),UNK,EMOASC,;-),
Hallo,INTJ,ITJ,hallo,
lieber,ADJ,ADJA,lieb,lieb
Yannik,PROPN,NE,Yannik,
",",PUNCT,"$,",",",
ich,PRON,PPER,ich,
wollte,VERB,VMFIN,wollen,wollen
dir,PRON,PPER,dir,
mal,UNK,PTKMA,mal,
meinen,DET,PPOSAT,mein,
Respekt,NOUN,NN,Respekt,Respekt
für,ADP,APPR,für,
deinen,DET,PPOSAT,dein,
Beitrag,NOUN,NN,Beitrag,Beitrag
über,ADP,APPR,über,
die,DET,ART,der,
Jugend,NOUN,NN,Jugend,Jugend
mitteilen,VERB,VVINF,mitteilen,mitteilen
.,PUNCT,$.,.,
Dein,DET,PPOSAT,dein,
Papa,NOUN,NN,Papa,Papa
hat,AUX,VAFIN,haben,
mir,PRON,PPER,mir,
den,DET,ART,der,
Tip,NOUN,NN,Tipp,Tip
gegeben,VERB,VVPP,geben,geben
mal,UNK,PTKMWL,mal,
hier,ADV,ADV,hier,hier
deine,DET,PPOSAT,dein,
Blogs,NOUN,NN,Blog,Blogs
zu,PART,PTKZU,zu,
bewundern,VERB,VVINF,bewundern,bewundern
;),UNK,EMOASC,;),
Echt,UNK,PTKIFG,echt,
stark,ADJ,ADJD,stark,stark
für,ADP,APPR,für,
dein,DET,PPOSAT,dein,
Alter,NOUN,NN,Alter,Alter
!!,PUNCT,$.,!!,
Ich,PRON,PPER,ich,
habe,AUX,VAFIN,haben,
auch,ADV,ADV,auch,auch
einen,DET,ART,ein,
Sohn,NOUN,NN,Sohn,Sohn
",",PUNCT,"$,",",",
er,PRON,PPER,er,
ist,AUX,VAFIN,sein,
14,NUM,CARD,14,14
Jahre,NOUN,NN,Jahr,Jahr
und,CONJ,KON,und,
zählt,VERB,VVFIN,zählen,zählen
zum,ADP,APPRART,zu,
Glück,NOUN,NN,Glück,Glück
(,PUNCT,$(,(,
so,ADV,ADV,so,so
wie,SCONJ,KOUS,wie,
du,PRON,PPER,du,
offensichtlich,ADJ,ADJD,offensichtlich,offensichtlich
ja,UNK,PTKMA,ja,
auch,UNK,PTKMA,auch,
nicht,PART,PTKNEG,nicht,
),PUNCT,$(,),
zu,ADP,APPR,zu,
diesem,DET,PDAT,dieser,
Teil,NOUN,NN,Teil,Teil
der,DET,ART,der,
Jugend,NOUN,NN,Jugend,Jugend
.,PUNCT,$.,.,
Vielleicht,ADV,ADV,vielleicht,vielleicht
schreibt,VERB,VVFIN,schreiben,schreiben
Ihr,PRON,PPER,ihr,
euch,PRON,PRF,sich,
mal,ADV,ADV,mal,mal
im,ADP,APPRART,in,
SchülerVZ,PROPN,NE,SchülerVZ,
.,PUNCT,$.,.,
Ich,PRON,PPER,ich,
habe,AUX,VAFIN,haben,
deinen,DET,PPOSAT,dein,
Papa,NOUN,NN,Papa,Papa
auch,ADV,ADV,auch,auch
im,ADP,APPRART,in,
Chat,NOUN,NN,Chat,Chat
kennengelernt,VERB,VVPP,kennenlernen,kennenlernen
vor,ADP,APPR,vor,
etwa,ADV,ADV,etwa,etwa
5,NUM,CARD,5,5
JaHREN,NOUN,NN,Jahr,JaHREN
:,PUNCT,$.,:,
dU,PRON,PPER,du,
KENNST,VERB,VVFIN,kennen,kennen
DIE,DET,ART,der,
GESCHICHTE,NOUN,NN,Geschichte,GESCHICHTE
VIELLEICHT,ADV,ADV,vielleicht,vielleicht
SOGAR,UNK,PTKIFG,sogar,
;,PUNCT,$.,;,
DENN,SCONJ,KOUS,denn,
WIE,SCONJ,KOUS,wie,
ICH,PRON,PPER,ich,
WEI?,VERB,VVFIN,wissen,wei?en
HABT,AUX,VAFIN,haben,
IHR,PRON,PPER,ihr,
