token,tag,tag_STTS,lemma_gold,lemma_pred
…,PUNCT,$(,…,...
das,PRON,PDS,der,der
hört,VERB,VVFIN,hören,hören
sich,PRON,PRF,sich,er|es|sie
ja,UNK,PTKMA,ja,ja
nach,ADP,APPR,nach,nach
einem,DET,ART,ein,ein
spannend-amüsanten,ADJ,ADJA,spannend-amüsant,spannend-amüsanten
Ausflug,NOUN,NN,Ausflug,Ausflug
an,PART,PTKVZ,an,an
…,PUNCT,$(,…,...
.,PUNCT,$.,.,.
super,ADJ,ADJD,super,super
!,PUNCT,$.,!,!
Wusstet,VERB,VVFIN,wissen,wussen
Ihr,PRON,PPER,ihr,Ihr|ihr
",",PUNCT,"$,",",",","
dass,SCONJ,KOUS,dass,dass
es,PRON,PPER,es,es
eine,DET,ART,ein,ein
Seite,NOUN,NN,Seite,Seite
“,PUNCT,$(,“,""""
Fettehenne.info,UNK,URL,fettehenne.info,Fettehenne.info
”,PUNCT,$(,”,""""
im,ADP,APPRART,in,em
Netz,NOUN,NN,Netz,Netz
gibt,VERB,VVFIN,geben,geben
?,PUNCT,$.,?,?
Danke,PART,PTKANT,danke,Dank
für,ADP,APPR,für,für
deinen,DET,PPOSAT,dein,dein
Kommentar,NOUN,NN,Kommentar,Kommentar
!,PUNCT,$.,!,!
Ja,PART,PTKANT,ja,Ja
",",PUNCT,"$,",",",","
die,DET,ART,der,der
Seite,NOUN,NN,Seite,Seite
kenne,VERB,VVFIN,kennen,kennen
ich,PRON,PPER,ich,ich
…,PUNCT,$.,…,...
;-),UNK,EMOASC,;-),;-)
Hallo,INTJ,ITJ,hallo,hallo
lieber,ADJ,ADJA,lieb,lieb
Yannik,PROPN,NE,Yannik,Yannik
",",PUNCT,"$,",",",","
ich,PRON,PPER,ich,ich
wollte,VERB,VMFIN,wollen,wollen
dir,PRON,PPER,dir,du
mal,UNK,PTKMA,mal,mal
meinen,DET,PPOSAT,mein,mein
Respekt,NOUN,NN,Respekt,Respekt
für,ADP,APPR,für,für
deinen,DET,PPOSAT,dein,dein
Beitrag,NOUN,NN,Beitrag,Beitrag
über,ADP,APPR,über,über
die,DET,ART,der,der
Jugend,NOUN,NN,Jugend,Jugend
mitteilen,VERB,VVINF,mitteilen,mitteilen
.,PUNCT,$.,.,.
Dein,DET,PPOSAT,dein,dein
Papa,NOUN,NN,Papa,Papa
hat,AUX,VAFIN,haben,haben
mir,PRON,PPER,mir,ich
den,DET,ART,der,der
Tip,NOUN,NN,Tipp,Tip
gegeben,VERB,VVPP,geben,geben
mal,UNK,PTKMWL,mal,mal
hier,ADV,ADV,hier,hier
deine,DET,PPOSAT,dein,dein
Blogs,NOUN,NN,Blog,Blog
zu,PART,PTKZU,zu,zu
bewundern,VERB,VVINF,bewundern,bewundern
;),UNK,EMOASC,;),;)
Echt,UNK,PTKIFG,echt,echt
stark,ADJ,ADJD,stark,stark
für,ADP,APPR,für,für
dein,DET,PPOSAT,dein,dein
Alter,NOUN,NN,Alter,Alter
!!,PUNCT,$.,!!,!!
Ich,PRON,PPER,ich,ich
habe,AUX,VAFIN,haben,haben
auch,ADV,ADV,auch,auch
einen,DET,ART,ein,ein
Sohn,NOUN,NN,Sohn,Sohn
",",PUNCT,"$,",",",","
er,PRON,PPER,er,er
ist,AUX,VAFIN,sein,sein
14,NUM,CARD,14,14
Jahre,NOUN,NN,Jahr,Jahr
und,CONJ,KON,und,und
zählt,VERB,VVFIN,zählen,zählen
zum,ADP,APPRART,zu,zum
Glück,NOUN,NN,Glück,Glück
(,PUNCT,$(,(,(
so,ADV,ADV,so,so
wie,SCONJ,KOUS,wie,wie
du,PRON,PPER,du,du
offensichtlich,ADJ,ADJD,offensichtlich,offensichtlich
ja,UNK,PTKMA,ja,ja
auch,UNK,PTKMA,auch,auch
nicht,PART,PTKNEG,nicht,nicht
),PUNCT,$(,),)
zu,ADP,APPR,zu,zu
diesem,DET,PDAT,dieser,dies
Teil,NOUN,NN,Teil,Teil
der,DET,ART,der,der
Jugend,NOUN,NN,Jugend,Jugend
.,PUNCT,$.,.,.
Vielleicht,ADV,ADV,vielleicht,vielleicht
schreibt,VERB,VVFIN,schreiben,schreiben
Ihr,PRON,PPER,ihr,Ihr|ihr
euch,PRON,PRF,sich,ihr
mal,ADV,ADV,mal,mal
im,ADP,APPRART,in,em
SchülerVZ,PROPN,NE,SchülerVZ,SchülerVZ
.,PUNCT,$.,.,.
Ich,PRON,PPER,ich,ich
habe,AUX,VAFIN,haben,haben
deinen,DET,PPOSAT,dein,dein
Papa,NOUN,NN,Papa,Papa
auch,ADV,ADV,auch,auch
im,ADP,APPRART,in,em
Chat,NOUN,NN,Chat,Chat
kennengelernt,VERB,VVPP,kennenlernen,kennenlernen
vor,ADP,APPR,vor,vor
etwa,ADV,ADV,etwa,etwa
5,NUM,CARD,5,5
JaHREN,NOUN,NN,Jahr,Jara
:,PUNCT,$.,:,:
dU,PRON,PPER,du,dU
KENNST,VERB,VVFIN,kennen,KENNST
DIE,DET,ART,der,DIE
GESCHICHTE,NOUN,NN,Geschichte,GESCHICHTE
VIELLEICHT,ADV,ADV,vielleicht,vielleicht
SOGAR,UNK,PTKIFG,sogar,SOGAR
;,PUNCT,$.,;,;
DENN,SCONJ,KOUS,denn,denn
WIE,SCONJ,KOUS,wie,WIE
ICH,PRON,PPER,ich,ICH
WEI?,VERB,VVFIN,wissen,WEI?
HABT,AUX,VAFIN,haben,habt
IHR,PRON,PPER,ihr,IHR
BEIDE,PRON,PIS,beide,beide
EIN,DET,ART,ein,ein
TOLLES,ADJ,ADJA,toll,TOLLES
vERHÄLTNIS,NOUN,NN,Verhältnis,vERHÄLTNIS
:,PUNCT,$.,:,:
Viele,DET,PIAT,vieler,viel
Grüße,NOUN,NN,Gruß,Grüße
von,ADP,APPR,von,von
Ines,PROPN,NE,Ines,Ines
Gerade,ADV,ADV,gerade,gerade
als,SCONJ,KOUS,als,als
ich,PRON,PPER,ich,ich
das,PRON,PDS,der,der
las,VERB,VVFIN,lesen,lesen
wollte,VERB,VMFIN,wollen,wollen
ich,PRON,PPER,ich,ich
schon,UNK,PTKMA,schon,schon
sagen,VERB,VVINF,sagen,sagen
:,PUNCT,$.,:,:
das,PRON,PDS,der,der
ist,AUX,VAFIN,sein,sein
ein,DET,ART,ein,ein
Aghori,NOUN,NN,Aghori,Aghori
.,PUNCT,$.,.,.
Ich,PRON,PPER,ich,ich
persönlich,ADJ,ADJD,persönlich,persönlich
finde,VERB,VVFIN,finden,finden
durchaus,ADV,ADV,durchaus,durchaus
",",PUNCT,"$,",",",","
dass,SCONJ,KOUS,dass,dass
ihre,DET,PPOSAT,ihr,ihr
Art,NOUN,NN,Art,Art
der,DET,ART,der,der
Verehrung,NOUN,NN,Verehrung,Verehrung
Platz,NOUN,NN,Platz,Platz
hat,AUX,VAFIN,haben,haben
(,PUNCT,$(,(,(
es,PRON,PPER,es,es
ist,AUX,VAFIN,sein,sein
eben,UNK,PTKMA,eben,eben
LHP,NOUN,NN,LHP,LHP
),PUNCT,$(,),)
",",PUNCT,"$,",",",","
denn,CONJ,KON,denn,denn
schließlich,ADV,ADV,schließlich,schließlich
hat,AUX,VAFIN,haben,haben
auch,UNK,PTKIFG,auch,auch
Shiva,PROPN,NE,Shiva,Shiva
dunkle,ADJ,ADJA,dunkel,dunkel
Seiten,NOUN,NN,Seite,Seite
.,PUNCT,$.,.,.
So,ADV,ADV,so,so
wie,SCONJ,KOUS,wie,wie
ich,PRON,PPER,ich,ich
das,PRON,PDS,der,der
mitbekommen,VERB,VVPP,mitbekommen,mitbekommen
haben,AUX,VAFIN,haben,haben
sind,AUX,VAFIN,sein,sein
sie,PRON,PPER,sie,sie
sehr,UNK,PTKIFG,sehr,sehr
gottesfürchtig,ADJ,ADJD,gottesfürchtig,gottesfürchtig
.,PUNCT,$.,.,.
Sie,PRON,PPER,sie,Sie|sie
haben,AUX,VAFIN,haben,haben
nur,UNK,PTKIFG,nur,nur
einfach,ADJ,ADJD,einfach,einfach
andere,DET,PIAT,anderer,ander
(,PUNCT,$(,(,(
strenge,ADJ,ADJA,streng,streng
),PUNCT,$(,),)
regeln,NOUN,NN,Regel,regeln
an,ADP,APPR,an,an
die,PRON,PRELS,der,der
sie,PRON,PPER,sie,sie
sich,PRON,PRF,sich,er|es|sie
halten,VERB,VVINF,halten,halten
müssen,VERB,VMFIN,müssen,müssen
als,CONJ,KOKOM,als,als
der,DET,ART,der,der
Rest,NOUN,NN,Rest,Rest
.,PUNCT,$.,.,.
Und,CONJ,KON,und,und
ansosten,ADV,ADV,ansonsten,ansosten
…,PUNCT,$(,…,...
sehr,UNK,PTKIFG,sehr,sehr
interessant,ADJ,ADJD,interessant,interessant
:),UNK,EMOASC,:),:)
Ja,PART,PTKANT,ja,Ja
",",PUNCT,"$,",",",","
ich,PRON,PPER,ich,ich
find,VERB,VVFIN,finden,fanden
auch,ADV,ADV,auch,auch
",",PUNCT,"$,",",",","
dass,SCONJ,KOUS,dass,dass
ihre,DET,PPOSAT,ihr,ihr
Art,NOUN,NN,Art,Art
Platz,NOUN,NN,Platz,Platz
hat,AUX,VAFIN,haben,haben
und,CONJ,KON,und,und
sie,PRON,PPER,sie,sie
einfach,ADJ,ADJD,einfach,einfach
dazu,ADV,PAV,dazu,dazu
gehört,VERB,VVFIN,gehören,gehören
",",PUNCT,"$,",",",","
kann,VERB,VMFIN,können,können
mir,PRON,PRF,sich,ich
aber,ADV,ADV,aber,aber
auch,UNK,PTKMA,auch,auch
gut,ADJ,ADJD,gut,gut
vorstellen,VERB,VVINF,vorstellen,vorstellen
",",PUNCT,"$,",",",","
das,SCONJ,KOUS,dass,dass
sie,PRON,PPER,sie,sie
eben,UNK,PTKMA,eben,eben
durch,ADP,APPR,durch,durch
ihre,DET,PPOSAT,ihr,ihr
Tabu-Brüche,NOUN,NN,Tabubruch,Tabu-Brüche
gesellschaftlicher,ADJ,ADJA,gesellschaftlich,gesellschaftlich
und,CONJ,KON,und,und
religiöser,ADJ,ADJA,religiös,religiös
Art,NOUN,NN,Art,Art
(,PUNCT,$(,(,(
z.,ADP,APPRART,z.,z.
B.,NOUN,NN,B.,B.
Fleisch,NOUN,NN,Fleisch,Fleisch
und,CONJ,KON,und,und
Alkoho,NOUN,NN,Alkohol,Alkoho
),PUNCT,$(,),)
von,ADP,APPR,von,von
manchen,DET,PIAT,mancher,manch
Hindus,NOUN,NN,Hindu,Hindus
abgelehnt,VERB,VVPP,ablehnen,ablehnen
werden,AUX,VAFIN,werden,werden
.,PUNCT,$.,.,.
Dabei,ADV,PAV,dabei,dabei
gehts,UNK,VVPPER,gehen,gehen
ja,UNK,PTKMA,ja,ja
weniger,ADJ,ADJD,wenig,weniger
um,ADP,APPR,um,um
ihre,DET,PPOSAT,ihr,ihr
Gottesfürchtigkeit,NOUN,NN,Gottesfürchtigkeit,Gottesfürchtigkeit
und,CONJ,KON,und,und
ihre,DET,PPOSAT,ihr,ihr
strengen,ADJ,ADJA,streng,streng
Regeln,NOUN,NN,Regel,Regel|Regeln
",",PUNCT,"$,",",",","
als,SCONJ,KOUS,als,als
eben,UNK,PTKMA,eben,eben
um,ADP,APPR,um,um
die,DET,ART,der,der
Praktiken,NOUN,NN,Praktik,Praktik
.,PUNCT,$.,.,.
Ich,PRON,PPER,ich,ich
hab,AUX,VAFIN,haben,haben
den,DET,ART,der,der
Eindruck,NOUN,NN,Eindruck,Eindruck
",",PUNCT,"$,",",",","
dass,SCONJ,KOUS,dass,dass
es,PRON,PPER,es,es
da,ADV,ADV,da,da
nicht,PART,PTKNEG,nicht,nicht
anders,ADV,ADV,anders,anders
ist,AUX,VAFIN,sein,sein
",",PUNCT,"$,",",",","
wie,CONJ,KOKOM,wie,wie
bei,ADP,APPRART,bei,bei
vielen,DET,PIAT,vieler,viel
Coven,NOUN,NN,Coven,Coven
",",PUNCT,"$,",",",","
Logen,NOUN,NN,Loge,Loge
",",PUNCT,"$,",",",","
Orden,NOUN,NN,Orden,Orden
etc.,ADV,ADV,etc.,etc.
die,PRON,PRELS,der,der
sehr,UNK,PTKIFG,sehr,sehr
verschlossen,ADJ,ADJD,verschlossen,verschließen
sind,AUX,VAFIN,sein,sein
und,CONJ,KON,und,und
Wert,NOUN,NN,Wert,Wert
darauf,ADV,PAV,darauf,darauf
legen,VERB,VVFIN,legen,legen
",",PUNCT,"$,",",",","
dass,SCONJ,KOUS,dass,dass
vieles,PRON,PIS,viele,viel
geheim,ADJ,ADJD,geheim,geheim
bleibt,VERB,VVFIN,bleiben,bleiben
;),UNK,EMOASC,;),;)
.,PUNCT,$.,.,.
Die,PRON,PDS,der,d
sind,AUX,VAFIN,sein,sein
ja,UNK,PTKMA,ja,ja
heute,ADV,ADV,heute,heute
bei,ADP,APPR,bei,bei
uns,PRON,PPER,uns,wir
",",PUNCT,"$,",",",","
egal,ADV,ADV,egal,egal
ob,SCONJ,KOUS,ob,ob
“,PUNCT,$(,“,""""
Otto-normal-Bürger,NOUN,NN,Otto-normal-Bürger,Otto-normal-Bürger
”,PUNCT,$(,”,""""
oder,CONJ,KON,oder,oder
