token,tag,tag_STTS,lemma_gold,lemma_pred
kann,VERB,VMFIN,können,können
ich,PRON,PPER,ich,ich
einen,DET,ART,ein,ein
Laptop,NOUN,NN,Laptop,Laptop
mit,PART,PTKVZ,mit,mit
in,ADP,APPR,in,in
die,DET,ART,der,die
Bibliothek,NOUN,NN,Bibliothek,Bibliothek
nehmen,VERB,VVINF,nehmen,nehmen
",",PUNCT,"$,",",",","
damit,SCONJ,KOUS,damit,damit
ich,PRON,PPER,ich,ich
im,ADP,APPRART,in,im
Katalog,NOUN,NN,Katalog,Katalog
nach,ADP,APPR,nach,nach
Büchern,NOUN,NN,Buch,Buch
suchen,VERB,VVINF,suchen,suchen
kann,VERB,VMFIN,können,können
",",PUNCT,"$,",",",","
oder,CONJ,KON,oder,oder
ist,AUX,VAFIN,sein,sein
es,PRON,PPER,es,es
jederzeit,ADV,ADV,jederzeit,jederzeit
möglich,ADJ,ADJD,möglich,möglich
einen,DET,ART,ein,ein
freien,ADJ,ADJA,frei,frei
EDV-Platz,NOUN,NN,EDV-Platz,EDV-Platz
...,PUNCT,$(,...,...
Sie,PRON,PPER,sie,sie
können,VERB,VMFIN,können,können
auf,ADP,APPR,auf,auf
Jedenfall,NOUN,NN,Jedenfall,Jedenfall
Ihr,DET,PPOSAT,ihr,Ihr
Laptop,NOUN,NN,Laptop,Laptop
mitnehmen,VERB,VVINF,mitnehmen,mitnehmen
.,PUNCT,$.,.,.
wir,PRON,PPER,wir,wir
haben,AUX,VAFIN,haben,haben
...,PUNCT,$(,...,...
einen,DET,ART,ein,ein
Notebook-Arbeitspool,NOUN,NN,Notebook-Arbeitspool,Notebook-Arbeitspool
eingerichtet,VERB,VVPP,einrichten,einrichten
",",PUNCT,"$,",",",","
für,ADP,APPR,für,für
die,DET,ART,der,der
Nutzung,NOUN,NN,Nutzung,Nutzen
mit,ADP,APPR,mit,mit
Kabel,NOUN,NN,Kabel,Kabel
und,CONJ,KON,und,und
Funknetz,NOUN,NN,Funknetz,Funknetz
.,PUNCT,$.,.,.
doch,CONJ,KON,doch,doch
...,PUNCT,$(,...,...
nochmals,ADV,ADV,nochmals,nochmal
vielen,DET,PIAT,vieler,viel
Dank,NOUN,NN,Dank,Dank
!,PUNCT,$.,!,!
bitte,PART,PTKANT,bitte,bitten
schön,ADJ,ADJD,schön,schön
:),UNK,EMOASC,:),:)
wie,ADV,PWAV,wie,wie
bekomme,VERB,VVFIN,bekommen,bekommen
ich,PRON,PPER,ich,ich
heraus,PART,PTKVZ,heraus,heraus
",",PUNCT,"$,",",",","
ob,SCONJ,KOUS,ob,ob
die,DET,ART,der,die
Uni,NOUN,NN,Uni,Uni
Dortmund,PROPN,NE,Dortmund,Dortmund
eine,DET,ART,ein,ein
bestimmte,ADJ,ADJA,bestimmt,bestimmter
Zeitschrift,NOUN,NN,Zeitschrift,Zeitschrift
abonniert,VERB,VVPP,abonnieren,abonniert
hat,AUX,VAFIN,haben,haben
und,CONJ,KON,und,und
in,ADP,APPR,in,in
welcher,DET,PWAT,welcher,welcher
Bibliothek,NOUN,NN,Bibliothek,Bibliothek
die,PRON,PDS,der,die
steht,VERB,VVFIN,stehen,stehen
?,PUNCT,$.,?,?
danke,PART,PTKANT,danke,danken
schön,ADJ,ADJD,schön,schön
!!,PUNCT,$.,!!,!!
das,PRON,PDS,der,das
ging,VERB,VVFIN,gehen,gehen
ja,UNK,PTKMA,ja,ja
fix,ADJ,ADJD,fix,fix
gern,ADV,ADV,gern,gehen
geschehen,VERB,VVPP,geschehen,geschehen
:),UNK,EMOASC,:),:
wie,ADV,PWAV,wie,wie
kann,VERB,VMFIN,können,können
ich,PRON,PPER,ich,ich
in,ADP,APPR,in,in
der,DET,ART,der,die
Zeitschrift,NOUN,NN,Zeitschrift,Zeitschrift
WISU,PROPN,NE,WISU,WISU
nach,ADP,APPR,nach,nach
Schlagwörtern,NOUN,NN,Schlagwort,Schlagwort
in,ADP,APPR,in,in
Artikeln,NOUN,NN,Artikel,Artikel
suchen,VERB,VVINF,suchen,suchen
?,PUNCT,$.,?,?
hallo,INTJ,ITJ,hallo,hallo
?,PUNCT,$.,?,?
entweder,CONJ,KON,entweder,entweder
sie,PRON,PPER,sie,sie
benutzen,VERB,VVFIN,benutzen,benutzen
eine,DET,ART,ein,ein
Datenbank,NOUN,NN,Datenbank,Datenbank
oder,CONJ,KON,oder,oder
sie,PRON,PPER,sie,sie
wälzen,VERB,VVFIN,wälzen,wälzen
die,DET,ART,der,die
