token,tag,tag_STTS,lemma_gold,lemma_pred
kann,VERB,VMFIN,können,können
ich,PRON,PPER,ich,
einen,DET,ART,ein,ein
Laptop,NOUN,NN,Laptop,Laptop
mit,PART,PTKVZ,mit,mit
in,ADP,APPR,in,in
die,DET,ART,der,
Bibliothek,NOUN,NN,Bibliothek,Bibliothek
nehmen,VERB,VVINF,nehmen,nehmen
",",PUNCT,"$,",",",","
damit,SCONJ,KOUS,damit,damit
ich,PRON,PPER,ich,
im,ADP,APPRART,in,in
Katalog,NOUN,NN,Katalog,Katalog
nach,ADP,APPR,nach,nach
Büchern,NOUN,NN,Buch,Buch
suchen,VERB,VVINF,suchen,suchen
kann,VERB,VMFIN,können,können
",",PUNCT,"$,",",",","
oder,CONJ,KON,oder,oder
ist,AUX,VAFIN,sein,sein
es,PRON,PPER,es,
jederzeit,ADV,ADV,jederzeit,jederzeit
möglich,ADJ,ADJD,möglich,möglich
einen,DET,ART,ein,ein
freien,ADJ,ADJA,frei,frei
EDV-Platz,NOUN,NN,EDV-Platz,
...,PUNCT,$(,...,...
Sie,PRON,PPER,sie,sie
können,VERB,VMFIN,können,können
auf,ADP,APPR,auf,auf
Jedenfall,NOUN,NN,Jedenfall,Jedenfall
Ihr,DET,PPOSAT,ihr,
Laptop,NOUN,NN,Laptop,Laptop
mitnehmen,VERB,VVINF,mitnehmen,mitnehmen
.,PUNCT,$.,.,.
wir,PRON,PPER,wir,
haben,AUX,VAFIN,haben,haben
...,PUNCT,$(,...,...
einen,DET,ART,ein,ein
Notebook-Arbeitspool,NOUN,NN,Notebook-Arbeitspool,
eingerichtet,VERB,VVPP,einrichten,einrichten
",",PUNCT,"$,",",",","
für,ADP,APPR,für,für
die,DET,ART,der,
Nutzung,NOUN,NN,Nutzung,Nutzung
mit,ADP,APPR,mit,mit
Kabel,NOUN,NN,Kabel,Kabel
und,CONJ,KON,und,und
Funknetz,NOUN,NN,Funknetz,Funknetz
.,PUNCT,$.,.,.
doch,CONJ,KON,doch,doch
...,PUNCT,$(,...,...
gibt,VERB,VVFIN,geben,geben
es,PRON,PPER,es,
einen,DET,ART,ein,ein
bibliothekseigenen,ADJ,ADJA,bibliothekseigen,
Internet-Pool,NOUN,NN,Internet-Pool,
",",PUNCT,"$,",",",","
sowie,CONJ,KON,sowie,sowie
einen,DET,ART,ein,ein
Recherche-Pool,NOUN,NN,Recherche-Pool,
",",PUNCT,"$,",",",","
die,PRON,PRELS,der,
Sie,PRON,PPER,sie,sie
jederzeit,ADV,ADV,jederzeit,jederzeit
nutzen,VERB,VVINF,nutzen,nutzen
können,VERB,VMFIN,können,können
.,PUNCT,$.,.,.
evtl.,ADJ,ADJD,evtl.,evtl.
im,ADP,APPRART,in,in
Internet-Pool,NOUN,NN,Internet-Pool,
müsste,VERB,VMFIN,müssen,müssen
man,PRON,PIS,man,man
etwas,ADV,ADV,etwas,etwas
warten,VERB,VVINF,warten,warten
",",PUNCT,"$,",",",","
bis,SCONJ,KOUS,bis,bis
ein,DET,ART,ein,ein
Platz,NOUN,NN,Platz,Platz
frei,ADJ,ADJD,frei,frei
wird,AUX,VAFIN,werden,werden
.,PUNCT,$.,.,.
nochmals,ADV,ADV,nochmals,nochmals
vielen,DET,PIAT,vieler,
Dank,NOUN,NN,Dank,Dank
!,PUNCT,$.,!,!
bitte,PART,PTKANT,bitte,bitte
schön,ADJ,ADJD,schön,schön
:),UNK,EMOASC,:),:)
wie,ADV,PWAV,wie,wie
bekomme,VERB,VVFIN,bekommen,bekommen
ich,PRON,PPER,ich,
heraus,PART,PTKVZ,heraus,heraus
",",PUNCT,"$,",",",","
ob,SCONJ,KOUS,ob,ob
die,DET,ART,der,
Uni,NOUN,NN,Uni,Uni
Dortmund,PROPN,NE,Dortmund,Dortmund
eine,DET,ART,ein,ein
bestimmte,ADJ,ADJA,bestimmt,bestimmt
Zeitschrift,NOUN,NN,Zeitschrift,Zeitschrift
abonniert,VERB,VVPP,abonnieren,abonnieren
hat,AUX,VAFIN,haben,haben
und,CONJ,KON,und,und
in,ADP,APPR,in,in
welcher,DET,PWAT,welcher,
Bibliothek,NOUN,NN,Bibliothek,Bibliothek
die,PRON,PDS,der,
steht,VERB,VVFIN,stehen,stehen
?,PUNCT,$.,?,?
Sie,PRON,PPER,sie,sie
können,VERB,VMFIN,können,können
unter,ADP,APPR,unter,unter
dem,DET,ART,der,
Link,NOUN,NN,Link,Link
"""",PUNCT,$(,"""",""""
unser,DET,PPOSAT,unser,
Katalog,NOUN,NN,Katalog,Katalog
"""",PUNCT,$(,"""",""""
nach,ADP,APPR,nach,nach
Zeitschriftentitel,NOUN,NN,Zeitschriftentitel,Zeitschriftentitel
suchen,VERB,VVINF,suchen,suchen
danke,PART,PTKANT,danke,danke
schön,ADJ,ADJD,schön,schön
!!,PUNCT,$.,!!,!!
das,PRON,PDS,der,
ging,VERB,VVFIN,gehen,gehen
ja,UNK,PTKMA,ja,ja
fix,ADJ,ADJD,fix,fix
gern,ADV,ADV,gern,gern
geschehen,VERB,VVPP,geschehen,geschehen
:),UNK,EMOASC,:),:)
wie,ADV,PWAV,wie,wie
kann,VERB,VMFIN,können,können
ich,PRON,PPER,ich,
in,ADP,APPR,in,in
der,DET,ART,der,
Zeitschrift,NOUN,NN,Zeitschrift,Zeitschrift
WISU,PROPN,NE,WISU,WISU
nach,ADP,APPR,nach,nach
Schlagwörtern,NOUN,NN,Schlagwort,Schlagwort
in,ADP,APPR,in,in
Artikeln,NOUN,NN,Artikel,Artikel
suchen,VERB,VVINF,suchen,suchen
?,PUNCT,$.,?,?
hallo,INTJ,ITJ,hallo,hallo
?,PUNCT,$.,?,?
entweder,CONJ,KON,entweder,entweder
sie,PRON,PPER,sie,sie
benutzen,VERB,VVFIN,benutzen,benutzen
eine,DET,ART,ein,ein
Datenbank,NOUN,NN,Datenbank,Datenbank
oder,CONJ,KON,oder,oder
sie,PRON,PPER,sie,sie
wälzen,VERB,VVFIN,wälzen,wälzen
die,DET,ART,der,
Jahresinhaltsverzeichnisse,NOUN,NN,Jahresinhaltsverzeichnis,Jahresinhaltsverzeichnis
der,DET,ART,der,
Zeitschrift,NOUN,NN,Zeitschrift,Zeitschrift
",",PUNCT,"$,",",",","
da,ADV,ADV,da,da
ist,AUX,VAFIN,sein,sein
meistens,ADV,ADV,meistens,meistens
ein,DET,ART,ein,ein
Sachregister,NOUN,NN,Sachregister,Sachregister
enthalten,VERB,VVPP,enthalten,enthalten
kann,VERB,VMFIN,können,können
ich,PRON,PPER,ich,
die,DET,ART,der,
Jahresverzeichnisse,NOUN,NN,Jahresverzeichnis,Jahresverzeichnis
online,ADJ,ADJD,online,online
einsehen,VERB,VVINF,einsehen,einsehen
oder,CONJ,KON,oder,oder
geht,VERB,VVFIN,gehen,gehen
das,PRON,PDS,der,
nur,UNK,PTKIFG,nur,nur
an,ADP,APPR,an,an
der,DET,ART,der,
Uni,NOUN,NN,Uni,Uni
?,PUNCT,$.,?,?
habe,AUX,VAFIN,haben,haben
von,ADP,APPR,von,von
Services,NOUN,NN,Service,Service
gehört,VERB,VVPP,hören,hören
",",PUNCT,"$,",",",","
die,PRON,PRELS,der,
nur,UNK,PTKIFG,nur,nur
im,ADP,APPRART,in,in
Netz,NOUN,NN,Netz,Netz
der,DET,ART,der,
Uni,NOUN,NN,Uni,Uni
funktionieren,VERB,VVFIN,funktionieren,funktionieren
.,PUNCT,$.,.,.
Sie,PRON,PPER,sie,sie
meinen,VERB,VVFIN,meinen,meinen
sicher,ADJ,ADJD,sicher,sicher
die,DET,ART,der,
elektronischen,ADJ,ADJA,elektronisch,elektronisch
Zeitschriften,NOUN,NN,Zeitschrift,Zeitschrift
oder,CONJ,KON,oder,oder
die,DET,ART,der,
Datenbanken,NOUN,NN,Datenbank,Datenbank
",",PUNCT,"$,",",",","
die,PRON,PRELS,der,
sich,PRON,PRF,sich,
nur,UNK,PTKIFG,nur,nur
an,ADP,APPR,an,an
Uni-Rechnern,NOUN,NN,Uni-Rechner,
aufrufen,VERB,VVINF,aufrufen,aufrufen
lassen,VERB,VVFIN,lassen,lassen
sitzen,VERB,VVFIN,sitzen,sitzen
Sie,PRON,PPER,sie,sie
zur,ADP,APPRART,zu,zu
Zeit,NOUN,NN,Zeit,Zeit
auf,ADP,APPR,auf,auf
dem,DET,ART,der,
Uni-Gelände,NOUN,NN,Uni-Gelände,
?,PUNCT,$.,?,?
dann,ADV,ADV,dann,dann
würde,AUX,VAFIN,werden,werden
ich,PRON,PPER,ich,
nachsehen,VERB,VVINF,nachsehen,nachsehen
ob,SCONJ,KOUS,ob,ob
die,DET,ART,der,
WISU,PROPN,NE,WISU,WISU
elektronisch,ADJ,ADJD,elektronisch,elektronisch
verfügbar,ADJ,ADJD,verfügbar,verfügbar
ist,AUX,VAFIN,sein,sein
andernfalls,ADV,ADV,andernfalls,andernfalls
müssten,VERB,VMFIN,müssen,müssen
