token,tag,tag_STTS,lemma_gold,lemma_pred
Kann,VERB,VMFIN,können,Kann
ich,PRON,PPER,ich,ich
einen,DET,ART,ein,einen
Laptop,NOUN,NN,Laptop,Laptop
mit,PART,PTKVZ,mit,mit
in,ADP,APPR,in,in
die,DET,ART,der,die
Bibo,NOUN,NN,Bibliothek,Bibo
nehmen,VERB,VVINF,nehmen,nehmen
",",PUNCT,"$,",",",","
damit,SCONJ,KOUS,damit,damit
ich,PRON,PPER,ich,ich
im,ADP,APPRART,in,im
Katalog,NOUN,NN,Katalog,Katalog
nach,ADP,APPR,nach,nach
Büchern,NOUN,NN,Buch,Büchern
suchen,VERB,VVINF,suchen,suchen
kann,VERB,VMFIN,können,kann
",",PUNCT,"$,",",",","
oder,CONJ,KON,oder,oder
ist,AUX,VAFIN,sein,ist
es,PRON,PPER,es,es
jederzeit,ADV,ADV,jederzeit,jederzeit
möglich,ADJ,ADJD,möglich,möglich
einen,DET,ART,ein,einen
freien,ADJ,ADJA,frei,freien
EDV-Platz,NOUN,NN,EDV-Platz,EDV-Platz
...,PUNCT,$(,...,...
Sie,PRON,PPER,sie,Sie
können,VERB,VMFIN,können,können
auf,ADP,APPR,auf,auf
jedenfall,NOUN,NN,Jedenfall,jedenfall
Ihr,DET,PPOSAT,ihr,Ihr
Laptop,NOUN,NN,Laptop,Laptop
mitnehmen,VERB,VVINF,mitnehmen,mitnehmen
.,PUNCT,$.,.,.
WIr,PRON,PPER,wir,WIr
haben,AUX,VAFIN,haben,haben
...,PUNCT,$(,...,...
einen,DET,ART,ein,einen
Notebook-Arbeitspool,NOUN,NN,Notebook-Arbeitspool,Notebook-Arbeitspool
eingerichtet,VERB,VVPP,einrichten,eingerichtet
",",PUNCT,"$,",",",","
für,ADP,APPR,für,für
die,DET,ART,der,die
Nutzung,NOUN,NN,Nutzung,Nutzung
mit,ADP,APPR,mit,mit
Kabel,NOUN,NN,Kabel,Kabel
und,CONJ,KON,und,und
Funknetz,NOUN,NN,Funknetz,Funknetz
.,PUNCT,$.,.,.
Doch,CONJ,KON,doch,Doch
...,PUNCT,$(,...,...
gibt,VERB,VVFIN,geben,gibt
es,PRON,PPER,es,es
einen,DET,ART,ein,einen
bibliothekseigenen,ADJ,ADJA,bibliothekseigen,bibliothekseigenen
Intenet-Pool,NOUN,NN,Internet-Pool,Intenet-Pool
",",PUNCT,"$,",",",","
sowie,CONJ,KON,sowie,sowie
einen,DET,ART,ein,einen
Recherche-Pool,NOUN,NN,Recherche-Pool,Recherche-Pool
",",PUNCT,"$,",",",","
die,PRON,PRELS,der,die
Sie,PRON,PPER,sie,Sie
jederzeit,ADV,ADV,jederzeit,jederzeit
nutzen,VERB,VVINF,nutzen,nutzen
können,VERB,VMFIN,können,können
.,PUNCT,$.,.,.
EVtl.,ADJ,ADJD,evtl.,EVtl.
im,ADP,APPRART,in,im
Internet-Pool,NOUN,NN,Internet-Pool,Internet-Pool
müsste,VERB,VMFIN,müssen,müsste
man,PRON,PIS,man,man
etwas,ADV,ADV,etwas,etwas
warten,VERB,VVINF,warten,warten
",",PUNCT,"$,",",",","
bis,SCONJ,KOUS,bis,bis
ein,DET,ART,ein,ein
Platz,NOUN,NN,Platz,Platz
frei,ADJ,ADJD,frei,frei
wird,AUX,VAFIN,werden,wird
.,PUNCT,$.,.,.
nochmals,ADV,ADV,nochmals,nochmals
vielen,DET,PIAT,vieler,vielen
dank,NOUN,NN,Dank,dank
!,PUNCT,$.,!,!
bitte,PART,PTKANT,bitte,bitte
schön,ADJ,ADJD,schön,schön
:),UNK,EMOASC,:),:)
