token,tag,tag_STTS,lemma_gold,lemma_pred
Kann,VERB,VMFIN,können,Können
ich,PRON,PPER,ich,ich
einen,DET,ART,ein,ein
Laptop,NOUN,NN,Laptop,Laptop
mit,PART,PTKVZ,mit,mit
in,ADP,APPR,in,in
die,DET,ART,der,die
Bibo,NOUN,NN,Bibliothek,Bibo
nehmen,VERB,VVINF,nehmen,nehmen
",",PUNCT,"$,",",",","
damit,SCONJ,KOUS,damit,damit
ich,PRON,PPER,ich,ich
im,ADP,APPRART,in,im
Katalog,NOUN,NN,Katalog,Katalog
nach,ADP,APPR,nach,nach
Büchern,NOUN,NN,Buch,Buch
suchen,VERB,VVINF,suchen,suchen
kann,VERB,VMFIN,können,können
",",PUNCT,"$,",",",","
oder,CONJ,KON,oder,oder
ist,AUX,VAFIN,sein,sein
es,PRON,PPER,es,es
jederzeit,ADV,ADV,jederzeit,jederzeit
möglich,ADJ,ADJD,möglich,möglich
einen,DET,ART,ein,ein
freien,ADJ,ADJA,frei,frei
EDV-Platz,NOUN,NN,EDV-Platz,EDV-Platz
...,PUNCT,$(,...,...
Sie,PRON,PPER,sie,Sie
können,VERB,VMFIN,können,können
auf,ADP,APPR,auf,auf
jedenfall,NOUN,NN,Jedenfall,jedenfall
Ihr,DET,PPOSAT,ihr,Ihr
Laptop,NOUN,NN,Laptop,Laptop
mitnehmen,VERB,VVINF,mitnehmen,mitnehmen
.,PUNCT,$.,.,.
WIr,PRON,PPER,wir,Wir
haben,AUX,VAFIN,haben,haben
...,PUNCT,$(,...,...
nochmals,ADV,ADV,nochmals,nochmals
vielen,DET,PIAT,vieler,viel
dank,NOUN,NN,Dank,danken
!,PUNCT,$.,!,!
bitte,PART,PTKANT,bitte,bitten
schön,ADJ,ADJD,schön,schön
:),UNK,EMOASC,:),:)
Wie,ADV,PWAV,wie,wie
bekomme,VERB,VVFIN,bekommen,bekommen
ich,PRON,PPER,ich,ich
heraus,PART,PTKVZ,heraus,heraus
",",PUNCT,"$,",",",","
ob,SCONJ,KOUS,ob,ob
die,DET,ART,der,die
Uni,NOUN,NN,Uni,Uni
Dortmund,PROPN,NE,Dortmund,Dortmund
eine,DET,ART,ein,ein
bestimmte,ADJ,ADJA,bestimmt,bestimmt
Zeitschrift,NOUN,NN,Zeitschrift,Zeitschrift
abonniert,VERB,VVPP,abonnieren,abonnieren
hat,AUX,VAFIN,haben,haben
und,CONJ,KON,und,und
in,ADP,APPR,in,in
welcher,DET,PWAT,welcher,welch
Bib,NOUN,NN,Bibliothek,Bib
die,PRON,PDS,der,die
steht,VERB,VVFIN,stehen,stehen
?,PUNCT,$.,?,?
Sie,PRON,PPER,sie,Sie
können,VERB,VMFIN,können,können
unter,ADP,APPR,unter,unter
dem,DET,ART,der,dem
Link,NOUN,NN,Link,Link
"""",PUNCT,$(,"""",Unser
Unser,DET,PPOSAT,unser,Katalog
Katalog,NOUN,NN,Katalog,nach
"""",PUNCT,$(,"""",Zeitschrift
nach,ADP,APPR,nach,titeln
Zeitschr.titel,NOUN,NN,Zeitschriftentitel,suchen
suchen,VERB,VVINF,suchen,.
gern,ADV,ADV,gern,gern
geschehen,VERB,VVPP,geschehen,geschehen
:),UNK,EMOASC,:),:)
Wie,ADV,PWAV,wie,Wie
kann,VERB,VMFIN,können,können
ich,PRON,PPER,ich,ich
in,ADP,APPR,in,in
der,DET,ART,der,der
Zeitschrift,NOUN,NN,Zeitschrift,Zeitschrift
WiSu,PROPN,NE,WISU,WiSu
nach,ADP,APPR,nach,nach
Schlagwörtern,NOUN,NN,Schlagwort,Schlagwort
in,ADP,APPR,in,in
Artikeln,NOUN,NN,Artikel,Artikel
suchen,VERB,VVINF,suchen,suchen
?,PUNCT,$.,?,?
Hallo,INTJ,ITJ,hallo,Hallo
?,PUNCT,$.,?,?
oder,CONJ,KON,oder,oder
sie,PRON,PPER,sie,sie
wälzen,VERB,VVFIN,wälzen,wälzen
die,DET,ART,der,die
Jahresinhaltsverzeichnisse,NOUN,NN,Jahresinhaltsverzeichnis,Jahresinhaltsverzeichnis
der,DET,ART,der,der
Zeitschrift,NOUN,NN,Zeitschrift,Zeitschrift
",",PUNCT,"$,",",",","
da,ADV,ADV,da,da
ist,AUX,VAFIN,sein,sein
meistens,ADV,ADV,meistens,meistens
ein,DET,ART,ein,ein
Sachregister,NOUN,NN,Sachregister,Sachregister
enthalten,VERB,VVPP,enthalten,enthalten
Kann,VERB,VMFIN,können,Können
ich,PRON,PPER,ich,ich
die,DET,ART,der,der
Jahresverzeichnisse,NOUN,NN,Jahresverzeichnis,Jahresverzeichnis
