token,tag,tag_STTS,lemma_gold,lemma_pred
was,PRON,PWS,was,
echt,ADJ,ADJD,echt,echt
Zori,PROPN,NE,Zori,
?,PUNCT,$.,?,
das,PRON,PDS,der,
Küssen,NOUN,NN,küssen,Küssen
??,PUNCT,$.,??,
na,INTJ,ITJ,na,
gut,ADJ,ADJD,gut,gut
Marc,PROPN,NE,Marc,
.,PUNCT,$.,.,
kein,DET,PIAT,kein,
Servicepaket,NOUN,NN,Servicepaket,Servicepaket
Nr.,NOUN,NN,Nr.,Nr.
1,NUM,CARD,1,1
für,ADP,APPR,für,
dich,PRON,PPER,dich,
:),UNK,EMOASC,:),
was,PRON,PWS,was,
?,PUNCT,$.,?,
hi,INTJ,ITJ,hi,
danke,PART,PTKANT,danke,
Pharao,PROPN,NE,Pharao,
*,PUNCT,$(,*,
erleichtertguck,UNK,AKW,erleichtertguck,
*,PUNCT,$(,*,
juhu,INTJ,ITJ,juhu,
Tom,PROPN,NE,Tom,
ist,AUX,VAFIN,sein,
da,ADV,ADV,da,da
echt,ADJ,ADJD,echt,echt
?,PUNCT,$.,?,
hi,INTJ,ITJ,hi,
quaki,PROPN,NE,quaki,
heyho,INTJ,ITJ,heyho,
Tom,PROPN,NE,Tom,
re,INTJ,ITJ,re,
Tom,PROPN,NE,Tom,
hi,INTJ,ITJ,hi,
Marc,PROPN,NE,Marc,
hi,INTJ,ITJ,hi,
Tom,PROPN,NE,Tom,
hi,INTJ,ITJ,hi,
Faryen,PROPN,NE,Faryen,
hi,INTJ,ITJ,hi,
Zora,PROPN,NE,Zora,
huhu,INTJ,ITJ,huhu,
Tom,PROPN,NE,Tom,
:),UNK,EMOASC,:),
alles,PRON,PIS,alle,
konfetti,ADJ,ADJD,konfetti,konfetti
bei,ADP,APPR,bei,
euch,PRON,PPER,euch,
?,PUNCT,$.,?,
mich,PRON,PPER,mich,
nochmal,ADV,ADV,nochmal,nochmal
zu,ADP,APPR,zu,
hi,X,XY,hi,
n,X,XY,n,
hinstell,UNK,AKW,hinstell,
:),UNK,EMOASC,:),
Lantonie,PROPN,NE,Lantonie,
hallo,INTJ,ITJ,hallo,
.,PUNCT,$.,.,
:),UNK,EMOASC,:),
Lantonie,PROPN,NE,Lantonie,
:))),UNK,EMOASC,:))),
*,PUNCT,$(,*,
mal,UNK,PTKMA,mal,
guck,UNK,AKW,guck,
wo,ADV,PWAV,wo,wo
quaki,PROPN,NE,quaki,
sich,PRON,PRF,sich,
nun,ADV,ADV,nun,nun
hinstellt,VERB,VVFIN,hinstellen,hinstellen
*,PUNCT,$(,*,
g,UNK,AKW,g,
*,PUNCT,$(,*,
freu,UNK,AKW,freu,
juhu,INTJ,ITJ,juhu,
hallo,INTJ,ITJ,hallo,
quaki,PROPN,NE,quaki,
.,PUNCT,$.,.,
Lantonie,PROPN,NE,Lantonie,
:o),UNK,EMOASC,:o),
hi,INTJ,ITJ,hi,
Lanto,PROPN,NE,Lanto,
huhu,INTJ,ITJ,huhu,
zora,PROPN,NE,zora,
.,PUNCT,$.,.,
:))),UNK,EMOASC,:))),
re,INTJ,ITJ,re,
Tomcat,PROPN,NE,Tomcat,
.,PUNCT,$.,.,
re,INTJ,ITJ,re,
Marc,PROPN,NE,Marc,
.,PUNCT,$.,.,
.))),UNK,EMOASC,.))),
ups,INTJ,ITJ,ups,
ist,AUX,VAFIN,sein,
das,PRON,PDS,der,
das,DET,ART,der,
falsche,ADJ,ADJA,falsch,falsch
Eck,NOUN,NN,Eck,Eck
??,PUNCT,$.,??,
hi,INTJ,ITJ,hi,
Lantonie,PROPN,NE,Lantonie,
quaki,PROPN,NE,quaki,
krabbelt,VERB,VVFIN,krabbeln,krabbeln
aus,ADP,APPR,aus,
dem,DET,ART,der,
Eck,NOUN,NN,Eck,Eck
raus,PART,PTKVZ,raus,
hallo,INTJ,ITJ,hallo,
Faryen,PROPN,NE,Faryen,
.,PUNCT,$.,.,
:),UNK,EMOASC,:),
ich,PRON,PPER,ich,
finde,VERB,VVFIN,finden,finden
den,DET,ART,der,
quaki,PROPN,NE,quaki,
klasse,ADJ,ADJD,klasse,klass
",",PUNCT,"$,",",",
ein,DET,ART,ein,
toller,ADJ,ADJA,toll,toll
Neuzugang,NOUN,NN,Neuzugang,Neuzugang
",",PUNCT,"$,",",",
der,PRON,PRELS,der,
sich,PRON,PRF,sich,
echt,ADJ,ADJD,echt,echt
bewährt,VERB,VVFIN,bewähren,bewähren
.,PUNCT,$.,.,
:))),UNK,EMOASC,:))),
na,INTJ,ITJ,na,
",",PUNCT,"$,",",",
Zori,PROPN,NE,Zori,
?,PUNCT,$.,?,
:)),UNK,EMOASC,:)),
den,PRON,PDS,der,
?,PUNCT,$.,?,
*,PUNCT,$(,*,
g,UNK,AKW,g,
*,PUNCT,$(,*,
danke,PART,PTKANT,danke,
Lantonie,PROPN,NE,Lantonie,
ich,PRON,PPER,ich,
habe,AUX,VAFIN,haben,
heute,ADV,ADV,heute,heute
einen,DET,ART,ein,
SMS,NOUN,NN,SMS,SMS
von,ADP,APPR,von,
Tigaaaaelse,PROPN,NE,Tigaaaaelse,
bekommen,VERB,VVPP,bekommen,bekommen
.,PUNCT,$.,.,
*,PUNCT,$(,*,
erzähl,UNK,AKW,erzähl,
*,PUNCT,$(,*,
Lanto,PROPN,NE,Lanto,
redet,VERB,VVFIN,reden,reden
wie,CONJ,KOKOM,wie,
eine,DET,ART,ein,
Bewährungshelferin,NOUN,NN,Bewährungshelferin,Bewährungshelferin
Zora,PROPN,NE,Zora,
freut,VERB,VVFIN,freuen,freuen
sich,PRON,PRF,sich,
über,ADP,APPR,über,
ihr,DET,PPOSAT,ihr,
Zeugnis,NOUN,NN,Zeugnis,Zeugnis
:))),UNK,EMOASC,:))),
*,PUNCT,$(,*,
aufpluster,UNK,AKW,aufpluster,
*,PUNCT,$(,*,
ich,PRON,PPER,ich,
mal,UNK,PTKMA,mal,
wieder,ADV,ADV,wieder,wieder
nicht,PART,PTKNEG,nicht,
...,PUNCT,$.,...,
was,PRON,PWS,was,
hast,AUX,VAFIN,haben,
denn,UNK,PTKMA,denn,
Zori,PROPN,NE,Zori,
??,PUNCT,$.,??,
erzähl,VERB,VVIMP,erzählen,erzählen
das,PRON,PDS,der,
hast,AUX,VAFIN,haben,
du,PRON,PPER,du,
dir,PRON,PRF,sich,
verdient,VERB,VVPP,verdienen,verdienen
",",PUNCT,"$,",",",
Zori,PROPN,NE,Zori,
?,PUNCT,$.,?,
oh,INTJ,ITJ,oh,
man,INTJ,ITJ,man,
was,PRON,PWS,was,
fürn,ADP,APPRART,für,
Krawall,NOUN,NN,Krawall,Krawall
hier,ADV,ADV,hier,hier
draußen,ADV,ADV,draußen,draußen
...,PUNCT,$.,...,
*,PUNCT,$(,*,
guck,UNK,AKW,guck,
*,PUNCT,$(,*,
nur,UNK,PTKIFG,nur,
Einser,NOUN,NN,Eins,Einser
*,PUNCT,$(,*,
brustschwell,UNK,AKW,brustschwell,
*,PUNCT,$(,*,
re,INTJ,ITJ,re,
:-))),UNK,EMOASC,:-))),
re,INTJ,ITJ,re,
r,INTJ,ITJ,r,
Emon,PROPN,NE,Emon,
und,CONJ,KON,und,
eine,DET,ART,ein,
Eins,NOUN,NN,Eins,Eins
Minus,NOUN,NN,Minus,Minus
in,ADP,APPR,in,
Benehmen,NOUN,NN,benehmen,Benehmen
*,PUNCT,$(,*,
ggg,UNK,AKW,ggg,
*,PUNCT,$(,*,
*,PUNCT,$(,*,
njamnjamnajm,UNK,ONO,njamnjamnajm,
*,PUNCT,$(,*,
re,INTJ,ITJ,re,
stoeps,PROPN,NE,stoeps,
.,PUNCT,$.,.,
oh,INTJ,ITJ,oh,
die,DET,ART,der,
Geistigkeit,NOUN,NN,Geistigkeit,Geistigkeit
kommt,VERB,VVFIN,kommen,kommen
auch,ADV,ADV,auch,auch
*,PUNCT,$(,*,
freu,UNK,AKW,freu,
*,PUNCT,$(,*,
re,INTJ,ITJ,re,
stoeps,PROPN,NE,stoeps,
:o),UNK,EMOASC,:o),
+,X,XY,+,
s,UNK,AKW,s,
hallo,INTJ,ITJ,hallo,
Emon,PROPN,NE,Emon,
.,PUNCT,$.,.,
re,INTJ,ITJ,re,
stoeps,PROPN,NE,stoeps,
hi,INTJ,ITJ,hi,
Emon,PROPN,NE,Emon,
tag,INTJ,ITJ,tag,
quaki,PROPN,NE,quaki,
:),UNK,EMOASC,:),
das,PRON,PDS,der,
sind,AUX,VAFIN,sein,
schätzungsweise,ADV,ADV,schätzungsweise,schätzungsweise
200,NUM,CARD,200,200
Krähen,NOUN,NN,Krähe,Krähe
oder,CONJ,KON,oder,
so,ADV,ADV,so,so
in,ADP,APPR,in,
einem,DET,ART,ein,
Baum,NOUN,NN,Baum,Baum
der,PRON,PRELS,der,
etwa,ADV,ADV,etwa,etwa
100,NUM,CARD,100,100
m,NOUN,NN,m,m
weg,ADV,ADV,weg,weg
ist,AUX,VAFIN,sein,
...,PUNCT,$.,...,
quaki,PROPN,NE,quaki,
und,CONJ,KON,und,
Lanto,PROPN,NE,Lanto,
:),UNK,EMOASC,:),
hi,INTJ,ITJ,hi,
Thor,PROPN,NE,Thor,
:-),UNK,EMOASC,:-),
hi,INTJ,ITJ,hi,
stoeps,PROPN,NE,stoeps,
und,CONJ,KON,und,
Tom,PROPN,NE,Tom,
:(,UNK,EMOASC,:(,
*,PUNCT,$(,*,
g,UNK,AKW,g,
*,PUNCT,$(,*,
über,ADP,APPR,über,
meine,DET,PPOSAT,mein,
Benehmennote,NOUN,NN,Benehmennote,Benehmennote
reden,VERB,VVFIN,reden,reden
wir,PRON,PPER,wir,
lieber,ADJ,ADJD,lieb,lieb
nicht,PART,PTKNEG,nicht,
hi,INTJ,ITJ,hi,
Emon,PROPN,NE,Emon,
200,NUM,CARD,200,200
Krähen,NOUN,NN,Krähe,Krähe
?,PUNCT,$.,?,
jo,PART,PTKANT,jo,
..,PUNCT,$.,..,
die,DET,ART,der,
Eins,NOUN,NN,Eins,Eins
Minus,NOUN,NN,Minus,Minus
hast,AUX,VAFIN,haben,
