token,tag,tag_STTS,lemma_gold,lemma_pred
was,PRON,PWS,was,was
?,PUNCT,$.,?,?
juhu,INTJ,ITJ,juhu,juhu
Tom,PROPN,NE,Tom,Tom
ist,AUX,VAFIN,sein,sein
da,ADV,ADV,da,da
echt,ADJ,ADJD,echt,echt
?,PUNCT,$.,?,?
heyho,INTJ,ITJ,heyho,heyho
Tom,PROPN,NE,Tom,Tom
re,INTJ,ITJ,re,re
Tom,PROPN,NE,Tom,Tom
hi,INTJ,ITJ,hi,hi
Marc,PROPN,NE,Marc,marc
hi,INTJ,ITJ,hi,hi
Tom,PROPN,NE,Tom,Thor
hi,INTJ,ITJ,hi,hi
Faryen,PROPN,NE,Faryen,Faryen
hi,INTJ,ITJ,hi,hi
Zora,PROPN,NE,Zora,Zor
huhu,INTJ,ITJ,huhu,huhu
Tom,PROPN,NE,Tom,Tom
:),UNK,EMOASC,:),:)
mich,PRON,PPER,mich,Ich
nochmal,ADV,ADV,nochmal,nochmal
zu,ADP,APPR,zu,zu
hi,X,XY,hi,hin
n,X,XY,n,sein
hinstell,UNK,AKW,hinstell,hinstellen
:),UNK,EMOASC,:),:)
Lantonie,PROPN,NE,Lantonie,Lantonie
hallo,INTJ,ITJ,hallo,hallo
.,PUNCT,$.,.,.
:),UNK,EMOASC,:),:)
Lantonie,PROPN,NE,Lantonie,Lantonie
:))),UNK,EMOASC,:))),:o)
*,PUNCT,$(,*,*
mal,UNK,PTKMA,mal,mal
guck,UNK,AKW,guck,gucken
wo,ADV,PWAV,wo,wo
quaki,PROPN,NE,quaki,Quak
sich,PRON,PRF,sich,sich
nun,ADV,ADV,nun,nun
hinstellt,VERB,VVFIN,hinstellen,hinstellen
*,PUNCT,$(,*,*
g,UNK,AKW,g,gehen
*,PUNCT,$(,*,*
freu,UNK,AKW,freu,re
juhu,INTJ,ITJ,juhu,juhu
Lantonie,PROPN,NE,Lantonie,Lantonie
:o),UNK,EMOASC,:o),:o)
hi,INTJ,ITJ,hi,Hi
Lanto,PROPN,NE,Lanto,Lanto
huhu,INTJ,ITJ,huhu,huhu
zora,PROPN,NE,zora,zora
.,PUNCT,$.,.,.
:))),UNK,EMOASC,:))),:)))
re,INTJ,ITJ,re,re
Tomcat,PROPN,NE,Tomcat,Tomcat
.,PUNCT,$.,.,.
re,INTJ,ITJ,re,re
Marc,PROPN,NE,Marc,marc
.,PUNCT,$.,.,.
.))),UNK,EMOASC,.))),.)))
ups,INTJ,ITJ,ups,up
ist,AUX,VAFIN,sein,sein
das,PRON,PDS,der,das
das,DET,ART,der,das
falsche,ADJ,ADJA,falsch,falsch
Eck,NOUN,NN,Eck,Eck
??,PUNCT,$.,??,??
hi,INTJ,ITJ,hi,danken
Lantonie,PROPN,NE,Lantonie,Lantonie
hallo,INTJ,ITJ,hallo,Hallo
Faryen,PROPN,NE,Faryen,Faryen
.,PUNCT,$.,.,.
:),UNK,EMOASC,:),:)
ich,PRON,PPER,ich,ich
finde,VERB,VVFIN,finden,finden
den,DET,ART,der,der
quaki,PROPN,NE,quaki,quaki
klasse,ADJ,ADJD,klasse,klasse
",",PUNCT,"$,",",",","
ein,DET,ART,ein,ein
toller,ADJ,ADJA,toll,toll
Neuzugang,NOUN,NN,Neuzugang,Neuzugang
",",PUNCT,"$,",",",","
der,PRON,PRELS,der,der
sich,PRON,PRF,sich,sich
