token,tag,tag_STTS,lemma_gold,lemma_pred
was,PRON,PWS,was,was
echt,ADJ,ADJD,echt,echt
Zori,PROPN,NE,Zori,Zori
?,PUNCT,$.,?,?
das,PRON,PDS,der,der
Küssen,NOUN,NN,küssen,Kuss
??,PUNCT,$.,??,??
na,INTJ,ITJ,na,na
gut,ADJ,ADJD,gut,gut
Marc,PROPN,NE,Marc,Marc
.,PUNCT,$.,.,.
kein,DET,PIAT,kein,kein
Servicepaket,NOUN,NN,Servicepaket,Servicepaket
Nr.,NOUN,NN,Nr.,Nr.
1,NUM,CARD,1,1
für,ADP,APPR,für,für
dich,PRON,PPER,dich,dich
:),UNK,EMOASC,:),:)
was,PRON,PWS,was,was
?,PUNCT,$.,?,?
hi,INTJ,ITJ,hi,Hi
danke,PART,PTKANT,danke,danken
Pharao,PROPN,NE,Pharao,Pharao
*,PUNCT,$(,*,*
erleichtertguck,UNK,AKW,erleichtertguck,Erleichtertguck
*,PUNCT,$(,*,*
juhu,INTJ,ITJ,juhu,Juhu
Tom,PROPN,NE,Tom,Tom
ist,AUX,VAFIN,sein,sein
da,ADV,ADV,da,da
echt,ADJ,ADJD,echt,echt
?,PUNCT,$.,?,?
hi,INTJ,ITJ,hi,Hi
quaki,PROPN,NE,quaki,Quaki
heyho,INTJ,ITJ,heyho,Heyho
Tom,PROPN,NE,Tom,Tom
re,INTJ,ITJ,re,Re
Tom,PROPN,NE,Tom,Tom
hi,INTJ,ITJ,hi,Hi
Marc,PROPN,NE,Marc,Marc
hi,INTJ,ITJ,hi,Hi
Tom,PROPN,NE,Tom,Tom
hi,INTJ,ITJ,hi,Hi
Faryen,PROPN,NE,Faryen,Farye
hi,INTJ,ITJ,hi,Hi
Zora,PROPN,NE,Zora,Zora
huhu,INTJ,ITJ,huhu,Huhu
Tom,PROPN,NE,Tom,Tom
:),UNK,EMOASC,:),:)
alles,PRON,PIS,alle,alle
konfetti,ADJ,ADJD,konfetti,Konfetti
bei,ADP,APPR,bei,bei
euch,PRON,PPER,euch,euch
?,PUNCT,$.,?,?
mich,PRON,PPER,mich,mich
nochmal,ADV,ADV,nochmal,nochmal
zu,ADP,APPR,zu,zu
hi,X,XY,hi,Hi
n,X,XY,n,n
hinstell,UNK,AKW,hinstell,hinstell
:),UNK,EMOASC,:),:)
Lantonie,PROPN,NE,Lantonie,Lantoni
hallo,INTJ,ITJ,hallo,Hallo
.,PUNCT,$.,.,.
:),UNK,EMOASC,:),:)
Lantonie,PROPN,NE,Lantonie,Lantoni
:))),UNK,EMOASC,:))),:)))
*,PUNCT,$(,*,*
mal,UNK,PTKMA,mal,mal
guck,UNK,AKW,guck,gucken
wo,ADV,PWAV,wo,wo
quaki,PROPN,NE,quaki,Quaki
sich,PRON,PRF,sich,sich
nun,ADV,ADV,nun,nun
hinstellt,VERB,VVFIN,hinstellen,hinstellen
*,PUNCT,$(,*,*
g,UNK,AKW,g,G
*,PUNCT,$(,*,*
freu,UNK,AKW,freu,freuen
juhu,INTJ,ITJ,juhu,Juhu
hallo,INTJ,ITJ,hallo,Hallo
quaki,PROPN,NE,quaki,Quaki
.,PUNCT,$.,.,.
Lantonie,PROPN,NE,Lantonie,Lantoni
:o),UNK,EMOASC,:o),:o)
hi,INTJ,ITJ,hi,Hi
Lanto,PROPN,NE,Lanto,Lanto
huhu,INTJ,ITJ,huhu,Huhu
zora,PROPN,NE,zora,Zora
.,PUNCT,$.,.,.
:))),UNK,EMOASC,:))),:)))
re,INTJ,ITJ,re,Re
Tomcat,PROPN,NE,Tomcat,Tomcat
.,PUNCT,$.,.,.
re,INTJ,ITJ,re,Re
Marc,PROPN,NE,Marc,Marc
.,PUNCT,$.,.,.
.))),UNK,EMOASC,.))),.)))
ups,INTJ,ITJ,ups,Ups
ist,AUX,VAFIN,sein,sein
das,PRON,PDS,der,der
das,DET,ART,der,der
falsche,ADJ,ADJA,falsch,falsch
Eck,NOUN,NN,Eck,ecken
??,PUNCT,$.,??,??
hi,INTJ,ITJ,hi,Hi
Lantonie,PROPN,NE,Lantonie,Lantoni
quaki,PROPN,NE,quaki,Quaki
krabbelt,VERB,VVFIN,krabbeln,krabbeln
aus,ADP,APPR,aus,aus
dem,DET,ART,der,der
Eck,NOUN,NN,Eck,ecken
raus,PART,PTKVZ,raus,raus
hallo,INTJ,ITJ,hallo,Hallo
Faryen,PROPN,NE,Faryen,Farye
.,PUNCT,$.,.,.
:),UNK,EMOASC,:),:)
ich,PRON,PPER,ich,ich
finde,VERB,VVFIN,finden,finden
den,DET,ART,der,der
quaki,PROPN,NE,quaki,Quaki
klasse,ADJ,ADJD,klasse,Klasse
",",PUNCT,"$,",",",","
ein,DET,ART,ein,ein
toller,ADJ,ADJA,toll,toll
Neuzugang,NOUN,NN,Neuzugang,Neuzugang
",",PUNCT,"$,",",",","
der,PRON,PRELS,der,der
sich,PRON,PRF,sich,sich
echt,ADJ,ADJD,echt,echt
bewährt,VERB,VVFIN,bewähren,bewähren
.,PUNCT,$.,.,.
:))),UNK,EMOASC,:))),:)))
na,INTJ,ITJ,na,na
",",PUNCT,"$,",",",","
Zori,PROPN,NE,Zori,Zori
?,PUNCT,$.,?,?
:)),UNK,EMOASC,:)),:))
den,PRON,PDS,der,der
?,PUNCT,$.,?,?
*,PUNCT,$(,*,*
g,UNK,AKW,g,G
*,PUNCT,$(,*,*
danke,PART,PTKANT,danke,danken
Lantonie,PROPN,NE,Lantonie,Lantoni
ich,PRON,PPER,ich,ich
habe,AUX,VAFIN,haben,haben
heute,ADV,ADV,heute,heute
einen,DET,ART,ein,ein
SMS,NOUN,NN,SMS,Sm
von,ADP,APPR,von,von
Tigaaaaelse,PROPN,NE,Tigaaaaelse,Tigaaaaelse
bekommen,VERB,VVPP,bekommen,bekommen
.,PUNCT,$.,.,.
*,PUNCT,$(,*,*
erzähl,UNK,AKW,erzähl,erzählen
*,PUNCT,$(,*,*
Lanto,PROPN,NE,Lanto,Lanto
redet,VERB,VVFIN,reden,reden
wie,CONJ,KOKOM,wie,wie
eine,DET,ART,ein,ein
Bewährungshelferin,NOUN,NN,Bewährungshelferin,Bewährungshelferin
Zora,PROPN,NE,Zora,Zora
freut,VERB,VVFIN,freuen,freuen
sich,PRON,PRF,sich,sich
über,ADP,APPR,über,über
ihr,DET,PPOSAT,ihr,ihr
Zeugnis,NOUN,NN,Zeugnis,Zeugnis
:))),UNK,EMOASC,:))),:)))
*,PUNCT,$(,*,*
aufpluster,UNK,AKW,aufpluster,aufpluster
*,PUNCT,$(,*,*
ich,PRON,PPER,ich,ich
mal,UNK,PTKMA,mal,mal
wieder,ADV,ADV,wieder,wieder
nicht,PART,PTKNEG,nicht,nicht
...,PUNCT,$.,...,...
was,PRON,PWS,was,was
hast,AUX,VAFIN,haben,haben
denn,UNK,PTKMA,denn,denn
Zori,PROPN,NE,Zori,Zori
??,PUNCT,$.,??,??
erzähl,VERB,VVIMP,erzählen,erzählen
das,PRON,PDS,der,der
hast,AUX,VAFIN,haben,haben
du,PRON,PPER,du,du
dir,PRON,PRF,sich,dir
verdient,VERB,VVPP,verdienen,verdienen
",",PUNCT,"$,",",",","
Zori,PROPN,NE,Zori,Zori
?,PUNCT,$.,?,?
oh,INTJ,ITJ,oh,Oh
man,INTJ,ITJ,man,man
was,PRON,PWS,was,was
fürn,ADP,APPRART,für,Für
Krawall,NOUN,NN,Krawall,Krawall
hier,ADV,ADV,hier,hier
draußen,ADV,ADV,draußen,draußen
...,PUNCT,$.,...,...
*,PUNCT,$(,*,*
guck,UNK,AKW,guck,gucken
*,PUNCT,$(,*,*
nur,UNK,PTKIFG,nur,nur
Einser,NOUN,NN,Eins,Einser
*,PUNCT,$(,*,*
brustschwell,UNK,AKW,brustschwell,brustschwell
*,PUNCT,$(,*,*
re,INTJ,ITJ,re,Re
:-))),UNK,EMOASC,:-))),:-)))
re,INTJ,ITJ,re,Re
r,INTJ,ITJ,r,r
Emon,PROPN,NE,Emon,Emon
und,CONJ,KON,und,und
eine,DET,ART,ein,ein
Eins,NOUN,NN,Eins,einer
Minus,NOUN,NN,Minus,Minus
in,ADP,APPR,in,in
Benehmen,NOUN,NN,benehmen,benehmen
*,PUNCT,$(,*,*
ggg,UNK,AKW,ggg,Gg
*,PUNCT,$(,*,*
*,PUNCT,$(,*,*
njamnjamnajm,UNK,ONO,njamnjamnajm,njamnjamnajm
*,PUNCT,$(,*,*
re,INTJ,ITJ,re,Re
stoeps,PROPN,NE,stoeps,Stoep
.,PUNCT,$.,.,.
oh,INTJ,ITJ,oh,Oh
die,DET,ART,der,der
Geistigkeit,NOUN,NN,Geistigkeit,Geistigkeit
kommt,VERB,VVFIN,kommen,kommen
auch,ADV,ADV,auch,auch
*,PUNCT,$(,*,*
freu,UNK,AKW,freu,freuen
*,PUNCT,$(,*,*
re,INTJ,ITJ,re,Re
stoeps,PROPN,NE,stoeps,Stoep
:o),UNK,EMOASC,:o),:o)
+,X,XY,+,+
s,UNK,AKW,s,es
hallo,INTJ,ITJ,hallo,Hallo
Emon,PROPN,NE,Emon,Emon
.,PUNCT,$.,.,.
re,INTJ,ITJ,re,Re
stoeps,PROPN,NE,stoeps,Stoep
hi,INTJ,ITJ,hi,Hi
Emon,PROPN,NE,Emon,Emon
tag,INTJ,ITJ,tag,Tag
quaki,PROPN,NE,quaki,Quaki
:),UNK,EMOASC,:),:)
das,PRON,PDS,der,der
sind,AUX,VAFIN,sein,sein
schätzungsweise,ADV,ADV,schätzungsweise,schätzungsweise
200,NUM,CARD,200,200
Krähen,NOUN,NN,Krähe,Krähe
oder,CONJ,KON,oder,oder
so,ADV,ADV,so,so
in,ADP,APPR,in,in
einem,DET,ART,ein,ein
Baum,NOUN,NN,Baum,Baum
der,PRON,PRELS,der,der
etwa,ADV,ADV,etwa,etwa
100,NUM,CARD,100,100
m,NOUN,NN,m,m
weg,ADV,ADV,weg,weg
ist,AUX,VAFIN,sein,sein
...,PUNCT,$.,...,...
quaki,PROPN,NE,quaki,Quaki
und,CONJ,KON,und,und
Lanto,PROPN,NE,Lanto,Lanto
:),UNK,EMOASC,:),:)
hi,INTJ,ITJ,hi,Hi
Thor,PROPN,NE,Thor,Thor
:-),UNK,EMOASC,:-),:-)
hi,INTJ,ITJ,hi,Hi
stoeps,PROPN,NE,stoeps,Stoep
und,CONJ,KON,und,und
Tom,PROPN,NE,Tom,Tom
:(,UNK,EMOASC,:(,:(
*,PUNCT,$(,*,*
g,UNK,AKW,g,G
*,PUNCT,$(,*,*
über,ADP,APPR,über,über
meine,DET,PPOSAT,mein,mein
Benehmennote,NOUN,NN,Benehmennote,Benehmennot
reden,VERB,VVFIN,reden,reden
wir,PRON,PPER,wir,wir
lieber,ADJ,ADJD,lieb,lieber
nicht,PART,PTKNEG,nicht,nicht
hi,INTJ,ITJ,hi,Hi
Emon,PROPN,NE,Emon,Emon
200,NUM,CARD,200,200
Krähen,NOUN,NN,Krähe,Krähe
?,PUNCT,$.,?,?
jo,PART,PTKANT,jo,Jo
..,PUNCT,$.,..,..
die,DET,ART,der,der
Eins,NOUN,NN,Eins,einer
Minus,NOUN,NN,Minus,Minus
hast,AUX,VAFIN,haben,haben
du,PRON,PPER,du,du
bekommen,VERB,VVPP,bekommen,bekommen
",",PUNCT,"$,",",",","
weil,SCONJ,KOUS,weil,weil
du,PRON,PPER,du,du
eine,DET,ART,ein,ein
Zeitlang,NOUN,NN,Zeitlang,Zeitlang
häufti,ADJ,ADJD,häufti,Häufti
gesagt,VERB,VVPP,sagen,sagen
hast,AUX,VAFIN,haben,haben
.,PUNCT,$.,.,.
was,PRON,PWS,was,was
ist,AUX,VAFIN,sein,sein
Benehmen,NOUN,NN,benehmen,benehmen
?,PUNCT,$.,?,?
die,DET,ART,der,der
Vögel,NOUN,NN,Vogel,Vogel
hi,INTJ,ITJ,hi,Hi
quaki,PROPN,NE,quaki,Quaki
",",PUNCT,"$,",",",","
Lantonie,PROPN,NE,Lantonie,Lantoni
*,PUNCT,$(,*,*
