token,tag,tag_STTS,lemma_gold,lemma_pred
was,PRON,PWS,was,was
echt,ADJ,ADJD,echt,echt
Zori,PROPN,NE,Zori,Zori
?,PUNCT,$.,?,?
das,PRON,PDS,der,der
Küssen,NOUN,NN,küssen,Kusse
??,PUNCT,$.,??,??
na,INTJ,ITJ,na,na
gut,ADJ,ADJD,gut,gut
Marc,PROPN,NE,Marc,Marc
.,PUNCT,$.,.,.
kein,DET,PIAT,kein,kein
Servicepaket,NOUN,NN,Servicepaket,Servicepaket
Nr.,NOUN,NN,Nr.,Nr.
1,NUM,CARD,1,1
für,ADP,APPR,für,für
dich,PRON,PPER,dich,du
:),UNK,EMOASC,:),:)
was,PRON,PWS,was,was
?,PUNCT,$.,?,?
hi,INTJ,ITJ,hi,hi
danke,PART,PTKANT,danke,denken
Pharao,PROPN,NE,Pharao,Pharao
*,PUNCT,$(,*,*
erleichtertguck,UNK,AKW,erleichtertguck,erleichtertguck
*,PUNCT,$(,*,*
juhu,INTJ,ITJ,juhu,juhu
Tom,PROPN,NE,Tom,Tom
ist,AUX,VAFIN,sein,sein
da,ADV,ADV,da,da
echt,ADJ,ADJD,echt,echt
?,PUNCT,$.,?,?
hi,INTJ,ITJ,hi,hi
quaki,PROPN,NE,quaki,quaki
heyho,INTJ,ITJ,heyho,heyho
Tom,PROPN,NE,Tom,Tom
re,INTJ,ITJ,re,re
Tom,PROPN,NE,Tom,Tom
hi,INTJ,ITJ,hi,hi
Marc,PROPN,NE,Marc,Marc
hi,INTJ,ITJ,hi,hi
Tom,PROPN,NE,Tom,Tom
hi,INTJ,ITJ,hi,hi
Faryen,PROPN,NE,Faryen,Faryen
hi,INTJ,ITJ,hi,hi
Zora,PROPN,NE,Zora,Zora
huhu,INTJ,ITJ,huhu,huhu
Tom,PROPN,NE,Tom,Tom
:),UNK,EMOASC,:),:)
alles,PRON,PIS,alle,alle
konfetti,ADJ,ADJD,konfetti,konfetti
bei,ADP,APPR,bei,bei
euch,PRON,PPER,euch,ihr
?,PUNCT,$.,?,?
mich,PRON,PPER,mich,ich
nochmal,ADV,ADV,nochmal,nochmal
zu,ADP,APPR,zu,zu
hi,X,XY,hi,hi
n,X,XY,n,n
hinstell,UNK,AKW,hinstell,hinstell
:),UNK,EMOASC,:),:)
Lantonie,PROPN,NE,Lantonie,Lantonie
hallo,INTJ,ITJ,hallo,hallo
.,PUNCT,$.,.,.
:),UNK,EMOASC,:),:)
Lantonie,PROPN,NE,Lantonie,Lantonie
:))),UNK,EMOASC,:))),:)))
*,PUNCT,$(,*,*
mal,UNK,PTKMA,mal,mal
guck,UNK,AKW,guck,gecen
wo,ADV,PWAV,wo,wo
quaki,PROPN,NE,quaki,quaki
sich,PRON,PRF,sich,er|es|sie
nun,ADV,ADV,nun,nun
hinstellt,VERB,VVFIN,hinstellen,hinstellen
*,PUNCT,$(,*,*
g,UNK,AKW,g,g
*,PUNCT,$(,*,*
freu,UNK,AKW,freu,freu
juhu,INTJ,ITJ,juhu,juhu
hallo,INTJ,ITJ,hallo,hallo
quaki,PROPN,NE,quaki,quaki
.,PUNCT,$.,.,.
Lantonie,PROPN,NE,Lantonie,Lantonie
:o),UNK,EMOASC,:o),:o)
hi,INTJ,ITJ,hi,hi
Lanto,PROPN,NE,Lanto,Lanto
huhu,INTJ,ITJ,huhu,huhu
zora,PROPN,NE,zora,zora
.,PUNCT,$.,.,.
:))),UNK,EMOASC,:))),:)))
re,INTJ,ITJ,re,re
Tomcat,PROPN,NE,Tomcat,Tomcat
.,PUNCT,$.,.,.
re,INTJ,ITJ,re,re
Marc,PROPN,NE,Marc,Marc
.,PUNCT,$.,.,.
.))),UNK,EMOASC,.))),.)))
ups,INTJ,ITJ,ups,ups
ist,AUX,VAFIN,sein,sein
das,PRON,PDS,der,der
das,DET,ART,der,der
falsche,ADJ,ADJA,falsch,falsch
Eck,NOUN,NN,Eck,Eck
??,PUNCT,$.,??,??
hi,INTJ,ITJ,hi,hi
Lantonie,PROPN,NE,Lantonie,Lantonie
quaki,PROPN,NE,quaki,quaki
krabbelt,VERB,VVFIN,krabbeln,krabbeln
aus,ADP,APPR,aus,aus
dem,DET,ART,der,der
Eck,NOUN,NN,Eck,Eck
raus,PART,PTKVZ,raus,raus
hallo,INTJ,ITJ,hallo,hallo
Faryen,PROPN,NE,Faryen,Faryen
.,PUNCT,$.,.,.
:),UNK,EMOASC,:),:)
ich,PRON,PPER,ich,ich
finde,VERB,VVFIN,finden,finden
den,DET,ART,der,der
quaki,PROPN,NE,quaki,quaki
klasse,ADJ,ADJD,klasse,klasse
",",PUNCT,"$,",",",","
ein,DET,ART,ein,ein
toller,ADJ,ADJA,toll,toll
Neuzugang,NOUN,NN,Neuzugang,Neuzugang
",",PUNCT,"$,",",",","
der,PRON,PRELS,der,der
sich,PRON,PRF,sich,er|es|sie
echt,ADJ,ADJD,echt,echt
bewährt,VERB,VVFIN,bewähren,bewähren
.,PUNCT,$.,.,.
:))),UNK,EMOASC,:))),:)))
na,INTJ,ITJ,na,na
",",PUNCT,"$,",",",","
Zori,PROPN,NE,Zori,Zori
?,PUNCT,$.,?,?
:)),UNK,EMOASC,:)),:))
den,PRON,PDS,der,der
?,PUNCT,$.,?,?
*,PUNCT,$(,*,*
g,UNK,AKW,g,g
*,PUNCT,$(,*,*
danke,PART,PTKANT,danke,denken
Lantonie,PROPN,NE,Lantonie,Lantonie
ich,PRON,PPER,ich,ich
habe,AUX,VAFIN,haben,haben
heute,ADV,ADV,heute,heute
einen,DET,ART,ein,ein
SMS,NOUN,NN,SMS,SMS
von,ADP,APPR,von,von
Tigaaaaelse,PROPN,NE,Tigaaaaelse,Tigaaaaelse
bekommen,VERB,VVPP,bekommen,bekommen
.,PUNCT,$.,.,.
*,PUNCT,$(,*,*
erzähl,UNK,AKW,erzähl,erzählen
*,PUNCT,$(,*,*
Lanto,PROPN,NE,Lanto,Lanto
redet,VERB,VVFIN,reden,reden
wie,CONJ,KOKOM,wie,wie
eine,DET,ART,ein,ein
Bewährungshelferin,NOUN,NN,Bewährungshelferin,Bewährungshelferin
Zora,PROPN,NE,Zora,Zora
freut,VERB,VVFIN,freuen,freuen
sich,PRON,PRF,sich,er|es|sie
über,ADP,APPR,über,über
ihr,DET,PPOSAT,ihr,ihr
Zeugnis,NOUN,NN,Zeugnis,Zeugnis
:))),UNK,EMOASC,:))),:)))
*,PUNCT,$(,*,*
aufpluster,UNK,AKW,aufpluster,aufpluster
*,PUNCT,$(,*,*
ich,PRON,PPER,ich,ich
mal,UNK,PTKMA,mal,mal
wieder,ADV,ADV,wieder,wieder
nicht,PART,PTKNEG,nicht,nicht
...,PUNCT,$.,...,...
was,PRON,PWS,was,was
hast,AUX,VAFIN,haben,haben
denn,UNK,PTKMA,denn,denn
Zori,PROPN,NE,Zori,Zori
??,PUNCT,$.,??,??
erzähl,VERB,VVIMP,erzählen,erzählen
das,PRON,PDS,der,der
hast,AUX,VAFIN,haben,haben
du,PRON,PPER,du,du
dir,PRON,PRF,sich,du
verdient,VERB,VVPP,verdienen,verdienen
",",PUNCT,"$,",",",","
Zori,PROPN,NE,Zori,Zori
?,PUNCT,$.,?,?
oh,INTJ,ITJ,oh,oh
man,INTJ,ITJ,man,man
was,PRON,PWS,was,was
fürn,ADP,APPRART,für,fürn
Krawall,NOUN,NN,Krawall,Krawall
hier,ADV,ADV,hier,hier
draußen,ADV,ADV,draußen,draußen
...,PUNCT,$.,...,...
*,PUNCT,$(,*,*
guck,UNK,AKW,guck,guck
*,PUNCT,$(,*,*
nur,UNK,PTKIFG,nur,nur
Einser,NOUN,NN,Eins,Einser
*,PUNCT,$(,*,*
brustschwell,UNK,AKW,brustschwell,brustschwell
*,PUNCT,$(,*,*
re,INTJ,ITJ,re,re
:-))),UNK,EMOASC,:-))),:-)))
re,INTJ,ITJ,re,re
r,INTJ,ITJ,r,r
Emon,PROPN,NE,Emon,Emon
und,CONJ,KON,und,und
eine,DET,ART,ein,ein
Eins,NOUN,NN,Eins,Eins
Minus,NOUN,NN,Minus,Minus
in,ADP,APPR,in,in
Benehmen,NOUN,NN,benehmen,Benehmen
*,PUNCT,$(,*,*
ggg,UNK,AKW,ggg,ggg
*,PUNCT,$(,*,*
*,PUNCT,$(,*,*
njamnjamnajm,UNK,ONO,njamnjamnajm,njamnjamnajm
*,PUNCT,$(,*,*
re,INTJ,ITJ,re,re
stoeps,PROPN,NE,stoeps,stoeps
.,PUNCT,$.,.,.
oh,INTJ,ITJ,oh,oh
die,DET,ART,der,der
Geistigkeit,NOUN,NN,Geistigkeit,Geistigkeit
kommt,VERB,VVFIN,kommen,kommen
auch,ADV,ADV,auch,auch
*,PUNCT,$(,*,*
freu,UNK,AKW,freu,freu
*,PUNCT,$(,*,*
re,INTJ,ITJ,re,re
stoeps,PROPN,NE,stoeps,stoeps
:o),UNK,EMOASC,:o),:o)
+,X,XY,+,+
s,UNK,AKW,s,s
hallo,INTJ,ITJ,hallo,hallo
Emon,PROPN,NE,Emon,Emon
.,PUNCT,$.,.,.
re,INTJ,ITJ,re,re
stoeps,PROPN,NE,stoeps,stoeps
hi,INTJ,ITJ,hi,hi
Emon,PROPN,NE,Emon,Emon
tag,INTJ,ITJ,tag,tagen
quaki,PROPN,NE,quaki,quaki
:),UNK,EMOASC,:),:)
das,PRON,PDS,der,der
sind,AUX,VAFIN,sein,sein
schätzungsweise,ADV,ADV,schätzungsweise,schätzungsweise
200,NUM,CARD,200,200
Krähen,NOUN,NN,Krähe,Krähe
oder,CONJ,KON,oder,oder
so,ADV,ADV,so,so
in,ADP,APPR,in,in
einem,DET,ART,ein,ein
Baum,NOUN,NN,Baum,Baum
der,PRON,PRELS,der,der
etwa,ADV,ADV,etwa,etwa
100,NUM,CARD,100,100
m,NOUN,NN,m,m
weg,ADV,ADV,weg,weg
ist,AUX,VAFIN,sein,sein
...,PUNCT,$.,...,...
quaki,PROPN,NE,quaki,quaki
und,CONJ,KON,und,und
Lanto,PROPN,NE,Lanto,Lanto
:),UNK,EMOASC,:),:)
hi,INTJ,ITJ,hi,hi
Thor,PROPN,NE,Thor,Thor
:-),UNK,EMOASC,:-),:-)
hi,INTJ,ITJ,hi,hi
stoeps,PROPN,NE,stoeps,stoeps
und,CONJ,KON,und,und
Tom,PROPN,NE,Tom,Tom
:(,UNK,EMOASC,:(,:(
*,PUNCT,$(,*,*
g,UNK,AKW,g,g
*,PUNCT,$(,*,*
über,ADP,APPR,über,über
meine,DET,PPOSAT,mein,mein
Benehmennote,NOUN,NN,Benehmennote,Benehmennote
reden,VERB,VVFIN,reden,reden
wir,PRON,PPER,wir,wir
lieber,ADJ,ADJD,lieb,lieb
nicht,PART,PTKNEG,nicht,nicht
hi,INTJ,ITJ,hi,hi
Emon,PROPN,NE,Emon,Emon
200,NUM,CARD,200,200
Krähen,NOUN,NN,Krähe,Krähe
?,PUNCT,$.,?,?
jo,PART,PTKANT,jo,jo
..,PUNCT,$.,..,..
die,DET,ART,der,der
Eins,NOUN,NN,Eins,Eins
Minus,NOUN,NN,Minus,Minus
hast,AUX,VAFIN,haben,haben
du,PRON,PPER,du,du
bekommen,VERB,VVPP,bekommen,bekommen
",",PUNCT,"$,",",",","
weil,SCONJ,KOUS,weil,weil
du,PRON,PPER,du,du
eine,DET,ART,ein,ein
Zeitlang,NOUN,NN,Zeitlang,Zeitlang
häufti,ADJ,ADJD,häufti,häufti
gesagt,VERB,VVPP,sagen,sagen
hast,AUX,VAFIN,haben,haben
.,PUNCT,$.,.,.
was,PRON,PWS,was,was
ist,AUX,VAFIN,sein,sein
Benehmen,NOUN,NN,benehmen,Benehmen
?,PUNCT,$.,?,?
die,DET,ART,der,der
Vögel,NOUN,NN,Vogel,Vogel
hi,INTJ,ITJ,hi,hi
quaki,PROPN,NE,quaki,quaki
",",PUNCT,"$,",",",","
Lantonie,PROPN,NE,Lantonie,Lantonie
*,PUNCT,$(,*,*
hehe,INTJ,ITJ,hehe,hehe
*,PUNCT,$(,*,*
