token,tag,tag_STTS,lemma_gold,lemma_pred
was,PRON,PWS,was,was
echt,ADJ,ADJD,echt,echt
zori,PROPN,NE,Zori,zor
?,PUNCT,$.,?,?
das,PRON,PDS,der,das
küssen,NOUN,NN,küssen,küssen
??,PUNCT,$.,??,??
was,PRON,PWS,was,sein
?,PUNCT,$.,?,?
hi,INTJ,ITJ,hi,hi
juhuuu,INTJ,ITJ,juhu,juhuuu
tom,PROPN,NE,Tom,tom
is,AUX,VAFIN,sein,be
dada,ADV,ADV,da,dada
echt,ADJ,ADJD,echt,echt
?,PUNCT,$.,?,?
hi,INTJ,ITJ,hi,hi
quaki,PROPN,NE,quaki,quak
Heyho,INTJ,ITJ,heyho,hi
Tom,PROPN,NE,Tom,quak
re,INTJ,ITJ,re,hi
Tom,PROPN,NE,Tom,quak
hi,INTJ,ITJ,hi,hi
marc,PROPN,NE,Marc,quak
hi,INTJ,ITJ,hi,hi
tom,PROPN,NE,Tom,quak
hi,INTJ,ITJ,hi,hi
faryen,PROPN,NE,Faryen,quak
hi,INTJ,ITJ,hi,hi
zora,PROPN,NE,Zora,quak
Hallo,INTJ,ITJ,hallo,huhu
.,PUNCT,$.,.,tom
:),UNK,EMOASC,:),smile
freu,UNK,AKW,freu,:)
juhuuu,INTJ,ITJ,juhu,lantonieeeeee
Hallo,INTJ,ITJ,hallo,Hallo
quaki,PROPN,NE,quaki,.
.,PUNCT,$.,.,:)
Lantöööö,PROPN,NE,Lantonie,lantus
:o),UNK,EMOASC,:o),:)))
hi,INTJ,ITJ,hi,lantus
lanto,PROPN,NE,Lanto,:)))
hi,INTJ,ITJ,hi,Lantöööö
Lantonie,PROPN,NE,Lantonie,:o)
Hallo,INTJ,ITJ,hallo,re
Faryen,PROPN,NE,Faryen,Tomcat
.,PUNCT,$.,.,.
*,PUNCT,$(,*,Hallo
g,UNK,AKW,g,Fary
*,PUNCT,$(,*,.
lanto,PROPN,NE,Lanto,Na
redet,VERB,VVFIN,reden,","
wie,CONJ,KOKOM,wie,zor
ne,DET,ART,ein,?
bewährungshelferin,NOUN,NN,Bewährungshelferin,:))
*,PUNCT,$(,*,*
aufpluster,UNK,AKW,aufpluster,gehen
*,PUNCT,$(,*,*
nur,UNK,PTKIFG,nur,ich
einsen,NOUN,NN,Eins,malle
*,PUNCT,$(,*,wieder
brustschwell,UNK,AKW,brustschwell,nicht
*,PUNCT,$(,*,...
reee,INTJ,ITJ,re,erzählen
+,X,XY,+,r
s,UNK,AKW,s,em
Hallo,INTJ,ITJ,hallo,*
Emon,PROPN,NE,Emon,njamnjamnajm
.,PUNCT,$.,.,*
tag,INTJ,ITJ,tag,re
quaki,PROPN,NE,quaki,schdöbb
:),UNK,EMOASC,:),:o)
und,CONJ,KON,und,Hallo
lanto,PROPN,NE,Lanto,Emon
:),UNK,EMOASC,:),.
hi,INTJ,ITJ,hi,hi
thor,PROPN,NE,Thor,em
hi,INTJ,ITJ,hi,quaaakiiii
stoeps,PROPN,NE,stoeps,quaaakiii
unf,CONJ,KON,und,und
tom,PROPN,NE,Tom,lant
:(,UNK,EMOASC,:(,:)
*,PUNCT,$(,*,und
g,UNK,AKW,g,lant
*,PUNCT,$(,*,:)
hi,INTJ,ITJ,hi,[Hi
emon,PROPN,NE,Emon,Thor
jo,PART,PTKANT,jo,hi
..,PUNCT,$.,..,stoop
die,DET,ART,der,hi
vögel,NOUN,NN,Vogel,emon
*,PUNCT,$(,*,200
hehe,INTJ,ITJ,hehe,krähe
*,PUNCT,$(,*,?
Stimmts,UNK,VVPPER,stimmen,jo
?,PUNCT,$.,?,..
:))),UNK,EMOASC,:))),der Vogel
*,PUNCT,$(,*,*
looool,UNK,AKW,lol,hehe
*,PUNCT,$(,*,*
zori,PROPN,NE,Zori,stimmt
?,PUNCT,$.,?,?
re,INTJ,ITJ,re,schtöp
*,PUNCT,$(,*,*
lach,UNK,AKW,lach,laugh
*,PUNCT,$(,*,*
tach,INTJ,ITJ,tach,zor
erdbäre,PROPN,NE,Erdbeere$,?
Hallo,INTJ,ITJ,hallo,*
Erdbeere,PROPN,NE,Erdbeere$,lachen
.,PUNCT,$.,.,*
Hallo,INTJ,ITJ,hallo,*
Beere,PROPN,NE,Erdbeere$,lachen
:),UNK,EMOASC,:),*
stoeps,PROPN,NE,stoeps,Hallo
auch,ADV,ADV,auch,Lant
*,PUNCT,$(,*,Stoep
g,UNK,AKW,g,auch
*,PUNCT,$(,*,.
re,INTJ,ITJ,re,re
beere,PROPN,NE,Erdbeere$,berry].
Und,CONJ,KON,und,Und
",",PUNCT,"$,",",",","
ausserdem,ADV,PAV,außerdem,ausserdem
ist,AUX,VAFIN,sein,sein
zora,PROPN,NE,Zora,Zora
ja,UNK,PTKMA,ja,ja
meine,DET,PPOSAT,mein,mein
Lieblingsschülerin,NOUN,NN,Lieblingsschülerin,Lieblingsschülerin
hier,ADV,ADV,hier,hier
.,PUNCT,$.,.,.
:)),UNK,EMOASC,:)),:)
oh,INTJ,ITJ,oh,oh
stoeps,PROPN,NE,stoeps,Stoff
hab,AUX,VAFIN,haben,haben
ich,PRON,PPER,ich,ich
dir,PRON,PPER,dir,dir
was,PRON,PIS,was,werden
getan,VERB,VVPP,tun,getan
?,PUNCT,$.,?,?
hallo,INTJ,ITJ,hallo,hallo
pharao,PROPN,NE,Pharao,pharaoh
:))),UNK,EMOASC,:))),:-)
weißpappel,NOUN,NN,Weißpappel,Weißpappel
oder,CONJ,KON,oder,oder
schwarzpappel,NOUN,NN,Schwarzpappel,Schwarzpappel
?,PUNCT,$.,?,?
süße,ADJ,ADJA,süß,süß
kleine,ADJ,ADJA,klein,klein
zora,PROPN,NE,Zora,zora
.,PUNCT,$.,.,.
hello,INTJ,ITJ,hello,hello
marci,PROPN,NE,Marci,marcia
8:),UNK,EMOASC,8:),:)
*,PUNCT,$(,*,*
hach,INTJ,ITJ,hach,Hachen
*,PUNCT,$(,*,*
zora,PROPN,NE,Zora,zora
bringt,VERB,VVFIN,bringen,bringen
Lanto,PROPN,NE,Lanto,Lanto
einen,DET,ART,ein,ein
Apfel,NOUN,NN,Apfel,Apfel
mit,PART,PTKVZ,mit,mit
keine,DET,PIAT,kein,kein
ahnung,NOUN,NN,Ahnung,Ahnung
",",PUNCT,"$,",",",","
eine,DET,ART,ein,ein
die,PRON,PRELS,der,der
zur,ADP,APPRART,zu,zur
blütezeit,NOUN,NN,Blütezeit,Blütezeit
wohl,UNK,PTKMA,wohl,wohl
immer,ADV,ADV,immer,immer
diese,DET,PDAT,dieser,dieser
berge,NOUN,NN,Berg,Berg
weißer,ADJ,ADJA,weiß,weiß
flocken,NOUN,NN,Flocke,Flocken
von,ADP,APPR,von,von
sich,PRON,PRF,sich,sich
wirft,VERB,VVFIN,werfen,werfen
...,PUNCT,$.,...,...
und,CONJ,KON,und,und
wo,ADV,PWAV,wo,wo
is,AUX,VAFIN,sein,sein
ein,DET,ART,ein,ein
apfel,NOUN,NN,Apfel,apfel
für,ADP,APPR,für,für
mich,PRON,PPER,mich,ich
??,PUNCT,$.,??,??
Ah,INTJ,ITJ,ah,Ah
",",PUNCT,"$,",",",","
sehr,UNK,PTKIFG,sehr,sehr
gesund,ADJ,ADJD,gesund,gesund
.,PUNCT,$.,.,.
*,PUNCT,$(,*,*
freu,UNK,AKW,freu,freuen
*,PUNCT,$(,*,*
tom,PROPN,NE,Tom,Tom
ist,AUX,VAFIN,sein,sein
ja,UNK,PTKMA,ja,immer
immer,UNK,PTKMWL,immer,noch
noch,UNK,PTKMWL,noch,da
da,ADV,ADV,da,.
*,PUNCT,$(,*,*
wilhelm,PROPN,NE,Wilhelm,wilhelm
busch,PROPN,NE,Busch,busch
zitier,UNK,AKW,zitier,zitieren
*,PUNCT,$(,*,*
und,CONJ,KON,und,und
vom,ADP,APPRART,von,vom
ganzen,ADJ,ADJA,ganz,ganz
hühnerschmaus,NOUN,NN,Hühnerschmaus,hühnerschmaus
schaut,VERB,VVFIN,schauen,schauen
nur,UNK,PTKIFG,nur,nur
noch,ADV,ADV,noch,noch
ein,DET,ART,ein,ein
bein,NOUN,NN,Bein,Bein
heraus,PART,PTKVZ,heraus,heraus
...,PUNCT,$.,...,...
dann,ADV,ADV,dann,dann
is,AUX,VAFIN,sein,sein
eine,DET,ART,ein,ein
hmmmmm,INTJ,ITJ,hm,hmmmmm
sie,PRON,PPER,sie,sie
zieht,VERB,VVFIN,ziehen,ziehen
nach,ADP,APPR,nach,nach
Hannover,PROPN,NE,Hannover,Hannover
",",PUNCT,"$,",",",","
net,PART,PTKNEG,nicht,nicht
nach,ADP,APPR,nach,nach
Wien,PROPN,NE,Wien,Wien
Warst,AUX,VAFIN,sein,Waren
du,PRON,PPER,du,du
vom,ADP,APPRART,von,vom
Zeugnis,NOUN,NN,Zeugnis,Zeugnis
überraschtß,VERB,VVPP,überraschen,überrascht
das,PRON,PDS,der,das
kommt,VERB,VVFIN,kommen,kommen
auf,ADP,APPR,auf,auf
die,DET,ART,der,der
rinde,NOUN,NN,Rinde,Rinde
drauf,ADV,PAV,drauf,drauf
an,PART,PTKVZ,an,an
?,PUNCT,$.,?,?
auf,ADP,APPR,auf,auf
jedenfall,NOUN,NN,Jedenfall,jedenfall
mit,ADP,APPR,mit,mit
ner,DET,ART,ein,eine
wolke,NOUN,NN,Wolke,Wolke
schwarzer,ADJ,ADJA,schwarz,schwarz
vögel,NOUN,NN,Vogel,Vogel
drüber,ADV,PAV,drüber,drüber
und,CONJ,KON,und,und
drin,ADV,PAV,drin,drin
:-),UNK,EMOASC,:-),:-)
:),UNK,EMOASC,:),:)
wie,ADV,PWAV,wie,wie
die,PRON,PDS,der,der
ausschaut,VERB,VVFIN,ausschauen,ausschauen
ja,PART,PTKANT,ja,ja
wo,ADV,PWAV,wo,wer
ich,PRON,PPER,ich,ich
doch,UNK,PTKMA,doch,doch
kaum,DET,PIAT,kaum,kaum
was,PRON,PIS,was,was
dafür,ADV,PAV,dafür,dafür
getan,VERB,VVPP,tun,tun
hab,AUX,VAFIN,haben,haben
+,PUNCT,$(,+,+
s,UNK,AKW,s,s
*,PUNCT,$(,*,*
is,AUX,VAFIN,sein,sein
so,ADV,ADV,so,so
ne,DET,ART,ein,eine
grobe,ADJ,ADJA,grob,grob
rinde,NOUN,NN,Rinde,Rinde
..,PUNCT,$.,..,..
warum,ADV,PWAV,warum,warum
wird,AUX,VAFIN,werden,werden
tom,PROPN,NE,Tom,Tom
nicht,PART,PTKNEG,nicht,nicht
aus,ADP,APPR,aus,aus
dem,DET,ART,der,der
chat,NOUN,NN,Chat,Chat
enfernt,VERB,VVPP,enfernen,enfernt
?,PUNCT,$.,?,?
*,PUNCT,$(,*,*
g,UNK,AKW,g,gehen
*,PUNCT,$(,*,*
zora,PROPN,NE,Zora,Zora
bewirbt,VERB,VVFIN,bewerben,bewerben
sich,PRON,PRF,sich,sich
damit,ADV,PAV,damit,damit
mal,ADV,ADV,mal,mal
um,ADP,APPR,um,um
stipendien,NOUN,NN,Stipendium,Stipendium
an,ADP,APPR,an,an
den,DET,ART,der,der
unis,NOUN,NN,Uni,Uni
*,PUNCT,$(,*,*
s,UNK,AKW,s,s
*,PUNCT,$(,*,*
Krieg,VERB,VVFIN,kriegen,Krieg
ich,PRON,PPER,ich,ich
auch,ADV,ADV,auch,auch
ein,DET,ART,ein,ein
Zeugnis,NOUN,NN,Zeugnis,Zeugnis
?,PUNCT,$.,?,?
die,PRON,PDS,der,die
habn,AUX,VAFIN,haben,haben
aber,ADV,ADV,aber,aber
so,ADV,ADV,so,so
schönes,ADJ,ADJA,schön,schön
gefieder,NOUN,NN,Gefieder,Gefieder
und,CONJ,KON,und,und
sind,AUX,VAFIN,sein,sein
nicht,PART,PTKNEG,nicht,nicht
dumm,ADJ,ADJD,dumm,dumm
*,PUNCT,$(,*,*
lach,UNK,AKW,lach,lachen
*,PUNCT,$(,*,*
weil,SCONJ,KOUS,weil,weil
ich,PRON,PPER,ich,ich
