token,tag,tag_STTS,lemma_gold,lemma_pred
was,PRON,PWS,was,
echt,ADJ,ADJD,echt,echt
zori,PROPN,NE,Zori,
?,PUNCT,$.,?,
das,PRON,PDS,der,
küssen,NOUN,NN,küssen,Küssen
??,PUNCT,$.,??,
na,INTJ,ITJ,na,
gut,ADJ,ADJD,gut,gut
marc,PROPN,NE,Marc,
.,PUNCT,$.,.,
kein,DET,PIAT,kein,
servicepaket,NOUN,NN,Servicepaket,Servicepaket
nr.,NOUN,NN,Nr.,Nr.
1,NUM,CARD,1,1
für,ADP,APPR,für,
dich,PRON,PPER,dich,
:),UNK,EMOASC,:),
was,PRON,PWS,was,
?,PUNCT,$.,?,
hi,INTJ,ITJ,hi,
Danke,PART,PTKANT,danke,
Pharao,PROPN,NE,Pharao,
*,PUNCT,$(,*,
erleichtertguck,UNK,AKW,erleichtertguck,
*,PUNCT,$(,*,
juhuuu,INTJ,ITJ,juhu,
tom,PROPN,NE,Tom,
is,AUX,VAFIN,sein,
dada,ADV,ADV,da,dada
echt,ADJ,ADJD,echt,echt
?,PUNCT,$.,?,
hi,INTJ,ITJ,hi,
quaki,PROPN,NE,quaki,
Heyho,INTJ,ITJ,heyho,
Tom,PROPN,NE,Tom,
re,INTJ,ITJ,re,
Tom,PROPN,NE,Tom,
hi,INTJ,ITJ,hi,
marc,PROPN,NE,Marc,
hi,INTJ,ITJ,hi,
tom,PROPN,NE,Tom,
hi,INTJ,ITJ,hi,
faryen,PROPN,NE,Faryen,
hi,INTJ,ITJ,hi,
zora,PROPN,NE,Zora,
huhu,INTJ,ITJ,huhu,
tom,PROPN,NE,Tom,
:),UNK,EMOASC,:),
alles,PRON,PIS,alle,
konfetti,ADJ,ADJD,konfetti,konfetti
bei,ADP,APPR,bei,
euch,PRON,PPER,euch,
?,PUNCT,$.,?,
mich,PRON,PPER,mich,
nochmal,ADV,ADV,nochmal,nochmal
zu,ADP,APPR,zu,
hi,X,XY,hi,
n,X,XY,n,
hinstell,UNK,AKW,hinstell,
:),UNK,EMOASC,:),
lantonieeeeee,PROPN,NE,Lantonie,
Hallo,INTJ,ITJ,hallo,
.,PUNCT,$.,.,
:),UNK,EMOASC,:),
LANTOOO,PROPN,NE,Lantonie,
:))),UNK,EMOASC,:))),
*,PUNCT,$(,*,
mal,UNK,PTKMA,mal,
guck,UNK,AKW,guck,
wo,ADV,PWAV,wo,wo
quaki,PROPN,NE,quaki,
sich,PRON,PRF,sich,
nu,ADV,ADV,nun,nu
hinstelt,VERB,VVFIN,hinstellen,hinsteln
*,PUNCT,$(,*,
G,UNK,AKW,g,
*,PUNCT,$(,*,
freu,UNK,AKW,freu,
juhuuu,INTJ,ITJ,juhu,
Hallo,INTJ,ITJ,hallo,
quaki,PROPN,NE,quaki,
.,PUNCT,$.,.,
Lantöööö,PROPN,NE,Lantonie,
:o),UNK,EMOASC,:o),
hi,INTJ,ITJ,hi,
lanto,PROPN,NE,Lanto,
Huhu,INTJ,ITJ,huhu,
zoriiiiii,PROPN,NE,zora,
.,PUNCT,$.,.,
:))),UNK,EMOASC,:))),
re,INTJ,ITJ,re,
Tomcat,PROPN,NE,Tomcat,
.,PUNCT,$.,.,
re,INTJ,ITJ,re,
marc,PROPN,NE,Marc,
.,PUNCT,$.,.,
.))),UNK,EMOASC,.))),
ups,INTJ,ITJ,ups,
is,AUX,VAFIN,sein,
das,PRON,PDS,der,
das,DET,ART,der,
falsche,ADJ,ADJA,falsch,falsch
eck,NOUN,NN,Eck,Eck
??,PUNCT,$.,??,
hi,INTJ,ITJ,hi,
Lantonie,PROPN,NE,Lantonie,
quaki,PROPN,NE,quaki,
krabbelt,VERB,VVFIN,krabbeln,krabbeln
aus,ADP,APPR,aus,
dem,DET,ART,der,
eck,NOUN,NN,Eck,Eck
raus,PART,PTKVZ,raus,
Hallo,INTJ,ITJ,hallo,
Faryen,PROPN,NE,Faryen,
.,PUNCT,$.,.,
:),UNK,EMOASC,:),
Ich,PRON,PPER,ich,
finde,VERB,VVFIN,finden,finden
den,DET,ART,der,
quaki,PROPN,NE,quaki,
klasse,ADJ,ADJD,klasse,klass
",",PUNCT,"$,",",",
ein,DET,ART,ein,
toller,ADJ,ADJA,toll,toll
Neuzugang,NOUN,NN,Neuzugang,Neuzugang
",",PUNCT,"$,",",",
der,PRON,PRELS,der,
sich,PRON,PRF,sich,
echt,ADJ,ADJD,echt,echt
bewährt,VERB,VVFIN,bewähren,bewähren
.,PUNCT,$.,.,
:))),UNK,EMOASC,:))),
Na,INTJ,ITJ,na,
",",PUNCT,"$,",",",
zori,PROPN,NE,Zori,
?,PUNCT,$.,?,
:)),UNK,EMOASC,:)),
den,PRON,PDS,der,
?,PUNCT,$.,?,
*,PUNCT,$(,*,
g,UNK,AKW,g,
*,PUNCT,$(,*,
dange,PART,PTKANT,danke,
lantonie,PROPN,NE,Lantonie,
Ich,PRON,PPER,ich,
habe,AUX,VAFIN,haben,
heute,ADV,ADV,heute,heute
einen,DET,ART,ein,
SMS,NOUN,NN,SMS,SMS
von,ADP,APPR,von,
Tigaaaaelse,PROPN,NE,Tigaaaaelse,
bekommen,VERB,VVPP,bekommen,bekommen
.,PUNCT,$.,.,
*,PUNCT,$(,*,
erzähl,UNK,AKW,erzähl,
*,PUNCT,$(,*,
lanto,PROPN,NE,Lanto,
redet,VERB,VVFIN,reden,reden
wie,CONJ,KOKOM,wie,
ne,DET,ART,ein,
bewährungshelferin,NOUN,NN,Bewährungshelferin,Bewährungshelferin
zora,PROPN,NE,Zora,
freut,VERB,VVFIN,freuen,freuen
sich,PRON,PRF,sich,
über,ADP,APPR,über,
ihr,DET,PPOSAT,ihr,
zeugniss,NOUN,NN,Zeugnis,Zeugniss
:))),UNK,EMOASC,:))),
*,PUNCT,$(,*,
aufpluster,UNK,AKW,aufpluster,
*,PUNCT,$(,*,
ich,PRON,PPER,ich,
mal,UNK,PTKMA,mal,
wieder,ADV,ADV,wieder,wieder
nich,PART,PTKNEG,nicht,
...,PUNCT,$.,...,
was,PRON,PWS,was,
hast,AUX,VAFIN,haben,
denn,UNK,PTKMA,denn,
zori,PROPN,NE,Zori,
??,PUNCT,$.,??,
erzähl,VERB,VVIMP,erzählen,erzählen
Das,PRON,PDS,der,
hast,AUX,VAFIN,haben,
du,PRON,PPER,du,
dir,PRON,PRF,sich,
verdient,VERB,VVPP,verdienen,verdienen
",",PUNCT,"$,",",",
zori,PROPN,NE,Zori,
?,PUNCT,$.,?,
oh,INTJ,ITJ,oh,
man,INTJ,ITJ,man,
wat,PRON,PWS,was,
fürn,ADP,APPRART,für,
krawall,NOUN,NN,Krawall,Krawall
hier,ADV,ADV,hier,hier
draußen,ADV,ADV,draußen,draußen
...,PUNCT,$.,...,
*,PUNCT,$(,*,
guck,UNK,AKW,guck,
*,PUNCT,$(,*,
nur,UNK,PTKIFG,nur,
einsen,NOUN,NN,Eins,Einsen
*,PUNCT,$(,*,
brustschwell,UNK,AKW,brustschwell,
*,PUNCT,$(,*,
ree,INTJ,ITJ,re,
:-))),UNK,EMOASC,:-))),
reee,INTJ,ITJ,re,
r,INTJ,ITJ,r,
emon,PROPN,NE,Emon,
und,CONJ,KON,und,
eine,DET,ART,ein,
eins,NOUN,NN,Eins,Eins
minus,NOUN,NN,Minus,Minus
in,ADP,APPR,in,
benehmen,NOUN,NN,benehmen,Benehmen
*,PUNCT,$(,*,
ggg,UNK,AKW,ggg,
*,PUNCT,$(,*,
*,PUNCT,$(,*,
njamnjamnajm,UNK,ONO,njamnjamnajm,
*,PUNCT,$(,*,
reee,INTJ,ITJ,re,
stoeps,PROPN,NE,stoeps,
.,PUNCT,$.,.,
ohhhh,INTJ,ITJ,oh,
die,DET,ART,der,
geitigkeit,NOUN,NN,Geistigkeit,Geitigkeit
kommt,VERB,VVFIN,kommen,kommen
auch,ADV,ADV,auch,auch
*,PUNCT,$(,*,
freu,UNK,AKW,freu,
*,PUNCT,$(,*,
re,INTJ,ITJ,re,
schdöbbs,PROPN,NE,stoeps,
:o),UNK,EMOASC,:o),
+,X,XY,+,
s,UNK,AKW,s,
Hallo,INTJ,ITJ,hallo,
Emon,PROPN,NE,Emon,
.,PUNCT,$.,.,
re,INTJ,ITJ,re,
stoeps,PROPN,NE,stoeps,
hi,INTJ,ITJ,hi,
emon,PROPN,NE,Emon,
tag,INTJ,ITJ,tag,
quaki,PROPN,NE,quaki,
:),UNK,EMOASC,:),
dat,PRON,PDS,der,
sind,AUX,VAFIN,sein,
schätzungsweise,ADV,ADV,schätzungsweise,schätzungsweise
200,NUM,CARD,200,200
krähen,NOUN,NN,Krähe,Krähen
oder,CONJ,KON,oder,
so,ADV,ADV,so,so
in,ADP,APPR,in,
nem,DET,ART,ein,
baum,NOUN,NN,Baum,Baum
der,PRON,PRELS,der,
etwa,ADV,ADV,etwa,etwa
100,NUM,CARD,100,100
m,NOUN,NN,m,m
weg,ADV,ADV,weg,weg
is,AUX,VAFIN,sein,
...,PUNCT,$.,...,
quaaakiiii,PROPN,NE,quaki,
und,CONJ,KON,und,
lanto,PROPN,NE,Lanto,
:),UNK,EMOASC,:),
hi,INTJ,ITJ,hi,
thor,PROPN,NE,Thor,
:-),UNK,EMOASC,:-),
hi,INTJ,ITJ,hi,
stoeps,PROPN,NE,stoeps,
unf,CONJ,KON,und,
tom,PROPN,NE,Tom,
:(,UNK,EMOASC,:(,
*,PUNCT,$(,*,
g,UNK,AKW,g,
*,PUNCT,$(,*,
über,ADP,APPR,über,
meine,DET,PPOSAT,mein,
benehmennote,NOUN,NN,Benehmennote,Benehmennote
reden,VERB,VVFIN,reden,reden
wir,PRON,PPER,wir,
lieber,ADJ,ADJD,lieb,lieb
nicht,PART,PTKNEG,nicht,
hi,INTJ,ITJ,hi,
emon,PROPN,NE,Emon,
200,NUM,CARD,200,200
krähen,NOUN,NN,Krähe,Krähen
?,PUNCT,$.,?,
jo,PART,PTKANT,jo,
..,PUNCT,$.,..,
Die,DET,ART,der,
eins,NOUN,NN,Eins,Eins
Minus,NOUN,NN,Minus,Minus
hast,AUX,VAFIN,haben,
