token,tag,tag_STTS,lemma_gold,lemma_pred
das,PRON,PDS,der,das
küssen,NOUN,NN,küssen,küssen
??,PUNCT,$.,??,??
hi,INTJ,ITJ,hi,hi
echt,ADJ,ADJD,echt,echt
?,PUNCT,$.,?,?
hi,INTJ,ITJ,hi,hi
quaki,PROPN,NE,quaki,quak
Heyho,INTJ,ITJ,heyho,heyho
Tom,PROPN,NE,Tom,asja
hi,INTJ,ITJ,hi,hi
marc,PROPN,NE,Marc,marc
hi,INTJ,ITJ,hi,hi
tom,PROPN,NE,Tom,Tom
hi,INTJ,ITJ,hi,hi
faryen,PROPN,NE,Faryen,Faryen
huhu,INTJ,ITJ,huhu,Hall
tom,PROPN,NE,Tom,Tom
:),UNK,EMOASC,:),:)
alles,PRON,PIS,alle,all
konfetti,ADJ,ADJD,konfetti,konfetti
bei,ADP,APPR,bei,bei
euch,PRON,PPER,euch,euch
?,PUNCT,$.,?,?
mich,PRON,PPER,mich,ich
nochmal,ADV,ADV,nochmal,nochmal
zu,ADP,APPR,zu,zu
hi,X,XY,hi,helfen
n,X,XY,n,in
hinstell,UNK,AKW,hinstell,hinstellen
:),UNK,EMOASC,:),:)
lantonieeeeee,PROPN,NE,Lantonie,lantonieeeeee
Hallo,INTJ,ITJ,hallo,Hallo
.,PUNCT,$.,.,.
:),UNK,EMOASC,:),:)
LANTOOO,PROPN,NE,Lantonie,hi
:))),UNK,EMOASC,:))),Lantonie
*,PUNCT,$(,*,*
mal,UNK,PTKMA,mal,mal
guck,UNK,AKW,guck,gucken
wo,ADV,PWAV,wo,wo
quaki,PROPN,NE,quaki,Quak
sich,PRON,PRF,sich,sich
nu,ADV,ADV,nun,nun
hinstelt,VERB,VVFIN,hinstellen,hinstellen
*,PUNCT,$(,*,*
G,UNK,AKW,g,G
*,PUNCT,$(,*,*
freu,UNK,AKW,freu,freuen
juhuuu,INTJ,ITJ,juhu,juhuuu
Lantöööö,PROPN,NE,Lantonie,hi
:o),UNK,EMOASC,:o),Lantonie
hi,INTJ,ITJ,hi,Hi
lanto,PROPN,NE,Lanto,Lantus
re,INTJ,ITJ,re,re
Tomcat,PROPN,NE,Tomcat,Tomcat
.,PUNCT,$.,.,.
re,INTJ,ITJ,re,re
marc,PROPN,NE,Marc,marc
.,PUNCT,$.,.,.
.))),UNK,EMOASC,.))),.)))
ups,INTJ,ITJ,ups,ups
is,AUX,VAFIN,sein,is
das,PRON,PDS,der,das
das,DET,ART,der,das
falsche,ADJ,ADJA,falsch,falsch
eck,NOUN,NN,Eck,Eck
??,PUNCT,$.,??,??
hi,INTJ,ITJ,hi,hi
Lantonie,PROPN,NE,Lantonie,Lantonie
quaki,PROPN,NE,quaki,quaken
krabbelt,VERB,VVFIN,krabbeln,krabbeln
aus,ADP,APPR,aus,aus
dem,DET,ART,der,der
eck,NOUN,NN,Eck,Eck
raus,PART,PTKVZ,raus,raus
Hallo,INTJ,ITJ,hallo,Hallo
Faryen,PROPN,NE,Faryen,Fary
.,PUNCT,$.,.,.
:),UNK,EMOASC,:),:)
Ich,PRON,PPER,ich,Ich
finde,VERB,VVFIN,finden,finden
den,DET,ART,der,der
quaki,PROPN,NE,quaki,Quaki
klasse,ADJ,ADJD,klasse,Klasse
",",PUNCT,"$,",",",","
ein,DET,ART,ein,ein
toller,ADJ,ADJA,toll,toll
Neuzugang,NOUN,NN,Neuzugang,Neuzugang
",",PUNCT,"$,",",",","
der,PRON,PRELS,der,der
sich,PRON,PRF,sich,sich
echt,ADJ,ADJD,echt,echt
bewährt,VERB,VVFIN,bewähren,bewähren
.,PUNCT,$.,.,.
den,PRON,PDS,der,der
?,PUNCT,$.,?,?
dange,PART,PTKANT,danke,hi
lantonie,PROPN,NE,Lantonie,Lantonie
Ich,PRON,PPER,ich,Ich
habe,AUX,VAFIN,haben,haben
heute,ADV,ADV,heute,heute
einen,DET,ART,ein,ein
SMS,NOUN,NN,SMS,SMS
von,ADP,APPR,von,von
Tigaaaaelse,PROPN,NE,Tigaaaaelse,Tigaaaaelse
bekommen,VERB,VVPP,bekommen,bekommen
.,PUNCT,$.,.,.
*,PUNCT,$(,*,*
erzähl,UNK,AKW,erzähl,erzählen
*,PUNCT,$(,*,*
lanto,PROPN,NE,Lanto,lanten
redet,VERB,VVFIN,reden,reden
wie,CONJ,KOKOM,wie,wie
ne,DET,ART,ein,ein
bewährungshelferin,NOUN,NN,Bewährungshelferin,Bewährungshelfer
zora,PROPN,NE,Zora,Zora
freut,VERB,VVFIN,freuen,freuen
sich,PRON,PRF,sich,sich
über,ADP,APPR,über,über
ihr,DET,PPOSAT,ihr,ihr
zeugniss,NOUN,NN,Zeugnis,Zeugnis
:))),UNK,EMOASC,:))),:)))
*,PUNCT,$(,*,*
aufpluster,UNK,AKW,aufpluster,aufplustern
*,PUNCT,$(,*,*
ich,PRON,PPER,ich,ich
mal,UNK,PTKMA,mal,malle
wieder,ADV,ADV,wieder,wieder
nich,PART,PTKNEG,nicht,nicht
...,PUNCT,$.,...,...
was,PRON,PWS,was,was
hast,AUX,VAFIN,haben,haben
denn,UNK,PTKMA,denn,denn
zori,PROPN,NE,Zori,Zorro
??,PUNCT,$.,??,??
erzähl,VERB,VVIMP,erzählen,erzählen
Das,PRON,PDS,der,Das
hast,AUX,VAFIN,haben,haben
du,PRON,PPER,du,du
dir,PRON,PRF,sich,sich
verdient,VERB,VVPP,verdienen,verdienen
",",PUNCT,"$,",",",","
zori,PROPN,NE,Zori,zori
?,PUNCT,$.,?,?
oh,INTJ,ITJ,oh,oh
man,INTJ,ITJ,man,Mann
wat,PRON,PWS,was,was
fürn,ADP,APPRART,für,für
krawall,NOUN,NN,Krawall,Krawall
hier,ADV,ADV,hier,hier
draußen,ADV,ADV,draußen,draußen
...,PUNCT,$.,...,...
*,PUNCT,$(,*,*
guck,UNK,AKW,guck,gucken
*,PUNCT,$(,*,*
nur,UNK,PTKIFG,nur,nur
einsen,NOUN,NN,Eins,eins
*,PUNCT,$(,*,*
brustschwell,UNK,AKW,brustschwell,brustschwellen
*,PUNCT,$(,*,*
reee,INTJ,ITJ,re,re
und,CONJ,KON,und,und
eine,DET,ART,ein,ein
eins,NOUN,NN,Eins,ein
minus,NOUN,NN,Minus,minus
in,ADP,APPR,in,in
benehmen,NOUN,NN,benehmen,benehmen
*,PUNCT,$(,*,*
ggg,UNK,AKW,ggg,ggg
*,PUNCT,$(,*,*
*,PUNCT,$(,*,*
njamnjamnajm,UNK,ONO,njamnjamnajm,njamnjamnajm
*,PUNCT,$(,*,*
reee,INTJ,ITJ,re,ree
stoeps,PROPN,NE,stoeps,stoep
.,PUNCT,$.,.,.
ohhhh,INTJ,ITJ,oh,oh
die,DET,ART,der,die
geitigkeit,NOUN,NN,Geistigkeit,Geistigkeit
kommt,VERB,VVFIN,kommen,kommen
auch,ADV,ADV,auch,auch
*,PUNCT,$(,*,*
freu,UNK,AKW,freu,freuen
*,PUNCT,$(,*,*
re,INTJ,ITJ,re,ree
schdöbbs,PROPN,NE,stoeps,stoep
:o),UNK,EMOASC,:o),.
+,X,XY,+,+
s,UNK,AKW,s,sein
Hallo,INTJ,ITJ,hallo,Hallo
Emon,PROPN,NE,Emon,Emon
.,PUNCT,$.,.,.
dat,PRON,PDS,der,dat
sind,AUX,VAFIN,sein,sein
schätzungsweise,ADV,ADV,schätzungsweise,schätzen
200,NUM,CARD,200,200
krähen,NOUN,NN,Krähe,krähe
oder,CONJ,KON,oder,oder
so,ADV,ADV,so,so
in,ADP,APPR,in,in
nem,DET,ART,ein,nem
baum,NOUN,NN,Baum,baume
der,PRON,PRELS,der,der
etwa,ADV,ADV,etwa,etwa
100,NUM,CARD,100,100
m,NOUN,NN,m,m
weg,ADV,ADV,weg,weg
is,AUX,VAFIN,sein,sein
...,PUNCT,$.,...,...
hi,INTJ,ITJ,hi,hi
thor,PROPN,NE,Thor,Tom
:-),UNK,EMOASC,:-),:-)
unf,CONJ,KON,und,Hall
tom,PROPN,NE,Tom,Tom
:(,UNK,EMOASC,:(,:)
über,ADP,APPR,über,über
meine,DET,PPOSAT,mein,mein
benehmennote,NOUN,NN,Benehmennote,benehmen
reden,VERB,VVFIN,reden,reden
wir,PRON,PPER,wir,wir
lieber,ADJ,ADJD,lieb,lieb
nicht,PART,PTKNEG,nicht,nicht
200,NUM,CARD,200,200
krähen,NOUN,NN,Krähe,krähe
?,PUNCT,$.,?,?
jo,PART,PTKANT,jo,jo
