token,tag,tag_STTS,lemma_gold,lemma_pred
was,PRON,PWS,was,was
echt,ADJ,ADJD,echt,echt
zori,PROPN,NE,Zori,
?,PUNCT,$.,?,?
das,PRON,PDS,der,
küssen,NOUN,NN,küssen,küssen
??,PUNCT,$.,??,??
na,INTJ,ITJ,na,na
gut,ADJ,ADJD,gut,gut
marc,PROPN,NE,Marc,
.,PUNCT,$.,.,.
kein,DET,PIAT,kein,
servicepaket,NOUN,NN,Servicepaket,
nr.,NOUN,NN,Nr.,
1,NUM,CARD,1,1
für,ADP,APPR,für,für
dich,PRON,PPER,dich,
:),UNK,EMOASC,:),:)
was,PRON,PWS,was,was
?,PUNCT,$.,?,?
hi,INTJ,ITJ,hi,hi
Danke,PART,PTKANT,danke,danke
Pharao,PROPN,NE,Pharao,Pharao
*,PUNCT,$(,*,*
erleichtertguck,UNK,AKW,erleichtertguck,erleichtertguck
*,PUNCT,$(,*,*
juhuuu,INTJ,ITJ,juhu,
tom,PROPN,NE,Tom,
is,AUX,VAFIN,sein,
dada,ADV,ADV,da,
echt,ADJ,ADJD,echt,echt
?,PUNCT,$.,?,?
hi,INTJ,ITJ,hi,hi
quaki,PROPN,NE,quaki,quaki
Heyho,INTJ,ITJ,heyho,
Tom,PROPN,NE,Tom,Tom
re,INTJ,ITJ,re,re
Tom,PROPN,NE,Tom,Tom
hi,INTJ,ITJ,hi,hi
marc,PROPN,NE,Marc,
hi,INTJ,ITJ,hi,hi
tom,PROPN,NE,Tom,
hi,INTJ,ITJ,hi,hi
faryen,PROPN,NE,Faryen,
hi,INTJ,ITJ,hi,hi
zora,PROPN,NE,Zora,
huhu,INTJ,ITJ,huhu,huhu
tom,PROPN,NE,Tom,
:),UNK,EMOASC,:),:)
alles,PRON,PIS,alle,alle
konfetti,ADJ,ADJD,konfetti,konfetti
bei,ADP,APPR,bei,bei
euch,PRON,PPER,euch,
?,PUNCT,$.,?,?
mich,PRON,PPER,mich,
nochmal,ADV,ADV,nochmal,nochmal
zu,ADP,APPR,zu,zu
hi,X,XY,hi,hi
n,X,XY,n,n
hinstell,UNK,AKW,hinstell,hinstell
:),UNK,EMOASC,:),:)
lantonieeeeee,PROPN,NE,Lantonie,
Hallo,INTJ,ITJ,hallo,hallo
.,PUNCT,$.,.,.
:),UNK,EMOASC,:),:)
LANTOOO,PROPN,NE,Lantonie,
:))),UNK,EMOASC,:))),:)))
*,PUNCT,$(,*,*
mal,UNK,PTKMA,mal,mal
guck,UNK,AKW,guck,
wo,ADV,PWAV,wo,wo
quaki,PROPN,NE,quaki,quaki
sich,PRON,PRF,sich,
nu,ADV,ADV,nun,
hinstelt,VERB,VVFIN,hinstellen,
*,PUNCT,$(,*,*
G,UNK,AKW,g,
*,PUNCT,$(,*,*
freu,UNK,AKW,freu,
juhuuu,INTJ,ITJ,juhu,
Hallo,INTJ,ITJ,hallo,hallo
quaki,PROPN,NE,quaki,quaki
.,PUNCT,$.,.,.
Lantöööö,PROPN,NE,Lantonie,
:o),UNK,EMOASC,:o),:o)
hi,INTJ,ITJ,hi,hi
lanto,PROPN,NE,Lanto,
Huhu,INTJ,ITJ,huhu,
zoriiiiii,PROPN,NE,zora,
.,PUNCT,$.,.,.
:))),UNK,EMOASC,:))),:)))
re,INTJ,ITJ,re,re
Tomcat,PROPN,NE,Tomcat,Tomcat
.,PUNCT,$.,.,.
re,INTJ,ITJ,re,re
marc,PROPN,NE,Marc,
.,PUNCT,$.,.,.
.))),UNK,EMOASC,.))),.)))
ups,INTJ,ITJ,ups,ups
is,AUX,VAFIN,sein,
das,PRON,PDS,der,
das,DET,ART,der,
falsche,ADJ,ADJA,falsch,falsch
eck,NOUN,NN,Eck,
??,PUNCT,$.,??,??
hi,INTJ,ITJ,hi,hi
Lantonie,PROPN,NE,Lantonie,Lantonie
quaki,PROPN,NE,quaki,quaki
krabbelt,VERB,VVFIN,krabbeln,krabbeln
aus,ADP,APPR,aus,aus
dem,DET,ART,der,
eck,NOUN,NN,Eck,
raus,PART,PTKVZ,raus,raus
Hallo,INTJ,ITJ,hallo,hallo
Faryen,PROPN,NE,Faryen,Faryen
.,PUNCT,$.,.,.
:),UNK,EMOASC,:),:)
Ich,PRON,PPER,ich,
finde,VERB,VVFIN,finden,finden
den,DET,ART,der,
quaki,PROPN,NE,quaki,quaki
klasse,ADJ,ADJD,klasse,klasse
",",PUNCT,"$,",",",","
ein,DET,ART,ein,ein
toller,ADJ,ADJA,toll,toll
Neuzugang,NOUN,NN,Neuzugang,Neuzugang
",",PUNCT,"$,",",",","
der,PRON,PRELS,der,
sich,PRON,PRF,sich,
echt,ADJ,ADJD,echt,echt
bewährt,VERB,VVFIN,bewähren,bewähren
.,PUNCT,$.,.,.
:))),UNK,EMOASC,:))),:)))
Na,INTJ,ITJ,na,
",",PUNCT,"$,",",",","
zori,PROPN,NE,Zori,
?,PUNCT,$.,?,?
:)),UNK,EMOASC,:)),:))
den,PRON,PDS,der,
?,PUNCT,$.,?,?
*,PUNCT,$(,*,*
g,UNK,AKW,g,g
*,PUNCT,$(,*,*
dange,PART,PTKANT,danke,
lantonie,PROPN,NE,Lantonie,
Ich,PRON,PPER,ich,
habe,AUX,VAFIN,haben,haben
heute,ADV,ADV,heute,heute
einen,DET,ART,ein,ein
SMS,NOUN,NN,SMS,SMS
von,ADP,APPR,von,von
Tigaaaaelse,PROPN,NE,Tigaaaaelse,Tigaaaaelse
bekommen,VERB,VVPP,bekommen,bekommen
.,PUNCT,$.,.,.
*,PUNCT,$(,*,*
erzähl,UNK,AKW,erzähl,
*,PUNCT,$(,*,*
lanto,PROPN,NE,Lanto,
redet,VERB,VVFIN,reden,reden
wie,CONJ,KOKOM,wie,wie
ne,DET,ART,ein,
bewährungshelferin,NOUN,NN,Bewährungshelferin,
zora,PROPN,NE,Zora,
freut,VERB,VVFIN,freuen,freuen
sich,PRON,PRF,sich,
über,ADP,APPR,über,über
ihr,DET,PPOSAT,ihr,
zeugniss,NOUN,NN,Zeugnis,
:))),UNK,EMOASC,:))),:)))
*,PUNCT,$(,*,*
aufpluster,UNK,AKW,aufpluster,aufpluster
*,PUNCT,$(,*,*
ich,PRON,PPER,ich,
mal,UNK,PTKMA,mal,mal
wieder,ADV,ADV,wieder,wieder
nich,PART,PTKNEG,nicht,
...,PUNCT,$.,...,...
was,PRON,PWS,was,was
hast,AUX,VAFIN,haben,haben
denn,UNK,PTKMA,denn,denn
zori,PROPN,NE,Zori,
??,PUNCT,$.,??,??
erzähl,VERB,VVIMP,erzählen,erzählen
Das,PRON,PDS,der,
hast,AUX,VAFIN,haben,haben
du,PRON,PPER,du,
dir,PRON,PRF,sich,
verdient,VERB,VVPP,verdienen,verdienen
",",PUNCT,"$,",",",","
zori,PROPN,NE,Zori,
?,PUNCT,$.,?,?
oh,INTJ,ITJ,oh,oh
man,INTJ,ITJ,man,man
wat,PRON,PWS,was,
fürn,ADP,APPRART,für,
krawall,NOUN,NN,Krawall,
hier,ADV,ADV,hier,hier
draußen,ADV,ADV,draußen,draußen
...,PUNCT,$.,...,...
*,PUNCT,$(,*,*
guck,UNK,AKW,guck,
*,PUNCT,$(,*,*
nur,UNK,PTKIFG,nur,nur
einsen,NOUN,NN,Eins,
*,PUNCT,$(,*,*
brustschwell,UNK,AKW,brustschwell,brustschwell
*,PUNCT,$(,*,*
ree,INTJ,ITJ,re,
:-))),UNK,EMOASC,:-))),:-)))
reee,INTJ,ITJ,re,
r,INTJ,ITJ,r,r
emon,PROPN,NE,Emon,
und,CONJ,KON,und,und
eine,DET,ART,ein,ein
eins,NOUN,NN,Eins,
minus,NOUN,NN,Minus,
in,ADP,APPR,in,in
benehmen,NOUN,NN,benehmen,benehmen
*,PUNCT,$(,*,*
ggg,UNK,AKW,ggg,ggg
*,PUNCT,$(,*,*
*,PUNCT,$(,*,*
njamnjamnajm,UNK,ONO,njamnjamnajm,njamnjamnajm
*,PUNCT,$(,*,*
reee,INTJ,ITJ,re,
stoeps,PROPN,NE,stoeps,stoeps
.,PUNCT,$.,.,.
ohhhh,INTJ,ITJ,oh,
die,DET,ART,der,
geitigkeit,NOUN,NN,Geistigkeit,
kommt,VERB,VVFIN,kommen,kommen
auch,ADV,ADV,auch,auch
*,PUNCT,$(,*,*
freu,UNK,AKW,freu,
*,PUNCT,$(,*,*
re,INTJ,ITJ,re,re
schdöbbs,PROPN,NE,stoeps,
:o),UNK,EMOASC,:o),:o)
+,X,XY,+,+
s,UNK,AKW,s,s
Hallo,INTJ,ITJ,hallo,hallo
Emon,PROPN,NE,Emon,Emon
.,PUNCT,$.,.,.
re,INTJ,ITJ,re,re
stoeps,PROPN,NE,stoeps,stoeps
hi,INTJ,ITJ,hi,hi
emon,PROPN,NE,Emon,
tag,INTJ,ITJ,tag,
quaki,PROPN,NE,quaki,quaki
:),UNK,EMOASC,:),:)
dat,PRON,PDS,der,
sind,AUX,VAFIN,sein,sein
schätzungsweise,ADV,ADV,schätzungsweise,schätzungsweise
200,NUM,CARD,200,200
krähen,NOUN,NN,Krähe,
oder,CONJ,KON,oder,oder
so,ADV,ADV,so,so
in,ADP,APPR,in,in
nem,DET,ART,ein,
baum,NOUN,NN,Baum,
der,PRON,PRELS,der,
etwa,ADV,ADV,etwa,etwa
100,NUM,CARD,100,100
m,NOUN,NN,m,m
weg,ADV,ADV,weg,weg
is,AUX,VAFIN,sein,
...,PUNCT,$.,...,...
quaaakiiii,PROPN,NE,quaki,
und,CONJ,KON,und,und
lanto,PROPN,NE,Lanto,
:),UNK,EMOASC,:),:)
hi,INTJ,ITJ,hi,hi
thor,PROPN,NE,Thor,
:-),UNK,EMOASC,:-),:-)
hi,INTJ,ITJ,hi,hi
stoeps,PROPN,NE,stoeps,stoeps
unf,CONJ,KON,und,
tom,PROPN,NE,Tom,
:(,UNK,EMOASC,:(,:(
*,PUNCT,$(,*,*
g,UNK,AKW,g,g
*,PUNCT,$(,*,*
über,ADP,APPR,über,über
meine,DET,PPOSAT,mein,
benehmennote,NOUN,NN,Benehmennote,
reden,VERB,VVFIN,reden,reden
wir,PRON,PPER,wir,
lieber,ADJ,ADJD,lieb,lieb
nicht,PART,PTKNEG,nicht,nicht
hi,INTJ,ITJ,hi,hi
emon,PROPN,NE,Emon,
200,NUM,CARD,200,200
krähen,NOUN,NN,Krähe,
?,PUNCT,$.,?,?
jo,PART,PTKANT,jo,jo
..,PUNCT,$.,..,..
Die,DET,ART,der,
eins,NOUN,NN,Eins,
Minus,NOUN,NN,Minus,Minus
hast,AUX,VAFIN,haben,haben
du,PRON,PPER,du,
bekommen,VERB,VVPP,bekommen,bekommen
",",PUNCT,"$,",",",","
weil,SCONJ,KOUS,weil,weil
du,PRON,PPER,du,
eine,DET,ART,ein,ein
Zeitlang,NOUN,NN,Zeitlang,Zeitlang
häufti,ADJ,ADJD,häufti,häufti
gesagt,VERB,VVPP,sagen,sagen
hast,AUX,VAFIN,haben,haben
.,PUNCT,$.,.,.
was,PRON,PWS,was,was
ist,AUX,VAFIN,sein,sein
Benehmen,NOUN,NN,benehmen,benehmen
?,PUNCT,$.,?,?
die,DET,ART,der,
vögel,NOUN,NN,Vogel,
hi,INTJ,ITJ,hi,hi
quaki,PROPN,NE,quaki,quaki
",",PUNCT,"$,",",",","
lantonie,PROPN,NE,Lantonie,
*,PUNCT,$(,*,*
hehe,INTJ,ITJ,hehe,hehe
*,PUNCT,$(,*,*
stoeps,PROPN,NE,stoeps,stoeps
gibt,VERB,VVFIN,geben,geben
thor,PROPN,NE,Thor,
eine,DET,ART,ein,ein
6,NOUN,NN,6,6
Stimmts,UNK,VVPPER,stimmen,
?,PUNCT,$.,?,?
schtöps,PROPN,NE,stoeps,
:))),UNK,EMOASC,:))),:)))
*,PUNCT,$(,*,*
looool,UNK,AKW,lol,
*,PUNCT,$(,*,*
zori,PROPN,NE,Zori,
?,PUNCT,$.,?,?
re,INTJ,ITJ,re,re
*,PUNCT,$(,*,*
lach,UNK,AKW,lach,
*,PUNCT,$(,*,*
