token,tag,tag_STTS,lemma_gold,lemma_pred
was,PRON,PWS,was,was
echt,ADJ,ADJD,echt,echt
zori,PROPN,NE,Zori,zori
?,PUNCT,$.,?,--
das,PRON,PDS,der,der
küssen,NOUN,NN,küssen,küssen
??,PUNCT,$.,??,??
na,INTJ,ITJ,na,na
gut,ADJ,ADJD,gut,gut
marc,PROPN,NE,Marc,marc
.,PUNCT,$.,.,--
kein,DET,PIAT,kein,kein
servicepaket,NOUN,NN,Servicepaket,Servicepaket
nr.,NOUN,NN,Nr.,nr.
1,NUM,CARD,1,1
für,ADP,APPR,für,für
dich,PRON,PPER,dich,dich
:),UNK,EMOASC,:),:)
was,PRON,PWS,was,was
?,PUNCT,$.,?,--
hi,INTJ,ITJ,hi,hi
Danke,PART,PTKANT,danke,Danke
Pharao,PROPN,NE,Pharao,Pharao
*,PUNCT,$(,*,*
erleichtertguck,UNK,AKW,erleichtertguck,erleichtertguck
*,PUNCT,$(,*,*
juhuuu,INTJ,ITJ,juhu,juhuuu
tom,PROPN,NE,Tom,Tom
is,AUX,VAFIN,sein,--
dada,ADV,ADV,da,Dada
echt,ADJ,ADJD,echt,echt
?,PUNCT,$.,?,--
hi,INTJ,ITJ,hi,hi
quaki,PROPN,NE,quaki,quaki
Heyho,INTJ,ITJ,heyho,Heyho
Tom,PROPN,NE,Tom,Tom
re,INTJ,ITJ,re,re
Tom,PROPN,NE,Tom,Tom
hi,INTJ,ITJ,hi,hi
marc,PROPN,NE,Marc,marc
hi,INTJ,ITJ,hi,hi
tom,PROPN,NE,Tom,tom
hi,INTJ,ITJ,hi,hi
faryen,PROPN,NE,Faryen,Faryen
hi,INTJ,ITJ,hi,hi
zora,PROPN,NE,Zora,Zora
huhu,INTJ,ITJ,huhu,Huhu
tom,PROPN,NE,Tom,Tom
:),UNK,EMOASC,:),:)
alles,PRON,PIS,alle,alle
konfetti,ADJ,ADJD,konfetti,Konfetti
bei,ADP,APPR,bei,bei
euch,PRON,PPER,euch,euch
?,PUNCT,$.,?,--
mich,PRON,PPER,mich,mich
nochmal,ADV,ADV,nochmal,nochmal
zu,ADP,APPR,zu,zu
hi,X,XY,hi,hi
n,X,XY,n,n
hinstell,UNK,AKW,hinstell,hinstell
:),UNK,EMOASC,:),:)
lantonieeeeee,PROPN,NE,Lantonie,Lantonieeeeee
Hallo,INTJ,ITJ,hallo,Hallo
.,PUNCT,$.,.,--
:),UNK,EMOASC,:),:)
LANTOOO,PROPN,NE,Lantonie,LANTOOO
:))),UNK,EMOASC,:))),:)))
*,PUNCT,$(,*,*
mal,UNK,PTKMA,mal,mal
guck,UNK,AKW,guck,guck
wo,ADV,PWAV,wo,wo
quaki,PROPN,NE,quaki,quaki
sich,PRON,PRF,sich,sich
nu,ADV,ADV,nun,Nu
hinstelt,VERB,VVFIN,hinstellen,hinsteln
*,PUNCT,$(,*,*
G,UNK,AKW,g,G
*,PUNCT,$(,*,*
freu,UNK,AKW,freu,Freu
juhuuu,INTJ,ITJ,juhu,juhuuu
Hallo,INTJ,ITJ,hallo,Hallo
quaki,PROPN,NE,quaki,quaki
.,PUNCT,$.,.,--
Lantöööö,PROPN,NE,Lantonie,Lantöööö
:o),UNK,EMOASC,:o),:o)
hi,INTJ,ITJ,hi,hi
lanto,PROPN,NE,Lanto,Lanto
Huhu,INTJ,ITJ,huhu,Huhu
zoriiiiii,PROPN,NE,zora,zoriiiiii
.,PUNCT,$.,.,.
:))),UNK,EMOASC,:))),:)))
re,INTJ,ITJ,re,re
Tomcat,PROPN,NE,Tomcat,Tomcat
.,PUNCT,$.,.,--
re,INTJ,ITJ,re,re
marc,PROPN,NE,Marc,marc
.,PUNCT,$.,.,.
.))),UNK,EMOASC,.))),.)))
ups,INTJ,ITJ,ups,ups
is,AUX,VAFIN,sein,--
das,PRON,PDS,der,der
das,DET,ART,der,der
falsche,ADJ,ADJA,falsch,falsch
eck,NOUN,NN,Eck,Eck
??,PUNCT,$.,??,??
hi,INTJ,ITJ,hi,hi
Lantonie,PROPN,NE,Lantonie,Lantonie
quaki,PROPN,NE,quaki,Quaki
krabbelt,VERB,VVFIN,krabbeln,krabbeln
aus,ADP,APPR,aus,aus
dem,DET,ART,der,der
eck,NOUN,NN,Eck,Eck
raus,PART,PTKVZ,raus,raus
Hallo,INTJ,ITJ,hallo,Hallo
Faryen,PROPN,NE,Faryen,Faryen
.,PUNCT,$.,.,--
:),UNK,EMOASC,:),:)
Ich,PRON,PPER,ich,ich
finde,VERB,VVFIN,finden,finden
den,DET,ART,der,der
quaki,PROPN,NE,quaki,quaki
klasse,ADJ,ADJD,klasse,klasse
",",PUNCT,"$,",",",--
ein,DET,ART,ein,ein
toller,ADJ,ADJA,toll,toll
Neuzugang,NOUN,NN,Neuzugang,Neuzugang
",",PUNCT,"$,",",",--
der,PRON,PRELS,der,der
sich,PRON,PRF,sich,sich
echt,ADJ,ADJD,echt,echt
bewährt,VERB,VVFIN,bewähren,bewähren
.,PUNCT,$.,.,--
:))),UNK,EMOASC,:))),:)))
Na,INTJ,ITJ,na,Na
",",PUNCT,"$,",",",--
zori,PROPN,NE,Zori,zori
?,PUNCT,$.,?,--
:)),UNK,EMOASC,:)),:))
den,PRON,PDS,der,der
?,PUNCT,$.,?,--
*,PUNCT,$(,*,*
g,UNK,AKW,g,g
*,PUNCT,$(,*,*
dange,PART,PTKANT,danke,Dange
lantonie,PROPN,NE,Lantonie,Lantonie
Ich,PRON,PPER,ich,ich
habe,AUX,VAFIN,haben,haben
heute,ADV,ADV,heute,heute
einen,DET,ART,ein,ein
SMS,NOUN,NN,SMS,SMS
von,ADP,APPR,von,von
Tigaaaaelse,PROPN,NE,Tigaaaaelse,Tigaaaaelse
bekommen,VERB,VVPP,bekommen,bekommen
.,PUNCT,$.,.,--
*,PUNCT,$(,*,*
erzähl,UNK,AKW,erzähl,erzähl
*,PUNCT,$(,*,*
lanto,PROPN,NE,Lanto,Lanto
redet,VERB,VVFIN,reden,reden
wie,CONJ,KOKOM,wie,wie
ne,DET,ART,ein,n
bewährungshelferin,NOUN,NN,Bewährungshelferin,Bewährungshelferin
zora,PROPN,NE,Zora,Zora
freut,VERB,VVFIN,freuen,freuen
sich,PRON,PRF,sich,sich
über,ADP,APPR,über,über
ihr,DET,PPOSAT,ihr,ihr
zeugniss,NOUN,NN,Zeugnis,Zeugniss
:))),UNK,EMOASC,:))),:)))
*,PUNCT,$(,*,*
aufpluster,UNK,AKW,aufpluster,Aufpluster
*,PUNCT,$(,*,*
ich,PRON,PPER,ich,ich
mal,UNK,PTKMA,mal,mal
wieder,ADV,ADV,wieder,wieder
nich,PART,PTKNEG,nicht,nich
...,PUNCT,$.,...,--
was,PRON,PWS,was,was
hast,AUX,VAFIN,haben,haben
denn,UNK,PTKMA,denn,denn
zori,PROPN,NE,Zori,zori
??,PUNCT,$.,??,??
erzähl,VERB,VVIMP,erzählen,Erzähl
Das,PRON,PDS,der,der
hast,AUX,VAFIN,haben,hasben
du,PRON,PPER,du,du
dir,PRON,PRF,sich,dir
verdient,VERB,VVPP,verdienen,verdienen
",",PUNCT,"$,",",",--
zori,PROPN,NE,Zori,Zori
?,PUNCT,$.,?,--
oh,INTJ,ITJ,oh,oh
man,INTJ,ITJ,man,man
wat,PRON,PWS,was,wat
fürn,ADP,APPRART,für,fürn
krawall,NOUN,NN,Krawall,krawall
hier,ADV,ADV,hier,hier
draußen,ADV,ADV,draußen,draußen
...,PUNCT,$.,...,--
*,PUNCT,$(,*,*
guck,UNK,AKW,guck,guck
*,PUNCT,$(,*,*
nur,UNK,PTKIFG,nur,nur
einsen,NOUN,NN,Eins,einsen
*,PUNCT,$(,*,*
brustschwell,UNK,AKW,brustschwell,Brustschwell
*,PUNCT,$(,*,*
ree,INTJ,ITJ,re,ree
:-))),UNK,EMOASC,:-))),:-)))
reee,INTJ,ITJ,re,Reee
r,INTJ,ITJ,r,r
emon,PROPN,NE,Emon,emon
und,CONJ,KON,und,und
eine,DET,ART,ein,ein
eins,NOUN,NN,Eins,einer
minus,NOUN,NN,Minus,Minus
in,ADP,APPR,in,in
benehmen,NOUN,NN,benehmen,benehmen
*,PUNCT,$(,*,*
ggg,UNK,AKW,ggg,ggg
*,PUNCT,$(,*,*
*,PUNCT,$(,*,*
njamnjamnajm,UNK,ONO,njamnjamnajm,njamnjamnajm
*,PUNCT,$(,*,*
reee,INTJ,ITJ,re,reee
stoeps,PROPN,NE,stoeps,stoeps
.,PUNCT,$.,.,--
ohhhh,INTJ,ITJ,oh,ohhhh
die,DET,ART,der,der
geitigkeit,NOUN,NN,Geistigkeit,Geitigkeit
kommt,VERB,VVFIN,kommen,kommen
auch,ADV,ADV,auch,auch
*,PUNCT,$(,*,*
freu,UNK,AKW,freu,Freu
*,PUNCT,$(,*,*
re,INTJ,ITJ,re,re
schdöbbs,PROPN,NE,stoeps,schdöbbs
:o),UNK,EMOASC,:o),:o)
+,X,XY,+,+
s,UNK,AKW,s,es
Hallo,INTJ,ITJ,hallo,Hallo
Emon,PROPN,NE,Emon,Emon
.,PUNCT,$.,.,--
re,INTJ,ITJ,re,Re
stoeps,PROPN,NE,stoeps,stoeps
hi,INTJ,ITJ,hi,hi
emon,PROPN,NE,Emon,emon
tag,INTJ,ITJ,tag,Tag
quaki,PROPN,NE,quaki,quaki
:),UNK,EMOASC,:),:)
dat,PRON,PDS,der,dat
sind,AUX,VAFIN,sein,sein
schätzungsweise,ADV,ADV,schätzungsweise,schätzungsweise
200,NUM,CARD,200,200
krähen,NOUN,NN,Krähe,krähen
oder,CONJ,KON,oder,oder
so,ADV,ADV,so,so
in,ADP,APPR,in,in
nem,DET,ART,ein,nem
baum,NOUN,NN,Baum,Baum
der,PRON,PRELS,der,der
etwa,ADV,ADV,etwa,etwa
100,NUM,CARD,100,100
m,NOUN,NN,m,M
weg,ADV,ADV,weg,weg
is,AUX,VAFIN,sein,is
...,PUNCT,$.,...,--
quaaakiiii,PROPN,NE,quaki,quaaakiiii
und,CONJ,KON,und,und
lanto,PROPN,NE,Lanto,Lanto
:),UNK,EMOASC,:),:)
hi,INTJ,ITJ,hi,hi
thor,PROPN,NE,Thor,thor
:-),UNK,EMOASC,:-),:-)
hi,INTJ,ITJ,hi,hi
stoeps,PROPN,NE,stoeps,stoeps
unf,CONJ,KON,und,unf
tom,PROPN,NE,Tom,tom
:(,UNK,EMOASC,:(,:(
*,PUNCT,$(,*,*
g,UNK,AKW,g,g
*,PUNCT,$(,*,*
über,ADP,APPR,über,über
meine,DET,PPOSAT,mein,mein
benehmennote,NOUN,NN,Benehmennote,benehmennote
reden,VERB,VVFIN,reden,reden
wir,PRON,PPER,wir,wir
lieber,ADJ,ADJD,lieb,lieber
nicht,PART,PTKNEG,nicht,nicht
hi,INTJ,ITJ,hi,hi
emon,PROPN,NE,Emon,emon
200,NUM,CARD,200,200
krähen,NOUN,NN,Krähe,krähen
?,PUNCT,$.,?,--
jo,PART,PTKANT,jo,jo
..,PUNCT,$.,..,..
Die,DET,ART,der,der
eins,NOUN,NN,Eins,eins
Minus,NOUN,NN,Minus,Minus
hast,AUX,VAFIN,haben,haben
du,PRON,PPER,du,du
bekommen,VERB,VVPP,bekommen,bekommen
",",PUNCT,"$,",",",--
weil,SCONJ,KOUS,weil,weil
du,PRON,PPER,du,du
eine,DET,ART,ein,ein
Zeitlang,NOUN,NN,Zeitlang,Zeitlang
häufti,ADJ,ADJD,häufti,häufti
gesagt,VERB,VVPP,sagen,sagen
hast,AUX,VAFIN,haben,haben
.,PUNCT,$.,.,--
was,PRON,PWS,was,was
ist,AUX,VAFIN,sein,sein
Benehmen,NOUN,NN,benehmen,Benehmen
?,PUNCT,$.,?,--
die,DET,ART,der,der
vögel,NOUN,NN,Vogel,vögel
hi,INTJ,ITJ,hi,hi
quaki,PROPN,NE,quaki,quaki
",",PUNCT,"$,",",",--
lantonie,PROPN,NE,Lantonie,Lantonie
*,PUNCT,$(,*,*
hehe,INTJ,ITJ,hehe,hehe
