token,tag,tag_STTS,lemma_gold,lemma_pred
was,PRON,PWS,was,was
echt,ADJ,ADJD,echt,echt
zori,PROPN,NE,Zori,<unknown>
?,PUNCT,$.,?,?
das,PRON,PDS,der,die
küssen,NOUN,NN,küssen,küssen
??,PUNCT,$.,??,<unknown>
na,INTJ,ITJ,na,na
gut,ADJ,ADJD,gut,gut
marc,PROPN,NE,Marc,Marc
.,PUNCT,$.,.,.
kein,DET,PIAT,kein,keine
servicepaket,NOUN,NN,Servicepaket,Servicepaket
nr.,NOUN,NN,Nr.,nr.
1,NUM,CARD,1,@card@
für,ADP,APPR,für,für
dich,PRON,PPER,dich,du
:),UNK,EMOASC,:),<unknown>
was,PRON,PWS,was,was
?,PUNCT,$.,?,?
hi,INTJ,ITJ,hi,<unknown>
Danke,PART,PTKANT,danke,Dank
Pharao,PROPN,NE,Pharao,Pharao
*,PUNCT,$(,*,*
erleichtertguck,UNK,AKW,erleichtertguck,<unknown>
*,PUNCT,$(,*,*
juhuuu,INTJ,ITJ,juhu,<unknown>
tom,PROPN,NE,Tom,<unknown>
is,AUX,VAFIN,sein,is
dada,ADV,ADV,da,Dada
echt,ADJ,ADJD,echt,echt
?,PUNCT,$.,?,?
hi,INTJ,ITJ,hi,<unknown>
quaki,PROPN,NE,quaki,<unknown>
Heyho,INTJ,ITJ,heyho,<unknown>
Tom,PROPN,NE,Tom,Tom
re,INTJ,ITJ,re,<unknown>
Tom,PROPN,NE,Tom,Tom
hi,INTJ,ITJ,hi,<unknown>
marc,PROPN,NE,Marc,Marc
hi,INTJ,ITJ,hi,<unknown>
tom,PROPN,NE,Tom,<unknown>
hi,INTJ,ITJ,hi,<unknown>
faryen,PROPN,NE,Faryen,<unknown>
hi,INTJ,ITJ,hi,<unknown>
zora,PROPN,NE,Zora,<unknown>
huhu,INTJ,ITJ,huhu,huhu
tom,PROPN,NE,Tom,<unknown>
:),UNK,EMOASC,:),<unknown>
alles,PRON,PIS,alle,alle
konfetti,ADJ,ADJD,konfetti,Konfetti
bei,ADP,APPR,bei,bei
euch,PRON,PPER,euch,ihr
?,PUNCT,$.,?,?
mich,PRON,PPER,mich,ich
nochmal,ADV,ADV,nochmal,nochmal
zu,ADP,APPR,zu,zu
hi,X,XY,hi,<unknown>
n,X,XY,n,<unknown>
hinstell,UNK,AKW,hinstell,<unknown>
:),UNK,EMOASC,:),<unknown>
lantonieeeeee,PROPN,NE,Lantonie,<unknown>
Hallo,INTJ,ITJ,hallo,Hallo
.,PUNCT,$.,.,.
:),UNK,EMOASC,:),<unknown>
LANTOOO,PROPN,NE,Lantonie,<unknown>
:))),UNK,EMOASC,:))),<unknown>
*,PUNCT,$(,*,*
mal,UNK,PTKMA,mal,mal
guck,UNK,AKW,guck,gucken
wo,ADV,PWAV,wo,wo
quaki,PROPN,NE,quaki,<unknown>
sich,PRON,PRF,sich,sich
nu,ADV,ADV,nun,nu
hinstelt,VERB,VVFIN,hinstellen,<unknown>
*,PUNCT,$(,*,*
G,UNK,AKW,g,G
*,PUNCT,$(,*,*
freu,UNK,AKW,freu,freuen
juhuuu,INTJ,ITJ,juhu,<unknown>
Hallo,INTJ,ITJ,hallo,Hallo
quaki,PROPN,NE,quaki,<unknown>
.,PUNCT,$.,.,.
Lantöööö,PROPN,NE,Lantonie,<unknown>
:o),UNK,EMOASC,:o),<unknown>
hi,INTJ,ITJ,hi,<unknown>
lanto,PROPN,NE,Lanto,<unknown>
Huhu,INTJ,ITJ,huhu,huhu
zoriiiiii,PROPN,NE,zora,<unknown>
.,PUNCT,$.,.,.
:))),UNK,EMOASC,:))),<unknown>
re,INTJ,ITJ,re,<unknown>
Tomcat,PROPN,NE,Tomcat,<unknown>
.,PUNCT,$.,.,.
re,INTJ,ITJ,re,<unknown>
marc,PROPN,NE,Marc,Marc
.,PUNCT,$.,.,.
.))),UNK,EMOASC,.))),<unknown>
ups,INTJ,ITJ,ups,ups
is,AUX,VAFIN,sein,is
das,PRON,PDS,der,die
das,DET,ART,der,die
falsche,ADJ,ADJA,falsch,falsch
eck,NOUN,NN,Eck,ecken
??,PUNCT,$.,??,<unknown>
hi,INTJ,ITJ,hi,<unknown>
Lantonie,PROPN,NE,Lantonie,<unknown>
quaki,PROPN,NE,quaki,<unknown>
krabbelt,VERB,VVFIN,krabbeln,krabbeln
aus,ADP,APPR,aus,aus
dem,DET,ART,der,die
eck,NOUN,NN,Eck,ecken
raus,PART,PTKVZ,raus,raus
Hallo,INTJ,ITJ,hallo,Hallo
Faryen,PROPN,NE,Faryen,<unknown>
.,PUNCT,$.,.,.
:),UNK,EMOASC,:),<unknown>
Ich,PRON,PPER,ich,Ich
finde,VERB,VVFIN,finden,finden
den,DET,ART,der,die
quaki,PROPN,NE,quaki,<unknown>
klasse,ADJ,ADJD,klasse,klasse
",",PUNCT,"$,",",",","
ein,DET,ART,ein,eine
toller,ADJ,ADJA,toll,toll
Neuzugang,NOUN,NN,Neuzugang,Neuzugang
",",PUNCT,"$,",",",","
der,PRON,PRELS,der,die
sich,PRON,PRF,sich,sich
echt,ADJ,ADJD,echt,echt
bewährt,VERB,VVFIN,bewähren,bewähren
.,PUNCT,$.,.,.
:))),UNK,EMOASC,:))),<unknown>
Na,INTJ,ITJ,na,na
",",PUNCT,"$,",",",","
zori,PROPN,NE,Zori,<unknown>
?,PUNCT,$.,?,?
:)),UNK,EMOASC,:)),<unknown>
den,PRON,PDS,der,die
?,PUNCT,$.,?,?
*,PUNCT,$(,*,*
g,UNK,AKW,g,g
*,PUNCT,$(,*,*
dange,PART,PTKANT,danke,<unknown>
lantonie,PROPN,NE,Lantonie,<unknown>
Ich,PRON,PPER,ich,Ich
habe,AUX,VAFIN,haben,haben
heute,ADV,ADV,heute,heute
einen,DET,ART,ein,eine
SMS,NOUN,NN,SMS,SMS
von,ADP,APPR,von,von
Tigaaaaelse,PROPN,NE,Tigaaaaelse,<unknown>
bekommen,VERB,VVPP,bekommen,bekommen
.,PUNCT,$.,.,.
*,PUNCT,$(,*,*
erzähl,UNK,AKW,erzähl,erzählen
*,PUNCT,$(,*,*
lanto,PROPN,NE,Lanto,<unknown>
redet,VERB,VVFIN,reden,reden
wie,CONJ,KOKOM,wie,wie
ne,DET,ART,ein,eine
bewährungshelferin,NOUN,NN,Bewährungshelferin,Bewährungshelferin
zora,PROPN,NE,Zora,Zora
freut,VERB,VVFIN,freuen,freuen
sich,PRON,PRF,sich,sich
über,ADP,APPR,über,über
ihr,DET,PPOSAT,ihr,ihr
zeugniss,NOUN,NN,Zeugnis,<unknown>
:))),UNK,EMOASC,:))),<unknown>
*,PUNCT,$(,*,*
aufpluster,UNK,AKW,aufpluster,<unknown>
*,PUNCT,$(,*,*
ich,PRON,PPER,ich,ich
mal,UNK,PTKMA,mal,mal
wieder,ADV,ADV,wieder,wieder
nich,PART,PTKNEG,nicht,<unknown>
...,PUNCT,$.,...,...
was,PRON,PWS,was,was
hast,AUX,VAFIN,haben,haben
denn,UNK,PTKMA,denn,denn
zori,PROPN,NE,Zori,<unknown>
??,PUNCT,$.,??,<unknown>
erzähl,VERB,VVIMP,erzählen,erzählen
Das,PRON,PDS,der,die
hast,AUX,VAFIN,haben,haben
du,PRON,PPER,du,du
dir,PRON,PRF,sich,du
verdient,VERB,VVPP,verdienen,verdienen
",",PUNCT,"$,",",",","
zori,PROPN,NE,Zori,<unknown>
?,PUNCT,$.,?,?
oh,INTJ,ITJ,oh,oh
man,INTJ,ITJ,man,man
wat,PRON,PWS,was,waten
fürn,ADP,APPRART,für,<unknown>
krawall,NOUN,NN,Krawall,Krawall
hier,ADV,ADV,hier,hier
draußen,ADV,ADV,draußen,draußen
...,PUNCT,$.,...,...
*,PUNCT,$(,*,*
guck,UNK,AKW,guck,gucken
*,PUNCT,$(,*,*
nur,UNK,PTKIFG,nur,nur
einsen,NOUN,NN,Eins,Eins
*,PUNCT,$(,*,*
brustschwell,UNK,AKW,brustschwell,<unknown>
*,PUNCT,$(,*,*
ree,INTJ,ITJ,re,<unknown>
:-))),UNK,EMOASC,:-))),<unknown>
reee,INTJ,ITJ,re,<unknown>
r,INTJ,ITJ,r,r
emon,PROPN,NE,Emon,<unknown>
und,CONJ,KON,und,und
eine,DET,ART,ein,eine
eins,NOUN,NN,Eins,eins
minus,NOUN,NN,Minus,minus
in,ADP,APPR,in,in
benehmen,NOUN,NN,benehmen,benehmen
*,PUNCT,$(,*,*
ggg,UNK,AKW,ggg,<unknown>
*,PUNCT,$(,*,*
*,PUNCT,$(,*,*
njamnjamnajm,UNK,ONO,njamnjamnajm,<unknown>
*,PUNCT,$(,*,*
reee,INTJ,ITJ,re,<unknown>
stoeps,PROPN,NE,stoeps,<unknown>
.,PUNCT,$.,.,.
ohhhh,INTJ,ITJ,oh,<unknown>
die,DET,ART,der,die
geitigkeit,NOUN,NN,Geistigkeit,<unknown>
kommt,VERB,VVFIN,kommen,kommen
auch,ADV,ADV,auch,auch
*,PUNCT,$(,*,*
freu,UNK,AKW,freu,freuen
*,PUNCT,$(,*,*
re,INTJ,ITJ,re,<unknown>
schdöbbs,PROPN,NE,stoeps,<unknown>
:o),UNK,EMOASC,:o),<unknown>
+,X,XY,+,+
s,UNK,AKW,s,s
Hallo,INTJ,ITJ,hallo,Hallo
Emon,PROPN,NE,Emon,<unknown>
.,PUNCT,$.,.,.
re,INTJ,ITJ,re,<unknown>
stoeps,PROPN,NE,stoeps,<unknown>
hi,INTJ,ITJ,hi,<unknown>
emon,PROPN,NE,Emon,<unknown>
tag,INTJ,ITJ,tag,tagen
quaki,PROPN,NE,quaki,<unknown>
:),UNK,EMOASC,:),<unknown>
dat,PRON,PDS,der,dat
sind,AUX,VAFIN,sein,sein
schätzungsweise,ADV,ADV,schätzungsweise,schätzungsweise
200,NUM,CARD,200,@card@
krähen,NOUN,NN,Krähe,krähen
oder,CONJ,KON,oder,oder
so,ADV,ADV,so,so
in,ADP,APPR,in,in
nem,DET,ART,ein,<unknown>
baum,NOUN,NN,Baum,Baum
der,PRON,PRELS,der,die
etwa,ADV,ADV,etwa,etwa
100,NUM,CARD,100,@card@
m,NOUN,NN,m,m
weg,ADV,ADV,weg,weg
is,AUX,VAFIN,sein,is
...,PUNCT,$.,...,...
quaaakiiii,PROPN,NE,quaki,<unknown>
und,CONJ,KON,und,und
lanto,PROPN,NE,Lanto,<unknown>
:),UNK,EMOASC,:),<unknown>
hi,INTJ,ITJ,hi,<unknown>
thor,PROPN,NE,Thor,<unknown>
:-),UNK,EMOASC,:-),<unknown>
hi,INTJ,ITJ,hi,<unknown>
stoeps,PROPN,NE,stoeps,<unknown>
unf,CONJ,KON,und,<unknown>
tom,PROPN,NE,Tom,<unknown>
:(,UNK,EMOASC,:(,<unknown>
*,PUNCT,$(,*,*
g,UNK,AKW,g,g
*,PUNCT,$(,*,*
über,ADP,APPR,über,über
meine,DET,PPOSAT,mein,mein
benehmennote,NOUN,NN,Benehmennote,<unknown>
reden,VERB,VVFIN,reden,reden
wir,PRON,PPER,wir,wir
lieber,ADJ,ADJD,lieb,lieb
nicht,PART,PTKNEG,nicht,nicht
hi,INTJ,ITJ,hi,<unknown>
emon,PROPN,NE,Emon,<unknown>
200,NUM,CARD,200,@card@
krähen,NOUN,NN,Krähe,krähen
?,PUNCT,$.,?,?
jo,PART,PTKANT,jo,Jo
..,PUNCT,$.,..,..
Die,DET,ART,der,die
eins,NOUN,NN,Eins,eins
Minus,NOUN,NN,Minus,Minus
hast,AUX,VAFIN,haben,haben
du,PRON,PPER,du,du
bekommen,VERB,VVPP,bekommen,bekommen
",",PUNCT,"$,",",",","
weil,SCONJ,KOUS,weil,weil
du,PRON,PPER,du,du
eine,DET,ART,ein,eine
Zeitlang,NOUN,NN,Zeitlang,Zeitlang
häufti,ADJ,ADJD,häufti,<unknown>
gesagt,VERB,VVPP,sagen,sagen
hast,AUX,VAFIN,haben,haben
.,PUNCT,$.,.,.
was,PRON,PWS,was,was
ist,AUX,VAFIN,sein,sein
