token,tag,tag_STTS,lemma_gold,lemma_pred
das,PRON,PDS,der,das
wärs,UNK,VAPPER,sein,wär
",",PUNCT,"$,",",",","
allen,DET,PIAT,aller,alle
Teilnehmern,NOUN,NN,Teilnehmer,Teilnehmer
herzlichen,ADJ,ADJA,herzlich,herzlich
Dank,NOUN,NN,Dank,Dank
!,PUNCT,$.,!,!
#dtaclarin14,UNK,HST,#dtaclarin14,#dtaclarin14
Clarin,PROPN,NE,Clarin,Clarin
Vlo,PROPN,NE,Vlo,Vlo
:,PUNCT,$(,:,:
https://catalog.clarin.eu,UNK,URL,https://catalog.clarin.eu,https://catalog.clarin.eu
#dtaclarin14,UNK,HST,#dtaclarin14,#dtaclarin14
Dieter,PROPN,NE,Dieter,Dieter
Van,PROPN,NE,Van,Van
Uytvanck,PROPN,NE,Uytvanck,Uytvanck
(,PUNCT,$(,(,(
Nijmegen,PROPN,NE,Nijmegen,Nijmegen
),PUNCT,$(,),)
:,PUNCT,$(,:,:
auf,ADP,APPR,auf,auf
der,DET,ART,der,der
Suche,NOUN,NN,Suche,Suche
nach,ADP,APPR,nach,nach
Sprachressourcen,NOUN,NN,Sprachressource,Sprachressource
:,PUNCT,$(,:,:
CLARINs,PROPN,NE,CLARIN,CLARINs
Virtual,PROPN,NE,Virtual,Virtual
Language,PROPN,NE,Language,Language
Observatory,PROPN,NE,Observatory,Observatory
#dtaclarin14,UNK,HST,#dtaclarin14,#dtaclarin14
praktisches,ADJ,ADJA,praktisch,praktisch
Beispiel,NOUN,NN,Beispiel,Beispiel
der,DET,ART,der,der
Wortverlaufskurve,NOUN,NN,Wortverlaufskurve,Wortverlaufskurve
:,PUNCT,$(,:,:
Abnahme,NOUN,NN,Abnahme,Abnahme
von,ADP,APPR,von,von
erweiterten,ADJ,ADJA,erweitert,erweitern
Partizipialattributen,NOUN,NN,Partizipialattribut,Partizipialattribut
mit,ADP,APPR,mit,mit
"""",PUNCT,$(,"""",
habend,ADJ,ADJD,habend,haben
"""",PUNCT,$(,"""",
:,PUNCT,$(,:,:
http://bit.ly/1eupphk,UNK,URL,http://bit.ly/1eupphk,http://bit.ly/1eupphk
#dtaclarin14,UNK,HST,#dtaclarin14,#dtaclarin14
der,DET,ART,der,der
Troll,NOUN,NN,Troll,Troll
",",PUNCT,"$,",",",","
der,PRON,PRELS,der,der
noch,ADV,ADV,noch,noch
im,ADP,APPRART,in,in
@dwds_de,PROPN,NE,@dwds_de,@dwds_de
fehlt,VERB,VVFIN,fehlen,fehlen
:,PUNCT,$(,:,:
http://de.m.wikipedia.org/wiki/troll_(netzkultur),UNK,URL,http://de.m.wikipedia.org/wiki/troll_(netzkultur),http://de.m.wikipedia.org/wiki/troll_(netzkultur)
…,PUNCT,$.,…,…
#dtaclarin14,UNK,HST,#dtaclarin14,#dtaclarin14
"""",PUNCT,$(,"""",
in,ADP,APPR,in,in
welchen,DET,PWAT,welcher,welch
Modi,NOUN,NN,Modus,Mode
werden,AUX,VAFIN,werden,werden
wir,PRON,PPER,wir,wir
in,ADP,APPR,in,in
einigen,DET,PIAT,einiger,einige
Jahren,NOUN,NN,Jahr,Jahr
kommunizieren,VERB,VVINF,kommunizieren,kommunizieren
?,PUNCT,$.,?,?
"""",PUNCT,$(,"""",
@berlinothar,UNK,ADR,@berlinothar,@berlinothar
#ibk,UNK,HST,#ibk,#ibk
#cmc,UNK,HST,#cmc,#cmc
#dtaclarin14,UNK,HST,#dtaclarin14,#dtaclarin14
@xyzbaba,UNK,ADR,@xyzbaba,@xyzbaba
"""",PUNCT,$(,"""",
ich,PRON,PPER,ich,ich
wollte,VERB,VMFIN,wollen,wollen
einen,DET,ART,ein,ein
Tweet,NOUN,NN,Tweet,Tweet
für,ADP,APPR,für,für
alle,PRON,PIS,alle,alle
schreiben,VERB,VVINF,schreiben,schreiben
",",PUNCT,"$,",",",","
hat,AUX,VAFIN,haben,haben
wohl,UNK,PTKMA,wohl,wohl
nicht,PART,PTKNEG,nicht,nicht
geklappt,VERB,VVPP,klappen,klappen
"""",PUNCT,$(,"""",
<-,X,XY,<-,<-
einfach,ADJ,ADJD,einfach,einfach
Schlagwort,NOUN,NN,Schlagwort,Schlagwort
#semibk,PROPN,NE,#semibk,#semibk
einbauen,VERB,VVINF,einbauen,einbauen
",",PUNCT,"$,",",",","
dann,ADV,ADV,dann,dann
klappt,VERB,VVFIN,klappen,klappen
das,PRON,PDS,der,das
:),UNK,EMOASC,:),:)
@SimMüller,UNK,ADR,@SimMüller,@SimMüller
#semibk,UNK,HST,#semibk,#semibk
"""",PUNCT,$(,"""",
zwitscher,UNK,AKW,zwitscher,zwitschern
zwitscher,UNK,AKW,zwitscher,zwitschern
geschafft,VERB,VVPP,schaffen,schaffen
"""",PUNCT,$(,"""",
<-,X,XY,<-,<-
aha,INTJ,ITJ,aha,aha
!,PUNCT,$.,!,!
es,PRON,PPER,es,es
zwitschert,VERB,VVFIN,zwitschern,zwitschern
im,ADP,APPRART,in,im
virtuellen,ADJ,ADJA,virtuell,virtuell
Geäst,NOUN,NN,Geäst,Geäst
!,PUNCT,$.,!,!
;),UNK,EMOASC,;),;)
http://tinyurl.com/6hg24tw,UNK,URL,http://tinyurl.com/6hg24tw,http://tinyurl.com/6hg24tw
@ramiona,UNK,ADR,@ramiona,@ramiona
"""",PUNCT,$(,"""",
OpenOffice,PROPN,NE,OpenOffice,OpenOffice
Dokument,NOUN,NN,Dokument,Dokument
...,PUNCT,$(,...,...
oder,CONJ,KON,oder,oder
nur,UNK,PTKIFG,nur,nur
als,CONJ,KOKOM,als,als
Word,PROPN,NE,Word,Word
"""",PUNCT,$(,"""",
<-,X,XY,<-,<-
am,PART,PTKA,am,am
liebsten,ADJ,ADJD,lieb,liebst
wär,AUX,VAFIN,sein,werden
mir,PRON,PPER,mir,mir
RTF,PROPN,NE,RTF,RTF
oder,CONJ,KON,oder,oder
PDF,PROPN,NE,PDF,PDF
-,PUNCT,$(,-,-
das,PRON,PDS,der,das
kann,VERB,VMFIN,können,können
ihr,DET,PPOSAT,ihr,ihr
offenes,ADJ,ADJA,offen,offen
Büro,NOUN,NN,Büro,Büro
doch,UNK,PTKMA,doch,doch
",",PUNCT,"$,",",",","
oder,CONJ,KON,oder,oder
?,PUNCT,$.,?,?
:),UNK,EMOASC,:),:)
@kelly456,UNK,ADR,@kelly456,@kelly456
#semibk,UNK,HST,#semibk,#semibk
"""",PUNCT,$(,"""",
kann,VERB,VMFIN,können,können
man,PRON,PIS,man,man
die,DET,ART,der,der
Ergebnisse,NOUN,NN,Ergebnis,Ergebnis
v.,ADP,APPRART,v.,v
14.,ADJ,ADJA,14.,.
4.,ADJ,ADJA,4.,14.4.
noch,ADV,ADV,noch,noch
nachlesen,VERB,VVINF,nachlesen,nachlesen
?,PUNCT,$.,?,?
"""",PUNCT,$(,"""",
<-,X,XY,<-,<-
ja,PART,PTKANT,ja,ja
",",PUNCT,"$,",",",","
im,ADP,APPRART,in,im
Profil,NOUN,NN,Profil,Profil
von,ADP,APPR,von,von
Frau,NOUN,NN,Frau,Frau
Baumann,PROPN,NE,Baumann,Baumann
/,PUNCT,$(,/,/
@abcmaria,UNK,ADR,@abcmaria,@abcmaria
(,PUNCT,$(,(,(
dort,ADV,ADV,dort,dort
unter,ADP,APPR,unter,unter
"""",PUNCT,$(,"""",
weitere,ADJ,ADJA,weit,weitere
Tweets,NOUN,NN,Tweet,Tweet
"""",PUNCT,$(,"""",
),PUNCT,$(,),)
#semibk,UNK,HST,#semibk,#semibk
wir,PRON,PPER,wir,wir
nutzen,VERB,VVFIN,nutzen,nutzen
dann,ADV,ADV,dann,dann
eine,DET,ART,ein,ein
"""",PUNCT,$(,"""",
Twitterwall,NOUN,NN,Twitterwall,Twitterwall
"""",PUNCT,$(,"""",
.,PUNCT,$.,.,.
mal,UNK,PTKMA,mal,mal
sehen,VERB,VMFIN,sehen,sehen
",",PUNCT,"$,",",",","
ob,SCONJ,KOUS,ob,ob
/,PUNCT,$(,/,/
wie,ADV,PWAV,wie,wie
chaotisch,ADJ,ADJD,chaotisch,chaotisch
das,PRON,PDS,der,das
wird,AUX,VAFIN,werden,werden
.,PUNCT,$.,.,.
;),UNK,EMOASC,;),;)
ich,PRON,PPER,ich,ich
schreibe,VERB,VVFIN,schreiben,schreiben
das,PRON,PDS,der,das
vielleicht,ADV,ADV,vielleicht,vielleicht
auch,ADV,ADV,auch,auch
noch,UNK,PTKMWL,noch,noch
mal,UNK,PTKMWL,mal,mal
per,ADP,APPR,per,per
Rundmail,NOUN,NN,Rundmail,Rundmail
..,PUNCT,$.,..,..
:),UNK,EMOASC,:),:)
#semibk,UNK,HST,#semibk,@montaaag
ich,PRON,PPER,ich,#semibk
vergaß,VERB,VVFIN,vergessen,
ganz,ADJ,ADJD,ganz,ich
anzukündigen,VERB,VVIZU,ankündigen,können
",",PUNCT,"$,",",",erstaunlich
dass,SCONJ,KOUS,dass,viel
Sie,PRON,PPER,sie,schreiben
alle,DET,PIAT,aller,
in,ADP,APPR,in,<-
der,DET,ART,der,denken
nächsten,ADJ,ADJA,nächster,ichs
Sitzung,NOUN,NN,Sitzung,mir
votragsbegleitend,ADJ,ADJD,votragsbegleitend,doch
per,ADP,APPR,per,","
Twitter,PROPN,NE,Twitter,dass
kommentieren,VERB,VVINF,kommentieren,sich
/,PUNCT,$(,/,die
rückfragen,VERB,VVINF,rückfragen,Tagebuch
dürfen,VERB,VMFIN,dürfen,schnell
.,PUNCT,$.,.,füllen
;),UNK,EMOASC,;),;)
interessante,ADJ,ADJA,interessant,interessant
Hintergrundstory,NOUN,NN,Hintergrundstory,Hintergrundstory
zu,ADP,APPR,zu,zu
Twitter,PROPN,NE,Twitter,Twitter
heute,ADV,ADV,heute,heute
auf,ADP,APPR,auf,auf
Spiegel,PROPN,NE,Spiegel,Spiegel
Online,PROPN,NE,Online,Online
:,PUNCT,$.,:,:
http://tinyurl.com/6heegfw,UNK,URL,http://tinyurl.com/6heegfw,http://tinyurl.com/6heegfw
#semibk,UNK,HST,#semibk,#semibk
@apfel4321,UNK,ADR,@apfel4321,@apfel4321
das,DET,ART,der,der
Tagebuch,NOUN,NN,Tagebuch,Tagebuch
über,ADP,APPR,über,über
Ihre,DET,PPOSAT,ihr,Ihr
Twittererkundung,NOUN,NN,Twittererkundung,Twittererkundung
ist,AUX,VAFIN,sein,sein
ein,DET,ART,ein,ein
"""",PUNCT,$(,"""",
Experiment,NOUN,NN,Experiment,Experiment
"""",PUNCT,$(,"""",
-,PUNCT,$(,-,-
insofern,ADV,ADV,insofern,insofern
muss,VERB,VMFIN,müssen,müssen
es,PRON,PPER,es,es
auch,UNK,PTKMA,auch,auch
nicht,PART,PTKNEG,nicht,nicht
den,DET,ART,der,der
Charakter,NOUN,NN,Charakter,Charakter
einer,DET,ART,ein,eines
wissenschaftlichen,ADJ,ADJA,wissenschaftlich,wissenschaftlich
Arbeit,NOUN,NN,Arbeit,Arbeit
haben,AUX,VAINF,haben,haben
.,PUNCT,$.,.,.
@montaaag,UNK,ADR,@montaaag,@montaaag
#semibk,UNK,HST,#semibk,#semibk
"""",PUNCT,$(,"""",
ich,PRON,PPER,ich,ich
konnte,VERB,VMFIN,können,können
erstaunlich,ADJ,ADJD,erstaunlich,erstaunlich
viel,PRON,PIS,viel,viel
schreiben,VERB,VVINF,schreiben,schreiben
"""",PUNCT,$(,"""",
<-,X,XY,<-,<-
dachte,VERB,VVFIN,denken,denken
ichs,UNK,PPERPPER,ich,ichs
mir,PRON,PRF,sich,mir
doch,UNK,PTKMA,doch,doch
",",PUNCT,"$,",",",","
dass,SCONJ,KOUS,dass,dass
sich,PRON,PRF,sich,sich
die,DET,ART,der,die
Tagebücher,NOUN,NN,Tagebuch,Tagebuch
schnell,ADJ,ADJD,schnell,schnell
füllen,VERB,VVFIN,füllen,füllen
;),UNK,EMOASC,;),;)
@biggi_1010,UNK,ADR,@biggi_1010,@biggi_1010
#semibk,UNK,HST,#semibk,#semibk
es,PRON,PPER,es,sein
ist,AUX,VAFIN,sein,sein
von,ADP,APPR,von,von
meiner,DET,PPOSAT,mein,mein
Seite,NOUN,NN,Seite,Seite
her,ADP,APZR,her,her
ja,UNK,PTKMA,ja,ja
auch,UNK,PTKMA,auch,auch
ein,DET,ART,ein,ein
wenig,DET,PIDAT,wenig,wenig
Vorsatz,NOUN,NN,Vorsatz,Vorsatz
dabei,ADV,PAV,dabei,dabei
",",PUNCT,"$,",",",","
Sie,PRON,PPER,sie,Sie
was,DET,PIAT,was,was
Neues,NOUN,NN,neue,Neue
/,PUNCT,$(,/,/
noch,ADV,ADV,noch,noch
nicht,PART,PTKNEG,nicht,nicht
Vertrautes,NOUN,NN,vertraut,Vertraut
ausprobieren,VERB,VVINF,ausprobieren,ausprobieren
zu,PART,PTKZU,zu,zu
lassen,VERB,VVINF,lassen,lassen
.,PUNCT,$.,.,.
@biggi_1010,UNK,ADR,@biggi_1010,@biggi_1010
#klicken,VERB,VVIMP,#klicken,#klick
Sie,PRON,PPER,sie,sie
mal,UNK,PTKMA,mal,mal
oben,ADV,ADV,oben,oben
rechts,ADV,ADV,rechts,recht
auf,ADP,APPR,auf,auf
Ihren,DET,PPOSAT,ihr,ihr
Namen,NOUN,NN,Name,Name
",",PUNCT,"$,",",",","
da,ADV,ADV,da,da
gibts,UNK,VVPPER,geben,gibt
ein,DET,ART,ein,ein
"""",PUNCT,$(,"""",
Hilfe-Center,NOUN,NN,Hilfe-Center,Hilfe-Center
"""",PUNCT,$(,"""",
.,PUNCT,$.,.,.
:),UNK,EMOASC,:),:)
@biggi_1010,UNK,ADR,@biggi_1010,@biggi_1010
#semibk,UNK,HST,#semibk,#semibk
immerhin,ADV,ADV,immerhin,immerhin
haben,AUX,VAFIN,haben,haben
Sie,PRON,PPER,sie,sie
es,PRON,PPER,es,es
soeben,ADV,ADV,soeben,soeben
geschafft,VERB,VVPP,schaffen,schaffen
",",PUNCT,"$,",",",","
Ihren,DET,PPOSAT,ihr,ihr
ersten,ADJ,ADJA,erster,erster
"""",PUNCT,$(,"""",
Tweet,NOUN,NN,Tweet,tweet
"""",PUNCT,$(,"""",
abzusetzen,VERB,VVIZU,absetzen,absetzen
-,PUNCT,$(,-,-
das,PRON,PDS,der,das
ist,AUX,VAFIN,sein,sein
doch,UNK,PTKMA,doch,doch
schon,UNK,PTKMA,schon,schon
mal,UNK,PTKMA,mal,mal
was,PRON,PIS,was,etwas
!,PUNCT,$.,!,!
:-),UNK,EMOASC,:-),:-)
@montaaag,UNK,ADR,@montaaag,@montaaag
#semibk,UNK,HST,#semibk,#semibk
"""",PUNCT,$(,"""",
Anstoß,NOUN,NN,Anstoß,Anstoß
Einstiegsreflexion,NOUN,NN,Einstiegsreflexion,Einstiegsreflexion
"""",PUNCT,$(,"""",
<-,X,XY,<-,<-
das,DET,ART,der,das
verdreifachte,ADJ,ADJA,verdreifacht,verdreifachen
Vokalgraphem,NOUN,NN,Vokalgraphem,Vokalgraphem
in,ADP,APPR,in,in
Ihrem,DET,PPOSAT,ihr,Ihr
Twitternamen,NOUN,NN,Twittername,Twittername
wäre,AUX,VAFIN,sein,werden
übrigens,ADV,ADV,übrigens,übrigens
auch,ADV,ADV,auch,auch
reflexionswürdig,ADJ,ADJD,reflexionswürdig,reflexionswürdig
;),UNK,EMOASC,;),;)
#semibk,UNK,HST,#semibk,#semibk
Handout,NOUN,NN,Handout,Handout
mit,ADP,APPR,mit,haben
Hinweisen,NOUN,NN,Hinweis,Hinweis
zur,ADP,APPRART,zu,zu
Einstiegsreflexion,NOUN,NN,Einstiegsreflexion,Einstiegsreflexion
ist,AUX,VAFIN,sein,sein
online,ADV,ADV,online,online
.,PUNCT,$.,.,.
http://www.ews.tu-dortmund.de/,UNK,URL,http://www.ews.tu-dortmund.de/,http://www.ews.tu-dortmund.de/
@Mia1234,UNK,ADR,@Mia1234,@Mia1234
#semibk,UNK,HST,#semibk,#semibk
"""",PUNCT,$(,"""",
Groß-,X,TRUNC,Groß,Groß-
/,PUNCT,$(,/,/
Kleinschreibung,NOUN,NN,Kleinschreibung,Kleinschreibung
..,PUNCT,$(,..,..
nicht,PART,PTKNEG,nicht,nicht
so,UNK,PTKMA,so,so
wichtig,ADJ,ADJD,wichtig,wichtig
für,ADP,APPR,für,für
das,DET,ART,der,das
Verständnis,NOUN,NN,Verständnis,Verständnis
"""",PUNCT,$(,"""",
<--,X,XY,<--,<--
Grund,NOUN,NN,Grund,Grund
?,PUNCT,$.,?,?
und,CONJ,KON,und,und
:,PUNCT,$.,:,:
verhält,VERB,VVFIN,verhalten,verhalten
es,PRON,PPER,es,es
