token,tag,tag_STTS,lemma_gold,lemma_pred
das,PRON,PDS,der,der
wärs,UNK,VAPPER,sein,Wärs
",",PUNCT,"$,",",",","
allen,DET,PIAT,aller,all
Teilnehmern,NOUN,NN,Teilnehmer,Teilnehmer
herzlichen,ADJ,ADJA,herzlich,herzlich
Dank,NOUN,NN,Dank,Dank
!,PUNCT,$.,!,!
#dtaclarin14,UNK,HST,#dtaclarin14,#dtaclarin14
Clarin,PROPN,NE,Clarin,Clarin
Vlo,PROPN,NE,Vlo,Vlo
:,PUNCT,$(,:,:
https://catalog.clarin.eu,UNK,URL,https://catalog.clarin.eu,Https://catalog.clarin.eu
#dtaclarin14,UNK,HST,#dtaclarin14,#dtaclarin14
Dieter,PROPN,NE,Dieter,Dieter
Van,PROPN,NE,Van,Van
Uytvanck,PROPN,NE,Uytvanck,Uytvanck
(,PUNCT,$(,(,(
Nijmegen,PROPN,NE,Nijmegen,Nijmegen
),PUNCT,$(,),)
:,PUNCT,$(,:,:
auf,ADP,APPR,auf,auf
der,DET,ART,der,der
Suche,NOUN,NN,Suche,Suche
nach,ADP,APPR,nach,nach
Sprachressourcen,NOUN,NN,Sprachressource,Sprachressource
:,PUNCT,$(,:,:
CLARINs,PROPN,NE,CLARIN,Clarin
Virtual,PROPN,NE,Virtual,Virtual
Language,PROPN,NE,Language,Language
Observatory,PROPN,NE,Observatory,Observatory
#dtaclarin14,UNK,HST,#dtaclarin14,#dtaclarin14
praktisches,ADJ,ADJA,praktisch,praktisch
Beispiel,NOUN,NN,Beispiel,Beispiel
der,DET,ART,der,der
Wortverlaufskurve,NOUN,NN,Wortverlaufskurve,Wortverlaufskurv
:,PUNCT,$(,:,:
Abnahme,NOUN,NN,Abnahme,Abnahme
von,ADP,APPR,von,von
erweiterten,ADJ,ADJA,erweitert,erweitert
Partizipialattributen,NOUN,NN,Partizipialattribut,Partizipialattribut
mit,ADP,APPR,mit,mit
"""",PUNCT,$(,"""",""""
habend,ADJ,ADJD,habend,habend
"""",PUNCT,$(,"""",""""
:,PUNCT,$(,:,:
http://bit.ly/1eupphk,UNK,URL,http://bit.ly/1eupphk,http://bit.ly/1eupphk
#dtaclarin14,UNK,HST,#dtaclarin14,#dtaclarin14
WLAN,NOUN,NN,WLAN,Wla
an,ADP,APPR,an,an
der,DET,ART,der,der
@bbaw_de,PROPN,NE,@bbaw_de,@bbaw_de
heute,ADV,ADV,heute,heute
leider,ADV,ADV,leider,leider
sehr,UNK,PTKIFG,sehr,sehr
instabil,ADJ,ADJD,instabil,instabil
und,CONJ,KON,und,und
nicht,PART,PTKNEG,nicht,nicht
wirklich,UNK,PTKMWL,wirklich,wirklich
brauchbar,ADJ,ADJD,brauchbar,brauchbar
.,PUNCT,$.,.,.
tut,VERB,VVFIN,tun,tun
uns,PRON,PPER,uns,uns
leid,PART,PTKVZ,leid,leid
...,PUNCT,$.,...,...
#dtaclarin14,UNK,HST,#dtaclarin14,#dtaclarin14
der,DET,ART,der,der
Troll,NOUN,NN,Troll,Troll
",",PUNCT,"$,",",",","
der,PRON,PRELS,der,der
noch,ADV,ADV,noch,noch
im,ADP,APPRART,in,in
@dwds_de,PROPN,NE,@dwds_de,@dwds_de
fehlt,VERB,VVFIN,fehlen,fehlen
:,PUNCT,$(,:,:
http://de.m.wikipedia.org/wiki/troll_(netzkultur),UNK,URL,http://de.m.wikipedia.org/wiki/troll_(netzkultur),Http://de.m.wikipedia.org/wiki/troll_(netzkultur)
…,PUNCT,$.,…,…
#dtaclarin14,UNK,HST,#dtaclarin14,#dtaclarin14
"""",PUNCT,$(,"""",""""
in,ADP,APPR,in,in
welchen,DET,PWAT,welcher,welcher
Modi,NOUN,NN,Modus,Modi
werden,AUX,VAFIN,werden,werden
wir,PRON,PPER,wir,wir
