token,tag,tag_STTS,lemma_gold,lemma_pred
Das,PRON,PDS,der,Das
wärs,UNK,VAPPER,sein,wärs
",",PUNCT,"$,",",",","
allen,DET,PIAT,aller,allen
Teilnehmern,NOUN,NN,Teilnehmer,Teilnehmern
herzlichen,ADJ,ADJA,herzlich,herzlichen
Dank,NOUN,NN,Dank,Dank
!,PUNCT,$.,!,!
#dtaclarin14,UNK,HST,#dtaclarin14,#dtaclarin14
CLARIN,PROPN,NE,Clarin,CLARIN
VLO,PROPN,NE,Vlo,VLO
:,PUNCT,$(,:,:
https://catalog.clarin.eu,UNK,URL,https://catalog.clarin.eu,https://catalog.clarin.eu
#dtaclarin14,UNK,HST,#dtaclarin14,#dtaclarin14
Dieter,PROPN,NE,Dieter,Dieter
van,PROPN,NE,Van,van
Uytvanck,PROPN,NE,Uytvanck,Uytvanck
(,PUNCT,$(,(,(
Nijmegen,PROPN,NE,Nijmegen,Nijmegen
),PUNCT,$(,),)
:,PUNCT,$(,:,:
Auf,ADP,APPR,auf,Auf
der,DET,ART,der,der
Suche,NOUN,NN,Suche,Suche
nach,ADP,APPR,nach,nach
Sprachressourcen,NOUN,NN,Sprachressource,Sprachressourcen
:,PUNCT,$(,:,:
CLARINs,PROPN,NE,CLARIN,CLARINs
Virtual,PROPN,NE,Virtual,Virtual
Language,PROPN,NE,Language,Language
Observatory,PROPN,NE,Observatory,Observatory
#dtaclarin14,UNK,HST,#dtaclarin14,#dtaclarin14
praktisches,ADJ,ADJA,praktisch,praktisches
Beispiel,NOUN,NN,Beispiel,Beispiel
der,DET,ART,der,der
Wortverlaufskurve,NOUN,NN,Wortverlaufskurve,Wortverlaufskurve
:,PUNCT,$(,:,:
Abnahme,NOUN,NN,Abnahme,Abnahme
von,ADP,APPR,von,von
erweiterten,ADJ,ADJA,erweitert,erweiterten
Partizipialattributen,NOUN,NN,Partizipialattribut,Partizipialattributen
mit,ADP,APPR,mit,mit
"""",PUNCT,$(,"""",""""
habend,ADJ,ADJD,habend,habend
"""",PUNCT,$(,"""",""""
:,PUNCT,$(,:,:
http://bit.ly/1EUPPhK,UNK,URL,http://bit.ly/1eupphk,http://bit.ly/1EUPPhK
#dtaclarin14,UNK,HST,#dtaclarin14,#dtaclarin14
WLAN,NOUN,NN,WLAN,WLAN
an,ADP,APPR,an,an
der,DET,ART,der,der
@bbaw_de,PROPN,NE,@bbaw_de,@bbaw_de
heute,ADV,ADV,heute,heute
leider,ADV,ADV,leider,leider
sehr,UNK,PTKIFG,sehr,sehr
instabil,ADJ,ADJD,instabil,instabil
und,CONJ,KON,und,und
nicht,PART,PTKNEG,nicht,nicht
wirklich,UNK,PTKMWL,wirklich,wirklich
brauchbar,ADJ,ADJD,brauchbar,brauchbar
.,PUNCT,$.,.,.
Tut,VERB,VVFIN,tun,Tut
uns,PRON,PPER,uns,uns
leid,PART,PTKVZ,leid,leid
...,PUNCT,$.,...,...
#dtaclarin14,UNK,HST,#dtaclarin14,#dtaclarin14
Der,DET,ART,der,Der
Troll,NOUN,NN,Troll,Troll
",",PUNCT,"$,",",",","
der,PRON,PRELS,der,der
noch,ADV,ADV,noch,noch
im,ADP,APPRART,in,im
@dwds_de,PROPN,NE,@dwds_de,@dwds_de
fehlt,VERB,VVFIN,fehlen,fehlt
:,PUNCT,$(,:,:
http://de.m.wikipedia.org/wiki/Troll_(Netzkultur),UNK,URL,http://de.m.wikipedia.org/wiki/troll_(netzkultur),http://de.m.wikipedia.org/wiki/Troll_(Netzkultur)
…,PUNCT,$.,…,…
#dtaclarin14,UNK,HST,#dtaclarin14,#dtaclarin14
"""",PUNCT,$(,"""",""""
In,ADP,APPR,in,In
welchen,DET,PWAT,welcher,welchen
Modi,NOUN,NN,Modus,Modi
werden,AUX,VAFIN,werden,werden
wir,PRON,PPER,wir,wir
in,ADP,APPR,in,in
einigen,DET,PIAT,einiger,einigen
Jahren,NOUN,NN,Jahr,Jahren
kommunizieren,VERB,VVINF,kommunizieren,kommunizieren
?,PUNCT,$.,?,?
"""",PUNCT,$(,"""",""""
@berlinothar,UNK,ADR,@berlinothar,@berlinothar
#ibk,UNK,HST,#ibk,#ibk
#cmc,UNK,HST,#cmc,#cmc
#dtaclarin14,UNK,HST,#dtaclarin14,#dtaclarin14
Erfurter,ADJ,ADJA,Erfurter,Erfurter
Europäische,ADJ,ADJA,europäisch,Europäische
Welt-,X,TRUNC,Welt,Welt-
und,CONJ,KON,und,und
Staats-Geschichte,NOUN,NN,Staats-Geschichte,Staats-Geschichte
:,PUNCT,$(,:,:
20,NUM,CARD,20,20
Ausgaben,NOUN,NN,Ausgabe,Ausgaben
von,ADP,APPR,von,von
1744,NUM,CARD,1744,1744
aus,ADP,APPR,aus,aus
dem,DET,ART,der,dem
MKHZ,PROPN,NE,MKHZ,MKHZ
bereits,ADV,ADV,bereits,bereits
in,ADP,APPR,in,in
DTAQ,PROPN,NE,DTAQ,DTAQ
http://www.deutschestextarchiv.de/dtaq/about,UNK,URL,http://www.deutschestextarchiv.de/dtaq/about,http://www.deutschestextarchiv.de/dtaq/about
#dtaclarin14,UNK,HST,#dtaclarin14,#dtaclarin14
Mannheimer,ADJ,ADJA,Mannheimer,Mannheimer
Zeitungskorpus,NOUN,NN,Zeitungskorpus,Zeitungskorpus
:,PUNCT,$(,:,:
652,NUM,CARD,652,652
Ausgaben,NOUN,NN,Ausgabe,Ausgaben
",",PUNCT,"$,",",",","
4678,NUM,CARD,4678,4678
Seiten,NOUN,NN,Seite,Seiten
",",PUNCT,"$,",",",","
"4,1",NUM,CARD,"4,1","4,1"
Mio,NOUN,NN,Mio.,Mio
Tokens,NOUN,NN,Token,Tokens
",",PUNCT,"$,",",",","
18.,ADJ,ADJA,18.,18.
und,CONJ,KON,und,und
19.,ADJ,ADJA,19.,19.
Jh.,NOUN,NN,Jh.,Jh.
",",PUNCT,"$,",",",","
D,PROPN,NE,D,D
und,CONJ,KON,und,und
AT,PROPN,NE,AT,AT
#dtaclarin14,UNK,HST,#dtaclarin14,#dtaclarin14
E,PROPN,NE,E,E
Teich,PROPN,NE,Teich,Teich
",",PUNCT,"$,",",",","
H,PROPN,NE,H,H
Kermes,PROPN,NE,Kermes,Kermes
",",PUNCT,"$,",",",","
C,PROPN,NE,C,C
Draxler,PROPN,NE,Draxler,Draxler
:,PUNCT,$(,:,:
Kontextualisierung,NOUN,NN,Kontextualisierung,Kontextualisierung
von,ADP,APPR,von,von
Sprachressourcen,NOUN,NN,Sprachressource,Sprachressourcen
und,CONJ,KON,und,und
-technologie,X,TRUNC,Technologie,-technologie
in,ADP,APPR,in,in
der,DET,ART,der,der
geisteswissenschaftl.,ADJ,ADJA,geisteswissenschaftl.,geisteswissenschaftl.
Forschung,NOUN,NN,Forschung,Forschung
#dtaclarin14,UNK,HST,#dtaclarin14,#dtaclarin14
@xyzbaba,UNK,ADR,@xyzbaba,@xyzbaba
"""",PUNCT,$(,"""",""""
ich,PRON,PPER,ich,ich
wollte,VERB,VMFIN,wollen,wollte
einen,DET,ART,ein,einen
Tweed,NOUN,NN,Tweet,Tweed
für,ADP,APPR,für,für
alle,PRON,PIS,alle,alle
schreiben,VERB,VVINF,schreiben,schreiben
",",PUNCT,"$,",",",","
hat,AUX,VAFIN,haben,hat
wohl,UNK,PTKMA,wohl,wohl
nicht,PART,PTKNEG,nicht,nicht
geklappt,VERB,VVPP,klappen,geklappt
"""",PUNCT,$(,"""",""""
<-,X,XY,<-,<-
einfach,ADJ,ADJD,einfach,einfach
Schlagwort,NOUN,NN,Schlagwort,Schlagwort
#semibk,PROPN,NE,#semibk,#semibk
einbauen,VERB,VVINF,einbauen,einbauen
",",PUNCT,"$,",",",","
dann,ADV,ADV,dann,dann
klappt,VERB,VVFIN,klappen,klappt
das,PRON,PDS,der,das
:),UNK,EMOASC,:),:)
@SimMüller,UNK,ADR,@SimMüller,@SimMüller
#semibk,UNK,HST,#semibk,#semibk
"""",PUNCT,$(,"""",""""
Zwitscher,UNK,AKW,zwitscher,Zwitscher
zwitscher,UNK,AKW,zwitscher,zwitscher
Geschafft,VERB,VVPP,schaffen,Geschafft
"""",PUNCT,$(,"""",""""
<-,X,XY,<-,<-
Aha,INTJ,ITJ,aha,Aha
!,PUNCT,$.,!,!
Es,PRON,PPER,es,Es
zwitschert,VERB,VVFIN,zwitschern,zwitschert
im,ADP,APPRART,in,im
virtuellen,ADJ,ADJA,virtuell,virtuellen
Geäst,NOUN,NN,Geäst,Geäst
